,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5
6018,"# WEB & UX/UI DESIGNER

## Professional Summary

Web and UX/UI designer specializing in website redesign, user research, wireframing, visual design, and responsive design. Dedicated to crafting user-centered solutions that align client objectives with user needs. Collaborative team player with strong communication skills.

## Skills

- UX/UI Design
- Wireframing & Prototyping
- Visual Design
- User Research & Analysis
- Responsive Design
- User Flow Development

## Project Experience

### Children's Music School — Website Redesign

- Analyzed existing website to identify strengths, weaknesses, and opportunities for improvement
- Designed detailed wireframes for a redesigned landing page featuring a news block and prominent call to action
- Developed cohesive visual design with consistent color scheme and typography aligned to brand identity
- Applied responsive design principles to ensure optimal display across all devices
- Created intuitive navigation structure to maintain easy access to key information

### Pet-Saver-Hub — Web Service for Lost & Found Animals

- Conducted user research to uncover key pain points in the lost and found pet search process
- Developed comprehensive user flows and wireframes for an intuitive interface
- Integrated interactive elements including a map feature for location-based pet searches
- Designed streamlined interface enabling efficient search functionality

## Professional Goals

- Contribute to meaningful projects that positively impact people's lives
- Collaborate with industry professionals to continue developing skills
- Stay current with emerging design technologies and trends
- Gather and apply user feedback to continuously improve user experience
- Deliver high-quality work through creativity and meticulous attention to detail"
6021,"# PROFESSIONAL EXPERIENCE

**Head of Design Department**
Facility, Kiev | March 2018 – Present

Lead and optimize design team processes across diverse project types. Define strategic direction for websites, brands, and digital products. Deliver UI/UX design, motion design, logo systems, brand guidelines, and comprehensive brandbooks. Drive creative direction for tenders and offline company initiatives.

**Designer**
Kiev Smart City, Kiev

Conceptualized and visualized the Kiev Smart Card product. Developed dynamic city advertising concepts.

**Designer**
Mastercard, Kiev

Created illustrations and limited edition products for the 2018 UEFA Champions League Final in Kiev. Developed brand activation concept for Ukraine Independence Day 2018.

**Game Designer**
Stampede Games, Kiev

Developed visual concepts and UI for mobile games. Created concept art for game sequel. Contributed to featured, top-charting titles including Evo Explores and .projekt.

# PORTFOLIO

50+ Websites · 30+ Logotypes · 4 Mobile Apps · 3 Games · 1 Social Network

# INDUSTRY RECOGNITION

Published on Medium, MMR.ua, Cases.media, VC.ru · Judge at CSSDA and Ukraine Creative Week · Awwwards judge candidate · Guest lecturer at Underhub

# OBJECTIVE

Seeking career advancement, financial growth, engaging projects, and strong management collaboration."
6026,"**DESIGN PROFESSIONAL**

---

**SUMMARY**

Design leader with 12+ years of experience and 300+ completed projects across international markets. Founded and scaled a 20-person design studio, establishing end-to-end processes for sales, management, hiring, and project delivery. Trained 150+ students in UI/UX and brand design. Conference speaker at Dribbble and other industry events.

---

**CORE COMPETENCIES**

UI/UX Design · Brand Design · Product Design · Design Leadership · Studio Management · Design Education

**TECHNICAL SKILLS**

Frontend: HTML5, CSS3, TypeScript, Vue.js
Backend: Python, Swift

---

**PROJECT PORTFOLIO**

- 30+ products built from scratch
- 30+ mobile applications
- 80+ websites
- 100+ logos and corporate identities

**INDUSTRY EXPERIENCE**

eCommerce · Finance · Banking · Investments · Marketing · Social Media · Legal · Education · Software Development · NFT · Art · Automotive · Gaming · Construction · Agriculture · Food & Beverage · Fashion · Beauty · Music · Dance · MMA · Medicine · Aerospace · Sports · Technology · Insurance

**INTERNATIONAL CLIENT BASE**

USA · United Kingdom · Germany · Netherlands · Italy · France · Greece · Estonia · Australia · China · Ukraine

---

**EXPERIENCE**

**NDA** — 2022
**UX Designer** — Bank BVR — 2021
**UI/UX Design Teacher** — Hillel IT School — 2020
**Lead Product Designer** — Innovation Box — 2020
**UI/UX & Brand Designer** — Ardas — 2019
**UI/UX & Brand Designer** — M2E Pro — 2017
**UI/UX & Brand Designer** — Forforce — 2016
**UI/UX & Brand Designer** — Art. Lebedev Studio — 2015
**CEO & Designer** — Own Design Studio — 2014
**UI/UX & Brand Designer** — Poster — 2013
**UI/UX & Brand Designer** — le Weekend — 2012
**UI/UX & Brand Designer** — November Design Bureau — 2011
**Graphic Designer** — Freelance — 2006

---

**EDUCATION**

Master's Degree in Engineering Design
MBA (in progress)

---

*Portfolio samples available upon request.*"
9479,"# GRAPHIC DESIGNER | LEAD GRAPHIC DESIGNER

## PROFESSIONAL SUMMARY

Results-driven Graphic Designer with over four years of experience in visual identity development, key visuals, social media content, and print design. Demonstrated leadership in company-wide brand redesigns and cross-platform visual strategy. Proficient in integrating custom 3D elements into design projects. Formally trained in UI/UX with a strong foundation in user-centered design principles.

## SKILLS

**Expert:** Adobe Photoshop, Adobe Illustrator
**Proficient:** Adobe InDesign, Figma
**Working Knowledge:** Blender, After Effects

## PROFESSIONAL EXPERIENCE

### Graphic Designer & UI/UX Designer | QA Madness
*November 2022 – Present*

- Played a key role in executing a company-wide global redesign initiative
- Led website redesign to align with updated brand vision and visual direction
- Developed and implemented a refreshed visual style for corporate presentations
- Overhauled social media materials across LinkedIn and Instagram platforms
- Built and launched company page for DOU
- Created and integrated original 3D elements to enhance design output

### Graphic Designer | Kronas
*August 2020 – February 2022*

- Designed logos, brand identities, and print collateral for newly launched company brands
- Produced 3–6 advertising key visuals monthly across web, social media, and print channels
- Conceptualized and executed a new visual identity for the company Instagram profile
- Created multi-page catalogs and brochures using Adobe InDesign
- Refreshed YouTube channel branding and designed cohesive video cover artwork
- Designed custom sticker packs for Telegram and Viber platforms
- Developed comprehensive trade hall design including branded stands and wayfinding signage

### Graphic Designer | Design Studio ToTop
*October 2019 – August 2020*

- Created logos and complete brand identities for clients across diverse industries
- Designed outdoor advertising campaigns including billboards, citylights, and vehicle wraps
- Produced high-fidelity product visualizations using Adobe Photoshop
- Developed print materials including calendars, business cards, postcards, and stickers
- Designed multi-page catalogs and brochures for client projects

## EDUCATION

UI/UX Course | Beetroot Academy"
16980,"PROFESSIONAL EXPERIENCE

**Depositphotos | Content Researcher**

Developed diverse content including curated collections and PowerPoint presentations for client advertising campaigns, email distribution, and publication on the official Depositphotos website.

Partnered with content managers to analyze performance metrics and drive ongoing development initiatives.

Coordinated advertising partnerships with influencers and major global brands including Coca Cola, H&M, Colgate, Vogue Ukraine, and Marie Claire Maison Italy.

Managed projects and client relationships through Jira and CRM platforms.

Maintained localized content consistency with brand tone of voice and product style guidelines.

**Depositphotos | Contributor Relations Manager**

Identified and recruited talented photographers across EMEA and North American markets.

Partnered with contributors to optimize and expand portfolios on cloud-based platforms.

Designed and delivered training seminars for onboarding new team members.

**Teacher of English Language**

Delivered specialized instruction to students with physical and psychological needs.

Developed individualized teaching methodologies and customized lesson plans tailored to each student's unique requirements.

Adapted educational approaches to accommodate diverse learning capabilities, driving significant curriculum advancement.

Built meaningful rapport with students, fostering engagement and accelerating academic progress beyond previous benchmarks.

**Liberty Power | Door-to-door Sales Agent**

Conducted direct sales outreach across neighborhoods to promote products and services.

Delivered compelling product presentations highlighting competitive advantages and key features.

Negotiated and closed customer agreements, successfully converting prospects into clients."
17014,"# RESUME

## Professional Profile

Detail-oriented English Philology student with four years of academic training in linguistic analysis, text editing, writing, and translation. Combines strong written communication skills with extensive knowledge of social media platforms and current digital trends. Adaptable, self-driven professional with a growth mindset, seeking to apply linguistic expertise and digital fluency to opportunities in the IT sector.

## Education

**English Philology** | Four Years of Study

## Core Competencies

- Text Editing & Revision
- Writing & Content Development
- Translation
- Social Media Strategy
- Cross-Platform Content Research
- Analytical Content Evaluation

## Key Strengths

- Exceptional written communication with precision and clarity
- Analytical approach to content structure and messaging
- Strong capacity for independent learning and skill development
- Adaptable to evolving digital environments and technologies"
18230,"# Creative/Art Director | Graphic & UI/UX Designer

## Professional Summary

Award-winning Creative/Art Director and Graphic/UI/UX Designer with over 10 years of experience delivering strategic branding, marketing, advertising, and digital design solutions for international clients across the USA, Canada, Australia, New Zealand, Austria, Finland, and Ukraine.

## Core Expertise

- Brand Strategy & Identity Development
- Graphic Design & Visual Communication
- UI/UX Design
- Web & Mobile App Design
- Marketing & Advertising Campaigns

## Key Achievements

- Created and launched more than 20 successful brands in Ukraine
- Established a proven track record of delivering projects for clients across seven countries

## Approach

I develop and execute innovative creative solutions that drive measurable business growth. My collaborative process is grounded in mutual respect, honesty, integrity, and punctuality—ensuring seamless partnerships and reliable delivery."
18348,"# PROFESSIONAL SUMMARY

Versatile designer with over 6 years of commercial agency experience, contributing to more than 100 website designs, brand identities, and advertising campaigns. Specializing in UX prototyping, UI design, and motion design for desktop and mobile applications.

---

# SKILLS

**Design Disciplines**
- Graphic Design: Print Collateral, Banners, Illustrations, Icons
- Web Design: Responsive & Adaptive Layouts
- Mobile Design: iOS & Android Platforms
- Motion Design

**UX/UI Expertise**
- Wireframing & Interactive Prototyping
- Atomic Design Methodology
- User Personas & User Flow Development

**Technical Knowledge**
- HTML & CSS Fundamentals

---

# TOOLS

**Primary**
- Figma: Team Libraries, Auto Layout, Component Properties, Branches

**Adobe Creative Suite**
- Photoshop: Expert
- Illustrator: Expert
- After Effects: Proficient

---

# OBJECTIVE

Seeking to join a dynamic team where I can apply my artistic vision and contribute meaningfully to innovative design projects."
26715,"# Senior Creative Director & Digital Design Leader

## Professional Summary

Versatile creative professional with 20 years of expertise spanning web design, UI/UX, 3D graphics, animation, and product development. Entrepreneurial leader with demonstrated success building and scaling creative teams from the ground up.

---

## Core Competencies

**Creative Direction** | **UI/UX Design** | **3D Graphics & Animation** | **Web Design & Development** | **Team Leadership** | **Product Development** | **Unity VFX** | **Art Direction**

---

## Professional Experience

### Co-Founder & Creative Lead
*Mobile Game Studio*

- Directed full-cycle game development from initial concept through market release
- Led comprehensive visual strategy encompassing UI/UX design, visual design, and animation production
- Developed Unity VFX assets and directed sound editing
- Coordinated cross-functional teams to ensure seamless project delivery

### CTO & Technical Lead
*Outsource Studio (Founder)*

- Founded and scaled creative outsource studio from inception to sustained operation
- Built and managed internal team of 25 office-based developers
- Cultivated extended network of 20+ freelance collaborators
- Provided strategic art direction and design team leadership

---

## Technical Proficiencies

Web Design | UI/UX | 3D Graphics | Animation | Unity VFX | Sound Editing | Product Creation

---

## Leadership

Team Building | Art Direction | Cross-Functional Coordination | Freelance Network Management"
26747,"# Senior Product Designer

## Awards & Recognition
- 8 Design Awards on Behance
- Honorable Mention, San Francisco Design Week
- Ukrainian Design: The Very Best Of

## Professional Summary
Product designer with over 6 years of commercial experience spanning startups, fintech, organizational management, crypto, insurance, and healthcare. Expertise in web, mobile, dashboard, and web application design. Proficient in hypothesis generation, research, wireframing, prototyping, usability testing, design system creation, and design team leadership. Dedicated to delivering design solutions that drive business objectives.

## Key Experience
- Led end-to-end development of a digital home loan product for the Australian market, guiding the project from initial concept through MVP delivery over 12 months
- Architected and implemented a comprehensive design system from the ground up as part of a three-person team
- Directed and managed a design team of 8 professionals

## Design Process
- Stakeholder engagement and product manager collaboration
- User research and competitive market analysis
- Functionality mapping and process flow architecture
- Low and high-fidelity wireframe development
- UI research and visual design execution

## Leadership & Collaboration
- Mentorship and professional development of junior designers
- Regular 1:1 meetings to identify challenges and establish growth trajectories
- Continuous feedback and collaborative support for team members"
