Unnamed: 0,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo
0,"2D artist, Sketcher at Templatemonster.com
2005 — December 2011
Developed icons for websites. Created sketches for 3D models.

2D-artist, Art Leader at Slotopaint.com, Mykolaiv
December 2017 — 2022
Created symbols, interfaces, pop-ups, and other elements for casual games, slots, UI/UX games, various strategies, puzzles, card games, and roulettes. Led a team of artists.

Dedicated illustrator committed to delivering high-quality work. Hardworking, detail-oriented, and responsible. Proficient in using a graphic tablet. Well-versed in composition, perspective, volume, and isometry (particularly fond of isometric objects). Holds a degree in art. Capable of effectively collaborating in a team. Skilled in graphic design."
1,"• 4 роки досвіду на посаді арт-директора та 12 років у сфері дизайну та IT.
• Управління дизайн-командами, співпраця з розробниками, клієнтами та власниками продукту.
• Повний цикл дизайну продукту: від ідеї до втілення, включаючи дослідження, прототипування та контроль якості.
• Досвід у фінтех та крипто-сферах, проектування складних платформ.
• Робота зі стартапами (B2B, B2C) з високими показниками залучення.
• Знання HTML, CSS та JavaScript.
• Досвід у брендингу, упаковці, маркетингових та рекламних матеріалах, landing pages, інтерфейс-кітах.
• Вміння в UX-writing, типографіці та поліграфії.
• Орієнтація на дизайн-мислення та стилістичні рішення.
• Бажання працювати в продуктовій компанії з соціально-відповідальним підходом до бізнесу."
2,Worked at Africa Studio for over two years as a retoucher before deciding to change direction and pursue a course in UI/UX design for game interfaces in order to further develop and enhance skills.
3,"Робота в проекті ""Бізнес Інженерія"" 
Навчання у школах по дизайну, розробка лого та створення гарних робіт. 
Робота з людьми. Подобається, коли вони у захваті від моєї роботи.

Працювала над проектом ""Бізнес Інженерія"" 
Розробка лого, банеру, інфографіки. 
Дизайн візитівок, логотипів, сертифікатів для клієнтів. 
Малюю як на папері, так і в діджитал, використовую Adobe Illustrator. 
Професійно фотографую. 
Готова ризикувати та братися за різні проекти, постійно розвиваюсь в різних напрямках."
4,"2014-2016 фріланс
2016 - по теперішній час дизайнер в Stan Agency

Мій досвід роботи в дизайні складає 8 років. Я працюю в програмах Adobe Photoshop, Adobe Illustrator та Figma на високому рівні. Маю досвід у розробці логотипів, брендінгу та упаковки продукту. Також я розробляю веб-кейси для сайту, рекламні баннери та інше. Маю бажання працювати в галузі UI/UX Design.

Навички:
- Створення та розробка логотипів та брендінгу.
- Дослідження та аналіз ринку.
- Розробка упаковки різної складності.
- Дизайн, підготовка до друку та верстка друкованої продукції.
- Впевнене володіння Adobe Photoshop, Adobe Illustrator та Figma.
- Глибокі знання пакетів Microsoft: Word, Excel, Power Point.
- Базові навички векторної ілюстрації та авторської типографіки.
- Високомотивована самостійна особистість."
5,"Привіт!

Олександр з Івано-Франківська з вищою освітою графічного дизайнера та більш ніж трьохрічним досвідом роботи в рекламній компанії. Відкрив у компанії відділ графічного дизайну та маю великий досвід у довготривалих проектах. Комунікабельний, вмію працювати в команді та завжди ставлюся до роботи відповідально. Не стою на місці та завжди розвиваюсь у сфері дизайну. Готовий до співпраці та виконання якісних робіт.

Дякую та гарного дня!"
6,"Маю досвід в поліграфії та вільно володію графічними програмами Adobe. Маю навички верстки і дизайну макетів для друку, а також додрукарської підготовки. У 2019 році успішно завершила курси з веб-дизайну (UX/UI). Зацікавлена у віддаленій роботі та бажаю розвиватись у сфері веб-дизайну, співпрацюючи з досвідченою командою."
7,"Hello. I am seeking a position in UI/UX design and animation. With several years of experience in graphic design (including international experience), I have worked on a variety of projects ranging from business cards and catalogs to brand books, websites, and applications using tools such as Photoshop, Illustrator, and InDesign. I have found UI/UX design to be my favorite and most promising field in design, and I am dedicated to further developing my skills in this area. Currently, I am honing my skills in Figma, learning English, creating prototypes, and gradually delving into animation. Thank you for your consideration."
8,"- Вища художня освіта (НАОМА/граф.дизайн)
- Досвід роботи ілюстратором, графічним дизайнером та веб дизайнером в рекламному агентстві
- Розробка сайтів, мобільних додатків, інфографіки та брендингу
- Бажання розвиватись в сфері UI/UX дизайну та розробки мобільних додатків
- Цікавість професійним зростанням та вивченням нових технологій
- Прагнення працювати в команді, не готова бути єдиним дизайнером на проекті
- Пошук компанії з налагодженими процесами"
9,"10-11.2021 - E-Commerce: 
- Developed design and functionality for desktop and mobile versions
- Created clickable prototype
- Established design system in Figma

11.2021-01.2022 - Medical Mobile Application Development:
- Researched and analyzed client's competitors
- Developed user personas and User Flow
- Created Low Fidelity / High Fidelity Wireframes
- Designed clickable prototype

01.2022-03.2022 - Online Store Mobile Application:
- Developed personas and User Flow
- Designed Low Fidelity / High Fidelity Wireframes
- Created clickable prototype with Jitter animation

05.2022-06.2022 - Private Clinic Dashboard:
- Designed tables and diagrams for clinic statistics
- Developed personas, Low Fidelity Wireframes, and clickable prototype

06.2022 - 02.2023 - Freelance Web Designer:
- Created and redesigned landing pages
- Prepared graphic materials for websites, including photo processing
- Developed concepts and provided client recommendations
- Designed Saas apps and Dashboards

02.2023 - Present - Product Designer at Reshape:
- Created interface elements such as widgets, icons, and treeview
- Developed design system for mobile apps, online stores, landing pages, and Saas applications"
10,"Навчився працювати з 3D без використання макетів, розробив продукт з метою допомоги людям, вирішив проблему безпеки та створив помічників для людей на Марсі для полегшення процесу адаптації до колонізації. Використовував продуктові практики для створення додатку та веб-версії, а також дизайн систему. Навчився адаптувати веб-сайти під мобільні пристрої, ознайомився з практиками електронної комерції, розробки прототипів та використання варіативних компонентів та autolayouts. Володію навичками роботи з нейромережами та генерації графіки з відповідним промтом.

1. Robotplus+ - розробка продукту для оренди або купівлі роботів для виконання завдань на Марсі через мобільний додаток та веб-сторінку. Використовував Blender, AI, Figma та Photoshop.
2. Beau.flo - розробка електронної комерційної платформи для онлайн продажу одягу. Використовував патерни електронної комерції та інтегрував айдентику бренду у візуальну концепцію за допомогою AI, Figma, Photoshop та Illustrator.
3. Velvet Underground - редизайн веб-сайту з метою зробити його більш сучасним та актуальним. Виконав промоцію фільму про вплив Velvet Underground на музичну культуру, розповів про учасників гурту та процес створення альбомів за допомогою Figma, Photoshop та Midjourney.

Моя кар'єрна мета - стати успішним UX/UI дизайнером, оволодіти UX-дослідженнями, бізнес-процесами та використанням метрик. Маю сильний інтерес до розробки інноваційних інтерфейсів, 3D моделювання та використання no-code технологій та дизайн-методологій для створення ефективних продуктів."
11,"1) Досвід у дизайні банерів та головних екранів для різних тематик, включаючи книжковий магазин, магазин взуття, маркетингову конференцію та продаж програм тренування.
2) Створення дизайну для Coinvest Website, компанії, що спеціалізується на інвестиціях.
3) Розробка дизайну для Art Hall Tattoo Studio, мережі тату салонів, з адаптацією під різні пристрої.
4) Редизайн багатосторінкового сайту для відомого бренду велосипедів Specialized bikes та адаптація під мобільні та планшетні версії."
12,"Створення сайтів різної складності від лендінгу до e-commerce. Проходження всіх етапів, починаючи з брифу до передачі макета в розробку. Маю досвід зі створення сайтів-візитівок, e-commerce, корпоративних сайтів, а також, мобільних адаптацій до них. Професійний користувач Figma - від варфрейма до клікабельного прототипування. Володію навичками роботи з Adobe Photoshop, Adobe Illustrator, Adobe After Effects. Основні знання HTML та CSS."
13,"Я займалась машинним навчанням протягом трьох років, уважна до деталей та не боюсь монотонної роботи. Я дуже комунікабельна. У 2023 році я пройшла курс Motion Design Basic, отримала навички роботи з програмами Adobe After Effect & Cinema 4D. Мене цікавить розвиток у галузі Motion Design.

2018 - 2019 - Дизайнер інтер'єрів та менеджер з продажу в Tiger
Проектування та дизайн інтер'єрів для клієнтів салону ""Tiger modern"", консультування клієнтів, робота з документацією.

2020 - 2023 - Інженер з якості даних - SQUAD
Підтримка систем безпеки розумного будинку, робота з даними, машинне навчання.

2023 - Графічний дизайнер - Motto
Розробка графічного дизайну для мережі АЗС ""Motto"" - баннерів, листівок, рекламних матеріалів, дизайн-концепція ""меню супутніх товарів"".

Я шукаю компанію, яка високо цінує потенціал кожного співробітника, має систему винагород, кар'єрний ріст, цінує творчість та розвиток."
14,"3 роки досвіду роботи графічним дизайнером на фрілансі, спеціалізувався на зовнішній та внутрішній рекламі, презентаціях та відео для компанії «Житлобуд-1».

Розробка та дизайн сайтів на платформі Tilda, успішно завершено 6 проектів, переважно у сфері ремонту та нерухомості. Навички підключення аналітики (Google Analytics, Tag Manager, Search Console).

Основні навички у HTML (emmet), CSS (sass, less), робота з Wordpress, базові знання JavaScript та розуміння принципів програмування (C++, C#, Java, Python).

Нецільове бажання працювати з поліграфією будь-якого типу."
15,"Робота над декількома іконками для Google
4 роки досвіду у веб-дизайні, розробці банерів, постерів та графічному дизайні
Отримання замовлень на фріланс-біржах (Fiverr, Upwork) від компаній з ЄС, США та інших країн
- Розробка візуально привабливих та функціональних веб-сайтів та інтерфейсів
- Створення макетів, дизайну графіки та інших елементів для веб-сайтів
- Оптимізація сайтів для SEO та підвищення їх конверсії
- Взаємодія з клієнтами та командою розробників для досягнення найкращих результатів

Додаткові навички:
- Вміння працювати з програмами Figma, Adobe Photoshop, Illustrator та іншими
- Розуміння основ дизайну та веб-розробки
- Досвід використання Webflow
- Володіння англійською мовою на рівні В1

Особливі якості:
- Креативність та інноваційність у роботі
- Стресостійкість, готовність до викликів і складних задач
- Організованість та відповідальність
- Здатність працювати як у команді, так і самостійно
- Ефективне спілкування з клієнтами та колегами
- Праця на результат
- Спокійний характер та енергійність в роботі"
16,"4 роки навчання в коледжі та 2 роки в університеті на спеціальностях ""Художня фотографія"" та ""Дизайн"", здобуття навичок малювання, ретуші, графічного малюнку та візуальної побудови сайтів.

Досвід роботи в компанії ""Про Пост"" як ретушер, підвищення кваліфікації у програмі Фотошоп.

Фрілансовий досвід у виготовленні логотипів, банерів та візиток.

Пройдений курс UI/UX дизайну від Beetroot академії, засвоєння принципів композиції, типографіки та кольору, здатність створювати адаптивні веб-сайти для різних пристроїв.

Вміння працювати з Figma, здатність застосовувати дизайнерське мислення для створення привабливих та зручних веб-сайтів."
17,"Freelance Designer
- Mobile app design
- Assisting in maintaining design systems
- Landing page design
- Banner creation

Looking to grow as a specialist, utilizing my full range of knowledge and skills."
18,On 05/21/23 I started my studies at GO IT in the direction of UX/UI Design. So far I have no other achievements in the field of UX/UI Design. I am currently working on creating a landing page and am eager to join a reputable company where I can contribute as a valuable member of the team. My goal is to further develop my skills as a UX/UI Designer and gain valuable experience in the industry.
19,"Після завершення курсу ""Основи веб-дизайну"" я створив сайт з зручним інтерфейсом. Маю досвід роботи з Figma та готовий виконувати завдання в узгоджені терміни. Наразі не маю корпоративного досвіду, але маю велике бажання вдосконалювати свої навички та здобувати знання. Закінчив вищу освіту у Львівській політехніці за спеціальністю Комп'ютерні науки. Після цього успішно пройшов курс ""Основи веб-дизайну"", де створив сайт для опису мотоциклів зі зручним інтерфейсом та плавною анімацією. Маю великий інтерес до роботи та навчання в цій сфері. Бажаю працювати в сучасній компанії та створювати цікаві та якісні продукти, допомагаючи людям з усього світу втілювати сучасні ідеї в життя."
20,"Courses:
UI/UX Design | Cursor Education Online School, Dec 2021 – Jul 2022
Inclusive Design | Projector Online School, Apr 2021
Web Design Beginning | Projector Online School, Feb-Apr 2021
Basics of Web Development | WayUp Online School, 2021
Introduction to User Experience Design | Georgia Institute of Technology, 2020
University: Doctor of Medicine

If you're looking for a diligent and motivated novice designer, you have already found :-)
Hello! My name is Yuliia. I’m a UI/UX designer with a base knowledge of front-end development.
My experience in creating websites is small, but I have a passion for doing this work at the highest level.
It is my aim and strong desire to grow as a professional among a great team of like-minded individuals.

Якщо ви розглядаєте до себе в команду старанного міцного та мотивованого дизайнера-початківця, це я :-)
Привіт! Мене звати Юля. Я UI/UX дизайнер з базовими знаннями з фронтенду.
Мій досвід у створенні інтерфейсів сайтів невеликий, але я захоплена цією роботою і готова навчатись.
Моя мета і сильне бажання будувати свою дизайнерську кар’єру серед чудової команди однодумців.

I am looking for a place where I could be useful with the skills I've already got as well as grow as a UI/UX designer among a great team of like-minded individuals."
21,"Experience: 
- Over 6 months of experience working as a freelancer on various projects
- Proficient in using tools such as Figma and Photoshop for design work
- Skilled in analyzing user flow using Google Sheets and surveys

Objective: 
- Seeking a position in a reputable company to further develop my skills and grow within a team environment
- Interested in expanding my knowledge in graphic design in the future."
22,"Junior UI/UX Designer

IT School GOIT
Course ""UI/UX Designer"" Period: February 2023 - present

Skills acquired:
- Proficient in Figma, Adobe Illustrator, Adobe Photoshop
UI:
- Visual hierarchy
- Composition
- Coloristics
- Typography
- UI Kit

UX:
- Interactive prototype
- Responsive design
- Design thinking

UX research:
- Competitor analysis
- Personas and empathy maps
- User flow
- Prototyping

As a UI/UX designer, I am open to opportunities, motivated, and ready to work. I possess strong empathy and understand user needs, making me a valuable addition to any team.

Projects:
Redesign ""Ola-La""
- Enhanced aesthetics
- User-friendly interface
- Improved information organization
- Professionalism
- Enhanced customer communication

Team Project ""Be like at home""
- Collaborated on developing an innovative website for housing rentals
- Focused on user convenience, attractive design, and reliable functionality
- Honed skills in teamwork, communication, and collaboration
- Developed project management skills, including working with deadlines and taking responsibility

I am eager to work in a friendly team where colleagues respect and support each other."
23,"Junior UI/UX Designer з понад 6 місяцями досвіду роботи на фрілансі та успішним проходженням курсу ""Основи Web дизайну"" в ІТ школі ""Hillel"". Продовжую працювати на фріланс основі, надалі розвиваючи свої навички та бажання стати висококваліфікованим спеціалістом у сфері UI/UX Designer. Готова працювати як помічник web дизайнера та UI/UX дизайнера для набуття додаткового досвіду та участі в цікавих проектах."
24,"Розробка Landing Page для продажу оригінального крісла Wassily Chair, включаючи аналіз конкурентів, створення юзер персон та юзер флоу, розробку вайфрейму, дизайн сторінки та інтерактивний прототип.

Створення мобільного додатку на IOS з тематикою ""Бронювання готелів та житла"", включаючи аналіз конкурентів, створення юзер персон та юзер флоу, розробку вайрфреймів, дизайн та створення інтерактивного прототипу, а також оформлення кейсу на Біханс."
25,"Junior UX/UI designer
Currently pursuing a Master's degree in Software Engineering at GO IT, with a certification in UX/UI design. Skilled in team collaboration and continuously improving my IT knowledge. Looking for a role in a product-based company where I can further develop my interface design skills and work in a friendly environment. Experienced in conducting user experience analytics, creating wireframes and prototypes for web services, mobile applications, browsers, social networks, and web resources. Proficient in tools such as Figma, Adobe Photoshop, Illustrator, VS Code, and Protopie. Completed projects include web services for pet searching, restaurant table booking app, house/apartment rental app, adaptive websites for English lessons and web studios. Familiar with research, HTML/CSS, user interface and experience design, customer journey mapping, creating personas, MVP versions, dashboards, prototyping, design systems, and adaptive design using media. Seeking opportunities for growth and skill enhancement in web design with a friendly and supportive team."
26,"I studied Polish for two years and have a B2 certificate

Два роки вивчала польську мову, маю сертифікат на рівень B2

My name is Lilia. I'm a student studying UX design, and at the same time I work in a clothing store called 24 Colours as a customer service and consulting specialist (I also have a little bit of management experience). I am excited to follow the newest trends in social media. At the college where I am studying, I will get a lot of theoretical and practical knowledge, but I want more experience. Therefore, I am motivated to develop my skills and grow professionally.

Мене звати Ліля. Я студентка, наразі вивчає UX design, а паралельно працюю в магазині одягу ""24 Colours"" - на посаді обслуговування та консультування клієнтів (також трохи знаюсь на менеджменті). З великим задоволенням спостерігаю за новітніми трендами в соцмережах. В коледжі де навчаюсь, отримаю багато теоретичних і практичних знань, але хочу більшого досвіду. Тому, мотивована розвивати свої вміння та рости професійно."
27,"Hard Skills:
- Figma, Adobe Illustrator, Adobe Photoshop, Adobe After Effect (creating light animations).

Soft Skills:
- Attention to detail;
- Teamwork;
- Executive and results-oriented;
- Sense of humor, honesty, stress resistance, punctuality;
- Ability to learn quickly;
- Desire for development and professional growth.

Smartflowlabs
- UX/UI Designer: from creating website prototypes, studying the brand and competitors to the final result of website design creation (under the guidance of a Senior Web Designer).
- Development of applications for Shopify stores (under the guidance of a Senior Web Designer).
- Adaptive website design.
(September 2022 - January 2023)."
28,"- SMM-фахівчиня в ГО ""КМРУ"" (Конгрес молодіжних рад України) (червень 2022 - дотепер).
- Голова дизайнерського відділу Наукового товариства історичного факультету КНУ ім. Т. Шевченка (жовтень 2022 - дотепер)."
29,"Tepli obiymy
10.07.2023 - 25.07.2023
Розробка айдентики для інстаграм магазина в'язаних речей 
Проаналізувала конкуренцію та цільову аудиторію, виявила слабкі та сильні сторони продукції, розробила концепцію, створила логотип та оформила бірки для одягу.
Бажання розуміти процес розробки, а не лише створювати красиві інтерфейси, визначає мою мету.
Головне долучитися до внутрішньої команди дизайнерів, вчитися від професіоналів та брати участь у реальних проектах. Планую допомагати у рутинних завданнях, щоб в команді була змога сконцентруватися на складніших аспектах."
30,"UI/UX Designer | Junfolio (з березня 2023 по тепер)
- Розробка концепції дизайну інтерфейса з урахуванням вимог замовника та потреб користувачів
- Створення макетів та прототипів
- Робота в команді, співпраця з розробниками та іншими членами команди
- Розробка адаптивного дизайну для планшету та мобільного телефону
- Проведення тестування інтерфейсу з допомогою користувачів
- Створення ui-kit та передача макету в розробку

Пет проєкти
1. Веб-сервіс створення сайтів для замовників
Проєкт, спрямований на підтримку початкових фахівців без досвіду, щоб допомогти їм реалізувати свої навички, працюючи в командах з реальними замовниками. Участь у всіх етапах процесу дизайну, включаючи створення концептуальних вайрфреймів, розробку інтерактивних прототипів та остаточного дизайну. Робота включала створення високоякісних макетів, підбір іконок та графічних елементів, вибір кольорової палітри та шрифтів, а також визначення оптимальної структури і навігації. Використання компонентного підходу для полегшення повторного використання. Робота в команді за методологією SCRUM з двотижневими спринтами та регулярними дейлі мітингами.

2. Мобільний додаток з резервування столиків
Додаток для швидкого та зручного бронювання столиків в ресторанах. Аналіз цільової аудиторії, побудова мапи сайту та User flow. Розробка вайрфреймів та прототипів для оптимальної структури та навігації. Створення високоякісних макетів з вибором кольорової палітри, шрифтів, графічних елементів та іконок."
31,"На протязі 3-ох місяців пройшов курс для веб-дизайнера WayUp, де вивчив основні принципи роботи з Figma. Наразі вивчаю Adobe Illustrator.

Адміністратор - 1 місяць роботи зі стажуванням в українській компанії.

Графічний дизайнер - 1,5 місяців роботи в польській компанії Mindy Teams.

Менеджер з продажу - 1 тиждень, звільнився через непідходящий графік роботи."
32,"Отримала сертифікат про завершення курсу UI/UX (Logos IT Academy) та взяла участь у безкоштовному марафоні від GoIT ""Основи HTML, CSS"". Маю понад 5 років досвіду роботи у сфері освіти, де викладала українську та англійську мову. Під час декретної відпустки продовжувала викладати онлайн та успішно завершила курс по UI/UX. Під час навчання розробляла додаток для доставки їжі, проводила дослідження, створювала User Persona & Story, CJM, Task Flow, IA, а також робила дашборди та постери. Готова негайно розпочати роботу як асистент дизайнера або стажер, щоб набратись додаткового досвіду."
33,"Дизайнер у соціальній компанії Steiger International, спеціалізувався на веб-дизайні як Jr. UX/UI. Займався розробкою 4 проєктів, включаючи продукт у сфері доставки та веб-сайт магазину з доставки продуктів. Отримав досвід під час навчання на курсах Projector."
34,"Досвідчена вебдизайнерка з великим бекграундом у редагуванні та контент-дизайні. Маю 7 місяців досвіду роботи в компанії GOIT, де успішно виконувала завдання з графічного дизайну у програмах Figma, Photoshop та Illustrator. Вмію створювати прототипи, UI, рекламні банери, таблиці та інші візуальні матеріали для онлайн-курсів. Маю також досвід роботи на телебаченні та у видавництві. Володію Intermediate рівнем англійської мови та маю базові знання у розробці. Шукаю стабільну роботу в надійній компанії з дружньою командою професіоналів, готова до нових викликів та досягнень."
35,"Створення гарного, стриманого та якісного дизайну сайту, робота з кольорами та текстом, швидке вивчення та здатність знаходити потрібну інформацію. Виконання проєктів в рамках курсу Web Design Beginning від Projector. Наразі працюю над створенням сайту для пошуку роботи в Україні в рамках курсу UI/UX Design Beginning, планується ще один реальний проєкт. Бажання розвиватися в сфері UI/UX Design, вивчення англійської мови, створення гарних та функціональних інтерфейсів. Пошук гарної компанії для старту та професійного зростання."
36,"Гайдаш Анастасія
Junior UI/UX Designer

Навички:
- Figma
- Adobe Photoshop

Досвід:
- Робота над оформленням інтернет магазинів
- Розробка Landing page
- Редизайн сайтів

Інше:
- Створення кейсів на Behance
- Рівень англійської: B1 (навчаюсь на підвищення рівня)
- Комунікабельність та завзятість до роботи"
37,"Марія
Сертифікований UX/UI дизайнер з роком досвіду. Навчалася протягом півроку, маю досвід у графічному дизайні з фотошопом і ілюстратором. Вмію дотримуватися базових принципів веб-дизайну, працювати з колористикою та типографікою. Володію Figma, виконую прості завдання в Adobe Photoshop і Adobe Illustrator. Розробляю макети для лендингів, багатосторінкових сайтів та інтернет-магазинів, створюю інтерфейси, що оптимізовані для будь-якого екрану (десктоп, планшет, мобільний)."
38,"Junior UI/UX Designer з досвідом роботи у сфері дизайну. Маю досвід у розробці лендінгів, інтернет-магазинів та корпоративних сайтів. Вмію працювати з Figma, After Effects, Photoshop та Illustrator. Мої навички включають User Experience, User Interface, конкурентний аналіз, складання мудбордів, роботу з сітками та композицією, адаптивний дизайн, роботу з типографією та кольором. Маю досвід у проведенні науково-практичних конференцій, круглих столів, модерації груп та розробці дизайну презентацій, рекламних листівок та буклетів. Швидко навчаюся новому та бажаю розвиватися як дизайнер, зростати від Junior до Middle level."
39,"Курси

- Креативні Практики
- Робота з Figma
- Основи вебдизайну
- Основи дизайну

Навчання у вінницькій IT-академії: напрямок - Веб-дизайнер

Навички:

- Робота в Photoshop (обробка фотографій, створення колажів)
- Досвід роботи в Lightroom

Проекти:

- Сторінка викладача математики “Дробик”
- Сторінка пам’яті Тюренкову Олексію Валерійовичу
- Сторінка розробників для проектів
- Сторінка спортзалу Gym
- Сторінка компанії ""Надійний захист будівлі""
- Банери для ІТ-академії для рекламування внутрішніх проектів
- Робота над ""EduHub"" - сайт бронювання коворкінгів

Будь ласка, перевірте, чи відображає цей текст ваші фактичні обов'язки, досвід та навички."
40,"Валерій

Мета: Стати одним з кращих у галузі UI/UX design, після успішної кар'єри у фотографії.

Освіта:
- Онлайн курси від Creative Practice: ""UX/UI. Проєктування та дизайн інтерфейсів"", ""Робота в Figma"", ""Основи веб-дизайну"".

Досвід:
- Практикум з теми ""Основи фронтенду. HTML та CSS"".
- Досвід у торгівлі та керуванні персоналом, що допомагає зрозуміти психологію продажів.

Навички:
- Естетичний смак, розвинений у фотографії.
- Бажання навчатися та працювати у галузі UI/UX design.

Місце проживання: Київ.

Готовий до нових викликів та можливостей для розвитку у галузі UI/UX design."
41,"Junior UI/UX дизайнер з курсом з дизайну в Alpaca School. Володію всіма необхідними навичками для роботи, хоча не маю досвіду з комерційними проєктами. Відповідальна та швидко вчуся."
