Unnamed: 0,Modifiedgpt4o-on3.5
1747,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Entrepreneur with 8 years of experience in launching and managing successful business ventures. Proven track record in establishing and selling a chain of coffee shops and developing an export-oriented production using 3D printing technologies. Skilled in project planning, budget management, and team leadership.

---

**Professional Experience**  

**Self-Employed Entrepreneur**  
[Year Started] – Present  
- Founded and managed a chain of coffee shops, overseeing all aspects from inception to sale.
- Established an export-oriented production business utilizing 3D printing technologies.
- Developed and implemented strategic plans to drive business growth and profitability.

---

**Hard Skills**  
- Prioritization and Goal Setting  
- Project Planning and Organization  
- Budget Management  
- Task Delegation and Performance Monitoring  
- Knowledge of SCRUM Methodologies; Understanding of Agile, Scrum, Kanban, Waterfall  
- Game Design: Theoretical Foundations, Basic Understanding of UE4 and Unity  
- Blender: Junior Level in Modeling, UV Mapping, Animation  
- Linux Node Operating  

---

**Soft Skills**  
- Critical Thinking and Decision-Making  
- Time Management and Team Management  
- Effective Communication and Coaching  
- Risk Management  
- Customer and User Needs Identification; Consensus Building for Project Implementation  
- English Proficiency: Intermediate (B1)  

---

**Education**  
[List your education here, if applicable]

---

**Certifications**  
[List any relevant certifications here, if applicable]

---

**References**  
Available upon request."
1784,"Professional Summary

Dynamic and versatile professional with extensive experience across multiple creative and strategic domains. Proven track record as a 3D artist and graphic designer, creating visually compelling and realistic models, animations, and visual assets. Skilled in videography and video production, with a strong ability to capture and edit high-quality videos that tell impactful visual stories.

Expertise

- 3D Art & Animation: Developed visually stunning 3D models and animations, showcasing creativity and technical proficiency.
- Graphic Design: Created compelling visual assets for diverse projects, utilizing strong design skills.
- Videography & Video Production: Captured and edited high-quality videos, demonstrating a keen eye for detail and storytelling.
- Digital Marketing: Strategized and executed effective marketing campaigns, leveraging digital tools to enhance brand awareness and generate leads.
- Event Organization: Successfully organized notable events, including a music art festival in Azerbaijan and the DokuBaku International Documentary Film Festival, promoting cultural and artistic expressions.
- Start-up Experience: Gained valuable insights and skills by working with start-ups, adapting to fast-paced environments and honing an entrepreneurial mindset.

Professional Experience

3D Artist & Graphic Designer
- Crafted visually stunning and realistic 3D models and animations.
- Designed compelling visual assets for various projects.

Videographer & Video Producer
- Captured and edited high-quality videos, creating impactful visual narratives.

Digital Marketing Specialist
- Strategized and executed marketing campaigns to drive engagement and brand awareness.

Event Organizer
- Organized and promoted cultural and artistic events, including international festivals.

Start-up Engagement
- Worked with start-ups, developing a versatile skill set and understanding of entrepreneurial challenges.

Education

[Your Education Details Here]

Skills

- 3D Modeling & Animation
- Graphic Design
- Video Production & Editing
- Digital Marketing
- Event Planning & Management
- Start-up Strategy & Development

Seeking new opportunities to expand knowledge, skills, and contributions within these areas."
2476,"Client Success Manager

Professional Summary:
Dynamic and results-driven Client Success Manager with extensive experience in managing large US-based enterprise accounts. Proven track record in fostering client relationships, driving account growth, and collaborating with cross-functional teams to implement effective strategies. Passionate about leveraging IT expertise to support eCommerce businesses and enhance client satisfaction.

Experience:

Client Success Manager

- Managed and oversaw the growth and health of 3-4 enterprise-level accounts simultaneously, ensuring client satisfaction and retention.
- Collaborated with engineering teams of 30-50 individuals to implement strategies and processes that facilitated account and team growth.
- Mentored and inspired team members, fostering talent development and creating learning opportunities.
- Cultivated strong client relationships by analyzing business pain-points and assisting with strategic goal setting.
- Initiated opportunities, drafted proposals and Statements of Work (SOWs), and extended partnerships with existing clients.
- Conducted executive reporting and business reviews, providing insights and recommendations for continuous improvement.
- Analyzed project scopes, managed risks and issues, and coached teams to ensure successful project delivery.
- Applied practical knowledge of software development methodologies and life cycles to enhance project outcomes.

Technical Skills:
- Strong IT background with experience in platforms such as Salesforce, IBM Websphere, and Magento.
- Proficient in analyzing business needs and implementing solutions to elevate eCommerce businesses.

Core Competencies:
- Client Relationship Management
- Strategic Planning and Execution
- Team Leadership and Development
- Risk and Issue Management
- Executive Reporting and Business Reviews
- Software Development Methodologies

Education:
[Your Education Details Here]

Certifications:
[Your Certifications Here]

Contact Information:
[Your Contact Information Here]"
2515,"Key Responsibilities:

- Cultivated and maintained strong, long-term relationships with customers
- Resolved customer issues through effective troubleshooting
- Coordinated client projects, ensuring seamless integration with our online platform and services
- Facilitated communication between clients and the development team
- Engaged in sales and customer retention initiatives
- Managed sales documentation, including agreements, contracts, and invoices
- Proficient in using tools such as Zoho, Jira, Confluence, SAP, and 1C

Objective:

Currently seeking opportunities to advance in project management."
2517,"Project Manager

Professional Summary:
Dynamic and results-driven project manager with extensive experience in managing up to 15 projects simultaneously. Skilled in identifying client needs to effectively cross-sell and upsell solutions. Proven ability to build long-term client relationships and ensure successful project delivery.

Experience:

Project Management:
- Successfully managed up to 15 projects at a time, ensuring timely delivery and adherence to project terms.
- Monitored work processes and controlled project timelines, providing regular updates to stakeholders on progress and potential risks.

Client Relationship Management:
- Built and maintained long-term relationships with clients, enhancing client satisfaction and loyalty.
- Engaged with inbound requests and proactively contacted new leads through outbound efforts.

Sales and Business Development:
- Presented tailored proposals to clients, completing the sales cycle efficiently.
- Prepared agreements and facilitated smooth transitions from proposal to contract execution.

Skills:
- Project Management
- Client Relationship Building
- Sales and Business Development
- Effective Communication
- Risk Management
- Time Management"
2529,"Passionate and analytical professional seeking opportunities for growth and personal development. Recent work experience emphasizes communication, teamwork, and project management, with a focus on career advancement in these areas. Committed to building mutually respectful and honest relationships to achieve optimal results. Eager to explore potential collaboration opportunities. Thank you for your consideration."
2538,"eBay Expansion Project Lead
- Successfully closed the eBay expansion project, driving growth and market presence.

Supply Chain Optimization Specialist
- Implemented supply chain changes resulting in significant cost savings for the company.
- Negotiated with Asian suppliers to improve product quality, leading to noticeable enhancements.
- Managed re-import to the US to avoid unnecessary taxes.

Collaborative Project Manager
- Collaborated with Amazon and Asian partners for over 2 years on various projects including market expansion, legal document preparation, EU organization registration, product quality improvement, supply chain enhancement, and strategic planning.
- Demonstrated ability to adapt to diverse projects and learn new information to successfully close them.

Skills
- Market research, supplier negotiation, cost-saving plan development, and supply chain execution.
- Critical thinking skills and ability to remain calm in high-pressure situations.

Objective
- Seeking challenging opportunities to continue driving results and growth in a dynamic work environment."
2551,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
With a comprehensive understanding of the Software Development Life Cycle (SDLC) and extensive knowledge in Data Privacy, Intellectual Property, Commercial, and Contract law, I bring a robust practical background to the table. I possess solid managerial and recruitment experience, along with strong organizational skills, attention to detail, and the ability to multitask. I am adept at applying various managerial methodologies to suit specific circumstances. My experience includes building effective team relationships and collaborating with international companies and customers. I have over three years of in-house legal practice in an IT Product Company and am currently transitioning to an Account Manager role.

---

**Experience**

**Project Manager Assistant**  
Vayosoft Team  
- Managed contracts, Requests for Proposal (RFP), and Requests for Information (RFI).
- Collaborated with procurement teams, participated in supplier negotiations, and evaluated contractors in line with company procedures.
- Organized team meetings, follow-ups, and action lists; prepared reports and presentations for upper management.
- Contributed to the creation of new projects from inception through Minimum Viable Product (MVP) to the enhancement of existing applications.

**Legal Counsel**  
Benish Group  
- Managed corporate policy relationships, analyzed and minimized legal risks, and provided recommendations for policy application.
- Collaborated with internal and external teams to oversee activities aimed at reducing legal risks.
- Communicated with customers, business partners, and service providers across various jurisdictions.
- Prepared service provision rules, privacy policies, and terms of use for applications in compliance with GDPR regulations.
- Participated in product development and optimization of business processes across the company group.
- Implemented legal compliance across various business operations.
- Organized and maintained contractual activities, including legal expertise and contract drafting in accordance with local legislation and company standards.

---

**Education**  
[Your Degree]  
[Your University/College Name]  
[Year of Graduation]  

---

**Skills**  
- SDLC Understanding  
- Data Privacy and Intellectual Property Law  
- Commercial and Contract Law  
- Managerial and Recruitment Experience  
- Organizational Skills and Multitasking  
- International Collaboration  
- Legal Compliance and Risk Management  

---

**References**  
Available upon request."
2553,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Objective**  
Aspiring to secure a Project Manager role in an outsourcing company to enhance my expertise in the B2B sector, particularly with international clients.

---

**Experience**  

**Business Development Manager**  
- Managed project development for outstaff projects, ensuring timely and successful delivery.
- Conducted people management activities, including one-on-one meetings, performance evaluations, and sprint process oversight.
- Led and motivated team members to foster a collaborative and positive work environment.
- Recruited and onboarded new employees for both technical and non-technical roles.
- Oversaw account management for ongoing projects, handling negotiations and resolving conflicts with clients.
- Delivered company presentations and prepared estimation documents to support business development efforts.
- Facilitated communication with partner companies and provided comprehensive customer support from initial contact through to project completion.
- Identified and secured outstaff projects, preparing necessary documentation to finalize deals.

---

**Skills**  
- Project Management  
- People Management  
- Leadership and Team Motivation  
- Recruitment and Onboarding  
- Account Management  
- Negotiation and Conflict Resolution  
- Customer Support  
- Documentation and Presentation Preparation  

---

**Education**  
[Your Degree]  
[Your University/College]  
[Year of Graduation]  

---

**Certifications**  
[List any relevant certifications]  

---

**Languages**  
[List any languages you speak]  

---

**References**  
Available upon request."
2554,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile URL]  

---

**Objective**  
Dynamic professional with 4 years of B2B international communication and sales experience, seeking an account or junior project management position in the development/design field. Eager to join a team of creative and determined individuals to tackle exciting and challenging tasks.

---

**Education**  
Master's Degree in Foreign Economics  
[University Name], [Location]  
[Year of Graduation]

Completed Courses:  
- Business Analytics  
- Web & Mobile UI/UX Design  

---

**Professional Experience**  

**B2B International Communication and Sales**  
- Successfully managed B2B international communication and sales for 4 years, focusing on account management and sales strategies.  
- Developed and maintained strong relationships with international clients, enhancing cross-cultural communication.  
- Demonstrated excellent oral and written presentational skills in various professional settings.  

**Team Building and Public Speaking**  
- Exhibited strong team-building qualities and public speaking skills, contributing to a collaborative work environment.  
- Led team initiatives to improve communication and problem-solving capabilities.  

---

**Skills**  
- Strong communication, management, and problem-solving skills  
- Basic skills in web & mobile UI/UX design and prototyping  
- Understanding of Agile methodologies in SDLC  
- Proficient in CRM, Google Docs, Figma, Axure RP, Coggle, Adobe Photoshop, Canva, Trello, Slack  

---

**Interests**  
- Business solutions and web & mobile UI/UX decisions  
- Prototyping and cross-cultural communication  

---

**Additional Information**  
- Open to various location and space preferences, adaptable to different work environments.  "
