,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5
6018,"# Web & UX/UI Designer

## Professional Experience

**Web Designer | Children's Music School Website Redesign**

- Analyzed existing website to identify strengths and weaknesses
- Created detailed wireframe for new landing page incorporating news block and prominent call to action
- Designed visual elements with careful attention to color scheme and typography, maintaining consistency with school's brand identity
- Developed user-friendly navigation structure ensuring accessibility of important information
- Implemented responsive design principles to optimize display across all devices

**UX/UI Designer | Pet-Saver-Hub**

- Designed user interface for web service dedicated to rescuing lost and found animals
- Conducted user research to identify key pain points in searching for lost or found pets
- Developed detailed user flow and wireframe ensuring intuitive navigation
- Incorporated interactive elements, including map feature, to facilitate location-based pet searches
- Created user-friendly interface enabling seamless search functionality

## Core Competencies

- Wireframing & Prototyping
- Visual Design
- User Research & Analysis
- Responsive Design
- User Experience Design
- User Interface Design
- Brand Identity Integration
- Interactive Design Elements

## Professional Objectives

Seeking opportunities to advance UI/UX design skills while contributing to meaningful projects that impact people's lives. Eager to collaborate with experienced professionals in challenging environments that foster creative development and exposure to latest design technologies and trends. Committed to user-centered design through active engagement with users and feedback collection to continuously improve user experience. Dedicated to delivering high-quality work through strong communication, teamwork, creativity, and meticulous attention to detail."
6021,"PORTFOLIO HIGHLIGHTS
Over 50 Websites
More than 30 Logotypes
4 Mobile Apps
3 Games
1 Social Network

PROFESSIONAL EXPERIENCE

Facility, Kiev — Head of Design Department
March 2018 - Present

Lead design team operations and optimize design workflows across multiple project types. Develop concepts for websites, brands, and digital products. Create UI/UX, animations, logo books, brand guidelines, and brandbooks. Lead tender presentations and company offline initiatives.

• Published on medium.com, mmr.ua, cases.media, vc.ru
• Judged for CSSDA and Ukraine Creative Week
• Delivered educational lectures at Underhub co-working space


Kiev Smart City, Kiev

Developed concept and final product visualization for Kiev Smart Card. Created multiple dynamic city advertising concepts.


Mastercard, Kiev

Designed illustrations and limited edition products for 2018 UEFA Champions League Final in Kiev. Developed brand activation program concept for Ukraine Independence Day 2018.


Stampede Games, Kiev

Developed mobile game visual concepts and UI design. Created concept art for game sequels. Contributed to featured games that reached top-chart positions:
• Evo Explores
• .projekt."
6026,"# PROFESSIONAL SUMMARY

Design professional with 12+ years of experience delivering innovative solutions across diverse industries. Portfolio includes 300+ projects: 30+ products from scratch, 30+ mobile applications, 80+ websites, and 100+ logos and corporate styles. Proven leadership experience creating and managing a 20-person design studio. Educator with 150+ students taught in UI/UX and brand design. Conference speaker at Dribbble and other industry events. Master's degree in Engineering Design, currently pursuing MBA.

# PROFESSIONAL EXPERIENCE

**NDA** — 2022

**UX Designer** — Bank BVR, 2021

**UI/UX Design Teacher** — Hillel IT School, 2020

**Lead Product Designer** — Innovation Box, 2020

**UI/UX & Brand Designer** — Ardas, 2019

**UI/UX & Brand Designer** — M2E pro, 2017

**UI/UX & Brand Designer** — Forforce, 2016

**UI/UX & Brand Designer** — Art. Lebedev Studio, 2015

**CEO & Designer** — Own Design Studio, 2014
- Created and managed studio of 20 employees
- Established processes for sales, management, hiring, and project creation

**UI/UX & Brand Designer** — Poster, 2013

**UI/UX & Brand Designer** — le Weekend, 2012

**UI/UX & Brand Designer** — November Design Bureau, 2011

**Graphic Designer** — Freelance, 2006

# EDUCATION

**MBA** — In Progress

**Master's Degree, Engineering Design**

**Technical Training**
- Frontend: HTML5, CSS3, TypeScript, Vue.js
- Backend: Python, Swift

# INDUSTRY EXPERIENCE

eCommerce | Finance | Banking | Investments | Marketing | Social Media | Law | Education | Development | NFT | Art | Automotive | Gaming | Construction | Agriculture | Food & Beverage | Coffee | Fashion | Beauty | Service | Music | Dance | MMA | Medicine | Space | Adult Entertainment | Sports | Technology | Weapons | Insurance

# INTERNATIONAL CLIENT BASE

USA | United Kingdom | Germany | Netherlands | Italy | France | Greece | Estonia | Australia | China | Ukraine"
9479,"**GRAPHIC DESIGNER & UI/UX DESIGNER**

**PROFESSIONAL SUMMARY**

Graphic Designer and UI/UX Designer with extensive experience in brand identity, key visual development, social media marketing, and print production. Proven expertise in logo design, UI/UX, and 3D design integration. Demonstrated leadership managing teams of junior designers while delivering comprehensive design solutions across digital and print platforms.

**CORE COMPETENCIES**

• Brand Identity & Logo Design
• UI/UX Design
• Key Visual Development
• Social Media Marketing Design
• Print & Prepress Production
• 3D Design Integration
• Custom Illustration
• Team Leadership & Management

**TECHNICAL SKILLS**

Expert: Adobe Photoshop, Adobe Illustrator
Proficient: Adobe InDesign, Figma
Working Knowledge: Blender, After Effects

**PROFESSIONAL EXPERIENCE**

**Graphic Designer & UI/UX Designer**
QA Madness | November 2022 - Present

- Contributed to company-wide global redesign initiative across all brand touchpoints
- Redesigned corporate website to align with new brand vision and visual identity system
- Introduced and implemented new visual style for corporate presentations
- Redesigned social media materials for LinkedIn and Instagram platforms
- Designed company profile page for DOU
- Integrated custom 3D design elements into marketing and brand materials

**Graphic Designer**
Kronas | August 2020 - February 2022

- Designed logos, brand identities, and comprehensive print materials for new company brands
- Developed 3-6 advertising key visuals monthly for web, social media, and print campaigns
- Introduced and implemented new visual style for Instagram profile
- Created multi-page product catalogs and brochures in InDesign
- Updated YouTube channel branding and designed custom video covers
- Designed custom sticker packs for Telegram and Viber messaging platforms
- Developed trade hall design including branded exhibition stands and navigation systems

**Graphic Designer**
Design Studio ToTop | October 2019 - August 2020

- Developed comprehensive design solutions for clients across multiple industries
- Created logos and brand identity systems
- Designed outdoor advertising including billboards, citylights, and vehicle branding
- Produced realistic product visualizations in Photoshop
- Designed extensive print materials including calendars, business cards, postcards, and stickers
- Created multi-page catalogs and brochures
- Conceptualized, designed, approved, and delivered 16-page brochure within one working day

**Lead Graphic Designer**

- Led and managed team of two junior designers
- Served as Prepress Operator/DTP Designer

**EDUCATION**

UI/UX Design Course
Beetroot Academy"
16980,"# PROFESSIONAL EXPERIENCE

**Content Researcher**  
Depositphotos

• Researched and created content collections and PowerPoint presentations for client advertisements, email distribution, and direct publication on the official Depositphotos website

• Collaborated with content managers to analyze development and metrics

• Organized advertisements for influencers and major clients including Coca Cola, H&M, Colgate, Vogue Ukraine, and Marie Claire Maison Italy

• Utilized Jira and CRM systems to manage workflow and client relationships

• Managed localized content to ensure alignment with brand tone of voice and product style

**Contributor Relations Manager**  
Depositphotos

• Identified and recruited prominent photographers in EMEA and North America

• Collaborated with contributors to develop their portfolios on cloud services

• Led training seminars for new employees

**Teacher of English Language**

• Mentored special needs students with physical and psychological challenges

• Developed personalized teaching techniques and lessons tailored to individual student needs

• Adapted the educational process to fit each child's unique capabilities and learning requirements

• Built strong personal connections with students, facilitating knowledge acquisition and significant curriculum advancement

**Door-to-Door Sales Agent**  
Liberty Power

• Traveled to various neighborhoods to promote products and services to the general public

• Presented product features and competitive advantages to potential customers

• Persuaded clients to purchase products and executed agreements between clients and Liberty Power"
17014,"I am an English philology student with four years of academic experience in text editing, writing, and translation. My strong interest in social media drives me to actively explore and analyze multiple platforms for insights and inspiration.

I am highly motivated and eager to apply my skills while building a career in the IT sphere. I bring dedication, adaptability, and a commitment to continuous learning to every opportunity."
18230,"# Creative/Art Director | Graphic & UI/UX Designer

**Award-Winning Creative Professional | 10+ Years Transforming Brands Through Strategic Design**

## Professional Summary

Results-driven Creative/Art Director and Graphic & UI/UX Designer with over 10 years of proven expertise delivering comprehensive branding, marketing, advertising, graphic design, web design, and mobile app design solutions for clients worldwide. Based in Ukraine, specializing in creating innovative design strategies that drive measurable business growth across diverse industries and international markets.

## Core Competencies

- Branding & Identity Development
- Marketing & Advertising Campaigns
- Graphic Design & Visual Communication
- Web Design & Digital Experiences
- Mobile App Design & Development
- UI/UX Design & User Research

## Professional Achievements

- Successfully launched and developed 20+ brand identities across Ukraine, establishing market presence and competitive positioning
- Built and maintained strategic partnerships with international clients spanning USA, Canada, Australia, New Zealand, Austria, and Finland
- Conceptualized and executed unique, innovative design solutions that consistently drive business growth and enhance client ROI

## Professional Values & Work Ethic

- Mutual Respect & Collaboration
- Honesty & Transparency
- Professional Integrity
- Punctuality & Deadline Adherence"
18348,"# PROFESSIONAL SUMMARY

Professional website, mobile and graphic designer with more than 6 years of commercial experience across multiple agencies. Personally contributed to the creation of more than 100 website designs, brand and advertising projects. Extensive expertise in UX prototyping, UI design and motion design for desktop and mobile applications.

# SKILLS

**Design Disciplines**
• Graphic design (Printed Products, Banners, Illustrations, Icons)
• Web design (Responsive, Adaptive)
• Mobile design (iOS, Android)
• Wireframes
• Interactive prototypes
• Atomic design principles
• User personas and user flows
• HTML and CSS fundamentals

**Tools & Software**
• Figma (team libraries, auto layout, components properties, branches)
• Adobe Photoshop (excellent proficiency)
• Adobe Illustrator (excellent proficiency)
• Adobe After Effects (confident proficiency)

# PROFESSIONAL OBJECTIVE

Seeking to join a strong team where I can realize my potential in interesting projects and make a significant contribution of artistic taste to contemporary design."
26715,"# Professional Summary

Accomplished technology leader with 20 years of experience in web design, UI/UX, 3D graphics, animation, and product development. Proven track record in building and scaling technical teams, art direction, and full-cycle game development.

# Professional Experience

## Co-Founder & Chief Technology Officer | Outsource Studio

- Founded and scaled outsource studio from inception to 25+ office-based developers and 20+ freelance contributors
- Drove technical strategy and team growth as Chief Technology Officer and Technical Lead
- Directed art and design teams, overseeing creative output and quality standards

## Co-Owner | Mobile Game Studio

- Co-founded mobile game development studio with full ownership stake
- Led complete game development lifecycle: concept development, UI/UX design, visual design, animation, Unity VFX implementation, stakeholder communication, and sound editing

# Core Competencies

**Technical Skills:** Web Design | UI/UX Design | 3D Graphics | Animation | Unity VFX | Sound Editing

**Leadership:** Chief Technology Officer | Technical Leadership | Team Scaling (25+ developers, 20+ freelancers) | Art Direction | Design Team Management

**Product Development:** Full-Cycle Game Development | Concept Development | Mobile Game Development

# Career Objectives

Seeking leadership roles offering opportunities for professional growth and advancement."
26747,"**PROFESSIONAL SUMMARY**

Product Designer with 6+ years of commercial experience across startups, fintech, organizational management, crypto, insurance, and healthcare. Specialized in web, mobile, dashboard, and web applications. Proven ability to generate hypotheses, conduct research, create wireframes and prototypes, perform usability testing, build design systems from scratch, and lead design teams. Strategic focus on aligning design solutions with business objectives while delivering best practice recommendations.

**ACHIEVEMENTS**

• Recipient of 8 Design Awards on Behance
• Honorable Mention, San Francisco Design Week
• Ukrainian Design The Very Best Of recognition
• Led design for Australia-based digital home loan product from concept to MVP over 1 year
• Built comprehensive design system from scratch as part of 3-person team

**CORE COMPETENCIES**

User Research & Testing • Wireframing & Prototyping • Design System Development • Stakeholder Communication • Team Leadership & Mentorship • Process Flow Design • Low & High Fidelity Design • UI Research & Design • Cross-functional Collaboration

**DESIGN PROCESS**

• Collaborate with stakeholders and product managers to define requirements and objectives
• Conduct user and market research to inform design decisions
• Create functionality maps and process flows to optimize user journeys
• Develop low and high fidelity wireframes for rapid iteration
• Execute UI research and design aligned with user needs and business goals
• Lead team of 8 designers across multiple projects

**LEADERSHIP & MENTORSHIP**

• Mentor junior designers on design principles, tools, and methodologies
• Conduct regular 1-on-1 meetings to identify challenges and development opportunities
• Provide constructive feedback and strategic support to team members
• Foster collaborative team environments while enabling independent work"
