,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5
6018,"**WEB AND UX/UI DESIGNER**

**CORE COMPETENCIES**

Wireframing & Prototyping | Visual Design & Brand Consistency | User Research & Pain Point Analysis | UX/UI Design & User Flow Development | Responsive Design | Interactive Design Elements | Information Architecture | User Experience Optimization

**PROFESSIONAL EXPERIENCE**

**Pet-Saver-Hub – Web Service for Lost and Found Animals**
- Conducted user research to identify key pain points in pet search process
- Created detailed user flow and wireframe for intuitive website navigation
- Designed user-friendly interface for searching lost or found pets
- Incorporated interactive map feature to facilitate location-based pet discovery

**Children's Music School Website Redesign**
- Analyzed existing website to identify strengths and weaknesses
- Created detailed wireframe for new landing page including news block and prominent call to action
- Developed visual design with attention to color scheme and typography consistent with brand identity
- Implemented responsive design principles to ensure optimal display across all devices
- Prioritized user experience and information accessibility in navigation design

**PROFESSIONAL ATTRIBUTES**

- Strong attention to detail in design execution
- User-focused approach with emphasis on feedback collection
- Effective communication and collaboration skills
- Dedicated to staying current with design technologies and trends
- Creative problem-solving abilities"
6021,"# DESIGN PROFESSIONAL

## PORTFOLIO

Over 50 Websites
More than 30 Logotypes
4 Mobile Apps
3 Games
1 Social Network

## EXPERIENCE

**Head of Design Department**
Facility, Kiev | Mar 2018 – Present

Lead and optimize design team operations across diverse project types. Drive creative direction for websites, brands, and digital products, delivering UI/UX design, motion graphics, logo systems, brand guidelines, and comprehensive brandbooks. Spearhead high-profile tender presentations and company initiatives.

- Published on medium.com, mmr.ua, cases.media, vc.ru
- Serve as judge for CSSDA and Ukraine Creative Week; advancing toward awwwards jury membership
- Deliver educational lectures at Underhub co-working space

**Kiev Smart City**, Kiev

Conceptualized and delivered final product visualization for Kiev Smart Card. Developed creative concepts for dynamic citywide advertising campaigns.

**Mastercard**, Kiev

Designed illustrations and limited edition products for the 2018 UEFA Champions League Final in Kiev. Created brand activation concepts for Ukraine Independence Day 2018.

**Stampede Games**, Kiev

Designed visual concepts and UI systems for mobile games. Developed concept art for game sequels.

Top-charting titles:
- Evo Explores
- .projekt."
6026,"# PROFESSIONAL SUMMARY

Design Professional with 12+ years of experience creating user-centered solutions across diverse industries and international markets. Proven track record of delivering 300+ projects including 30+ products, 30+ mobile applications, 80+ websites, and 100+ brand identities. Expertise in translating complex requirements into intuitive, high-impact designs that drive business results. Master's degree in Engineering Design with MBA studies in progress.

# CORE COMPETENCIES

**Design:** UI/UX Design • Product Design • Brand Design • Mobile Applications • Web Design • Corporate Identity • Logo Design

**Technical:** HTML5 • CSS3 • TypeScript • Vue.js • Python • Swift

**Leadership:** Design Management • Team Leadership • Design Education

# PROFESSIONAL EXPERIENCE

**UX Designer** | Bank BVR | 2021

**Lead Product Designer** | Innovation Box | 2020

**UI/UX Design Teacher** | Hillel IT School | 2020

**UI/UX & Brand Designer** | Ardas | 2019

**UI/UX & Brand Designer** | M2E pro | 2017

**UI/UX & Brand Designer** | Forforce | 2016

**UI/UX & Brand Designer** | Art. Lebedev Studio | 2015

**CEO & Designer** | Own Design Studio | 2014

**UI/UX & Brand Designer** | Poster | 2013

**UI/UX & Brand Designer** | le Weekend | 2012

**UI/UX & Brand Designer** | November Design Bureau | 2011

**Graphic Designer** | Freelance | 2006

# EDUCATION

**Master's Degree** | Engineering Design

**MBA** | In Progress

# INDUSTRY EXPERTISE

Finance & Banking • eCommerce • Healthcare • Automotive • Gaming • Education • Food & Beverage • Fashion & Beauty • Construction • Agriculture • Marketing • Social Media • NFT & Art • Insurance • Sports • Music & Entertainment

# INTERNATIONAL EXPERIENCE

USA • United Kingdom • Germany • Netherlands • Italy • France • Greece • Estonia • Australia • China • Ukraine"
9479,"# GRAPHIC DESIGNER & UI/UX DESIGNER

## PROFESSIONAL SUMMARY

Results-driven Graphic Designer with expertise in visual identity design, digital and print materials, and user experience design. Skilled at leading global redesign initiatives and translating brand vision into cohesive visual systems across web, social media, and print channels. Proficient in Adobe Creative Suite, Figma, and 3D design tools with a track record of delivering high-quality work under tight deadlines.

## CORE COMPETENCIES

**Design Expertise:** Brand Identity & Logo Design | UI/UX Design | Key Visual Development | Social Media Design | Print Collateral | Digital Advertising | 3D Design & Product Visualization | Catalog & Brochure Design | Outdoor Advertising | Navigation Systems

**Software:** Adobe Photoshop | Adobe Illustrator | Adobe InDesign | After Effects | Figma | Blender

## PROFESSIONAL EXPERIENCE

**Graphic Designer & UI/UX Designer | QA Madness**
*November 2022 – Present*

- Played a key role in company-wide global redesign initiative, directly influencing the final visual direction
- Led complete website redesign to align with new brand vision and style guidelines
- Established and implemented refreshed visual style for company presentations
- Overhauled social media presence across LinkedIn and Instagram with redesigned materials
- Developed branding materials for DOU platform presence
- Elevated design projects through integration of custom 3D elements

**Graphic Designer | Kronas**
*August 2020 – February 2022*

- Created logos, brand identities, and supporting print materials for multiple new company brands
- Delivered 3–6 advertising key visuals monthly for website, social media, and print applications
- Spearheaded Instagram profile visual identity redesign
- Produced multi-page product catalogs and brochures using InDesign
- Designed and maintained YouTube channel branding and video cover artwork
- Developed custom sticker packs for Telegram and Viber platforms
- Created branding elements and navigation systems for new trade hall environment

**Graphic Designer | Design Studio ToTop**
*October 2019 – August 2020*

- Delivered visual solutions for diverse client base across multiple industries
- Designed logos and comprehensive brand identity systems
- Created outdoor advertising materials including billboards, citylights, and vehicle branding
- Produced photorealistic product visualizations in Photoshop
- Designed print materials including calendars, business cards, postcards, and stickers
- Developed multi-page catalogs and brochures
- Executed complete 16-page brochure project from design through client approval to print production within one business day

## ADDITIONAL EXPERIENCE

Graphic Designer | Lead Graphic Designer | Prepress Operator | DTP Designer

## EDUCATION

**UI/UX Design** | Beetroot Academy"
16980,"**PROFESSIONAL EXPERIENCE**

**Content Researcher | Depositphotos**

Researched and developed content including curated collections and PowerPoint presentations for client advertisements, email campaigns, and website publishing. Partnered with content managers to analyze development progress and performance metrics. Coordinated advertising campaigns for high-profile clients including Coca-Cola, H&M, Colgate, Vogue Ukraine, and Marie Claire Maison Italy. Leveraged Jira and CRM systems to streamline project management workflows. Managed localized content while maintaining alignment with brand voice and product style guidelines.

**Contributor Relations Manager | Depositphotos**

Identified and recruited potential photographers across EMEA and North America markets. Partnered with contributors to develop and enhance portfolios on cloud services. Designed and led training seminars for new employees.

**English Language Teacher**

Mentored students with special needs, including those with physical and psychological requirements. Created personalized teaching techniques and lectures tailored to individual learning needs. Restructured educational processes and curriculum to accommodate diverse student capabilities. Cultivated meaningful student relationships that enhanced engagement and accelerated curriculum progress.

**Door-to-Door Sales Agent | Liberty Power**

Conducted neighborhood outreach to merchandise and promote products and services. Developed compelling product presentations emphasizing features and competitive advantages. Converted prospects into customers using established sales methodologies and facilitated client agreements with Liberty Power."
17014,"# English Philologist | Editor | Translator | Content Specialist

## PROFESSIONAL SUMMARY

Dedicated language professional with 4 years of academic training in English philology. Combines a strong foundation in textual analysis, writing, and translation with demonstrated expertise in content creation and digital communication. Skilled at identifying trends and drawing creative inspiration from digital sources. Motivated to apply linguistic expertise and technical aptitude to launch a career in IT.

## CORE COMPETENCIES

- Text Editing & Proofreading
- Writing & Composition
- Translation
- Social Media Analysis
- Content Research
- Digital Platform Navigation
- Technical Learning Aptitude

## EDUCATION

**English Philology**
4 Years of Specialized Study

## PROFESSIONAL ATTRIBUTES

- Detail-oriented with strong analytical capabilities
- Committed to continuous professional development
- Skilled at synthesizing information from multiple digital sources
- Creative approach to problem-solving
- Strong work ethic"
18230,"# Creative & Art Director | Graphic & UI/UX Designer

**Professional Summary**

Creative and Art Director with over 10 years of experience spanning branding, marketing, advertising, graphic design, web design, and mobile app design. Proven ability to deliver unique, innovative solutions for international clients across multiple continents.

**Core Competencies**

Brand Development & Strategy | Art Direction | Graphic Design | UI/UX Design | Web Design | Mobile App Design | Marketing & Advertising

**Key Achievements**

- Developed 20+ successful brand identities for diverse clients
- Partnered with clients across six countries, including the USA, Canada, Australia, New Zealand, Austria, and Finland
- Delivered design solutions that effectively drive business growth

**Professional Values**

Mutual Respect | Honesty | Decency | Punctuality"
18348,"# PROFESSIONAL DESIGNER

## SUMMARY
Accomplished website, mobile, and graphic designer with 6+ years of commercial experience across multiple agencies. Contributed to more than 100 website designs, brand, and advertising projects. Specialized in UX prototyping, UI design, and motion design for desktop and mobile applications.

## CORE COMPETENCIES
**Design & UX**
• Graphic design: printed products, banners, illustrations, icons
• Web design: responsive and adaptive layouts
• Mobile design: iOS and Android platforms
• Wireframing and interactive prototyping
• Atomic design principles
• User personas and user flow development

**Technical Knowledge**
• HTML and CSS fundamentals
• Motion design

## TECHNICAL PROFICIENCY
**Advanced**
• Figma: team libraries, auto layout, component properties, branches
• Adobe Photoshop
• Adobe Illustrator

**Intermediate**
• Adobe After Effects

## PROFESSIONAL OBJECTIVE
Seeking a position with a strong team to realize my potential on engaging projects while applying artistic expertise to contemporary design solutions."
26715,"# PROFESSIONAL SUMMARY

Accomplished creative technologist with 20 years of expertise in web design, UI/UX, 3D graphics, animation, and product development. Proven track record of building and scaling creative teams and delivering end-to-end digital products.

# PROFESSIONAL EXPERIENCE

**Chief Technology Officer & Tech Lead**
Outsource Studio (Founder)

- Founded and scaled creative studio from inception to a team of 25 office-based developers and 20+ freelance professionals
- Directed art and design teams across multiple concurrent projects
- Provided technical leadership and strategic direction for studio operations

**Co-Owner**
Mobile Game Studio

- Led full-cycle game development from concept through release, encompassing UI/UX design, animation, and VFX in Unity
- Managed audio post-production and stakeholder communication
- Directed cross-functional creative and technical teams to deliver completed titles

# CORE COMPETENCIES

Web Design & Development | UI/UX Design | 3D Graphics & Animation | Product Development | Team Leadership | Game Development | VFX (Unity) | Studio Operations | Cross-Functional Team Management

# OBJECTIVE

Seeking opportunities for professional growth and advancement in creative technology leadership roles."
26747,"# Design Professional

## Awards & Recognition
- 8 Design Awards on Behance
- Honorable Mention, San Francisco Design Week
- Ukrainian Design – The Very Best Of

## Professional Experience

**6+ Years of Commercial Design Experience**

Delivered design solutions across startups, fintech, organization management, crypto, insurance, and healthcare sectors, specializing in web, mobile, dashboard, and web applications.

### Core Competencies
- User research and hypothesis generation
- Wireframing and prototyping
- Usability testing and analysis
- Design system creation and implementation
- Team leadership and design management

### Project Execution
- Stakeholder and product manager communication
- Research and discovery
- Functionality mapping and process flow documentation
- Low and high-fidelity wireframing
- UI research and design
- Led design teams of up to 8 people

### Leadership & Collaboration
- Mentored junior designers
- Conducted one-on-one meetings for performance feedback and professional development
- Provided cross-functional team feedback and support

### Notable Projects

**Digital Home Loan Product** (Australia-based)
Contributed to MVP development from ideation phase, collaborating within a 3-person team over 1 year

**Design System Creation**
Built comprehensive design system from scratch within a 3-person team"
29788,"**DIGITAL 2D ARTIST & UI/UX DESIGNER**

Kyiv-based Digital 2D Artist and UI/UX Designer with a self-directed education and strong portfolio demonstrating expertise across illustration, graphic design, and user experience.

**CORE COMPETENCIES**

**Design & Illustration**
UI/UX Design | Adaptive Design | Raster & Vector Illustration | Graphic Design | Banner Design | Logo Design

**Technical Skills**
Adobe Photoshop | Adobe Illustrator | Figma | Procreate App | Midjourney

**Professional Skills**
Strong command of design principles | Current design and technology trends | Upper-Intermediate English | Effective verbal and written communication | Time and self-management

**PROFESSIONAL EXPERIENCE**

**UI/UX Designer | Illustrator | Graphic Designer**
April 2021 – Present

**UI/UX Designer | Illustrator**
November 2019 – August 2021

**Freelance Web Designer**
December 2018 – November 2019

**RECOGNITION**

**Red Dot Award** – Brands & Communication Design, August 2022"
29835,"# DIGITAL DESIGNER

## PROFESSIONAL SUMMARY

Digital designer with extensive experience in marketing and branding, specializing in visually compelling designs that drive brand growth. Proven ability to thrive in both freelance and in-house environments, collaborating with international teams and managing direct client relationships across more than 5 companies worldwide. Skilled in developing websites, email campaigns, and digital advertising that engage target audiences.

## CORE COMPETENCIES

**Design & Visual Skills:**
UI/UX Design | Branding | Digital Design | Illustration | Advertising | Composition | Color Theory | Digital Imagery

**Digital Marketing:**
Web Advertising | Social Media Advertising | Email Campaigns | Digital Analytics

**Technical Skills:**
Figma (Advanced) | Webflow (Animation, CMS) | HTML/CSS | Adobe Photoshop | Adobe Illustrator

**Soft Skills:**
Creative Problem-Solving | Independent & Collaborative Work | Direct Client Communication

## PROFESSIONAL EXPERIENCE

**Freelance & In-House Designer**

- Collaborated with international teams on multiple projects spanning various countries and American clients
- Developed websites, email campaigns, and digital advertising materials
- Managed direct client communication and project delivery

## EDUCATION & CERTIFICATIONS

**Product Design** — Dare IT

**Basic Web Design** — Hillel IT School

**Figma Certification** — Cases Media (Score: 90)

**Graphic Design: Composition** — Cases Media (Score: 91)

## INTERESTS

Seeking long-term partnerships in product design to apply expertise in enhancing user experience and helping clients achieve their goals."
30606,"# Resume

## Skills

**UI/UX Design**
- Design system development and UI kit creation
- Interactive component design and prototype development
- Auto layout implementation
- Figma plugin utilization

**UX Research & Strategy**
- User experience research and analysis
- Competitive analysis
- Sketching and prototyping

**Design Foundations**
- Composition, typography, and color theory
- Design principles and current trends

**Collaboration & Communication**
- Collaborative project experience
- Project presentation

**Tools**
- Figma
- Google Workspace (Docs, Forms)

## Education

**Beetroot Academy** — Mentorship Program"
