,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5
6018,"# Web & UX/UI Designer

## Professional Experience

**Web Designer | Children's Music School Website Redesign**

- Analyzed existing website to identify strengths and weaknesses
- Created detailed wireframes for new landing page incorporating news block and prominent call-to-action
- Designed visual elements with careful attention to color scheme and typography, maintaining consistency with school's brand identity
- Developed user-friendly navigation structure ensuring accessibility of important information
- Implemented responsive design principles to optimize display across all devices

**UX/UI Designer | Pet-Saver-Hub**

- Designed user interface for web service dedicated to rescuing lost and found animals
- Conducted user research to identify key pain points in searching for lost or found pets
- Developed detailed user flows and wireframes ensuring intuitive navigation
- Incorporated interactive elements, including map feature, to facilitate location-based pet searches
- Created user-friendly interface enabling seamless search functionality

## Core Competencies

- User Experience (UX) Design
- User Interface (UI) Design
- User Research & Analysis
- Wireframing & Prototyping
- Visual Design
- Responsive Design
- Interactive Design Elements
- Brand Identity Integration

## Professional Objectives

Seeking opportunities to advance UI/UX design skills while contributing to meaningful projects that impact people's lives. Eager to collaborate with experienced professionals in challenging environments that foster creative development and exposure to latest design technologies and trends. Committed to user-centered design through active engagement with users and feedback collection to continuously improve user experience. Dedicated to delivering high-quality work through strong communication, teamwork, creativity, and meticulous attention to detail."
6021,"**PROFESSIONAL EXPERIENCE**

**Facility, Kiev — Head of Design Department**  
March 2018 - Present

Lead design team operations and optimize workflows across multiple project types. Develop concepts for websites, brands, and digital products, including UI/UX, animations, logos, brand guidelines, and brandbooks. Direct tender presentations and company offline initiatives.

• Published on medium.com, mmr.ua, cases.media, vc.ru  
• Served as judge for CSSDA and Ukraine Creative Week  
• Delivered educational lectures at Underhub co-working space

**Kiev Smart City, Kiev**

Developed concept and final product visualization for Kiev Smart Card. Created dynamic city advertising concepts.

**Mastercard, Kiev**

Designed illustrations and limited edition products for 2018 UEFA Champions League Final in Kiev. Developed brand activation program concept for Ukraine Independence Day 2018.

**Stampede Games, Kiev**

Developed mobile game visual concepts, UI design, and concept art for game sequels. Contributed to featured games that reached top-chart positions:  
• Evo Explores  
• .projekt.

**PORTFOLIO HIGHLIGHTS**

• 50+ websites  
• 30+ logotypes  
• 4 mobile applications  
• 3 games  
• 1 social network"
6026,"# PROFESSIONAL SUMMARY

Design professional with 12+ years of experience delivering innovative solutions across diverse industries. Portfolio includes 300+ projects: 30+ products from scratch, 30+ mobile applications, 80+ websites, and 100+ logos and corporate styles. Proven leadership experience creating and managing a 20-person design studio. Educator with 150+ students taught in UI/UX and brand design. Conference speaker at Dribbble and other industry events. Master's degree in Engineering Design, currently pursuing MBA.

# CORE COMPETENCIES

UI/UX Design | Product Design | Brand Design | Design Leadership | Team Management | Cross-Industry Expertise | International Client Relations | Frontend & Backend Development

# PROFESSIONAL EXPERIENCE

**NDA** — 2022

**UX Designer** — Bank BVR, 2021

**UI/UX Design Teacher** — Hillel IT School, 2020
- Educated 150+ students in UI/UX and brand design principles

**Lead Product Designer** — Innovation Box, 2020

**UI/UX & Brand Designer** — Ardas, 2019

**UI/UX & Brand Designer** — M2E pro, 2017

**UI/UX & Brand Designer** — Forforce, 2016

**UI/UX & Brand Designer** — Art. Lebedev Studio, 2015

**CEO & Designer** — Own Design Studio, 2014
- Created and managed 20-person design studio
- Established processes for sales, management, hiring, and project creation
- Delivered 300+ projects including 30+ products from scratch, 30+ mobile applications, 80+ websites, and 100+ logos and corporate identities

**UI/UX & Brand Designer** — Poster, 2013

**UI/UX & Brand Designer** — le Weekend, 2012

**UI/UX & Brand Designer** — November Design Bureau, 2011

**Graphic Designer** — Freelance, 2006

# EDUCATION

**MBA** — In Progress

**Master's Degree, Engineering Design**

**Technical Training**
- Frontend: HTML5, CSS3, TypeScript, Vue.js
- Backend: Python, Swift

# SPEAKING ENGAGEMENTS

Conference Speaker — Dribbble and other industry events

# INDUSTRY EXPERTISE

eCommerce | Finance | Banking | Investments | Marketing | Social Media | Law | Education | Development | NFT | Art | Automotive | Gaming | Construction | Agriculture | Food & Beverage | Coffee | Fashion | Beauty | Service | Music | Dance | MMA | Medicine | Space | Adult Entertainment | Sports | Technology | Weapons | Insurance

# INTERNATIONAL CLIENT BASE

USA | United Kingdom | Germany | Netherlands | Italy | France | Greece | Estonia | Australia | China | Ukraine"
9479,"**GRAPHIC DESIGNER & UI/UX DESIGNER**

**PROFESSIONAL SUMMARY**

Graphic Designer and UI/UX Designer with extensive experience in brand identity, key visual development, social media marketing, and print production. Proven expertise in logo design, UI/UX, 3D design integration, and outdoor advertising. Demonstrated leadership managing teams of junior designers while delivering comprehensive design solutions across digital and print platforms for clients in multiple industries.

**CORE COMPETENCIES**

• Brand Identity & Logo Design • UI/UX Design & Web Design • Key Visual Development • Social Media Marketing Design • Print & Prepress Production • 3D Design Integration • Custom Illustration • Outdoor Advertising Design • Product Visualization • Exhibition & Trade Hall Design • Team Leadership & Management

**TECHNICAL SKILLS**

Expert: Adobe Photoshop, Adobe Illustrator
Proficient: Adobe InDesign, Figma
Working Knowledge: Blender, After Effects

**PROFESSIONAL EXPERIENCE**

**Graphic Designer & UI/UX Designer**
QA Madness | November 2022 - Present

- Lead company-wide global redesign initiative across all brand touchpoints
- Redesigned corporate website to align with new brand vision and visual identity system
- Introduced and implemented new visual style for corporate presentations
- Redesigned social media materials for LinkedIn and Instagram platforms
- Designed company profile page for DOU
- Integrated custom 3D design elements into marketing and brand materials

**Graphic Designer**
Kronas | August 2020 - February 2022

- Designed logos, brand identities, and comprehensive print materials for new company brands
- Developed 3-6 advertising key visuals monthly for web, social media, and print campaigns
- Introduced and implemented new visual style for Instagram profile, increasing brand consistency
- Created multi-page product catalogs and brochures in InDesign
- Redesigned YouTube channel branding and designed custom video covers
- Designed custom sticker packs for Telegram and Viber messaging platforms
- Developed trade hall design including branded exhibition stands and navigation systems

**Lead Graphic Designer**
Design Studio ToTop | October 2019 - August 2020

- Managed team of two junior designers while serving as Prepress Operator/DTP Designer
- Developed comprehensive design solutions for clients across multiple industries
- Created logos and brand identity systems from concept through final delivery
- Designed outdoor advertising including billboards, citylights, and vehicle branding
- Produced realistic product visualizations in Photoshop
- Designed extensive print materials including calendars, business cards, postcards, and stickers
- Created multi-page catalogs and brochures
- Conceptualized, designed, approved, and delivered 16-page brochure within one working day

**EDUCATION**

UI/UX Design Course
Beetroot Academy"
16980,"# PROFESSIONAL EXPERIENCE

**Content Researcher**  
Depositphotos

• Developed strategic content collections and PowerPoint presentations for client advertisements, email campaigns, and publication on the official Depositphotos website

• Partnered with content managers to analyze performance metrics and drive content development initiatives

• Coordinated targeted advertising campaigns for high-profile clients including Coca Cola, H&M, Colgate, Vogue Ukraine, and Marie Claire Maison Italy

• Leveraged Jira and CRM systems to streamline workflow management and optimize client relationships

• Ensured brand consistency across localized content by maintaining alignment with established tone of voice and product style guidelines

**Contributor Relations Manager**  
Depositphotos

• Sourced and recruited distinguished photographers throughout EMEA and North America regions

• Partnered with contributors to enhance and optimize portfolio presentations on cloud-based platforms

• Facilitated comprehensive training seminars for new team members

**English Language Teacher**

• Delivered specialized instruction to students with diverse physical and psychological needs

• Designed customized teaching methodologies and lesson plans aligned with individual student requirements

• Modified educational approaches to accommodate unique learning capabilities and maximize student success

• Cultivated meaningful student relationships that enhanced engagement and accelerated curriculum progress

**Door-to-Door Sales Agent**  
Liberty Power

• Conducted targeted residential outreach across multiple neighborhoods to promote energy products and services

• Delivered compelling presentations highlighting product features and competitive market advantages

• Closed sales and facilitated agreement execution between customers and Liberty Power"
17014,"I am an English philology student with four years of academic experience in text editing, writing, and translation. My strong interest in social media drives me to actively explore and analyze multiple platforms for insights and inspiration.

I am highly motivated and eager to apply my skills while building a career in the IT sphere. I bring dedication, adaptability, and a commitment to continuous learning to every opportunity."
18230,"# Creative/Art Director | Graphic & UI/UX Designer

**Award-Winning Creative Professional | 10+ Years Transforming Brands Through Strategic Design**

## Professional Summary

Results-driven Creative/Art Director and Graphic & UI/UX Designer with over 10 years of expertise delivering comprehensive branding, marketing, advertising, graphic design, web design, and mobile app design solutions for international clients. Ukraine-based creative professional specializing in innovative design strategies that drive measurable business growth across diverse industries and global markets.

## Core Competencies

- Branding & Identity Development
- Marketing & Advertising Campaigns
- Graphic Design & Visual Communication
- Web Design & Digital Experiences
- Mobile App Design & Development
- UI/UX Design & User Research

## Professional Achievements

- Launched and developed 20+ brand identities across Ukraine, establishing market presence and competitive positioning
- Built and maintained strategic partnerships with international clients across USA, Canada, Australia, New Zealand, Austria, and Finland
- Conceptualized and executed innovative design solutions driving business growth and enhanced client ROI

## Professional Values

- Mutual Respect & Collaboration
- Honesty & Transparency
- Professional Integrity
- Punctuality & Deadline Adherence"
18348,"# PROFESSIONAL SUMMARY

Professional website, mobile and graphic designer with more than 6 years of commercial experience across multiple agencies. Personally contributed to the creation of more than 100 website designs, brand and advertising projects. Extensive expertise in UX prototyping, UI design and motion design for desktop and mobile applications.

# PROFESSIONAL OBJECTIVE

Seeking to join a strong team where I can apply my expertise to challenging projects and contribute innovative design solutions that enhance user experience and brand identity.

# SKILLS

**Design Disciplines**
• Graphic design (Printed Products, Banners, Illustrations, Icons)
• Web design (Responsive, Adaptive)
• Mobile design (iOS, Android)
• Wireframes and interactive prototypes
• Atomic design principles
• User personas and user flows
• HTML and CSS fundamentals

**Tools & Software**
• Figma (team libraries, auto layout, component properties, branches)
• Adobe Photoshop (excellent proficiency)
• Adobe Illustrator (excellent proficiency)
• Adobe After Effects (confident proficiency)"
26715,"# Professional Summary

Accomplished technology leader with 20 years of experience in web design, UI/UX, 3D graphics, animation, and product development. Proven track record in building and scaling technical teams, art direction, and full-cycle game development.

# Professional Experience

## Co-Founder & Chief Technology Officer | Outsource Studio

- Founded and scaled outsource studio from inception to 25+ office-based developers and 20+ freelance contributors
- Drove technical strategy and team growth as Chief Technology Officer and Technical Lead
- Directed art and design teams, overseeing creative output and quality standards

## Co-Owner | Mobile Game Studio

- Co-founded mobile game development studio with full ownership stake
- Led complete game development lifecycle including concept development, UI/UX design, visual design, animation, Unity VFX implementation, stakeholder communication, and sound editing

# Core Competencies

**Technical Leadership:** Chief Technology Officer | Technical Strategy | Team Scaling & Management | Art Direction | Product Development

**Technical Skills:** Web Design | UI/UX Design | 3D Graphics | Animation | Unity VFX | Sound Editing

**Game Development:** Full-Cycle Development | Concept Development | Mobile Games | Visual Design | Stakeholder Communication

# Career Objectives

Seeking leadership roles offering opportunities for professional growth and advancement."
26747,"# PROFESSIONAL SUMMARY

Product Designer with 6+ years of commercial experience across startups, fintech, organizational management, crypto, insurance, and healthcare. Specialized in web, mobile, dashboard, and web applications. Proven ability to generate hypotheses, conduct research, create wireframes and prototypes, perform usability testing, build design systems from scratch, and lead design teams. Strategic focus on aligning design solutions with business objectives while delivering best practice recommendations.

# ACHIEVEMENTS

• 8 Design Awards, Behance
• Honorable Mention, San Francisco Design Week
• Ukrainian Design The Very Best Of recognition
• Led design for Australia-based digital home loan product from concept to MVP over 1 year
• Built comprehensive design system from scratch as part of 3-person team
• Led team of 8 designers across multiple projects

# CORE COMPETENCIES

User Research & Testing • Wireframing & Prototyping • Design System Development • Stakeholder Communication • Team Leadership & Mentorship • Process Flow Design • Low & High Fidelity Design • UI Research & Design • Cross-functional Collaboration • Hypothesis Generation • Usability Testing

# PROFESSIONAL EXPERIENCE

**Lead Product Designer**

*Design Leadership*
• Lead cross-functional design teams of 8 designers across multiple projects
• Mentor junior designers on design principles, tools, and methodologies
• Conduct regular 1-on-1 meetings to identify challenges and development opportunities
• Provide constructive feedback and strategic support to team members
• Foster collaborative team environments while enabling independent work

*Design Strategy & Execution*
• Collaborate with stakeholders and product managers to define requirements and objectives
• Conduct user and market research to inform design decisions
• Generate hypotheses and perform usability testing to validate solutions
• Create functionality maps and process flows to optimize user journeys
• Develop low and high fidelity wireframes for rapid iteration
• Execute UI research and design aligned with user needs and business goals
• Build design systems from scratch to ensure consistency and scalability"
