Unnamed: 0,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free
6233,"British Autoclub Assistance, Kyiv
IT Manager
September 2018 – March 2019

* Gathered requirements for composing MVP on Web, app, and CRM system projects
* Conducted black box/grey box testing and acceptance testing activities on delivered features for CRM and app projects
* Managed app project delivery activities in cooperation with a foreign outsource team, including project backlog formation, sprint backlog formation, manual testing, and bug tracking
* Provided support for 1C accountancy management and new feature development

Pride International LLC, Kyiv
Project Manager Assistant / QA Manager
August 2017 – September 2018

* Facilitated sprint planning and product backlog management
* Conducted quality assurance tests during sprint workflow and final product releases
* Assisted in resolving app and web-version defects
* Helped the team remove impediments by understanding control and release processes
* Tracked and communicated team velocity and sprint/release progress to affected teams and management
* Assisted in defining and deploying new product development processes and facilitating continuous improvement of existing processes

MBM Partners, Kyiv
Head of Lead-Generation and Advertising Departments
June 2015 – August 2017

* Provided and controlled complexes of activities for lead-generation and traffic management
* Developed strategic guidelines and tactics for the company's behavioral activities in social networks (SMM)
* Planned, recommended, and implemented social media marketing strategies
* Composed tasks for script development for social media lead extraction
* Integrated automation and controlling tools for social media content management"
6239,"**Summary**
Results-driven ESL teacher and project management professional with 4+ years of experience, holding a 120-Hour TESOL/TEFL Certificate. Proven track record of developing and implementing effective lesson plans, managing student progress, and conducting retrospectives. Skilled in project management, communication, and problem-solving, with self-employed experience since 2018.

**Education**
* 120-Hour TESOL/TEFL Certificate, World TESOL Academy (Accredited by ACCREDITAT & The CPD Certification Service)

**Experience**
* ESL Teacher/Tutor (Self-Employed, 2018-Present)
  + Developed and implemented lesson plans to improve students' reading, grammar, and speaking levels
  + Conducted speaking clubs, individual and group online English lessons, and business English classes
  + Created and managed class schedules, documented student attendance and progress, and conducted quarterly assessments
  + Utilized project management skills to manage day-to-day meetings and student success
* Assistant SMM Manager, Instagram (Content Creator and Copywriter)
* Cashier, McDonald's (Work and Travel Program in Germany)
* Customer Support Specialist Intern
  + Resolved product and service issues via text message interface and calls
  + Worked with company's CRM system and sales tools (Email Finder, Email Verifier, Email Warm-up, Drip Campaigns)

**Skills**
* Project Management: Understand project lifecycle, Agile methodology, Scrum, Kanban, Waterfall, and Sprint Retrospectives
* Communication: Fluent English (advanced), excellent written and verbal communication
* Technical: MS Office, CRM systems, sales tools (Email Finder, Email Verifier, Email Warm-up, Drip Campaigns)
* Soft Skills: Problem-solving, multitasking, sense of responsibility, punctuality, and ability to work in a team

**Career Goals**
* Seeking a project manager role in a customer-focused, innovative, and challenging environment
* Looking to join a growing team and acquire valuable skills in a fun and learning environment"
6240,"Project Manager Candidate

Summary:
Results-driven professional seeking to leverage skills and knowledge in project management, team leadership, and coordination to drive project success.

Education and Certifications:
- Completed ""Fundamentals of Team and Project Management in IT. Preparatory"" course by Prometheus, October 2021
- Completed ""Project manager Profession | 10.0"" course by GeniusMarketing, May 2022
- Completed Basic Course by Online Ukrainian School of Project Management by Denys Prylutskyi, July 2022

Professional Experience:
People Coordinator, Crunch
- Served as primary point of contact for clients, providing project information and updates
- Ensured stakeholders received regular project status updates through meetings, correspondence, and status trackers
- Managed resource planning, forecasting, and tracking
- Collaborated with other managers to identify and acquire necessary project resources
- Built and nurtured effective project teams to promote individual and team performance
- Tracked internal project team assignments, monitored team and specialist states, and identified potential risks
- Provided information and consultation to specialists on company social and remuneration policies
- Organized and conducted team-building activities tailored to team needs and state

Skills:
- Project Management
- Team Management
- Resource Planning
- Stakeholder Management
- Team Building
- Risk Management
- Communication
- Collaboration
- Performance Promotion"
6254,"Results-driven marketing professional with expertise in lead generation, social media management, and sales, leveraging proficiency in Facebook Ads, Instagram, Miro, Asana, Figma, Pipe Drive, Expandi, LinkedIn, Google Meet, Google Sheets, and Google Docs.

Proven Lead-Generation Manager with a track record of driving business growth through targeted advertising on Facebook Ads and social network promotion, developing and executing effective marketing strategies.

Seasoned professional with experience as a Business Developer, SDR, Sales Manager, and Account Manager in a crypto marketing agency, possessing strong business development skills and ability to adapt quickly to new knowledge and technologies. Utilize organizational and planning skills, complemented by proficiency in Miro, to effectively allocate time and create frameworks.

A collaborative team player with innovative ideas and a passion for project management, bringing a strong foundation in marketing and sales to drive success. Seeking a challenging role that leverages skills and experience to achieve business objectives."
6255,"Results-driven Delivery Coordinator and Error Manager with 8 years of experience in the automotive industry, specializing in embedded projects. Proven track record as a Senior Test Engineer with expertise in customer communication, team organization, and project management tools such as Jira and Confluence. Master's Degree in Automobile/Automotive Mechanics Technology from the National Transport University."
6342,"Mrowki-UA Consulting, HR
2021-2022
Automation Project Manager
Managed automation of company processes and website development, creating messenger bots to enhance communication efficiency.

Interra Online School
www.interra.bz
2020-2022
Automation Project Manager/Business Analyst
Conducted business analysis to identify company processes, proposing transformations, and implemented automation in Bitrix and analytics solutions in Power BI, resulting in cost and time savings and improved service quality.

RublevFamily Quest Franchise
fr.fortfamily.ru
2018-2022
Automation Project Manager
Automated sales department processes, expanded automation to all franchise partners, and set up marketing analytics.

BizRaise Marketing Agency
bizraise.pro
2017-2018
Automation Project Manager/Business Analyst
Analyzed and automated business processes across various areas, starting with a thorough understanding of existing customer processes to identify automation solutions and address specific problems."
7630,"Market Research and Digital Marketing Professional

Key Skills:
Market Research and Analysis
Digital Marketing: Social Media Marketing (SMM), Email Marketing, Paid Advertising (Google Ads, Instagram Ads, Facebook Ads)
Contractor Management
Search Engine Optimization (SEO) Fundamentals
Backlink Management
Content Creation

Leadership and Team Management:
Team Coordination and Leadership
System Development for Transparency and Efficiency
Conflict Resolution and Stress Management
Hierarchical Navigation for Collaborative Outcomes

Technical Proficiency:
Google Ads (Editor)
Google Tag Manager (GTM)
Google Analytics
Facebook Business Manager
LinkedIn
Mailchimp
Tilda
Wix
Bitrix
Ahrefs
Serpstat
SimilarWeb
Microsoft Excel
Microsoft PowerPoint
Basic SQL
Basic HTML
Adobe Photoshop
Adobe Illustrator

Language Skills:
Ukrainian (C2)
Russian (C2)
English (C1)
German (C1)
Spanish (A2) - in progress
French (A2) - in progress

Industry Preferences:
Exclusion of industries involving gaming, gambling, dating, or fraudulent activities."
7654,"Results-driven telecom professional with 14 years of experience in B2B sales and customer service, skilled in analytical, managerial, and negotiation skills.

Experience:
- Launched business process for handling network coverage requests for B2B customers
- Developed analytical, management, and negotiation skills while working in the customer service division
- Ensured high-quality service for corporate customers by handling network coverage requests, driving effective sales and long-term relationships
- Enhanced analytical skills through work on business cases for base station construction, collaborating with colleagues, contractors, customers, landlords, and engineers
- Successfully negotiated with managers at all levels, emphasizing openness and honesty as key to success

Skills:
- Analytical and managerial skills
- Negotiation and sales skills
- Strong communication and interpersonal skills
- Ability to work with colleagues, contractors, customers, and engineers
- English language knowledge with ongoing development since March 2018
- Familiarity with content marketing and copywriting, having completed a course in December 2020

Training and Development:
- Delivered training courses to colleagues on the life cycle of customers' requests for coverage, utilizing an engaging presentation style with examples and visual aids

Career Goals:
- Seeking a B2B Sales Manager or Project Manager position, leveraging skills and experience to drive success and growth
- Prioritizing employers offering decent financial motivation, high corporate standards, and opportunities to apply English language skills"
8890,"Summary:
Results-driven professional with experience in project management, UI/UX design, and quality assurance, utilizing Agile, Scrum, and Kanban methodologies. Proficient in IT process optimization, with expertise in Confluence, Redmine, Jira, and RUP.

Technical Skills:
Programming languages: Python, JavaScript, HTML, HTML5, CSS
Project Management Tools: Jira, Redmine, Confluence
Methodologies: Agile, Scrum, Kanban, RUP
ERP and CRM systems
UML for system design

Experience:
Project Manager and IT Professional
Managed projects using Agile, Scrum, and Kanban methodologies
Applied UI/UX principles to enhance user experience
Ensured high-quality deliverables through rigorous testing and QA processes
Improved IT processes for enhanced efficiency
Maintained and updated knowledge bases for easy access to information

Technical Expertise:
Utilized Jira, Redmine, and Confluence for project management and collaboration
Applied UML for system design and IT process optimization

Industry Preferences:
Prefer to work in industries that do not include Forex, Gambling, Alcohol, or Smoking"
8916,"Results-driven IT professional with 10 years of experience in managing projects for governmental structures and private sector companies, including IT distribution and broadcasting.

Summary of Experience:
- Participated in numerous projects for governmental structures in Azerbaijan, including:
  - Development of a card system for the Central Bank
  - Implementation of an inventory system for the Treasury of the Azerbaijan Republic
- Managed projects in the broadcasting sector, focusing on the development of online TV systems
- Served as Business Development Manager and Channel Manager in IT Distribution for approximately 5 years, driving business growth and managing channel partnerships

Experience Highlights:
- Proven experience in managing IT projects for governmental and private sector clients
- Skilled in IT distribution and broadcasting, with a focus on online TV system development
- Successful track record of driving business growth and managing channel partnerships in IT distribution"
