,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o
0,"Управління творчими командами є моєю спеціалізацією протягом двох років. Я маю досвід роботи моушн-дизайнером у продуктовій компанії, де створював креативи, асети, анімовані елементи інтерфейсу, lottie анімації, що дозволяє мені всебічно розуміти процеси, які відбуваються всередині.

На посаді РМ, окрім супроводжування проєктів та спілкування з замовниками, завдяки своїй технічній підкованості й допитливості, я брав на себе додаткові зони відповідальності, які стосувалися:
- системного адміністрування в рамках команди (база матеріалів, віддалений рендер, централізоване оновлення UI профільного ПЗ)
- розв'язання питань з ПЗ
- технічного супроводу спеціалістів під час виконання задач
- поліпшення процесів (написання скриптів, автоматизація, впровадження нових інструментів в роботі, створення концепції онбордингу для нових спеціалістів)
- навчання команди
- підготовки документації та створення довідкової бази знань (50+ документів, 20+ відеоуроків)
- організації покупки профільного ПЗ (аналіз умов надання послуг, аналіз ринку, створення порівняльних таблиць для проведення тендеру)

Мої основні переваги:
- цілеспрямованість
- допитливість
- автономність
- комунікабельність
- викладацький хист

Я люблю розв'язувати проблеми, які переді мною постають, і робити це самостійно, шукаючи інформацію та пробуючи різні методики. Кожна задача, яку мені ставили менеджери або замовники, була реалізована. Високі когнітивні здібності стали запорукою мого кар'єрного росту.

Крім того, я люблю спілкуватися, особливо з однодумцями. Ця любов трансформувалася в великий викладацький досвід, здобутий під час роботи на попередніх проєктах. Понад двадцять навчальних зустрічей, величезна база знань для 3D департаменту, професійний ріст команди від новачків до профі та успішне закриття складних задач - це моя персональна гордість. Моє студентське минуле, адже я магістр журналістики, стало в пригоді в отриманні першого педагогічного досвіду ще під час навчання."
1,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]
[Ваш LinkedIn профіль]

Професійний досвід:

1. Account Manager, Business Development
   - Велика системна компанія у галузі FinTech та IT
   - В2В та В2В2С переговори
   - Співпраця з командами Digital Marketing, Dev, Frontend
   - Роль Project Manager у більшості проектів

2. Affiliate Manager CPA, Digital Marketing
   - Запуск проекту кредитування на партнерських офлайн точках
   - Запуск сервісу онлайн-кредитування на терміналах
   - Розробка та запуск сервісу «сайт-конструктор» для партнерів CPA
   - Побудова звітності з ""0"" у двох системах

Ключові навички:
- Управління проектами за методологіями Agile (Scrum, Kanban)
- Написання FRF та FAQ
- Інтеграція партнерів через API
- Технічна інтеграція: налаштування постбеків, підключення до трекінгових платформ, робота з сервісами відстеження фроду
- Організація акцій та участь у конференціях
- Створення промо та рекламних матеріалів
- Глибокі знання у сфері фінансів та технологій

Цілі:
- Розвиток у галузях fintech, IT, digital marketing, e-commerce
- Отримання керівної посади
- Робота у напрямках Project Manager/Customer tech support
- Поглиблення у технічну/інтеграційну складову
- Створення та побудова проектів з ""0""

Освіта:
[Ваша освіта]

Додаткова інформація:
- Швидко навчаюсь та прагну дізнаватись нове
- Уникаю прямих Sales

[Дата]"
2,"Account Lead в креативній агенції IAMIDEA

Клієнти в портфоліо: Eldorado, Intertop, Uklon, Ковальська, WOG, Megogo, Mechta.kz, IDS Group (Аляска, Моршинська, Боржомі), Planeta Kino, Hotline, KAN Development, Нова пошта, Орел і Решка

Обов'язки:
- Менеджмент і ведення проектів, рекламних кампаній та креативних проектів зі стратегічними клієнтами на повному обслуговуванні, а також тактичні рекламні кампанії.
- Побудова процесів всередині команди: підбір команди під проєкт, створення таймінгу, підготовка технічних завдань, налагодження роботи всередині команди та з підрядниками.
- Розподіл навантаження серед аккаунт менеджерів та креативних пар.
- Пріоритизація проектів, підготовка брифів та постановка завдань.
- Відстеження якості виконання задач та дотримання дедлайнів.
- Розвиток міцних відносин з клієнтами.
- Ведення документації.

Паралельно в роботі на повному супроводженні було від 5 до 12 клієнтів в піковому навантаженні. В середині агенції керувала та працювала з трьома креативними парами, відділом дизайнерів та відділом продакшну."
3,"Велика кількість успішно завершених проектів в сфері автоматизації бізнесів.  
Участь у багатьох проектах по автоматизації бізнесів на базі CRM/ERP на різноманітних позиціях (CTO, Developer, Project Manager) і у ролі підрядника з власною командою.

----------  
Досвід управління проектами (12 років)  
Angular (2 роки)  
Creatio (3 роки)  
Terrasoft 3/x (JavaScript) (8 років)  
Java (2 роки)  
GCP, Firebase  
Startup or Product Development"
4,"Досвід роботи: 8 років у дизайн-студії, маркетингу, рекламі та піарі на посадах art director, начальник відділу, project manager, lead designer. Керував командами від 5 до 12 співробітників, як в офісі, так і віддалено. Має досвід створення дизайн-студії з нуля з організацією всіх процесів.

Навички роботи з програмами:
- Photoshop
- Illustrator
- Indesign
- 3dmax

Інструменти для ведення проектів:
- Slack
- Monday
- Trello"
5,"Work Experience:

Brand Manager | 05.2022 - 02.2023 (8 months)  
Technoyizak (retail company), Kyiv  
- Led 360 marketing campaigns  
- Managed and coordinated advertising agencies  
- Developed POSm materials  

Project Manager | 01.2021 - 02.2022 (1 year)  
ZDATNI media holding (The Village ua, Wonderzine ua), Kyiv  
- Managed commercial projects for brands  
- Planned and tracked project progress  
- Led a team including Designer, Creator, Art Director, Redactor, Producer, Writer  
- Supported clients from project conception to report preparation  
- Controlled project timelines and budgets  
- Participated in the sales process  

For The Village.ua:  
- Від Фріди до Отто Дікса. Ми оживили три відомі картини, щоб ви полюбили мистецтво  
- Trust your spirit. Це люди, які роблять добрі справи  
- Бакота, Тустань і Підгорецький замок. Що ховається за красивими фото нетипових туристичних локацій?  
- Креативний допінг. Ми спробували різні техніки придумування ідей (навіть басейн!). І ось що вийшло  

For Wonderzine.ua:  
- Під час місячних скасовую всі плани». Я живу з тяжкими менструальними кровотечами  
- Це ж неможливо! Як я завагітніла під час грудного вигодовування первістка  
- Ми експериментуємо в сексі – як нам підібрати контрацептив і почуватися вільними?  

Junior Brand Manager | 05.2017 - 06.2019 (2 years 1 month)  
Pernod Ricard (Ballantine's, Beefeater, Absolut, Monkey 47), Kyiv  
- Developed and implemented marketing communications initiatives (ATL, BTL, sales promotion, PR, SMM, brand education)  
- Contributed to the annual brand planning process  
- Developed and managed sponsorship events  
- Collaborated with Trade Marketing on national promo and activities strategy, plans, and schedules  "
6,"Бізнес-аналітик/Керівник проєктів впровадження CRM

- Успішно реалізував три проєкти впровадження CRM.
- Сертифікований офіційний партнер amoCRM.
- Освоїв основи роботи з запереченнями.
- Набув навичок ведення переговорів і ділового спілкування.
- Навчився збирати та визначати основні вимоги клієнта до системи.
- Освоїв функціонал і основні можливості CRM-систем.

Основні обов'язки:
- Первинний контакт з клієнтом.
- Визначення бізнес-проблем клієнта, виявлення і збір вимог.
- Формування первинних рішень та їх розвиток.
- Організація, підготовка та участь у проведенні презентацій продукту.
- Проведення переговорів з клієнтом щодо вартості, порядку оплати та умов надання послуг.
- Підготовка комерційної документації (комерційна пропозиція, рахунок, договір).
- Участь у розробці прототипу налаштувань.
- Налаштування і тестування CRM-системи.
- Консультаційна робота після завершення проєкту.

Професійні цілі:
- Розвиватися та удосконалюватися як спеціаліст у сфері управління IT проєктами.
- Працювати в злагодженій команді, орієнтованій на результат.
- Приносити реальну користь компанії та отримувати за це достойну заробітну плату."
7,"ПІБ

Контактна інформація

Мета:
Прагну застосувати свої навички та досвід у підготовці планів та звітів Уряду, а також розвиватися у сфері програмування та змін у профілі та спеціалізації.

Досвід роботи:
Державний службовець
- Підготовка планів дій Уряду
- Розробка програм діяльності Уряду
- Підготовка звітів Уряду

Особисті якості:
- Висока мотивація
- Добре розвинені комунікаційні навички
- Постійне бажання до самовдосконалення

Інтереси:
- Програмування
- Зміни у профілі та спеціалізації

Освіта:
(Додайте інформацію про освіту, якщо вона є)

Навички:
- Підготовка урядових документів
- Комунікаційні навички

Додаткова інформація:
(Додайте будь-яку іншу релевантну інформацію)"
8,"Під моїм керівництвом створено новий підрозділ з контролю та автоматизації бізнес-процесів, який вважався одним з найкращих підрозділів Банку за ефективністю організації процесів та комунікацією з клієнтами.

Маю понад 15 років досвіду роботи в банку, займаючись аналізом бізнес-вимог користувачів програмного комплексу та їх впровадженням. Як Бізнес-аналітик супроводжувала повний перехід Банку при зміні ПЗ. Фактично виконую роль Product Owner основного програмного забезпечення Банку.

Наразі супроводжую розробку Мобільного застосунку Банку, зокрема інтеграцію з Мастер-системою. Цікавлюся розвитком у напрямку Мобільних додатків у сфері фінансів, в ролі Бізнес-аналітика чи Продуктового менеджера.

Шукаю проект у сфері фінансів, де зможу застосувати свої сильні сторони: ефективна організація бізнес-процесів, мінімізація ризиків, автоматизація та результативна комунікація з учасниками проекту. Цікавить перспектива розвитку і участь у впровадженні новітніх технологій, бажано у великій команді з амбіційними проектами."
9,"Знання та навички:
- Глибокі знання 1С:Підприємство 7.7, 1С 8.3: УПП, УТП, Управление агрохолдингом, Бухгалтерия сельскохозяйственного предприятия для Украины, 1С:Підприємство 8, ITIL, 1С:Консолидация, Казначейство, MDM НСИ, Бухгалтерия для Украины, Управление элеватором для Украины, Зарплата и Управление персоналом для Украины, Документооборот, MS Office, M.E.Doc., Jira, BAS ERP.
- Знання бухгалтерського, податкового та управлінського обліку.

Досвід:
- Складання технічної документації, написання інструкцій та регламентів.
- Участь у проектній роботі та автоматизації обліку на базі 1С.
- Розробка вимог та написання технічних завдань для розробки/зміни функціоналу 1С.
- Консультації користувачів з методології відображення господарських операцій в 1С.
- Надання рекомендацій користувачам щодо виправлення помилок в 1С.
- Розробка інструкцій по роботі з функціоналом 1С.
- Тестування нових доопрацювань в програмі 1C.
- Ведення технічної документації по проектах 1С."
