Unnamed: 0,resume
6018,"
As a web designer, I had the opportunity to work on several projects that involved both website redesign and UX/UI design. One of the projects that I worked on was the redesign of the Children's Music School website. The main goal of this project was to create a new landing page for the website that would be visually appealing and easy to navigate.

To achieve this goal, I first conducted a thorough analysis of the existing website to identify its strengths and weaknesses. Based on my findings, I created a detailed wireframe of the new landing page, which included a news block and a prominent call to action. I also paid close attention to the color scheme and typography of the new design, ensuring that they were both consistent with the school's brand identity.

Once the wireframe was approved, I began working on the visual design of the landing page, paying close attention to the user experience. I made sure that the page was easy to navigate and that all the important information was easily accessible to the user. I also incorporated responsive design principles to ensure that the page looked great on all devices.

Another project that I worked on as a UX/UI designer was Pet-Saver-Hub, a web service project for rescuing lost and found animals. In this project, my main focus was on creating a user-friendly interface that would allow users to easily search for lost or found pets.

To achieve this, I conducted user research to identify the key pain points that users experienced when trying to find lost or found pets. Based on this research, I created a detailed user flow and wireframe of the website, ensuring that the user interface was intuitive and easy to navigate. I also incorporated interactive elements, such as a map feature, to make it easier for users to find lost or found pets in their area.

Overall, my experience as a web and UX/UI designer has allowed me to develop a range of skills, including wireframing, visual design, user research, and responsive design. Through my work on projects such as the Children's Music School website redesign and Pet-Saver-Hub, I have gained valuable experience in developing user-friendly designs that meet the needs of both clients and users.
I would like to have the opportunity to develop my skills in UI/UX design and contribute to projects that have significance and impact people's lives. I am expecting to collaborate with professionals who can help me grow and learn new things. I would be delighted to participate in challenging projects that allow me to develop my creative potential and keep up with the latest design technologies and trends. I value communication and teamwork, which ensure effective work and achieve results.
Furthermore, I intend to actively interact with users and collect their feedback to improve the user experience. I understand that creativity and attention to detail play a crucial role in the design process and I am ready to put in maximum effort to ensure the high quality of my work."
6021,"Over 50 Websites
More than 30 Logotypes
4 Mobile Apps
3 Games
1 Social Network
Facility, Kiev — Head of Design Department
Mar  2018 - Present
Organising design team process, optimisation of design flow for different project types. Developing concepts for websites, brands and other products; creating UI/UX, animations, logo books, brand guidelines and brandbooks. Taking a leading role in tenders and offline company activity.
- Publications on medium.com, mmr.ua, cases.media, vc.ru;
- Judging on CSSDA, Ukraine Creative Week. Now on the final stones to joining awwwards judge team;
- Educational lectures in Underhub co-working.

Kiev Smart City, Kiev 
Work on concept and final product visualisation for Kiev Smart Card. Developing a row of dynamic city ads concepts.

Mastercard, Kiev
Creating illustrations and limited edition products for 2018 UEFA Champions League Final  in Kiev, concept for brand activating program on Ukraine Independence Day 2018.

“Stampede Games”, Kiev
Worked on mobile games, developing visual concepts and UI. Creating concept arts for the second part of game. 
Games that were featured and took a place on top-charts:
- Evo Explores
- .projekt
Возможность карьерного и финансового роста, интересные проекты, хороший менеджмент."
6026,"• More than 12 years of experience in design.
• In total, more than 300 projects have been created, including:
• More than 30 products from scratch.
• More than 30 mobile applications.
• More than 80 websites.
• More than 100 logos and corporate styles.
• Creating and managing my own studio (20 people).
• Taught more than 150 students in UI/UX & brand design.
• Speaking at a Dribble & etc. conferences.
• Master's degree in “Engineering Design”.
• Studying for MBA Now.
Hi,

Design is my life.
I enjoy every pixel I create, every user delight and ah-ah moments. My dream is that design is taught in schools. If you need someone who will take your project apart, find the weak points, and improve it to perfection – that's me.

I had my own studio with 20 employees, with built processes for sales, management, hiring, and project creation. But I closed it in order to do what I loved: creating designs on my own.

I try not to do development, but to better understand how design works and understand that I took courses in frontend (HTML5/CSS3/TypeScript/Vue.js) and backend (Python, Swift).

Unfortunately, the lion's share of my best work is under a nondisclosure contract. But at an interview I am willing to show some of them (in the direction you are interested in).

2022 — NDA
2021 — UX Designer in Bank BVR
2020 — UI/UX Design Teacher in Hillel IT School
2020 — Lead Product Designer in Innovation Box
2019 — UI/UX & Brand Designer in Ardas
2017 — UI/UX & Brand Designer in M2E pro
2016 — UI/UX & Brand Designer in Forforce
2015 — UI/UX & Brand Designer in Art. Lebedev Studio
2014 — CEO & Designer in Own Design Studio
2013 — UI/UX & Brand Designer in «Poster» 
2012 — UI/UX & Brand Designer in «le Weekend»
2011 — UI/UX & Brand Designer in «November» Design Bureau
2006 — Graphic Designer, freelance
2002 — Make Cartoons in Paint :)
1999 — Drawing School

The industries I worked with: eCommerce, Finance, Banking, Investments, Marketing, Social Media, Laws, Education, Development, NFT, Art, Auto, Game, Building, Agro, Food, Coffee, Fashion, Beauty, Food, Service, Music, Dance, MMA, Medicine, Space, Sex, Sport, Technique, Weapon, Insurance

I was creating design for a clients from: USA, United Kingdom, Germany, Netherlands, Italy, France, Greece, Estonia, Australia, China & Ukraine.
"
9479,"⊳ Started using 3D made by myself in my design.
⊳ Have a loooot of experience designing key visuals, SMM and printing materials.
⊳ Successfully designed logos and identities for new brands.
⊳ Managed a small team of two junior designers.
⊳ Created custom sticker pack for Telegram and Viber.
⊳ Completed a UI/UX course at Beetroot Academy, further developing skills in user-centered design and user experience.
Worked as Graphic Designer/Lead Graphic Designer and Prepress Operator/DTP Designer.

Expert in Adobe Photoshop and Illustrator. Good in Adobe InDesign and Figma. Some skill in Blender and After Effects.

Last three jobs:
1. Graphic designer & UI/UX designer at QA Madness
nov 2022 - now
- I got in the middle of the companies global redesign, so I was able to have a lot of impact to final result.
- Redesigned website to reflect new vision and style.
- Successfully introduced and implemented a fresh visual style for presentations.
- Totaly redesigned all SMM materials - LinkedIn, Instagram. Made page fot DOU.
Main achievements: started using 3D made by myself in my design.

2. Graphic Designer at Kronas
aug 2020 - feb 2022
- I designed logos, identities and related printing materials for new brands of the company.
- Monthly developed 3-6 advertising key visuals for the site, social networks and for printing.
- Introduced and implemented a new visual style for the design of the Instagram profile.
- Made multi-page catalogs and brochures with products in InDesign.
- Updated the look of the company's YouTube channel, designed covers for videos.
Main achievements:
• came up with and drew a sticker pack for Telegram and Viber
• developed the design of a new trade hall - branding stands, navigation.

3. Graphic Designer at Design Studio ToTop
oct 2019 - aug 2020
- Developed design for different companies from different fields.
- Designed logos and identities.
- Designed outdoor advertising (roadside billboards, citylights, car branding).
- Drawn realistic product visualizations in Photoshop.
- Lots of printing design for companies (calendars, business cards, postcards, stickers, etc.)
- Made design of multi-page catalogs and brochures.
Main achievement: in one working day came up with the design for the brochure, approved it with the client, made 16 pages and launched it into print.
"
16980,"
Depositphotos | Content Researcher

Researched and created various content with collections,PowerPoints for clients for further advertisements or for distribution of new content to e-mail addresses or directly publishing on official website Depositphotos. 
Closely worked with each content manager and analysed their development and metrics. 
Organised advertisements for influencers and big clients such are: Coca Cola, H&M, Colgate, Vogue Ukraine, Marie Claire Maison Italy and more. 
Actively worked with Jira and CRM system.
Operated with localised content and ensured that it is aligned with the brand’s tone of voice and overarching style of the product.

Depositphotos | Contributor Relations Manager

Researched and located potential and prominent photographers, in EMEA and North America. 
Worked closely with contributors on developing their portfolio on our cloud services.
Organised and was leading training seminars for new employees. 

Teacher of English language 

Mentored special needs students, with physical or psychological needs.
Developed different personalised techniques and lectures, for each individual student.
Restructured the educational process, so it would fit the needs and capabilities for each child, educational lectures and work varied from student to student.
Created a personal connection with each child, which allowed me to open the child to new knowledge and greatly advance in the curriculum, which was unseen prior to me. 

Liberty Power | Door-to-door Sales Agent

Traveled to different neighbourhoods to merchandise and advertise a product or service to the general public.
Created an envision of presentation on product features and clarified customers why product is better than competitors. 
Convinced client to purchase product using a script and underwrote an agreement between the clients and Liberty Power.
"
17014,"I’ve been studying as an English philologist for 4 years, and it gave me huge experience in editing text, writing and translating. In addition, being extremely interested in social media, I’m constantly surfing and drawing inspiration from many platforms.
Unfortunately, I don’t have much experience yet, but I’m extremely motivated and eager to learn, work and pursuing my career in the IT-sphere.
"
18230,"Created more than 20 brands in Ukraine. Worked with clients from USA, Canada, Australia, New Zealand, Austria, Finland.
I am a Creative/Art Director, Graphic and UI/UX Designer from Ukraine, with more than 10 years of experience in Branding, Marketing, Advertising, Graphic design, Web Design and Mobile App Design for numerous clients from all over the world. 

I create and implement unique, bright, innovative ideas and solutions that effectively develop the business. Using such values as: mutual respect, honesty, decency and punctuality.
Really interesting project"
18348,"Took personal part in the creation of more than 100 website designs, brand and advertising projects.
I am a professional website, mobile and graphic designer. My commercial experience is more than 6+ years in different agencies. I have extensive experience in UX prototyping, UI design and motion design for desktop and mobile applications.

SKILLS:
• Graphic design (Printed Products, Banners, Illustrations, Icons)
• Web design (Responsive, Adaptive)
• Mobile design (iOS, Android)
• Wireframes
• Interactive prototypes
• Using principles of atomic design
• Good understanding of user personas and user flows
• Understanding of the basics of HTML, CSS

TOOLS:
• Figma (team libraries, auto layout, components properties, branches)
• Excellent level of proficiency in Adobe Photoshop and Adobe  Illustrator
• Confident level in Adobe After Effects
I want to be part of a strong team and realize my potential in interesting projects, as well as make a significant contribution of artistic taste to contemporary design."
26715,"
About 20 years experience in web design, UI/UX, 3d graphics, animation and own products creation.  

Experience in creating own outsource studio, as CTO and Tech lead grow team up to 25 office developers and about 20+ freelancers.
Art direction and design team manage
  
co-owner in small mobile game studio. Full cycle of game development (concepts, UI/UX, design, animation, unity VFX, communication, sound edits)
Looking for growing apportunities"
26747,"• 8 Design Awards on Behance
• Honorable mention in San Francisco Design week
• Ukrainian design The very best of
• For the past 1 year, being a part of an Australia-based digital home loan product that went from the idea to MVP
• In a team of just 3 people built a design system from scratch
Over 6+ years of commercial experience, based in startups, fintech, organization management, crypto, insurance, and healthcare environment. I have worked with Web, Mobile, Dashboard, and Web applications. 
 I can generate hypotheses, research, create wireframes and prototypes, conduct usability tests, analyze, create a design system from scratch, and lead a design team. I like to collaborate with and manage other designers and work independently. I always pay close attention to business needs and provide best practice design advice to improve the outcomes. 

I work on the following project stages
- Communicate with stakeholders and product manager
- Conduct research
- Create functionality map, process flow
- Create low/high fidelity wireframes
- UI research and design
- Leading a team of 8 people 

Another part is Collaboration and teamwork where I work on
- Mentorship of lower-level designer
- Conducting 1on1 meetings to collect issue points and help to define personal areas of improvement
- Offering feedback and support to teammates
"
29788,"As a person who had a self-education, I`m really proud of myself and my portfolio, because of all my knowledge, skills, and abilities, such as:

– Advanced knowledge and experience working with Adobe Photoshop Beta & Illustrator, Figma, and Procreate App;
– Strong technical understanding of the subject;
– Understanding of current design and technology trends;
– Upper-Intermediate English level;
– Effective verbal and written communication skills;
– Time and self-management skills.

Hi there! I'm a Digital 2D Artist & UI/UX Designer from Kyiv. 
I'm looking forward to a strong friendship and cooperation!
EXPERIENCE
- Freelance // Web-designer (Dec 2018 - Nov 2019)
- UI/UX-Designer / Illustrator (Nov 2019 - Aug 2021)
-Full stack: UI/UX-Designer / Illustrator / Graphic designer (Apr 21 - Now )

SKILLS
English - Upper-Intermediate
UI/UX Design / Adaptive design
Illustration (raster/vector)
Banner design
Logo 

TOOLS
Adobe Photoshop
Adobe Illustrator
Procreate App
Figma
Midjourney

Awards
RED DOT / Brands & Communication Design (Aug 22)
I believe that I can get a position in a successful company with a friendly team, where I can show what I can do! I really want to develop and learn further! I believe that there is no limit to perfection, I am ready to work and give all my best to one hundred percent!"
29835,"Skills:
Color sense, Color Theory, Composition
Branding, Advertising, Illustration
Web ads, Social media ads, Digital Design, Digital imagery, Digital Analytics, E-blast
UI/UX design
HTML/ CSS
WEBFLOW

Soft skills:   
Confidence to work independently and in a team
Creative
Interface directly with customers

Сompleted courses:
Dare IT - PRODUCT DESIGN
HILLEL (IT SCHOOL) - BASIC WEB DESIGN
CASES MEDIA - FIGMA (90)
CASES MEDIA - Graphic design. Composition (91)
Hello! I am a digital designer. I have extensive experience in Marketing and I have a huge experience in Photoshop /illustrator and Figma. Also I work with Webflow (animation/ CMS/ etc). 
Also, I am an advanced user of Figma. I worked on websites/ E-blast/ etc.

I am passionate about creating visually stunning designs that help brands grow. 

I have experience as a freelance and an in-house manager. I worked in a team and we cooperated with more than 5 companies from different countries. Also, I worked as a freelancer designer for an American company.
 
I look forward to bringing my background and experience to help you develop award-winning campaigns for your clients. I love collaborating with clients and colleagues, and I am excited to deliver designs that will help your clients engage and grow their target market.

Feel free to contact me.
Looking for work with a long term partnership and an ability to grow. On the side of a product, where I can implement my knowledge and experience to make the customer’s life easier."
30606,"Figma:
design-system
creating UI kit
work with Auto layout
interactive components 
interactive prototype
Figma`s plugins
Projects on mentorship Beetroot Academy:
UX Research 
Competitors Research 
Scetching and prototiping 
Understanding of the principle of compose, typography, colour 
Understanding of design principles and design trends
Experience of group work.
Experience of project presentation
Work with Google Documents, creating Google-Forms
"
