,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5
6018,"**Web & UX/UI Designer**

**Professional Summary**

Results-driven Web and UX/UI Designer with proven expertise in website redesign, user interface design, and user experience optimization. Skilled in conducting user research, wireframing, visual design, and responsive design implementation. Committed to creating intuitive, user-friendly designs that meet client and user needs while maintaining brand consistency. Strong advocate for user feedback integration and collaborative teamwork to deliver high-quality design solutions.

**Core Competencies**

Website Redesign & Landing Page Design | UX/UI Design | Wireframing & User Flow Development | Visual Design & Brand Identity | Responsive Design | User Research & Pain Point Analysis | Interactive Design Elements | Color Scheme & Typography | Navigation & Information Architecture | Communication & Teamwork

**Professional Experience**

**Children's Music School Website Redesign**

- Conducted thorough analysis of existing website to identify strengths and weaknesses
- Created detailed wireframes for new landing page featuring news block and prominent call-to-action
- Developed visual design with meticulous attention to color scheme and typography for brand consistency
- Implemented responsive design principles to ensure optimal display across all devices
- Prioritized user experience and navigability to provide easy access to information

**Pet-Saver-Hub – Web Service Project**

- Designed user-friendly interface for lost and found animal rescue service
- Conducted user research to identify key pain points in pet search process
- Created detailed user flows and wireframes for intuitive navigation
- Incorporated interactive map feature to help users locate lost or found pets by area

**Professional Goals**

Seeking opportunities to develop advanced UI/UX design skills on impactful projects. Committed to continuous learning, staying current with design technologies and trends, and collaborating with experienced professionals. Dedicated to collecting and implementing user feedback to enhance user experience and delivering creative, detail-oriented solutions of the highest quality."
6021,"# DESIGN PROFESSIONAL

## PORTFOLIO
- Over 50 Websites
- More than 30 Logotypes
- 4 Mobile Apps
- 3 Games
- 1 Social Network

## EXPERIENCE

**Head of Design Department**
Facility, Kiev | Mar 2018 - Present
- Lead design team operations and optimize workflow across diverse project types
- Conceptualize and execute designs for websites, brands, and digital products
- Produce comprehensive UI/UX design, animations, logo systems, brand guidelines, and brandbooks
- Represent company in competitive tenders and offline business development initiatives
- Published work recognized on medium.com, mmr.ua, cases.media, and vc.ru
- Selected as judge for CSSDA and Ukraine Creative Week with progression toward awwwards judging panel
- Conduct educational workshops at Underhub co-working space

**Designer**
Kiev Smart City, Kiev
- Conceptualized and visualized final product design for Kiev Smart Card
- Developed dynamic advertising concepts for citywide campaigns

**Illustrator & Designer**
Mastercard, Kiev
- Created illustrations and limited edition branded products for 2018 UEFA Champions League Final in Kiev
- Designed brand activation concepts for Ukraine Independence Day 2018 campaign

**Visual Designer**
Stampede Games, Kiev
- Developed visual concepts and user interface design for mobile games
- Produced concept art
- Contributed to top-charting game releases: Evo Explores and .projekt..."
6026,"# Design Professional

**PROFESSIONAL SUMMARY**

Design professional with 18 years of experience creating impactful solutions across diverse industries. Proven expertise in user-centered design, pixel-perfect execution, and identifying opportunities for improvement. Demonstrated ability to lead teams, educate others, and deliver excellence on projects of all scales.

**CORE COMPETENCIES**

UI/UX Design • Brand Design & Corporate Identity • Product Design • Mobile Application Design • Website Design • Logo Design • Frontend Development (HTML5, CSS3, TypeScript, Vue.js) • Backend Development (Python, Swift) • Studio Management & Leadership • Sales & Project Management • Hiring & Team Building

**PROFESSIONAL EXPERIENCE**

**CEO & Designer** — 2014–Present
Own Design Studio
Led team of 20 employees

**Designer** — 2022
(NDA)

**Lead Product Designer** — 2020
Innovation Box

**UI/UX Design Teacher** — 2020
Hillel IT School

**UX Designer** — 2021
Bank BVR

**UI/UX & Brand Designer** — 2019
Ardas

**UI/UX & Brand Designer** — 2017
M2E pro

**UI/UX & Brand Designer** — 2016
Forforce

**UI/UX & Brand Designer** — 2015
Art. Lebedev Studio

**UI/UX & Brand Designer** — 2013
«Poster»

**UI/UX & Brand Designer** — 2012
«le Weekend»

**UI/UX & Brand Designer** — 2011
«November» Design Bureau

**Graphic Designer** — 2006
Freelance

**ACHIEVEMENTS**

- 300+ projects completed across multiple industries
- 30+ products designed from concept to launch
- 30+ mobile applications delivered
- 80+ websites designed
- 100+ logos and corporate identities created
- 150+ students instructed in UI/UX and brand design
- Speaker at Dribbble and industry conferences

**INDUSTRIES & EXPERTISE**

eCommerce, Finance, Banking, Investments, Marketing, Social Media, Legal, Education, Development, NFT, Art, Automotive, Gaming, Real Estate, Agriculture, Food & Beverage, Coffee, Fashion, Beauty, Service, Music, Dance, MMA, Medicine, Space, Sports, Technical, Weapons, Insurance

**GLOBAL EXPERIENCE**

International client base: USA, United Kingdom, Germany, Netherlands, Italy, France, Greece, Estonia, Australia, China, Ukraine

**EDUCATION**

Master's Degree in Engineering Design
MBA (Currently Pursuing)"
9479,"# GRAPHIC DESIGNER & UI/UX DESIGNER

## PROFESSIONAL SUMMARY

Creative and skilled graphic designer with expertise in visual design, branding, and user experience. Proficient in Adobe Creative Suite and Figma with experience in 3D design. Proven ability to manage design projects, lead teams, and deliver impactful visual solutions across digital and print media.

## CORE COMPETENCIES

**Design Software:** Adobe Photoshop, Adobe Illustrator, Adobe InDesign, Figma, Blender, After Effects

**Design Expertise:** Logo & Brand Identity Design, UI/UX Design, Key Visual Design, Social Media Marketing Materials, Print Design, 3D Design, Advertising Design, Catalog & Brochure Design, Web Design, Outdoor Advertising, Product Visualization, Branding Systems

**Professional Skills:** Team Leadership, Team Management, Client Collaboration, Visual Style Implementation, Branding & Rebranding, Prepress Operations, DTP Design

## PROFESSIONAL EXPERIENCE

**Graphic Designer & UI/UX Designer** | QA Madness
*November 2022 – Present*
- Contributed to company's global redesign with significant impact on final visual direction
- Redesigned website to reflect new brand vision and style
- Created and implemented fresh visual style for presentations
- Redesigned all social media materials for LinkedIn and Instagram; created design for DOU page
- Developed custom 3D elements integrated into design projects

**Graphic Designer** | Kronas
*August 2020 – February 2022*
- Designed logos, brand identities, and related printing materials for new company brands
- Produced 3-6 advertising key visuals monthly for website, social networks, and print
- Implemented new visual style for Instagram profile design and management
- Created multi-page product catalogs and brochures using InDesign
- Redesigned YouTube channel aesthetic and created video cover designs
- Designed custom sticker packs for Telegram and Viber platforms
- Developed comprehensive branding for new trade hall including stands and navigation systems

**Graphic Designer** | Design Studio ToTop
*October 2019 – August 2020*
- Designed visual solutions for clients across diverse industries
- Created logos and comprehensive brand identities
- Designed outdoor advertising including billboards, citylights, and vehicle branding
- Produced realistic product visualizations in Photoshop
- Executed extensive print design projects including calendars, business cards, postcards, and stickers
- Designed multi-page catalogs and brochures
- Completed full brochure design cycle (16 pages) from concept through client approval to print in one working day

**Lead Graphic Designer & Team Manager**
- Oversaw junior designers and team projects

## EDUCATION & TRAINING

**UI/UX Course** | Beetroot Academy
- Specialized training in user-centered design and user experience principles"
16980,"**DEPOSITPHOTOS | Content Researcher**

Created diverse content including collections and PowerPoints for clients, distributed via email and official website publishing for advertising purposes.
Collaborated with content managers to analyze development and performance metrics.
Organized advertising campaigns for major clients including Coca Cola, H&M, Colgate, Vogue Ukraine, and Marie Claire Maison Italy.
Managed workflows using Jira and CRM systems.
Developed localized content while maintaining alignment with brand voice and product style guidelines.

**DEPOSITPHOTOS | Contributor Relations Manager**

Identified potential and prominent photographers across EMEA and North America.
Supported contributors in developing their portfolios on cloud services.
Organized and conducted training seminars for new employees.

**Teacher of English Language**

Mentored students with special needs, including those with physical or psychological requirements.
Developed personalized teaching techniques and lectures tailored to individual student needs.
Restructured educational processes to accommodate each student's unique needs and capabilities.
Established personal connections with students that facilitated engagement and curriculum advancement.

**LIBERTY POWER | Door-to-Door Sales Agent**

Traveled to neighborhoods to merchandise and advertise products and services to the general public.
Developed compelling product presentations highlighting features and competitive advantages.
Persuaded clients to purchase products and finalized sales agreements."
17014,"English Philologist | Content Editor | Translator

EDUCATION
English Philology Studies – 4 Years

CORE COMPETENCIES
• Text Editing
• Writing
• Translation
• Social Media Analysis
• Content Research and Curation

PROFESSIONAL STRENGTHS
• Strong motivation and commitment to professional development
• Eager learner with passion for continuous growth
• Deep platform knowledge with active social media engagement
• Multi-platform content sourcing and inspiration identification

EXPERTISE
• Translation across digital platforms
• Content curation and research
• Social media strategy and analysis
• Digital media engagement and learning"
18230,"# Creative & Art Director | Graphic & UI/UX Designer

**Professional Summary**
Creative/Art Director and Graphic & UI/UX Designer with 10+ years of experience in branding, marketing, advertising, graphic design, web design, and mobile app design. Proven track record of developing unique, innovative solutions that drive business growth. Committed to delivering effective creative strategies grounded in mutual respect, honesty, decency, and punctuality.

**Core Competencies**
Brand Development & Strategy | Art Direction | Graphic Design | UI/UX Design | Web Design | Mobile App Design | Marketing & Advertising | Creative Concept Development

**Professional Experience**
- Designed 20+ distinctive brands for international clientele across USA, Canada, Australia, New Zealand, Austria, and Finland
- Developed and implemented innovative creative solutions across branding, marketing, and digital platforms

**Professional Values**
Mutual Respect | Honesty | Decency | Punctuality"
18348,"# Professional Designer

## PROFESSIONAL SUMMARY

Accomplished designer with 6+ years of commercial experience across multiple agencies. Demonstrated expertise in creating cohesive digital and print experiences through advanced proficiency in UX/UI design, motion design, and graphic design. Personally contributed to the creation of over 100 website designs, brand and advertising projects. Proven ability to collaborate effectively within team environments and deliver innovative design solutions.

## CORE COMPETENCIES

**Design Disciplines:**
• Graphic Design – Printed Products, Banners, Illustrations, Icons
• Web Design – Responsive and Adaptive
• Mobile Design – iOS and Android
• UX Prototyping and Interactive Prototypes
• UI Design
• Motion Design
• Wireframes
• Atomic Design Principles
• User Personas and User Flows

**Technical Skills:**
• Figma – Team Libraries, Auto Layout, Component Properties, Branches
• Adobe Photoshop – Expert Level
• Adobe Illustrator – Expert Level
• Adobe After Effects – Proficient
• HTML and CSS Fundamentals"
26715,"# PROFESSIONAL SUMMARY

Creative technologist and studio leader with 20 years of expertise in web design, UI/UX, 3D graphics, animation, and product development.

# EXPERIENCE

**Founder & CTO**
Outsource Studio
- Led technical vision and strategy as Chief Technology Officer
- Built and scaled development team from startup to 25 office-based developers and 20+ freelance contributors
- Managed art direction and design team operations
- Oversaw product development and cross-functional team collaboration

**Co-Owner**
Mobile Game Studio
- Oversaw full-cycle game development including concept development, UI/UX design, and animation
- Managed Unity VFX implementation, audio engineering, and cross-functional communication
- Delivered complete game production from conception to completion

# CORE COMPETENCIES

Web Design | UI/UX Design | 3D Graphics | Animation | Product Development | Team Leadership | Art Direction | Game Development | Unity | VFX | Project Management | Technical Strategy

# OBJECTIVE

Seeking a growth opportunity to leverage extensive technical leadership and creative expertise in a dynamic, collaborative environment."
26747,"# Design Professional

## Awards & Recognition
• 8 Design Awards on Behance
• Honorable mention in San Francisco Design Week
• Featured in Ukrainian Design: The Very Best of

## Professional Experience

**Design Leadership & Product Development**

6+ years of commercial design experience across startups, fintech, organization management, crypto, insurance, and healthcare. Expertise in Web, Mobile, Dashboard, and Web applications.

**Key Achievements:**
• Led design system creation from scratch with a 3-person team
• Contributed to Australia-based digital home loan product through MVP phase over 1 year
• Led design team of 8+ designers
• Managed designer mentorship and professional development programs
• Conducted performance feedback and 1-on-1 meetings
• Implemented personal improvement planning and support initiatives

**Core Competencies:**
• Hypothesis generation and user research
• Wireframing and prototyping
• Usability testing and analysis
• Design system creation and implementation
• Design team leadership and management
• Stakeholder communication and collaboration
• Low and high-fidelity UI design
• Cross-functional team collaboration"
