,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite
6018,"**Summary**

Results-oriented Web Designer with experience in website redesign and UX/UI design, specializing in creating user-centered interfaces. Demonstrated ability in user research, wireframe development, and visual design implementation, including responsive design. Eager to expand UI/UX skills and contribute to meaningful projects.

**Experience**

*   **Web Designer**

    *   Spearheaded the redesign of the Children's Music School website, emphasizing a visually engaging and easily navigable landing page.
    *   Performed a comprehensive analysis of the existing website to identify areas for improvement.
    *   Generated a detailed wireframe for the new landing page, including a news block and a clear call to action.
    *   Aligned the new design's color scheme and typography with the school's brand identity.
    *   Designed the visual elements of the landing page, prioritizing user experience and ease of navigation.
    *   Applied responsive design principles for optimal viewing across various devices.
    *   Contributed to Pet-Saver-Hub, a web service project focused on rescuing lost and found animals, concentrating on a user-friendly interface for pet searches.
    *   Conducted user research to understand user needs and challenges.
    *   Developed a detailed user flow and wireframe for the website, ensuring an intuitive interface.
    *   Integrated interactive elements, such as a map feature, to assist in locating lost or found pets.

**Skills**

*   Wireframing
*   Visual Design
*   User Research
*   Responsive Design

**Desired Career Goals**

*   Advance UI/UX design skills.
*   Contribute to impactful projects.
*   Collaborate with professionals to foster professional development.
*   Engage in challenging projects that promote creativity and utilize current design technologies and trends.
*   Emphasize effective communication and teamwork to achieve desired outcomes.
*   Actively engage with users and gather feedback to enhance user experience.
*   Prioritize creativity and attention to detail to deliver high-quality work.
"
6021,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Your LinkedIn Profile URL (Optional)] | [Your Portfolio URL (Optional)]

**Summary**

Design professional experienced in multiple design disciplines. Demonstrated ability to lead design teams, generate innovative concepts, and deliver high-quality products.

**Experience**

**Head of Design Department** | Facility, Kiev | Mar 2018 - Present

*   Managed the design process for diverse projects including websites, brands, and products.
*   Improved design workflows for various project types.
*   Generated concepts for websites, brands, and other products.
*   Produced UI/UX designs, animations, logo books, brand guidelines, and brandbooks.
*   Participated in tenders and offline company activities.
*   Managed a team of designers.

**Projects**

*   **Websites:** 50+ Websites
*   **Logotypes:** 30+ Logotypes
*   **Mobile Apps:** 4 Mobile Apps
*   **Games:** 3 Games
*   **Social Network:** 1 Social Network

**Additional Experience**

**Kiev Smart City, Kiev**

*   Contributed to concept and final product visualization for Kiev Smart Card.
*   Developed a series of dynamic city ad concepts.

**Mastercard, Kiev**

*   Created illustrations and limited-edition products for the 2018 UEFA Champions League Final in Kiev.
*   Developed a concept for a brand activation program on Ukraine Independence Day 2018.

**“Stampede Games”, Kiev**

*   Developed visual concepts and UI for mobile games.
*   Created concept art for the second part of a game.
*   Contributed to games featured on top-charts:
    *   Evo Explores
    *   .projekt

**Recognition & Activities**

*   Authored articles on medium.com, mmr.ua, cases.media, and vc.ru.
*   Served as a judge for CSSDA and Ukraine Creative Week.
*   Approaching final steps to join the awwwards judge team.
*   Delivered educational lectures in Underhub co-working.
"
6026,"**[Your Name]**

**Summary**

Design professional with over 12 years of experience creating impactful designs and guiding projects. Proven ability to deliver user-centered solutions. Passionate about design.

**Experience**

*   **Own Design Studio** | CEO & Designer | 2014
    *   Managed a team.
    *   Oversaw studio operations, including sales, management, hiring, and project creation.
*   **UI/UX & Brand Designer** | Multiple Roles | 2011-2022
    *   Experience at: Bank BVR (2021), Innovation Box (2020), Ardas (2019), M2E pro (2017), Forforce (2016), Art. Lebedev Studio (2015), «Poster» (2013), «le Weekend» (2012), «November» Design Bureau (2011).
    *   Responsibilities included UI/UX and brand design.
*   **UI/UX Design Teacher** | Hillel IT School | 2020
    *   Taught UI/UX design.
*   **Graphic Designer** | Freelance | 2006
    *   Provided graphic design services.

**Projects**

*   Created over 300 projects.
*   Developed over 30 products from scratch.
*   Designed over 30 mobile applications.
*   Designed over 80 websites.
*   Created over 100 logos and corporate styles.

**Education**

*   MBA Candidate
*   Master's Degree in “Engineering Design”

**Skills**

*   UI/UX Design
*   Brand Design
*   Frontend Development (HTML5/CSS3/TypeScript/Vue.js) - *Coursework*
*   Backend Development (Python, Swift) - *Coursework*

**Speaking Engagements**

*   Dribbble & etc. conferences

**Additional Information**

*   Industries Served: eCommerce, Finance, Banking, Investments, Marketing, Social Media, Laws, Education, Development, NFT, Art, Auto, Game, Building, Agro, Food, Coffee, Fashion, Beauty, Food, Service, Music, Dance, MMA, Medicine, Space, Sex, Sport, Technique, Weapon, Insurance
*   Clients Served in: USA, United Kingdom, Germany, Netherlands, Italy, France, Greece, Estonia, Australia, China & Ukraine.
"
9479,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Your Portfolio Link (if applicable)]

**Summary**

Results-driven graphic designer with a strong background in visual communication, branding, and user interface design. Demonstrated ability to produce effective designs across digital and print platforms. Skilled in project management and collaborative teamwork.

**Skills**

*   Adobe Photoshop
*   Adobe Illustrator
*   Adobe InDesign
*   Figma
*   Blender
*   After Effects
*   UI/UX Design
*   3D Design
*   Branding & Identity
*   Key Visual Design
*   SMM Design
*   Print Design

**Experience**

**QA Madness** | Graphic Designer & UI/UX Designer | Nov 2022 – Present

*   Played a key role in the company's global redesign, contributing to the final visual outcome.
*   Redesigned the company website to reflect the new vision and style.
*   Successfully implemented a new visual style for presentations.
*   Completely redesigned all SMM materials, including LinkedIn, Instagram, and a DOU page.
*   Incorporated self-created 3D elements into design projects.

**Kronas** | Graphic Designer | Aug 2020 – Feb 2022

*   Designed logos, identities, and related print materials for new brands.
*   Developed monthly advertising key visuals (3-6) for the website, social media, and print.
*   Introduced and implemented a new visual style for the Instagram profile.
*   Created multi-page catalogs and brochures using InDesign.
*   Updated the visual design of the company's YouTube channel, including video covers.
*   Created custom sticker packs for Telegram and Viber.
*   Developed the design for a new trade hall, including branding and navigation elements.

**Design Studio ToTop** | Graphic Designer | Oct 2019 – Aug 2020

*   Developed designs for diverse companies across various industries.
*   Designed logos and brand identities.
*   Created outdoor advertising materials (billboards, citylights, car branding).
*   Produced realistic product visualizations in Photoshop.
*   Designed various print materials (calendars, business cards, postcards, stickers, etc.).
*   Designed multi-page catalogs and brochures.
*   Successfully designed, developed, and launched a 16-page brochure within a single workday.

**Education**

Beetroot Academy | UI/UX Course | [Completion Date or Period]

**Additional Information**

*   Experience leading a small team of junior designers.
*   Proficient in Prepress and DTP processes.
"
16980,"**Depositphotos | Content Researcher**

*   Researched and created content, including collections and PowerPoints, for client advertising and content distribution via email and website publications.
*   Collaborated with content managers, analyzing their development and metrics.
*   Managed advertisements for influencers and clients, including Coca Cola, H&M, Colgate, Vogue Ukraine, and Marie Claire Maison Italy.
*   Utilized Jira and CRM systems.
*   Managed localized content, ensuring adherence to brand tone and style.

**Depositphotos | Contributor Relations Manager**

*   Researched and identified potential photographers in EMEA and North America.
*   Collaborated with contributors to develop their portfolios on cloud services.
*   Led training seminars for new employees.

**Teacher of English Language**

*   Mentored students with special needs, including physical and psychological needs.
*   Developed personalized techniques and lectures for each student.
*   Adapted the educational process to suit each child's needs and capabilities, tailoring lectures and assignments.
*   Built individual connections with students, fostering knowledge acquisition and curriculum advancement.

**Liberty Power | Door-to-door Sales Agent**

*   Presented and advertised products or services to the public in various neighborhoods.
*   Delivered presentations on product features and highlighted competitive advantages.
*   Persuaded clients to purchase products using a script and facilitated agreements.
"
17014,"**[Your Name]**
[Your Contact Information]

**Summary**

Enthusiastic English philology student with four years of academic experience. Skilled in text editing, writing, and translation. Demonstrates a keen interest in social media and the IT field. Dedicated to continuous learning and making valuable contributions.

**Skills**

*   Text Editing
*   Writing
*   Translation
*   Social Media Awareness
"
18230,"**[Your Name]**
[Your Contact Information]

**Summary**

Creative/Art Director, Graphic and UI/UX Designer with 10+ years of experience. Based in Ukraine, experienced in brand development and design solutions for global clients.

**Experience**

*   Developed 20+ brands in Ukraine.
*   Collaborated with clients in the USA, Canada, Australia, New Zealand, Austria, and Finland.

**Skills**

*   Branding
*   Marketing
*   Advertising
*   Graphic Design
*   Web Design
*   Mobile App Design

**Values**

*   Mutual Respect
*   Honesty
*   Decency
*   Punctuality
"
18348,"**[Your Name]**

**Summary**

A design professional with over 6 years of commercial experience spanning website, mobile, and graphic design roles within various agencies. Demonstrated ability to contribute to creative projects, including the creation of over 100 website designs, branding, and advertising projects. Experienced in UX prototyping, UI design, and motion design for desktop and mobile applications. Seeking a collaborative team environment to apply artistic skills to contemporary design projects.

**Skills**

*   Graphic Design (Printed Products, Banners, Illustrations, Icons)
*   Web Design (Responsive, Adaptive)
*   Mobile Design (iOS, Android)
*   Wireframing
*   Interactive Prototyping
*   Atomic Design
*   User Research (Personas & Flows)
*   HTML & CSS Fundamentals

**Tools**

*   Figma (Team Libraries, Auto Layout, Component Properties, Branching)
*   Adobe Photoshop (Expert)
*   Adobe Illustrator (Expert)
*   Adobe After Effects (Proficient)
"
26715,"**[Your Name]**

**Summary**

Professional with approximately 20 years of experience in web design, UI/UX, 3D graphics, animation, and original product creation. Demonstrated ability in team leadership and management, with a focus on design and technical direction. Seeking opportunities for professional development.

**Experience**

*   **CTO/Tech Lead, Outsource Studio**
    *   Directed the technical operations of an outsource studio.
    *   Managed a team of up to 25 in-office developers and over 20 freelancers.
    *   Offered art direction and managed the design team.

*   **Co-Owner, Mobile Game Studio**
    *   Contributed to the complete mobile game development process, including concept development, UI/UX design, overall design, animation, Unity VFX, communication, and sound editing.
"
26747,"**Summary**

Results-driven designer with 6+ years of commercial experience across diverse sectors including startups, fintech, organization management, crypto, insurance, and healthcare. Demonstrated ability to translate concepts into user-centered designs for web, mobile, and dashboard applications. Skilled in all stages of the design process, from research and ideation to implementation and team leadership.

**Experience**

*   **Australia-Based Digital Home Loan Product (1 year)**
    *   Contributed to the development of a digital home loan product, from inception to MVP, as part of a three-person team.
    *   Led the creation of a design system.

**Awards & Recognition**

*   8 Design Awards on Behance
*   Honorable Mention, San Francisco Design Week
*   Featured in ""The Very Best of Ukrainian Design""

**Skills**

*   **Design Process:** Hypothesis generation, research, wireframing, prototyping, usability testing, UI design, design system creation.
*   **Leadership:** Design team leadership (up to 8 people), mentorship, 1:1 meetings, feedback and support.
*   **Collaboration:** Communication with stakeholders and product managers, cross-functional collaboration.
*   **Technical:** Web, Mobile, Dashboard, and Web application design.
*   **Strategic:** User-centered design, business needs analysis, best practice design.

**Project Stages**

*   Stakeholder and Product Manager Communication
*   User Research
*   Functionality Mapping and Process Flow Creation
*   Low/High Fidelity Wireframing
*   UI Research and Design

**Teamwork & Mentorship**

*   Mentorship of junior designers
*   1:1 meetings
*   Feedback and support to teammates
"
29788,"**[Your Name]**
[Your Contact Information]

**Summary**

Self-taught Digital 2D Artist & UI/UX Designer based in Kyiv. Experienced in digital design and knowledgeable of current design trends. Seeking a collaborative environment for contribution and continued development.

**Skills**

*   UI/UX Design / Adaptive Design
*   Illustration (Raster/Vector)
*   Banner Design
*   Logo Design
*   Upper-Intermediate English
*   Verbal and Written Communication
*   Time and Self-Management

**Tools**

*   Adobe Photoshop
*   Adobe Illustrator
*   Procreate App
*   Figma
*   Midjourney

**Experience**

*   **Full Stack: UI/UX Designer / Illustrator / Graphic Designer** (April 2021 – Present)
*   **UI/UX Designer / Illustrator** (November 2019 – August 2021)
*   **Freelance Web Designer** (December 2018 – November 2019)

**Awards**

*   RED DOT / Brands & Communication Design (August 2022)
"
29835,"**[Your Name]**
[Your Contact Information]

**Summary**

Digital Designer with experience in Marketing, dedicated to visually compelling designs. Proficient in Photoshop, Illustrator, Figma, and Webflow (animation, CMS). Experienced in freelance and in-house roles, collaborating with diverse teams and clients. Focused on delivering designs that enhance client engagement and seeking long-term opportunities for growth in product development that improves user experience.

**Skills**

*   Color Sense, Color Theory, Composition
*   Branding, Advertising, Illustration
*   Web Ads, Social Media Ads, Digital Design, Digital Imagery, Digital Analytics, E-blast
*   UI/UX Design
*   HTML/CSS
*   Webflow

**Soft Skills**

*   Independent and Team Collaboration
*   Creative
*   Customer Interaction

**Education**

*   Dare IT - Product Design
*   HILLEL (IT School) - Basic Web Design
*   CASES MEDIA - Figma (90)
*   CASES MEDIA - Graphic Design. Composition (91)

**Experience**

*   Digital Designer: Proficient in Photoshop, Illustrator, Figma, and Webflow (animation, CMS). Experience with websites and E-blasts.
*   Freelance Designer: Experience working for an American company.
*   In-House Experience: Experience as an in-house manager.
*   Team Collaboration: Collaborated on projects with teams for over 5 companies from different countries.
"
30606,"**[Your Name]**

**Summary**

UI/UX designer experienced in project collaboration, with proficiency in Figma.

**Skills**

*   Figma: Design Systems, UI Kits, Auto Layout, Interactive Components, Prototyping, Plugins
*   UX Research
*   Competitive Analysis
*   Sketching and Prototyping
*   Design Principles: Composition, Typography, Color Theory
*   Design Trends
*   Teamwork
*   Presentation Skills
*   Google Workspace: Docs, Forms

**Experience**

**Projects, Beetroot Academy Mentorship**

*   Performed UX and Competitive Research.
*   Created sketches and prototypes.
*   Applied design principles including composition, typography, and color.
*   Utilized knowledge of current design trends.
*   Collaborated effectively within a team.
*   Presented project deliverables.
*   Leveraged Google Workspace for project documentation and data collection.
"
30845,"**Jane Doe**
[Your Phone Number] | [Your Email] | [Your Portfolio Link (Optional)] | [Your LinkedIn Profile (Optional)]

**Summary**

Enthusiastic junior UI/UX designer focused on creating engaging and intuitive user experiences. Proficient in design software including Figma, Photoshop, and Illustrator, with a strong understanding of design principles and user-centered methodologies. Experienced in developing interactive prototypes, wireframes, and mockups to improve user engagement and product usability. Collaborative team member committed to ongoing learning and adapting design strategies to meet user needs.

**Skills**

*   UI/UX Design
*   Figma
*   Photoshop
*   Illustrator
*   HTML/CSS (Studied)
*   Wireframing
*   Prototyping
*   User-Centered Design

**Projects**

*   **Website Redesign for a Real Estate Company**
    *   Redesigned the website for a real estate company in Destin, Florida.
    *   Addressed issues with outdated design, poor user experience, and low-quality photos.
    *   Conducted competitor research and analysis.
    *   Developed 3 user personas and a customer journey map.
*   **Travel Website**
    *   Created a web service to assist users in finding and booking excursions, tours, entrance tickets, and entertainment globally.
    *   Enabled travel users to find and order tours and excursions.
    *   Provided a platform for travel agents and companies to post excursion offers.
    *   Included features for searching excursions with filters, viewing excursions by category, registration options, and card payment for bookings.
    *   Completed competitor analysis, user journey mapping, and user flow development.
    *   Developed wireframes, a UI kit, and an adaptive design.
*   **Mobile Application for Booking Tables in Restaurants**
    *   (No additional information)

**Education**

*   UI/UX Design Course (6 months)

**Additional Information**

*   Quick learner, responsible, and capable of handling complex tasks.
"
32072,"**UI/UX Designer**

*   Increased onboarding effectiveness for a financial institution app by 35%.
*   Directed a team of designers in the creation of user-centered products.
*   Applied Agile methodologies to provide customized solutions.
*   Leveraged wireframes, mockups, and prototypes for user interface development.
*   Enhanced the audience management system of a SaaS tool by 25%.
*   Designed solutions aligned with business objectives.
"
46443,"**Summary**

Over 10 years of commercial experience in web solution design and development. Demonstrated ability in the design and implementation of large-scale CRM and SaaS projects, as well as mobile and desktop applications. Expertise in creating and maintaining Design Systems to optimize product development.

**Experience**

*   **Design System Specialist**
    *   Developed comprehensive design systems, from concept to execution, utilizing React and Storybook.
    *   Managed the end-to-end product creation process, from initiation to launch, within 3-4 week cycles.
    *   Designed and developed over 50 landing pages and promotional pages, and over 10 user interfaces.
    *   Implemented a range of functionalities, including dashboards, smart timers, and photo editors.
*   **Various Design Roles**
    *   Held a variety of design positions, including Graphic Designer and Product Designer.

**Skills**

*   Proficient in: Figma, Sketch, Adobe CC suite, HTML, CSS, JavaScript, React, Next.js, WordPress, Storybook.

**Desired Opportunity**

Seeking a company or development team focused on enhancing user experience and product quality. Interested in roles involving UI/UX, branding, corporate style, and design system creation/maintenance, and the opportunity to contribute to product development.
"
46506,"**[Your Name]**
**[Your Contact Information]**

**Summary**

Software Developer experienced in front-end web development with JavaScript and React within a small IT company.

**Skills**

*   JavaScript
*   React
*   JSX (HTML, CSS)
*   Framer Motion
*   Mui components
*   Bootstrap
*   Materialize
*   Figma
*   Adobe Photoshop

**Experience**

**Software Developer** | [IT Company Name] | [Dates of Employment]

*   Developed web pages using JSX (HTML, CSS).
*   Utilized the React framework for project development.
*   Implemented animations with Framer Motion.
*   Employed Mui components for user interface elements.
*   Utilized Bootstrap and Materialize for responsive design.
*   Collaborated on design using Figma and Adobe Photoshop.
"
50300,"**Summary**

Results-oriented frontend developer with a history of delivering successful projects, including the design and deployment of a customer engagement suite for a major e-commerce business. Expertise in developing user interfaces, integrating APIs, and building custom plugins using React, Vue, and Flutter. Skilled in backend development with Node.js. Committed to creating excellent user experiences and staying current with industry trends.

**Experience**

*   **Frontend Developer**
    *   Developed frontend interfaces based on client specifications, ensuring usability.
    *   Maintained application user experience according to industry standards.
    *   Collaborated with development teams and worked independently.
    *   Debugged issues, performed application performance checks, and optimized code.
    *   Participated in project planning and strategizing information flows.

**Projects**

*   Designed and deployed a customer engagement suite for a major e-commerce business, contributing to customer acquisition, satisfaction, and retention. The project was completed on time and received positive feedback.
*   Developed interfaces, integrated APIs, and built custom plugins using React, Vue, and Flutter.
*   Created websites and applications using Node.js for backend development.

**Skills**

*   React
*   Vue
*   Flutter
*   Node.js
*   API Integration
*   Frontend Development
*   User Interface Design
*   Debugging
*   Performance Optimization
*   Project Planning
"
51419,"**[Your Name]**

**Summary**

Results-oriented UI/UX developer with a demonstrated ability to solve complex problems. Career transition from programming to design, utilizing an IT background to create user-focused solutions. Seeking a full-time, remote position.

**Experience**

*   **UI/UX Developer** | [IT Company Name] | [Start Date] - Present
    *   Developed UI/UX solutions as an out-staff member.
*   **Freelance Designer** | [Start Date] - [End Date]
    *   Completed diverse design projects.

**Skills**

*   UI/UX Development
*   [Add skills from your previous programming experience if applicable, such as: HTML, CSS, JavaScript, etc.]
"
53971,"**[Your Name]**
[Your Contact Information]

**Summary**

Results-oriented Game UI/UX Designer with 3 years of experience specializing in game interface design, currently seeking new opportunities within the game development industry. Proven ability to create engaging and effective user interfaces, complemented by a strong foundation in graphic design and diverse experience in various aspects of game development.

**Experience**

**Game UI Designer** | [Gamedev Company Name] | [Dates of Employment:  (1.5 years ago to Present)]
*   [List of Responsibilities and Accomplishments - *Use your original statements to create these bullets*]

**Indie Game Development** | [Various Indie Teams] | 2019 - Present
*   Contributed to various indie game projects, including 3D modeling, texturing, and 3D animation.
*   Leveraged graphic design expertise to excel in the creation of game interfaces.

**Senior Graphic Designer** | [Previous Company Name(s) or Project(s)] | [Dates of Employment:  (5 years prior to Game UI Designer Start Date)]
*   [List of Responsibilities and Accomplishments - *Use your original statements to create these bullets*]

**Skills**

*   Game UI/UX Design
*   Graphic Design
*   3D Modeling
*   Texturing
*   3D Animation
"
53972,"**[Your Name]**

**Summary**

Creative professional with 2+ years of experience in web and graphic design, including the creation of websites, banners, and emails. Includes 1 year of experience in GameDev, specializing in the design of offers, decorations, and banners for mobile games. Proficient in Photoshop, Figma, and After Effects. Seeking a long-term collaboration within the GameDev industry.

**Experience**

*   **GameDev** (1 year)
    *   Designed offers, decorations, and banners for mobile games.
*   **Web Design/Graphic Design** (2+ years)
    *   Created websites, banners, and emails.

**Skills**

*   Photoshop
*   Figma
*   After Effects (Animation)
*   Layout Design
*   Graphic Design

**Projects/Responsibilities**

*   Developed layouts using provided graphics.
*   Designed navigation elements and decorations for mobile games.
*   Produced animations for game elements.

**Interests**

*   Mobile game development
*   Long-term cooperation
"
53973,"**[Your Name]**

**Summary**

Game UI/UX Designer with UI Artist and animation knowledge (since 2019), leveraging a background in web design (since 2015). Possesses a comprehensive understanding of the project lifecycle and proficiency in HTML, CSS, and JavaScript. Skilled in Figma, Adobe Photoshop, Unreal Engine 4, and Unity.

**Experience**

*   **Game UI/UX Designer** (2019 - Present)
    *   Developed design processes.
    *   Mentored staff.
    *   Independently secured clients.
    *   Provided skill-up training for staff.
    *   Participated in website updates.
    *   Redesigned logos for websites and applications.
*   **Web Designer** (2015 - 2019)

**Responsibilities**

*   Designed and implemented user-friendly UX flows aligned with game design.
*   Created UI screens, UI elements, and prepared assets for programmers.
*   Communicated UX vision and design concepts to team members.
*   Collaborated with team members to integrate designs into the game.
*   Contributed additional skills to support game development.

**Skills**

*   UI/UX Design
*   UI Art
*   Animation
*   Figma
*   Adobe Photoshop
*   Unreal Engine 4
*   Unity
*   HTML
*   CSS
*   JavaScript

**Additional Information**

*   Committed to continuous learning.
*   Enjoys sports (basketball, Brazilian jiu-jitsu), yoga, and a healthy lifestyle.
*   Teaches design at IT Academy (Lviv).

**Teamwork & Environment**

*   Works effectively in a team-oriented environment.
*   Results-oriented.
*   Values flexibility and collaboration.
*   Appreciates the contributions of each team member.
"
53974,"**[Your Name]**
[Your Contact Information]

**Summary**

Game UI/UX Designer/Artist experienced at a Ukrainian game company. Designs UI visuals for casual games, from concept to final rendering and sprite preparation for Unity. Works with a multidisciplinary team including designers, managers, 2D and 3D artists, and programmers.

**Experience**

*   **Game UI/UX Designer/Artist** | Ukrainian Game Company
    *   Designed UI visuals for casual games, including concept development, rendering, and sprite preparation for Unity.
    *   Researched game interfaces and functional solutions.
    *   Developed user-friendly, visually appealing, and unique interfaces.
    *   Created supplementary game interface assets (logos, icons, buttons, pop-ups, unique mechanics).
    *   Oversaw interface implementation in game engines.
    *   Maintained awareness of UI/UX design trends and techniques.
    *   Contributed to the development of a released mobile casual game.

**Education**

*   **Bachelor of Arts in ""Artist-performer""** | Kyiv National University of Construction and Architecture
"
