,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo
0,"2D artist, Sketcher at Templatemonster.com
2005 — December 2011
Developed icons for websites. Created sketches for 3D models.

2D-artist, Art Leader at Slotopaint.com, Mykolaiv
December 2017 — 2022
Created symbols, interfaces, pop-ups, and other elements for casual games, slots, UI/UX games, various strategies, puzzles, card games, and roulettes. Led the art department.

Dedicated illustrator committed to delivering high-quality work. Hardworking, detail-oriented, and responsible. Proficient in using a graphic tablet. Well-versed in composition, perspective, volume, and isometry (particularly fond of isometric objects). Holds a degree in art. Capable of effectively collaborating in a team. Skilled in graphic design."
1,"• 4 роки досвіду на посаді арт-директора та 12 років у сфері дизайну та IT.
• Управління дизайн-командами та співпраця з розробниками, клієнтами та власниками продукту.
• Навчання початківців у дизайні та спільне з ними зростання.
• Повний цикл дизайну продукту: від ідеї до втілення, включаючи дослідження, прототипування та контроль якості.
• Досвід у фінтех та криптовалютній сферах, проектування складних платформ.
• Робота зі стартапами (B2B, B2C) з високими показниками залучення.
• Знання HTML, CSS та JavaScript.
• Досвід у брендингу, упаковці, маркетингових та рекламних матеріалах, landing pages, інтерфейс-кітах тощо.
• Вміння в UX-writing, типографіці та поліграфії.
• Спрямованість на дизайн-мислення та стилістичні рішення.
• Здатність адаптуватися до трендів та вносити свої ідеї.
• Бажання працювати в продуктовій компанії з соціально-відповідальним підходом до бізнесу."
2,Worked at Africa Studio for over two years as a retoucher before deciding to transition into UI/UX design for game interfaces. Currently pursuing a course in UI/UX design to further develop and enhance skills.
3,"Робота в проекті ""Бізнес Інженерія"" 
- Розробка лого, банеру, інфографіки
- Дизайн візитівок, логотипів, сертифікатів для клієнтів
- Малюю як на папері, так і в діджитал, використовую Adobe Illustrator
- Професійна фотографія
- Готова ризикувати та братися за різні проекти
- Навчання у школах по дизайну, розробка гарних робіт
- Працювала з людьми, задоволення від їх захвату від моєї роботи"
4,"2014-2016 фріланс
2016 - по теперішній час дизайнер в Stan Agency

Мій досвід роботи в дизайні складає 8 років. Я працюю в програмах Adobe Photoshop, Adobe Illustrator та Figma на високому рівні. Маю досвід у розробці логотипів, брендінгу та упаковки продукту. Також я розробляю веб-кейси для сайту, рекламні баннери та інше. Маю бажання працювати в галузі UI/UX Design.

Навички:
- Створення та розробка логотипів та брендингу.
- Дослідження та аналіз ринку.
- Розробка упаковки різної складності.
- Дизайн, підготовка до друку та верстка друкованої продукції.
- Впевнене володіння Adobe Photoshop, Adobe Illustrator та Figma.
- Глибокі знання пакетів Microsoft: Word, Excel, Power Point.
- Базові навички векторної ілюстрації та авторської типографіки.
- Високомотивована самостійна особистість."
5,"Професійний дизайнер з вищою освітою та понад трьохрічним досвідом роботи в рекламній компанії. Відкрив відділ графічного дизайну в середині компанії. Маю великий досвід у роботі над довготривалими проектами, вмію працювати в команді та відповідально ставлюся до своєї роботи. Завжди прагну до саморозвитку та надаю перевагу якісному виконанню завдань."
6,"Досвід у поліграфії та володіння графічними програмами Adobe. Навички верстки та дизайну макетів для друку, додрукарської підготовки. Закінчила курси веб-дизайну (UX/UI) у 2019 році. Бажання працювати віддалено та розвиватись у сфері веб-дизайну."
7,"Hello. I am seeking a position in UI/UX design and animation. With several years of experience in graphic design, including international projects, I have worked on a variety of design projects ranging from business cards and catalogs to brand books, websites, and applications using tools such as Photoshop, Illustrator, and InDesign. I have found UI/UX design to be my passion and am dedicated to furthering my skills in this field. Currently, I am honing my skills in Figma, learning English, creating prototypes, and delving into animation. Thank you for considering my application."
8,"- Вища художня освіта (НАОМА/граф.дизайн)
- Досвід роботи ілюстратором, графічним дизайнером та веб дизайнером в рекламному агентстві
- Розробка сайтів, мобільних додатків, інфографіки та брендингу
- Бажання розвиватись в сфері UI/UX дизайну та розробки мобільних додатків
- Цікавість професійним зростанням та вивченням нових технологій
- Прагнення працювати в команді, не готова бути єдиним дизайнером на проекті
- Пошук компанії з налагодженими процесами

Надіюсь, цей текст відображає ваші фактичні обов'язки, досвід та навички."
9,"10-11.2021 - E-Commerce: 
- Developed design and functionality for desktop and mobile versions
- Created clickable prototype
- Established design system in Figma

11.2021-01.2022 - Medical Mobile Application Development:
- Researched and analyzed client's competitors
- Developed user personas and User Flow
- Created Low Fidelity / High Fidelity Wireframes
- Designed clickable prototype

01.2022-03.2022 - Online Store Mobile Application:
- Developed personas and User Flow
- Designed Low Fidelity / High Fidelity Wireframes
- Created clickable prototype with Jitter animation

05.2022-06.2022 - Private Clinic Dashboard:
- Designed tables and diagrams for clinic statistics
- Developed personas, Low Fidelity Wireframes, and clickable prototype

06.2022 - 02.2023 - Freelance Web Designer:
- Created and redesigned landing pages
- Prepared graphic materials for websites, including photo processing
- Developed concepts and provided client recommendations
- Designed Saas apps and Dashboards

02.2023 - Present - Product Designer at Reshape:
- Created interface elements such as widgets, icons, and treeview
- Developed design system for mobile apps, internet stores, landing pages, and Saas applications"
