Position,Moreinfo,Looking For,Highlights,Primary Keyword,English Level,Experience Years,CV,CV_lang,id,__index_level_0__
UI/UX Designer,"02/06/2022 - 24/12/2022
UI/UX Design - “Legalux” Poland
Negotiations with the customer 
setting a brief for a technical task.
Wireframing, prototyping, website redesign.
Design for instagram banners for target. 
2d animation banners.",,,Design,upper,1.0,"
02/06/2022 - 24/12/2022
UI/UX Design - “Legalux” Poland
Negotiations with the customer 
setting a brief for a technical task.
Wireframing, prototyping, website redesign.
Design for instagram banners for target. 
2d animation banners.
",en,940a3db2-0456-56f8-b6e3-6ca159a50684,218665
UI/UX Designer,"02/2022 to 08/2021
UX/UI Designer – Freelance, UA
•	Implementation of the project for the bakery. Desktop and mobile version. Drawing up a portrait of a potential buyer, analyzing his habits and needs. Analysis of competitors. Implementation of website design taking into account the needs of the client.
•	Implementation of a project for a pizzeria. desktop version. Online store. Drawing up a portrait of a potential buyer, analyzing his habits and needs. Analysis of competitors. Implementation of website design taking into account the needs of the client. Ordering pizza on the website with delivery.
•	Implementation of the project for the gym. desktop version. Drawing up a portrait of a potential visitor, analyzing his habits and needs. Understanding his fears. Analysis of sites and services of competitors. Implementation of website design taking into account the needs of the client. Describing all the benefits in a favorable light.",,"Hello. I live in Ukraine and I'll be happy to find a remote job.

UX/UI Designer
Figma, Adobe Photoshop, Adobe Illustrator, Corel Draw
I understand HTML, CSS.
English Pre-Intermediate
Experience as a designer 8 years.",Design,intermediate,1.0,"Hello. I live in Ukraine and I'll be happy to find a remote job.

UX/UI Designer
Figma, Adobe Photoshop, Adobe Illustrator, Corel Draw
I understand HTML, CSS.
English Pre-Intermediate
Experience as a designer 8 years.
02/2022 to 08/2021
UX/UI Designer – Freelance, UA
•	Implementation of the project for the bakery. Desktop and mobile version. Drawing up a portrait of a potential buyer, analyzing his habits and needs. Analysis of competitors. Implementation of website design taking into account the needs of the client.
•	Implementation of a project for a pizzeria. desktop version. Online store. Drawing up a portrait of a potential buyer, analyzing his habits and needs. Analysis of competitors. Implementation of website design taking into account the needs of the client. Ordering pizza on the website with delivery.
•	Implementation of the project for the gym. desktop version. Drawing up a portrait of a potential visitor, analyzing his habits and needs. Understanding his fears. Analysis of sites and services of competitors. Implementation of website design taking into account the needs of the client. Describing all the benefits in a favorable light.
",en,7896a3b2-f98b-57a0-9334-3a1202300801,218666
UI/UX Designer,"03.2022 - to Now
FREELANCE WORK UI AND GRAPH DESIGN
Execution of various orders related to UI/UX design.























     UX/UI DESIGN OF STORE INTERNET |
ANNA AND SOFIA CERAMICS
The online store of ceramic products.
Completed projects:
     UX/UI DESIGN OF STORE INTERNET 
Humorous application BANDEROGUS. The application was created to support the fighting spirit of the people of Ukraine and help them morally with a touch of humor.
     BRANDING | SUMBOL
During her freelancing, she participated in the design project of the Sumbol company.
     BRANDING | BEAUTY SPACE LOGO
Beauty SB space is a beauty salon for women, a place where the best professionals in their field emphasize the beauty of every woman.
     FREE BANNERS
Free banner design that can be used for advertising.
     UX/UI DESIGN WEBSITE | TEXAS
This is a site with an online store for a horse farm in America.","Work in a company or interesting one-time/repeated projects that will give you the opportunity to quickly develop, improve your skills, expand your understanding of modern web design.","My achievements and skills:

- I know the Figma editor perfectly;
- I design websites, web applications, advertising banners, logos, etc.;
- create interactive prototypes;
- I create layouts ready for layout;
- I apply UX principles, I can explain my design decision from the point of view of the psychology of user behavior.",Design,intermediate,1.5,"My achievements and skills:

- I know the Figma editor perfectly;
- I design websites, web applications, advertising banners, logos, etc.;
- create interactive prototypes;
- I create layouts ready for layout;
- I apply UX principles, I can explain my design decision from the point of view of the psychology of user behavior.
03.2022 - to Now
FREELANCE WORK UI AND GRAPH DESIGN
Execution of various orders related to UI/UX design.























     UX/UI DESIGN OF STORE INTERNET |
ANNA AND SOFIA CERAMICS
The online store of ceramic products.
Completed projects:
     UX/UI DESIGN OF STORE INTERNET 
Humorous application BANDEROGUS. The application was created to support the fighting spirit of the people of Ukraine and help them morally with a touch of humor.
     BRANDING | SUMBOL
During her freelancing, she participated in the design project of the Sumbol company.
     BRANDING | BEAUTY SPACE LOGO
Beauty SB space is a beauty salon for women, a place where the best professionals in their field emphasize the beauty of every woman.
     FREE BANNERS
Free banner design that can be used for advertising.
     UX/UI DESIGN WEBSITE | TEXAS
This is a site with an online store for a horse farm in America.
Work in a company or interesting one-time/repeated projects that will give you the opportunity to quickly develop, improve your skills, expand your understanding of modern web design.",en,e3a04d58-9cf7-59e7-afd6-e951c034b627,218667
UI/UX Designer,"05.08 - 11.10- Creating a Landingpage for a store “Chocolate covered strawberries” 
as well as the creation of an adaptive version. (Training project)

04.10 - 22.11- Creation of a multi-page website for a furniture store. Creation 
of additional pages taking into account the complication
(""Constructor"" of individual goods under the order, Delivery
throughout Europe). (Training project)

15.02 - 17.04- Creation of a multi-page website for a sport store. (Training project)

20.04 - 23.04- Creation of an App for care about home planst. (Training project)

29.08 - 05.09- Creation of an an identity for flower shop. Greeting card, postcard in a bouquet, instructions on how to care, logo, sticker, business card, flyer, Instagram highlights design, special calendar.",,,Design,upper,0.5,"
05.08 - 11.10- Creating a Landingpage for a store “Chocolate covered strawberries” 
as well as the creation of an adaptive version. (Training project)

04.10 - 22.11- Creation of a multi-page website for a furniture store. Creation 
of additional pages taking into account the complication
(""Constructor"" of individual goods under the order, Delivery
throughout Europe). (Training project)

15.02 - 17.04- Creation of a multi-page website for a sport store. (Training project)

20.04 - 23.04- Creation of an App for care about home planst. (Training project)

29.08 - 05.09- Creation of an an identity for flower shop. Greeting card, postcard in a bouquet, instructions on how to care, logo, sticker, business card, flyer, Instagram highlights design, special calendar.
",en,4f3a8628-3c36-5636-b22a-96d75fda88dd,218668
UI/UX Designer,"05/2020 - 08/2022 Design engineer
Creation of programs for CNC machines and machine control.
05/2007 - 04/2020 Jewelry designer
Created the design of jewelry, manufactured these products, and also served as a sales manager.",,"I have just completed software testing courses

Now I have been studying at the English language school and also UI/UX Design courses",Design,intermediate,0.0,"I have just completed software testing courses

Now I have been studying at the English language school and also UI/UX Design courses
05/2020 - 08/2022 Design engineer
Creation of programs for CNC machines and machine control.
05/2007 - 04/2020 Jewelry designer
Created the design of jewelry, manufactured these products, and also served as a sales manager.
",en,b84032ca-1125-5825-bba1-3809ae06d506,218669
UI/UX Designer,"06.2023 - current time (UI/UX Designer)
Volunreer project (E-commerce, online store)

Responsibilities:
competitor analysis
hi-fi wireframes creation 
UI kit creation
prototyping
communication with the project manager, front-, back-end developers, 
QA
adaptive design (mobile versions)
using of design system
using of Scrum

05.2023 - current time (UI/UX Designer)
Volunreer project (Website for animal shelter) 
Responsibilities:
competitor analysis
hi-fi wireframes creation 
UI kit creation
prototyping
communication with the project manager, front-end developers, UI/UX designers
adaptive design (tablet, mobile versions)",,"Portfolio: inst: my_port.folio
Behance: alinas1portfolio

I finished the course: 02.2023 - 04.2023 | IT-School Hillel | course: UI/UX Design. 
01.2023 - 05.2023 | Genius Space | online course: UI/UX Design. 
I am a fast learner, curious, flexible, and disciplined, and I am eager to work as a UI/UX designer.

English level: Upper-Intermediate/B2
Russian: native
Ukrainian: native

• Knowledge of Figma 
• UX-research
• CJM, Site Map/Mind Map 
• Prototyping
• Creation UI-kit
• Web design
• Adaptive design (tablet, mobile)
• Create user-centred designs based on user research and business requirements 
• Develop wireframes, prototypes, and high-fidelity designs for web and mobile applications and websites 
• Defect management in defect tracking systems (Jira, Trello) 
• Basic knowledge of HTML, CSS 
• Basic knowledge of Adobe Illustrator, Adobe Photoshop
• Development of SMM design (instagram target creatives, instagram posts)",Design,upper,0.0,"Portfolio: inst: my_port.folio
Behance: alinas1portfolio

I finished the course: 02.2023 - 04.2023 | IT-School Hillel | course: UI/UX Design. 
01.2023 - 05.2023 | Genius Space | online course: UI/UX Design. 
I am a fast learner, curious, flexible, and disciplined, and I am eager to work as a UI/UX designer.

English level: Upper-Intermediate/B2
Russian: native
Ukrainian: native

• Knowledge of Figma 
• UX-research
• CJM, Site Map/Mind Map 
• Prototyping
• Creation UI-kit
• Web design
• Adaptive design (tablet, mobile)
• Create user-centred designs based on user research and business requirements 
• Develop wireframes, prototypes, and high-fidelity designs for web and mobile applications and websites 
• Defect management in defect tracking systems (Jira, Trello) 
• Basic knowledge of HTML, CSS 
• Basic knowledge of Adobe Illustrator, Adobe Photoshop
• Development of SMM design (instagram target creatives, instagram posts)
06.2023 - current time (UI/UX Designer)
Volunreer project (E-commerce, online store)

Responsibilities:
competitor analysis
hi-fi wireframes creation 
UI kit creation
prototyping
communication with the project manager, front-, back-end developers, 
QA
adaptive design (mobile versions)
using of design system
using of Scrum

05.2023 - current time (UI/UX Designer)
Volunreer project (Website for animal shelter) 
Responsibilities:
competitor analysis
hi-fi wireframes creation 
UI kit creation
prototyping
communication with the project manager, front-end developers, UI/UX designers
adaptive design (tablet, mobile versions)
",en,d521396a-b404-56ae-9a16-05e9e091b726,218670
UI/UX Designer,"07.2021 - 03.2023 (8 months) - Junior UI/UX Designer | League Design Agency

In this position, I took part in work with more than 10 projects at different stages. In most projects, I was involved in partial implementation (several pages and separate blocks), and full implementation of three big projects:
- platform for dentists and orthodontists (two roles); - integration a smart home device control system into an existing app; - an application for registering for training with innovative simulators and monitoring nutrition (using integration with a third-party application).
Functions:
- wrote project briefs, researched and analyzed competitors (mobile and desktop);
- created the app maps;
- created reference concepts based on selected archetypes and selected metaphors; - wireframes (mobile and desktop);
- mobile implementations;
- implementation of the control system through watches for IOS and Android systems;
- conducted an audit of the client's application (+ extension);
- worked with the design systems and created UI Kits;
- communicated with customers in written format (in English).
In addition, there was a lot of implementation practice under the guidance of colleagues (Senior Designer and Team Lead), mastering the principles of building applications for iOS and Android systems, and a workshop on this.

09.2021 - 07.2022 (11 months) - Marketing Materials Designer | League Design Agency

- created shots for Upwork;
- worked on the League website on Tilda (desktop, tablet and mobile versions);
- redrew layouts from Behance  ( adaptive design ); - created presentations of many projects on Readymag, using animation;
- cooperated with the marketing manager and the HR team;
- created posts and stories for Instagram;
- created banners for various social networks;
- worked with a team of web designers in the implementation of commercial projects;
- worked with the Team lead of the graphic design team in the creation of the new website of the League Design Agency in Readymag.

10.2020 - 04.2021 (6 months) - Web Designer | IT-office (NDA)

- design of online stores;
- creating adaptive landing pages;
- competitors research; - cooperation with an SEO specialist;
- creating email newsletters and banners.

04.2020 - 08.2020 (5 months) - Graphic Designer | Freelance
- creating banners;
- creating logotypes.",Logos and illustrations are a bit difficult for me. I'm definitely not an illustrator.,"1. I understood independently the system of managing smart devices and their principle of operation and designed a convenient interface for managing these devices at home through an already existing mobile application. And for this system, I made an adaptation for smart watches (IOS and Android).

2. I implemented the mobile application in light and dark themes (IOS and Android) so that I received almost no edits from the customer. It was a training registration and booking app for innovative gyms, with additional informative sections and a nutrition section (with third-party app integration for this section).",Design,upper,1.0,"1. I understood independently the system of managing smart devices and their principle of operation and designed a convenient interface for managing these devices at home through an already existing mobile application. And for this system, I made an adaptation for smart watches (IOS and Android).

2. I implemented the mobile application in light and dark themes (IOS and Android) so that I received almost no edits from the customer. It was a training registration and booking app for innovative gyms, with additional informative sections and a nutrition section (with third-party app integration for this section).
07.2021 - 03.2023 (8 months) - Junior UI/UX Designer | League Design Agency

In this position, I took part in work with more than 10 projects at different stages. In most projects, I was involved in partial implementation (several pages and separate blocks), and full implementation of three big projects:
- platform for dentists and orthodontists (two roles); - integration a smart home device control system into an existing app; - an application for registering for training with innovative simulators and monitoring nutrition (using integration with a third-party application).
Functions:
- wrote project briefs, researched and analyzed competitors (mobile and desktop);
- created the app maps;
- created reference concepts based on selected archetypes and selected metaphors; - wireframes (mobile and desktop);
- mobile implementations;
- implementation of the control system through watches for IOS and Android systems;
- conducted an audit of the client's application (+ extension);
- worked with the design systems and created UI Kits;
- communicated with customers in written format (in English).
In addition, there was a lot of implementation practice under the guidance of colleagues (Senior Designer and Team Lead), mastering the principles of building applications for iOS and Android systems, and a workshop on this.

09.2021 - 07.2022 (11 months) - Marketing Materials Designer | League Design Agency

- created shots for Upwork;
- worked on the League website on Tilda (desktop, tablet and mobile versions);
- redrew layouts from Behance  ( adaptive design ); - created presentations of many projects on Readymag, using animation;
- cooperated with the marketing manager and the HR team;
- created posts and stories for Instagram;
- created banners for various social networks;
- worked with a team of web designers in the implementation of commercial projects;
- worked with the Team lead of the graphic design team in the creation of the new website of the League Design Agency in Readymag.

10.2020 - 04.2021 (6 months) - Web Designer | IT-office (NDA)

- design of online stores;
- creating adaptive landing pages;
- competitors research; - cooperation with an SEO specialist;
- creating email newsletters and banners.

04.2020 - 08.2020 (5 months) - Graphic Designer | Freelance
- creating banners;
- creating logotypes.
Logos and illustrations are a bit difficult for me. I'm definitely not an illustrator.",en,1873104b-f899-5b16-ba24-50112fa3a4fe,218671
UI/UX Designer,"07.2021-10.2021
IT Solutions Baku
UI/UX designer:
Design of some inner pages of website
Design of banners
Redesign of some inner pages of website
Interactive prototypes development
Print materials design
Usability and testing

since 2021
Freelancer
Graphic and UI/UX designer:
Development of an educational platform for online courses
Print materials design",,-,Design,intermediate,0.5,"-
07.2021-10.2021
IT Solutions Baku
UI/UX designer:
Design of some inner pages of website
Design of banners
Redesign of some inner pages of website
Interactive prototypes development
Print materials design
Usability and testing

since 2021
Freelancer
Graphic and UI/UX designer:
Development of an educational platform for online courses
Print materials design
",en,0a325437-1262-5cd6-bcae-281ef5554e25,218672
UI/UX Designer,"07/2022 - 02/2023
Designer in the Team

03/2023 - Present
Lead UI/UX Designer at Retro Games CO
Since 2023, I have held the position of Lead UI/UX Designer at an innovative startup. As the lead designer, my role involves spearheading the user interface and user experience design efforts for our products. I work closely with a talented team to create intuitive, visually appealing, and functional designs that resonate with our target audience.
My skills :
- User Map 
- User Flow 
- Prototyping
- Responsive design
- Wireframes",,,Design,pre,1.5,"
07/2022 - 02/2023
Designer in the Team

03/2023 - Present
Lead UI/UX Designer at Retro Games CO
Since 2023, I have held the position of Lead UI/UX Designer at an innovative startup. As the lead designer, my role involves spearheading the user interface and user experience design efforts for our products. I work closely with a talented team to create intuitive, visually appealing, and functional designs that resonate with our target audience.
My skills :
- User Map 
- User Flow 
- Prototyping
- Responsive design
- Wireframes
",en,c5685f91-9e07-54dc-b8d6-ef2225cc5023,218673
UI/UX Designer,"10.2020 – 09.2023
Online school Enjoyable English
Manager, educational consultant
  Responsibilities:
Presentation of school services
Client consulting
Conducting introductory classes
Organization of the learning process
Support of students' studies and teachers' work
Creation of posts, posters, announcements, advertising, videos
  Achievements:
83.9% of students who attended my introductory class paid for further education
Since the school was founded, the number of followers has grown to 868 on Instagram and 1110 on Facebook.

09.2020 – 08.2022
Psychological service of school No. 14, Zhytomyr
Social pedagogue
  Responsibilities:
Conducting sociological and psychological-pedagogical research
Conducting preventive and corrective classes
Psychological education (including creation of presentations, booklets, brochures, posters, social advertising, placement of educational information in social networks and on the school website)
Social-pedagogical and psychological counseling
Methodical work (participation and conduct of seminars, workshops, trainings)
Interaction with state and public organizations (protection of the interests of the child)
  Achievements:
Due to the successful experience of working with children with difficult upbringing, I was appointed the head of the optional course on mediation (16 participants)
After February 24, 2022, conducted more than 170 psychological support sessions for children and adolescents, thanks to which students could continue their studies
Established successful interaction between parents, teachers and psychological service (provided more than 70 consultations to solve socio-pedagogical and psychological issues)
The educational booklet ""Human rights above all else!"" was selected and replicated by the Department of Social Protection of the Population of the Zhytomyr Regional State Administration

07.2017-03.2020
IT company Sletat.ru
Content manager
  Responsibilities:
Search for information on request 
Selection and editing of images 
Writing texts (copywriting, rewriting) 
Filling out hotel cards 
Switching tasks in Jira
  Achievements:
Wrote more than 115 texts about resort cities, regions, islands and countries with a uniqueness of more than 90%",Professional growth. Creating inclusive design. Mentoring.,"2018 | Publication of social photo stories in We See II magazine as part of the femLENS collaboration
2016 | The winner of the competition for the Grant of the Mayor of Zhytomyr for gifted youth for the implementation of the social project ""Zhytomyr: Places of Happy People""
2015 | Scholarship holder of the Cabinet of Ministers of Ukraine
(Appendix 2 to the order of the Cabinet of Ministers of Ukraine dated May 27, 2015 No. 543)
2012 | The winner of the ""Zavtra.UA"" scholarship program of the Viktor Pinchuk Foundation
2011 | Winner of the ""First Step to Success"" competition from the Ukrainian Women's Foundation",Design,upper,0.0,"2018 | Publication of social photo stories in We See II magazine as part of the femLENS collaboration
2016 | The winner of the competition for the Grant of the Mayor of Zhytomyr for gifted youth for the implementation of the social project ""Zhytomyr: Places of Happy People""
2015 | Scholarship holder of the Cabinet of Ministers of Ukraine
(Appendix 2 to the order of the Cabinet of Ministers of Ukraine dated May 27, 2015 No. 543)
2012 | The winner of the ""Zavtra.UA"" scholarship program of the Viktor Pinchuk Foundation
2011 | Winner of the ""First Step to Success"" competition from the Ukrainian Women's Foundation
10.2020 – 09.2023
Online school Enjoyable English
Manager, educational consultant
  Responsibilities:
Presentation of school services
Client consulting
Conducting introductory classes
Organization of the learning process
Support of students' studies and teachers' work
Creation of posts, posters, announcements, advertising, videos
  Achievements:
83.9% of students who attended my introductory class paid for further education
Since the school was founded, the number of followers has grown to 868 on Instagram and 1110 on Facebook.

09.2020 – 08.2022
Psychological service of school No. 14, Zhytomyr
Social pedagogue
  Responsibilities:
Conducting sociological and psychological-pedagogical research
Conducting preventive and corrective classes
Psychological education (including creation of presentations, booklets, brochures, posters, social advertising, placement of educational information in social networks and on the school website)
Social-pedagogical and psychological counseling
Methodical work (participation and conduct of seminars, workshops, trainings)
Interaction with state and public organizations (protection of the interests of the child)
  Achievements:
Due to the successful experience of working with children with difficult upbringing, I was appointed the head of the optional course on mediation (16 participants)
After February 24, 2022, conducted more than 170 psychological support sessions for children and adolescents, thanks to which students could continue their studies
Established successful interaction between parents, teachers and psychological service (provided more than 70 consultations to solve socio-pedagogical and psychological issues)
The educational booklet ""Human rights above all else!"" was selected and replicated by the Department of Social Protection of the Population of the Zhytomyr Regional State Administration

07.2017-03.2020
IT company Sletat.ru
Content manager
  Responsibilities:
Search for information on request 
Selection and editing of images 
Writing texts (copywriting, rewriting) 
Filling out hotel cards 
Switching tasks in Jira
  Achievements:
Wrote more than 115 texts about resort cities, regions, islands and countries with a uniqueness of more than 90%
Professional growth. Creating inclusive design. Mentoring.",en,c7fa300b-b3ea-5a61-826e-74b25ba222e6,218674
