,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5
6018,"# PROFESSIONAL RESUME

## Web Designer & UX/UI Designer

---

### PROFESSIONAL SUMMARY

Web and UX/UI Designer specializing in wireframing, visual design, user research, and responsive design. Committed to creating intuitive, user-centered experiences that balance client objectives with user needs. Known for strong communication, collaboration, and meticulous attention to detail.

---

### PROFESSIONAL EXPERIENCE

**Web Designer & UX/UI Designer**

**Children's Music School — Website Redesign**
- Conducted comprehensive website audit identifying strengths, weaknesses, and improvement opportunities
- Designed detailed landing page wireframe incorporating news block and strategic call-to-action placement
- Developed cohesive visual design system with consistent color scheme and typography aligned to brand identity
- Applied responsive design principles ensuring optimal experience across all devices
- Structured intuitive navigation improving accessibility to key information

**Pet-Saver-Hub — Web Service for Lost and Found Animals**
- Performed user research identifying pain points in lost and found pet search processes
- Created comprehensive user flow and wireframe prioritizing intuitive interface design
- Integrated interactive elements including location-based map feature for streamlined searches
- Designed accessible, user-friendly interface enabling efficient search functionality

---

### SKILLS

Wireframing | Visual Design | User Research | Responsive Design | UX/UI Design | User Flow Development | Brand Alignment | Accessibility | Interactive Design

---

### PROFESSIONAL OBJECTIVES

- Contribute to meaningful projects that positively impact people's lives
- Collaborate with industry professionals to foster continuous growth
- Pursue challenging projects that expand creative potential
- Remain current with emerging design technologies and trends
- Gather and implement user feedback to enhance experiences"
6021,"# [NAME]
## Head of Design Department

---

### Portfolio

- 50+ Websites
- 30+ Logotypes
- 4 Mobile Apps
- 3 Games
- 1 Social Network

---

### Experience

**Facility, Kyiv — Head of Design Department**
*March 2018 – Present*

Lead and optimize design team workflows across web, mobile, and brand projects. Develop strategic concepts for websites, brand identities, and digital products. Deliver end-to-end UI/UX design, motion graphics, logo systems, brand guidelines, and comprehensive brandbooks. Drive new business through tender participation and represent the company at industry events.

**Kiev Smart City, Kyiv**

Conceptualized and executed final product visualization for Kiev Smart Card. Designed dynamic city-wide advertising campaigns.

**Mastercard, Kyiv**

Designed illustrations and limited edition products for the 2018 UEFA Champions League Final in Kyiv. Created brand activation concept for Ukraine Independence Day 2018.

**Stampede Games, Kyiv**

Developed visual direction and UI systems for mobile games. Produced concept art for game sequel. Contributed to top-charting, editorially featured titles:
- Evo Explores
- .projekt

---

### Recognition

- Published in Medium, MMR.ua, Cases.media, and VC.ru
- Design Judge at CSS Design Awards and Ukraine Creative Week
- Awwwards Judge Candidate
- Guest Lecturer at Underhub Co-working"
6026,"# PROFESSIONAL SUMMARY

Senior Product Designer with 12+ years of experience and 300+ completed projects across mobile applications, web platforms, and brand identity systems. Founded and scaled a 20-person design studio, managing end-to-end operations including sales, hiring, and project delivery. Returned to hands-on design to focus on craft and direct product impact. Trained in frontend development (HTML5, CSS3, TypeScript, Vue.js) and backend technologies (Python, Swift) to enable seamless design-to-development collaboration.

# EXPERIENCE HIGHLIGHTS

- 300+ projects completed across 25+ industries
- 30+ products designed from concept to launch
- 30+ mobile applications
- 80+ websites
- 100+ logos and corporate identity systems
- 150+ students trained in UI/UX and brand design
- Speaker at Dribbble and industry design conferences

# WORK HISTORY

**NDA Project** — Senior Product Designer, 2022

**Bank BVR** — UX Designer, 2021

**Innovation Box** — Lead Product Designer, 2020

**Hillel IT School** — UI/UX Design Instructor, 2020

**Ardas** — UI/UX & Brand Designer, 2019

**M2E Pro** — UI/UX & Brand Designer, 2017

**Forforce** — UI/UX & Brand Designer, 2016

**Art. Lebedev Studio** — UI/UX & Brand Designer, 2015

**Own Design Studio** — Founder & Lead Designer, 2014

**Poster** — UI/UX & Brand Designer, 2013

**le Weekend** — UI/UX & Brand Designer, 2012

**November Design Bureau** — UI/UX & Brand Designer, 2011

**Freelance** — Graphic Designer, 2006

# EDUCATION

Master's Degree in Engineering Design
MBA (in progress)

# INDUSTRIES

eCommerce, Finance, Banking, Investments, Marketing, Social Media, Legal, Education, Software Development, NFT, Art, Automotive, Gaming, Construction, Agriculture, Food & Beverage, Fashion, Beauty, Services, Music, Dance, MMA, Medicine, Space, Adult, Sports, Technology, Defense, Insurance

# INTERNATIONAL EXPERIENCE

USA, United Kingdom, Germany, Netherlands, Italy, France, Greece, Estonia, Australia, China, Ukraine

# PORTFOLIO

Select work available upon request due to nondisclosure agreements."
9479,"# GRAPHIC DESIGNER | UI/UX DESIGNER

## PROFESSIONAL SUMMARY

Graphic Designer and UI/UX Designer with 5+ years of experience in lead design roles, prepress operations, and desktop publishing. Proven expertise in key visuals, social media marketing, and print collateral. Demonstrated ability to lead teams, develop brand identities, and integrate 3D elements into design workflows. Trained in user-centered design principles through UI/UX certification from Beetroot Academy.

## SKILLS

**Expert:** Adobe Photoshop, Adobe Illustrator
**Proficient:** Adobe InDesign, Figma
**Working Knowledge:** Blender, After Effects

## PROFESSIONAL EXPERIENCE

### Graphic Designer & UI/UX Designer | QA Madness
*November 2022 – Present*

- Spearheaded company-wide global redesign initiative, unifying all visual assets with updated brand vision
- Redesigned corporate website, presentations, and social media presence across LinkedIn and Instagram
- Established company visibility on DOU through custom page design
- Elevated design work through integration of original 3D elements created in Blender

### Graphic Designer | Kronas
*August 2020 – February 2022*

- Developed logos, brand identities, and print materials for new company brands
- Produced 3–6 advertising key visuals monthly for web, social media, and print channels
- Revitalized Instagram visual identity and YouTube channel design
- Created multi-page catalogs and brochures using InDesign
- Designed custom sticker packs for Telegram and Viber platforms
- Conceptualized and executed trade hall environments, including branded stands and wayfinding systems

### Graphic Designer | Design Studio ToTop
*October 2019 – August 2020*

- Delivered tailored design solutions for clients across diverse industries
- Created logos, brand identities, and photorealistic product visualizations
- Produced outdoor advertising campaigns including billboards, citylights, and vehicle branding
- Designed comprehensive print materials: calendars, business cards, postcards, catalogs, and brochures
- Led and mentored a team of two junior designers

## EDUCATION

UI/UX Design | Beetroot Academy"
16980,"**PROFESSIONAL EXPERIENCE**

**DEPOSITPHOTOS**
**Content Researcher**

- Researched and developed content including collections and presentations for client advertising campaigns, email distribution, and publication on the official Depositphotos website
- Collaborated with content managers to analyze performance metrics and drive ongoing development initiatives
- Coordinated advertising campaigns with influencers and high-profile clients including Coca-Cola, H&M, Colgate, Vogue Ukraine, and Marie Claire Maison Italy
- Managed projects and workflows using Jira and CRM systems
- Localized content to ensure alignment with brand voice and product style guidelines

**DEPOSITPHOTOS**
**Contributor Relations Manager**

- Identified and recruited prominent photographers across EMEA and North America
- Partnered with contributors to develop and enhance portfolios on cloud-based platforms
- Led training seminars for new employees

**ENGLISH LANGUAGE TEACHER**

- Designed and delivered individualized instruction for students with physical and psychological needs
- Developed personalized teaching techniques and lesson plans tailored to diverse learning requirements
- Built meaningful rapport with students, facilitating significant curriculum advancement

**LIBERTY POWER**
**Door-to-Door Sales Agent**

- Conducted neighborhood outreach to promote products and services to prospective customers
- Delivered compelling product presentations highlighting features and competitive advantages
- Negotiated and secured customer agreements on behalf of Liberty Power"
17014,"# RESUME

## Professional Profile

Detail-oriented English Philology student with four years of academic training in linguistics, text editing, writing, and translation. Combines strong written communication skills with extensive knowledge of multiple social media platforms and current digital trends. Highly motivated professional eager to apply linguistic expertise and digital fluency to opportunities in the IT sector.

## Education

**English Philology** | Four Years of Study

## Core Competencies

- Text Editing & Proofreading
- Writing & Content Development
- Translation
- Social Media & Platform Fluency
- Cross-Platform Content Research
- Analytical Content Evaluation

## Key Strengths

- Strong Written Communication
- Analytical & Detail-Oriented
- Quick Learner
- Driven & Adaptable"
18230,"# Creative & Art Director | Graphic & UI/UX Designer

## Professional Summary

Creative and Art Director with over 10 years of experience in branding, marketing, advertising, graphic design, web design, and mobile app design. Developed and launched more than 20 brands in Ukraine while delivering creative solutions to international clients across six countries. Committed to innovative design that drives business growth, grounded in mutual respect, honesty, integrity, and punctuality.

## Core Expertise

- Brand Development & Strategy
- Marketing & Advertising Campaigns
- Graphic Design
- UI/UX Design
- Web & Mobile App Design

## Key Achievements

- Developed and launched 20+ brands in Ukraine
- Delivered creative solutions for clients across the USA, Canada, Australia, New Zealand, Austria, and Finland
- Implemented design concepts that drive measurable business development and growth

## Location

Ukraine"
18348,"# Professional Summary

Versatile designer with over 6 years of commercial agency experience, contributing to more than 100 website designs, brand identities, and advertising projects. Specializes in UX prototyping, UI design, and motion design for desktop and mobile applications.

---

# Objective

Seeking to join a dynamic team where I can apply my expertise through engaging projects and contribute meaningful artistic vision to contemporary design.

---

# Skills

**Design Disciplines**
- Graphic Design: Printed Products, Banners, Illustrations, Icons
- Web Design: Responsive and Adaptive Layouts
- Mobile Design: iOS and Android Platforms
- Motion Design

**UX/UI Expertise**
- Wireframing and Interactive Prototyping
- Atomic Design Principles
- User Personas and User Flow Development
- HTML and CSS Fundamentals

---

# Tools & Software

- **Figma:** Team Libraries, Auto Layout, Component Properties, Branches
- **Adobe Photoshop & Illustrator:** Excellent Proficiency
- **Adobe After Effects:** Confident Proficiency"
26715,"# Senior Creative Director & CTO

## Professional Summary

Versatile creative and technical leader with 20 years of experience spanning web design, UI/UX, 3D graphics, animation, and product development. Proven track record of building and scaling creative teams from the ground up while maintaining hands-on expertise across the full development lifecycle.

---

## Core Competencies

**Creative Direction:** Web Design, UI/UX, 3D Graphics & Animation, Visual Design, Unity VFX, Sound Editing

**Leadership:** Team Building & Scaling, Art Direction, Cross-Functional Collaboration, Project Coordination

**Technical:** Full-Cycle Product Development, Mobile Game Development

---

## Professional Experience

### Co-Owner & Creative Lead
*Mobile Game Studio*

- Directed full-cycle game development from initial concept through final release
- Led UI/UX design, visual design, and animation across all studio projects
- Developed Unity VFX and oversaw sound editing production
- Coordinated cross-functional teams to ensure seamless project delivery

### Founder, CTO & Technical Lead
*Outsource Studio*

- Founded and scaled development studio from inception to 25 office-based developers
- Built and managed extended network of 20+ freelance contributors
- Provided strategic art direction and hands-on design team leadership

---

## Objective

Seeking leadership opportunities to leverage two decades of creative and technical expertise in building high-performing teams and delivering exceptional digital products."
26747,"# Senior Product Designer

## Awards & Recognition
- 8 Design Awards on Behance
- Honorable Mention, San Francisco Design Week
- Ukrainian Design: The Very Best Of

## Professional Summary

Award-winning product designer with over 6 years of commercial experience spanning startups, fintech, organizational management, crypto, insurance, and healthcare. Expert in web, mobile, dashboard, and web application design with end-to-end capabilities—from hypothesis generation and user research through wireframing, prototyping, and usability testing to design system architecture and team leadership. Delivers design solutions that align with business objectives while upholding industry best practices.

## Key Accomplishments
- Led an Australia-based digital home loan product from initial concept to MVP over a one-year engagement
- Architected a comprehensive design system from the ground up as part of a three-person team
- Led and mentored a design team of 8 professionals

## Core Competencies

**Design Process**
- Stakeholder and product manager collaboration
- User and market research
- Functionality mapping and process flow architecture
- Low and high fidelity wireframing
- UI research and design
- Prototyping and usability testing

**Leadership & Collaboration**
- Design team leadership and management
- Junior designer mentorship
- One-on-one coaching to identify challenges and define growth trajectories
- Constructive feedback and team support"
