,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o
0,"2D Artist, Sketcher at Templatemonster.com  
2005 — December 2011  
Розробка іконок для сайтів. Скетчі для 3D моделей.

2D Artist, Арт-лідер at Slotopaint.com, Миколаїв  
December 2017 — 2022  
Створення символів, інтерфейсів, попапів та інших елементів для casual games, slots, UI/UX games, стратегій, puzzles, карточних ігор, рулеток. Арт-лідер відділу художників.

Відданий ілюстратор. Працьовитий, прискіпливий та відповідальний. Працюю на графічному планшеті. Добре розумію композицію, перспективу, об'єм та ізометрію. Маю художню освіту. Здатний ефективно співпрацювати в команді.  
Графічний дизайн."
1,"Привіт! Я одержима якісним дизайном людина і ось кілька важливих тез про мене:

- Успішна співпраця з великими брендами: розробка та запуск рекламних кампаній, створення кей-віжуалів, повний супровід запуску продуктів та івентів. Проведено 3 масштабних івенти (на 500+ учасників).
- Засновниця дизайн+маркетинг агенції (три роки активної роботи, зараз діяльність на паузі).
- Аутсорс-траблшутінг дизайну: вирішення проблем з продуктом через точкові зміни в дизайні та процесах.
- Вирощено кілька дизайн-команд, навчено до рівня middle близько 6 починаючих дизайнерів.
- 4 роки на посаді арт-директора, 12 років в дизайні та IT загалом.
- Управління дизайн-командами, співпраця з розробниками, клієнтами та власниками продукту. Навчання дизайнерів-початківців, обмін досвідом.
- Повний цикл дизайну продукту: від ідеї до втілення. Дослідження, прототипування, перевірка гіпотез, контроль якості.
- Роблю дизайн зрозумілим, ефективним та problem-solving.
- Успішні проєкти в фінтех та крипто, досвід проектування складних платформ.
- Досвід роботи зі стартапами (B2B, B2C), всі вдало зарелізилися з високими показниками залучення.
- Розуміння принципів HTML, CSS і JavaScript.
- Робота з різноманітними дизайн-задачами: брендинг, упаковка, маркетингові та рекламні матеріали, landing pages, інтерфейс-кіти.
- UX-writing, типографіка та робота з поліграфією - мої guilty pleasures.
- Орієнтація на дизайн-мислення та вдалі стилістичні рішення. Розуміння художніх підходів, трендів, іноді задаю свої.

Плюсом буде, якщо ви продуктова компанія з соціально-відповідальним підходом до бізнесу."
2,"Професійний досвід

Ретушер, Africa studio
- Працювала понад два роки на позиції ретушера
- Виконувала завдання з обробки та покращення зображень

Освіта та розвиток

Курс з UI/UX дизайну для ігрових інтерфейсів
- Пройшла курс, щоб змінити напрямок кар'єри
- Прагну розвиватися та покращувати свої навички в дизайні

Навички
- Ретушування зображень
- UI/UX дизайн для ігрових інтерфейсів

Мета
- Розвиватися в сфері UI/UX дизайну та застосовувати нові знання для створення інноваційних ігрових інтерфейсів."
3,"Робота в проекті ""Бізнес Інженерія""  
Навчання у школах по дизайну, розробка лого та створення гарних робіт.  
Робота з людьми, отримую задоволення, коли вони у захваті від моєї роботи.  
Розробка лого, банерів, інфографіки.  
Дизайн візиток, логотипів, сертифікатів для клієнтів.  
Малюю на папері та в діджитал.  
Використовую Adobe Illustrator.  
Професійно фотографую.  
Розвиваюсь у різних напрямках, готова ризикувати та братися за різні проекти."
4,"2014-2016 Фріланс дизайнер  

2016 - по теперішній час Дизайнер в Stan Agency  

Досвід роботи в дизайні: 8 років  

Професійні навички:  
- Створення та розробка логотипів і брендингу  
- Дослідження та аналіз ринку  
- Розробка упаковки різної складності  
- Дизайн, додрукарська підготовка та верстка друкованої продукції  
- Впевнене володіння Adobe Photoshop, Adobe Illustrator, Figma  
- Глибоке знання Microsoft Word, Excel, PowerPoint  
- Базові навички векторної ілюстрації та авторської типографіки  
- Висока мотивація та самостійність  

Додатковий досвід:  
- Розробка веб-кейсів для сайтів  
- Створення рекламних банерів  

Мета: Прагнення працювати в сфері UI/UX Design"
5,"Олександр  
Івано-Франківськ  

Освіта:  
- Вища освіта графічного дизайнера  

Досвід роботи:  
- Понад три роки роботи в рекламній компанії  
- Заснував відділ графічного дизайну в компанії  

Навички:  
- Досвід у довготривалих проектах  
- Комунікабельність  
- Вміння працювати в команді  
- Відповідальність  

Професійні цінності:  
- Постійний розвиток у сфері дизайну  
- Виконання одиничних замовлень для підвищення навичок  
- Якісне виконання роботи  

Контактна інформація:  
[Ваші контактні дані]"
6,"Досвідчений фахівець у сфері поліграфії з вільним володінням графічними програмами Adobe. Маю навички верстки та дизайну макетів для друку, а також додрукарської підготовки. У 2019 році завершила курси веб-дизайну (UX/UI). Шукаю можливість працювати віддалено в команді професіоналів, яка сприятиме моєму розвитку в цій галузі."
7,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]
[Ваш LinkedIn профіль]

Мета:
Шукаю роботу в сфері UI/UX дизайну та анімації, щоб розвивати свої навички та вчитися новому.

Досвід роботи:
- Декілька років досвіду в графічному дизайні, включаючи міжнародний досвід.
- Виконання проектів від візитівок, каталогів, брендбуків до створення сайтів і додатків.
- Використання інструментів: Photoshop, Illustrator, InDesign.

Навички:
- UI/UX дизайн
- Прототипування у Figma
- Основи анімації
- Графічний дизайн

Освіта:
[Ваша освіта, якщо є]

Додаткові відомості:
- Вивчаю англійську мову
- Зосереджений на розвитку в UI/UX дизайні

Дякую за увагу."
8,"Освіта: Вища художня освіта (НАОМА, графічний дизайн).

Досвід роботи:
- Ілюстратор, графічний дизайнер та веб-дизайнер в рекламному агентстві.
- Розробка сайтів, мобільних додатків, інфографіки, брендингу.

Професійні інтереси:
- Розвиток у сфері UI/UX дизайну та розробці мобільних додатків.
- Професійне зростання та вивчення нових технологій.

Побажання до роботи:
- Робота в команді, не готова бути єдиним дизайнером на проекті.
- Шукаю компанію з налагодженими процесами."
9,"10-11.2021 - E-Commerce:  
Розробка дизайну та функціональності десктопної версії та адаптивної мобільної версії. Створення клікального прототипу та дизайн-системи в Figma.

11.2021-01.2022 - Розробка медичної мобільної програми:  
Дослідження та порівняння конкурентів. Розробка персонажів користувачів та User Flow. Створення Low Fidelity / High Fidelity Wireframes та клікального прототипу.

01.2022-03.2022 - Мобільний додаток інтернет-магазину:  
Розробка персонажів та User Flow. Створення Low Fidelity / High Fidelity Wireframes, клікального прототипу та анімації за допомогою Jitter.

05.2022-06.2022 - Дашборд для приватної клініки:  
Створення таблиць та діаграм для статистики та даних. Розробка персонажа, Low Fidelity Wireframes та клікального прототипу.

06.2022 - 02.2023 - Веб-дизайнер. Фріланс:  
Створення та редизайн лендінгів, підготовка графічних матеріалів для вебсайтів. Розробка концепцій та рекомендацій для клієнтів. Дизайн Saas додатків та дашбордів.

02.2023 - тепер - Продуктовий дизайнер. Reshape:  
Створення інтерфейсу (віджети, іконки, дерево перегляду, дизайн-система). Розробка мобільних додатків, інтернет-магазинів, лендінгів, Saas."
10,"Навички та досвід:

- Розробка 3D продуктів без використання мокапів, створення рішень для підвищення безпеки та полегшення адаптації до колонізації на Марсі.
- Використання продуктових практик для створення додатків, веб-версій та дизайн-систем.
- Адаптація веб-дизайну під мобільні пристрої, знання практик e-commerce сайтів, прототипування, робота з варіативними компонентами та autolayouts.
- Вміння користуватися нейромережами для генерації графіки з відповідним промтом.

Досвід роботи:

1. **robotplus+**
   - Розробка продукту для оренди або купівлі роботів для виконання задач на Марсі.
   - Створення мобільного додатку та продуктової сторінки у вебі.
   - Інструменти: Blender, AI, Figma, Photoshop.

2. **beau.flo**
   - Розробка e-commerce сайту для продажу одягу онлайн.
   - Інтеграція айдентики бренду у візуальну концепцію.
   - Інструменти: AI, Figma, Photoshop, Illustrator.

3. **velvet underground**
   - Редизайн вебсайту для створення сучасного дизайну та промоції фільму про Velvet Underground.
   - Інструменти: Figma, Photoshop, Midjourney.

Кар'єрні цілі:

- Стати успішним UX/UI дизайнером з глибоким розумінням UX-ресерчу.
- Оволодіти бізнес-процесами та навчитися використовувати метрики.
- Розвивати інноваційні інтерфейси, 3D моделювання, no-code технології та дизайн-методології для створення ефективних продуктів."
11,"Дизайн банерів та головних екранів для книжкового магазину, магазину взуття, маркетингової конференції та продажу програм тренування.  
Створення дизайну сайту для компанії Coinvest, що спеціалізується на інвестиціях.  
Реалізація дизайну сайту для мережі тату-салонів Art Hall та адаптація під різні девайси.  
Редизайн багатосторінкового сайту для бренду Specialized, адаптація під мобільні та планшетні версії.  
Розробка послуг для онлайн-казино, ставок та товарів 18+.  
Оптимізація дизайну для підвищення зручності користування та залучення клієнтів.  
Співпраця з командами розробників для впровадження дизайну.  
Аналіз ринку та конкурентів для створення унікальних дизайнерських рішень.  
Використання сучасних інструментів та технологій для створення ефективних дизайнів."
12,"Створення сайтів різної складності від лендінгу до e-commerce. Проходження всіх етапів, починаючи з брифу до передачі макета в розробку.

1. Досвід створення сайтів-візиток, e-commerce, корпоративних сайтів, а також мобільних адаптацій.
2. Просунутий користувач Figma - від варфрейма до клікабельного прототипування.
3. Використання Adobe Photoshop, Adobe Illustrator, Adobe After Effects.
4. Базові знання HTML та CSS."
13,"[Ваше ім'я]

[Контактна інформація]

Професійний досвід

Graphic Designer - Motto (2023)
- Розробка банерів, листівок, рекламних пропозицій.
- Дизайн-концепція ""меню супутніх товарів"" для мережі АЗС.
- Робота в компанії з корпоративною етикою, комфортними умовами праці та системою заохочень.
- Креативна позиція.

Data Quality Engineer - SQUAD (2020 - 2023)
- Підтримка систем безпеки розумного дому.
- Робота з даними та Machine Learning.

Interior Designer & Sales Manager - Tiger (2018 - 2019)
- Проектування та дизайн інтер’єрів житлових та промислових приміщень.
- Консультування клієнтів та робота з документацією.

Освіта

Курс Motion Design Basic - SKVOT (2023)
- Базові навички роботи з Adobe After Effect & Cinema 4D.

Навички
- Схильність до монотонної роботи, уважність до деталей, високий рівень самоорганізації.
- Відкритість, комунікабельність, сприйняття конструктивної критики.

Цілі
Шукаю компанію, яка цінує потенціал співробітників, має систему винагород, підтримує кар'єрний ріст, креативність та розвиток."
14,"Графічний дизайнер з трирічним досвідом роботи на фрілансі. Спеціалізуюсь на створенні зовнішньої та внутрішньої реклами, презентацій та відео для компанії «Житлобуд-1».

Маю досвід розробки сайтів на платформі Tilda, завершив 6 проектів, переважно в сфері ремонту та нерухомості, з підключенням аналітики (Google Analytics, Tag Manager, Search Console).

Володію базовими навичками HTML (emmet), CSS (sass, less), працював з Wordpress, маю початкові знання JavaScript та розуміння принципів програмування (вивчав C++, C#, Java, Python, але не займаюсь програмуванням на цих мовах). Не планую працювати з поліграфією."
15,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]
[Ваше місто, країна]

Професійний досвід:

Фріланс дизайнер
4 роки досвіду (веб-сайти, банери, постери, графічний дизайн)
- Розробка візуально привабливих та функціональних веб-сайтів та інтерфейсів.
- Створення макетів, дизайну графіки та інших елементів для веб-сайтів.
- Оптимізація сайтів для SEO та підвищення їх конверсії.
- Взаємодія з клієнтами та командою розробників для досягнення найкращих результатів.
- Виконання замовлень на фріланс біржах (Fiverr, Upwork) від компаній з ЄС, США та інших країн.
- Робота над іконками для Google.

Навички:
- Вміння працювати з програмами Figma, Adobe Photoshop, Illustrator та ін.
- Розуміння основ дизайну та веб-розробки.
- Досвід використання Webflow.
- Володіння англійською мовою на рівні В1.

Особисті якості:
- Креативність та інноваційність у роботі.
- Стресостійкість, готовність до викликів і складних задач.
- Організованість та відповідальність.
- Здатність працювати у команді та під час індивідуальної роботи.
- Вміння ефективно спілкуватись з клієнтами та колегами.
- Орієнтація на результат.
- Спокійний характер та енергійність в роботі."
