,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5
6018,"**Web & UX/UI Designer**

**Professional Summary**

Results-driven Web and UX/UI Designer with expertise in website redesign, user interface design, and user experience optimization. Skilled in conducting user research, wireframing, visual design, and responsive design implementation. Committed to creating user-friendly designs that meet client and user needs while maintaining brand consistency. Strong advocate for user feedback integration and collaborative teamwork to deliver high-quality design solutions.

**Core Competencies**

- Website Redesign & Landing Page Design
- UX/UI Design
- Wireframing & User Flow Development
- Visual Design & Brand Identity
- Responsive Design
- User Research & Pain Point Analysis
- Interactive Design Elements
- Color Scheme & Typography
- Navigation & Information Architecture
- Communication & Teamwork

**Professional Experience**

**Children's Music School Website Redesign**

- Conducted thorough analysis of existing website to identify strengths and weaknesses
- Created detailed wireframes for new landing page featuring news block and prominent call-to-action
- Developed visual design with careful attention to color scheme and typography for brand consistency
- Implemented responsive design principles to ensure optimal display across all devices
- Prioritized user experience and navigability for easy access to information

**Pet-Saver-Hub – Web Service Project**

- Designed user-friendly interface for lost and found animal rescue service
- Conducted user research to identify key pain points in pet search process
- Created detailed user flows and wireframes for intuitive navigation
- Incorporated interactive map feature to help users locate lost or found pets by area

**Professional Goals**

Seeking opportunities to develop advanced UI/UX design skills on impactful projects. Committed to continuous learning, staying current with design technologies and trends, and collaborating with experienced professionals. Dedicated to collecting and implementing user feedback to enhance user experience and deliver creative, detail-oriented solutions of the highest quality."
6021,"# DESIGN PROFESSIONAL

## PORTFOLIO
- Over 50 Websites
- More than 30 Logotypes
- 4 Mobile Apps
- 3 Games
- 1 Social Network

## EXPERIENCE

**Head of Design Department**
Facility, Kiev | Mar 2018 - Present
- Organise design team process and optimise design flow for different project types
- Develop concepts for websites, brands and other products
- Create UI/UX, animations, logo books, brand guidelines and brandbooks
- Take a leading role in tenders and offline company activity
- Published work on medium.com, mmr.ua, cases.media, vc.ru
- Judge for CSSDA and Ukraine Creative Week; advancing toward awwwards judge team
- Deliver educational lectures at Underhub co-working

**Designer**
Kiev Smart City, Kiev
- Developed concept and final product visualisation for Kiev Smart Card
- Created dynamic city ads concepts

**Illustrator & Designer**
Mastercard, Kiev
- Created illustrations and limited edition products for 2018 UEFA Champions League Final in Kiev
- Developed concept for brand activating program on Ukraine Independence Day 2018

**Visual Designer**
Stampede Games, Kiev
- Developed visual concepts and UI for mobile games
- Created concept arts
- Featured games in top-charts:
  - Evo Explores
  - .projekt"
6026,"# Design Professional

**PROFESSIONAL SUMMARY**

Design professional with more than 12 years of experience creating impactful solutions across diverse industries. Passionate about user-centered design, pixel-perfect execution, and identifying opportunities for improvement. Proven ability to lead teams, teach others, and deliver excellence on projects of all scales.

**CORE COMPETENCIES**

- UI/UX Design
- Brand Design & Corporate Identity
- Product Design
- Mobile Application Design
- Website Design
- Logo Design
- Frontend Development (HTML5, CSS3, TypeScript, Vue.js)
- Backend Development (Python, Swift)
- Studio Management & Leadership
- Sales & Project Management
- Hiring & Team Building

**PROFESSIONAL EXPERIENCE**

2022 — Designer (NDA)
2021 — UX Designer, Bank BVR
2020 — UI/UX Design Teacher, Hillel IT School
2020 — Lead Product Designer, Innovation Box
2019 — UI/UX & Brand Designer, Ardas
2017 — UI/UX & Brand Designer, M2E pro
2016 — UI/UX & Brand Designer, Forforce
2015 — UI/UX & Brand Designer, Art. Lebedev Studio
2014 — CEO & Designer, Own Design Studio (20 employees)
2013 — UI/UX & Brand Designer, «Poster»
2012 — UI/UX & Brand Designer, «le Weekend»
2011 — UI/UX & Brand Designer, «November» Design Bureau
2006 — Graphic Designer, Freelance

**PROJECT PORTFOLIO**

- 300+ total projects completed
- 30+ products designed from scratch
- 30+ mobile applications
- 80+ websites
- 100+ logos and corporate identities
- 150+ students taught in UI/UX and brand design
- Speaker at Dribbble and industry conferences

**INDUSTRIES & MARKETS**

eCommerce, Finance, Banking, Investments, Marketing, Social Media, Legal, Education, Development, NFT, Art, Automotive, Gaming, Real Estate, Agriculture, Food & Beverage, Coffee, Fashion, Beauty, Service, Music, Dance, MMA, Medicine, Space, Sports, Technical, Weapons, Insurance

**INTERNATIONAL EXPERIENCE**

Designed for clients from: USA, United Kingdom, Germany, Netherlands, Italy, France, Greece, Estonia, Australia, China, Ukraine

**EDUCATION**

- Master's Degree in Engineering Design
- MBA (Currently Pursuing)"
9479,"# GRAPHIC DESIGNER & UI/UX DESIGNER

## PROFESSIONAL SUMMARY

Creative and skilled graphic designer with expertise in visual design, branding, and user experience. Proficient in Adobe Creative Suite and Figma with experience in 3D design. Proven ability to manage design projects, lead teams, and deliver impactful visual solutions across digital and print media.

## CORE COMPETENCIES

**Design Software:** Adobe Photoshop, Adobe Illustrator, Adobe InDesign, Figma, Blender, After Effects

**Design Expertise:** Logo & Brand Identity Design, UI/UX Design, Key Visual Design, Social Media Marketing Materials, Print Design, 3D Design, Advertising Design, Catalog & Brochure Design, Web Design

**Professional Skills:** Team Management, Client Collaboration, Visual Style Implementation, Branding & Rebranding

## PROFESSIONAL EXPERIENCE

**Graphic Designer & UI/UX Designer** | QA Madness
*November 2022 – Present*
- Contributed to company's global redesign with significant impact on final visual direction
- Redesigned website to reflect new brand vision and style
- Created and implemented fresh visual style for presentations
- Redesigned all social media materials for LinkedIn and Instagram; created design for DOU page
- Developed custom 3D elements integrated into design projects

**Graphic Designer** | Kronas
*August 2020 – February 2022*
- Designed logos, brand identities, and related printing materials for new company brands
- Produced 3-6 advertising key visuals monthly for website, social networks, and print
- Implemented new visual style for Instagram profile design and management
- Created multi-page product catalogs and brochures using InDesign
- Redesigned YouTube channel aesthetic and created video cover designs
- Designed custom sticker packs for Telegram and Viber platforms
- Developed comprehensive branding for new trade hall including stands and navigation systems

**Graphic Designer** | Design Studio ToTop
*October 2019 – August 2020*
- Designed visual solutions for clients across diverse industries
- Created logos and comprehensive brand identities
- Designed outdoor advertising including billboards, citylights, and vehicle branding
- Produced realistic product visualizations in Photoshop
- Executed extensive print design projects including calendars, business cards, postcards, and stickers
- Designed multi-page catalogs and brochures
- Completed full brochure design cycle (16 pages) from concept through client approval to print in one working day

## EDUCATION & TRAINING

**UI/UX Course** | Beetroot Academy
- Specialized training in user-centered design and user experience principles

## ADDITIONAL EXPERIENCE

- Served as Lead Graphic Designer and Team Manager overseeing junior designers
- Prepress Operator and DTP Designer background"
16980,"**Depositphotos | Content Researcher**

Researched and created diverse content including collections and PowerPoints for clients for advertising and distribution via email or official website publishing.
Collaborated closely with content managers to analyze their development and performance metrics.
Organized advertising campaigns for influencers and major clients including Coca Cola, H&M, Colgate, Vogue Ukraine, and Marie Claire Maison Italy.
Actively utilized Jira and CRM systems to manage workflows.
Operated with localized content while ensuring alignment with brand voice and product style guidelines.

**Depositphotos | Contributor Relations Manager**

Researched and identified potential and prominent photographers across EMEA and North America.
Worked closely with contributors to develop their portfolios on cloud services.
Organized and led training seminars for new employees.

**Teacher of English Language**

Mentored students with special needs, including those with physical or psychological requirements.
Developed personalized teaching techniques and lectures tailored to each student's individual needs.
Restructured the educational process to accommodate each child's unique needs and capabilities.
Established personal connections with students that facilitated their engagement and enabled significant curriculum advancement.

**Liberty Power | Door-to-Door Sales Agent**

Traveled to different neighborhoods to merchandise and advertise products and services to the general public.
Developed compelling product presentations highlighting features and competitive advantages.
Persuaded clients to purchase products using established scripts and finalized sales agreements."
17014,"English Philologist | Content Editor | Translator

EDUCATION
English Philology Studies – 4 Years

CORE COMPETENCIES
• Text Editing
• Writing
• Translation
• Social Media Analysis
• Content Research and Curation

PROFESSIONAL STRENGTHS
• Strong motivation and commitment to professional development
• Eager learner with passion for growth
• Dedicated to building a career in IT

INTERESTS & EXPERTISE
• Active social media user with deep platform knowledge
• Continuous learning through digital media engagement
• Inspiration sourcing across multiple social platforms"
18230,"# Creative & Art Director | Graphic & UI/UX Designer

**Professional Summary**
Creative/Art Director and Graphic & UI/UX Designer with 10+ years of experience in branding, marketing, advertising, graphic design, web design, and mobile app design. Proven track record of developing unique, innovative solutions that drive business growth. Known for delivering effective creative strategies grounded in mutual respect, honesty, decency, and punctuality.

**Core Competencies**
- Brand Development & Strategy
- Art Direction
- Graphic Design
- UI/UX Design
- Web Design
- Mobile App Design
- Marketing & Advertising
- Creative Concept Development

**Experience Highlights**
- Created 20+ distinctive brands
- Collaborated with international clients across USA, Canada, Australia, New Zealand, Austria, and Finland
- Developed and implemented innovative creative solutions for diverse global clientele

**Values**
- Mutual respect
- Honesty
- Decency
- Punctuality"
18348,"# Professional Designer

## PROFESSIONAL SUMMARY

Accomplished designer with 6+ years of commercial experience across multiple agencies. Demonstrated expertise in creating cohesive digital and print experiences through proficiency in UX/UI design, motion design, and graphic design. Personally contributed to the creation of over 100 website designs, brand and advertising projects. Seeking to leverage design expertise within a collaborative team environment on innovative projects.

## CORE COMPETENCIES

**Design Disciplines:**
• Graphic Design (Printed Products, Banners, Illustrations, Icons)
• Web Design (Responsive, Adaptive)
• Mobile Design (iOS, Android)
• UX Prototyping and Interactive Prototypes
• UI Design
• Motion Design
• Wireframes
• Atomic Design Principles
• User Personas and User Flows

**Technical Skills:**
• Figma (Team Libraries, Auto Layout, Components Properties, Branches)
• Adobe Photoshop (Expert Level)
• Adobe Illustrator (Expert Level)
• Adobe After Effects (Proficient)
• HTML and CSS Fundamentals"
26715,"# PROFESSIONAL SUMMARY

Creative technologist and studio leader with 20 years of expertise in web design, UI/UX, 3D graphics, animation, and product development.

# EXPERIENCE

**Founder & CTO**
Outsource Studio
- Led technical vision and strategy as Chief Technology Officer
- Built and scaled development team from startup to 25 office-based developers and 20+ freelance contributors
- Managed art direction and design team operations

**Co-Owner**
Mobile Game Studio
- Oversaw full-cycle game development including concept development, UI/UX design, and animation
- Managed Unity VFX implementation, audio engineering, and cross-functional communication
- Delivered complete game production from conception to completion

# CORE COMPETENCIES

Web Design | UI/UX Design | 3D Graphics | Animation | Product Development | Team Leadership | Art Direction | Game Development | Unity | VFX | Project Management

# OBJECTIVE

Seeking growth opportunities to leverage technical leadership and creative expertise in a dynamic environment."
26747,"# Design Professional

## Awards & Recognition
• 8 Design Awards on Behance
• Honorable mention in San Francisco Design Week
• Featured in Ukrainian Design: The Very Best of

## Professional Experience

**Design Leadership & Product Development**
Over 6+ years of commercial experience across startups, fintech, organization management, crypto, insurance, and healthcare. Expertise in Web, Mobile, Dashboard, and Web applications.

**Key Projects:**
• Led design system creation from scratch with a 3-person team
• Contributed to Australia-based digital home loan product through MVP phase over 1 year

**Core Competencies:**
• Hypothesis generation and research
• Wireframing and prototyping
• Usability testing and analysis
• Design system creation and implementation
• Design team leadership and management
• Stakeholder communication and collaboration

**Project Execution:**
• Stakeholder and product manager communication
• User research and discovery
• Functionality mapping and process flows
• Low and high-fidelity wireframing
• UI research and design
• Team leadership (8+ designers)

**Team Leadership & Mentorship:**
• Designer mentorship and professional development
• 1-on-1 performance meetings and feedback
• Personal improvement planning and support
• Cross-functional team collaboration"
29788,"**DIGITAL 2D ARTIST & UI/UX DESIGNER**

Kyiv-based Digital 2D Artist and UI/UX Designer with self-directed education and a strong portfolio demonstrating expertise across design disciplines.

**CORE COMPETENCIES**

- UI/UX Design and Adaptive Design
- Illustration (Raster and Vector)
- Graphic Design
- Banner Design
- Logo Design
- Technical understanding of design principles and current design and technology trends
- Effective verbal and written communication skills
- Time and self-management skills

**PROFESSIONAL EXPERIENCE**

**Full Stack: UI/UX Designer / Illustrator / Graphic Designer**
April 2021 – Present

**UI/UX Designer / Illustrator**
November 2019 – August 2021

**Freelance Web Designer**
December 2018 – November 2019

**TECHNICAL PROFICIENCIES**

- Adobe Photoshop (including Beta)
- Adobe Illustrator
- Figma
- Procreate App
- Midjourney

**LANGUAGE PROFICIENCY**

English – Upper-Intermediate

**RECOGNITION**

Red Dot Award for Brands & Communication Design, August 2022"
29835,"# DIGITAL DESIGNER

## PROFESSIONAL SUMMARY

I am a digital designer with extensive marketing experience passionate about creating visually stunning designs that help brands grow. I have worked as both a freelance designer and in-house manager, collaborating with teams on projects for more than 5 companies from different countries, including an American company. I excel at delivering designs that help clients engage and grow their target market while working independently and as part of a team.

## CORE COMPETENCIES

**Design & Visual:**
Color Theory, Color Sense, Composition, Branding, Advertising, Illustration, UI/UX Design, Digital Design, Digital Imagery

**Digital Marketing:**
Web Ads, Social Media Ads, E-blast, Digital Analytics

**Technical Skills:**
Figma (Advanced), HTML/CSS, Webflow (Animation, CMS)

**Soft Skills:**
Creative Problem Solving, Customer Interface Management, Team Collaboration, Independent Work

## EDUCATION & CERTIFICATIONS

Dare IT – Product Design
Hillel IT School – Basic Web Design
Cases Media – Figma (90)
Cases Media – Graphic Design. Composition (91)

## CAREER GOALS

Seeking long-term partnership opportunities in product design where I can implement my knowledge and experience to create solutions that make customers' lives easier."
