,resume
1747,"For the last 8 years I have been a self-employed entrepreneur. During this time, I opened a chain of coffee shops. Sold them. Opened an export-oriented production using 3D printing technologies.
For the last 8 years I have been a self-employed entrepreneur. During this time, I opened a chain of coffee shops. Sold them. Opened an export-oriented production using 3D printing technologies. 

HARD SKILLS
- Prioritization and goal setting
- Project planning
- Organization
- Budget managment
- Delegation. Ability to monitor task performance.
- Knowledge of SCRUM methodologies. Understandanding of Agile, Scrum, Kanban, WaterFall.
- Gamedesign. Theoretical foundations, basic understanding of UE4 and Unity
- Blender – Junior – Modeling, UV mapping, animation
- Linux node operating

SOFT SKILLS
- Critical thinking
- Decision-Making
- Time Management
- Team management
- Communication
- Coaching
- Risk Managment
- The ability to identify the needs of the customer and the user of the product. The ability to reach consensus on the implementation of needs by the project.
- English level – Intermediate (B1)
"
1784,"
During my professional journey, I have gained diverse experience across various domains. I have worked as a 3D artist where I have utilized my creative abilities to craft visually stunning and realistic 3D models and animations. As a graphic designer, i have employed my design skills to create compelling visual assets for different projects.

In addition to my expertise in 3D art and Graphic design, i have ventured into the realms of videography and video production. I have captured and edited high quality videos, employing my keen eye for detail and technical proficiency to create impactful visual narratives.

Furthermore, i have delved into the realm of digital marketing, harnessing my knowledge and skills to strategize and execute effective marketing campaigns. I'm well-versed in utilizing digital marketing tools and platforms to traffic engagement, enhance brand awareness and generate leads.

Apart from my creative pursuits, I have been actively involved in organizing notable events. I have successfully organized music art festival in Azerbaijan, showcasing vibrant and diverse music culture of the region. Additionally i have been part of DokuBaku International Documentary Film Festival, contributing to the promotion and celebration of documentary film making.

Moreover i have gained valuable experience working with start-ups, where i have honed my entrepreneurial mindset and adapted to fast-paced and dynamic environments. The experience has allowed me to develop a versatile skill set and a deep understanding of the challenges and opportunities start-ups face.

Overall, my work experience encompasses a broad range of disciplines,including 3D art, graphic design, video production, digital marketing, event organization and start-up engagement. I'm continuously seeking new opportunities to expand my knowledge, skills and contributions within these areas.
"
2476,"During my work in a role of a Client Success Manager, I was responsible for the large US-based accounts health and growth. I used to work on 3 - 4 large enterprise-level accounts in parallel with the total number of dedicated engineering teams 30 – 50 people.
I've generated a lot of ideas for improvements, participated in building up strong engineering teams and working out the processes and strategy for the clients, which have resulted in the account and team growth.
I had a chance to mentor and inspire many people, who have later become talented engineers and solution architects, and learn from them as well.
- Managing multiple accounts with different engagement models. 
- Managing all aspects of client relationships. 
- Analyzing client's business pain-points, assisting with the roadmap to help reaching out strategic goals. 
- Taking active part in the whole opportunity initiation process. Drafting Proposals and SOWs.
- Extending partnership with the existing clients.
- Executive Reporting and Business Reviews. 
- Project Scope Analysis. Risks/issues management. 
- Team management and coaching. 
- Practical knowledge of software development methodologies and life cycle. 
- Strong IT background. Platform experience: Salesforce, IBM Websphere, Magento.
I am passionate about participating in IT projects, in a collaboration with the teams of experts, to help merchants transform their business and get the eCommerce into the new heights. Also, I really enjoy communicating with the people, support and lead the Company engineering teams as well as remove obstacles, which may appear during the project. In addition, I am good at building trust and partnership relations with the clients."
2515,"
Key responsibilities along the most of the projects in my experience:

- maintaining trustful and long-lasting business relations with the customers;
- troubleshooting of customers' issues;
- coordinating the projects of clients' connection and interaction with our online platform and services;
- communications with the developers' team;
- sales and retention activities;
- dealing with the sales documentation: agreements, contracts, Invoices;
- Zoho, Jira, Confluence, SAP, 1C, etc. 

At the moment I have a strong desire to develop in the project management direction.
"
2517,"Managing up to 15 projects simultaneously, cross-selling and upselling the solutions to the clients by defining their needs
Managing projects by monitoring work process, controlling timing and terms of work, communicating and providing regular updates to stakeholders on progress and any potential issues or risks, upselling&cross-selling, building long-term relationships with clients.
Working with inbound requests, contacting new leads via outbound, presenting proposals and completing sales cycle, preparing agreements.
"
2529,"
I am a passionate, analytical mind looking for challenges that motivate growth and personal improvement.
My life motto is simple yet straightforward: Think, plan and achieve.

My recent work experience includes different positions, which, however, were centered around communication, teamwork, and project management. That is a career field in which I want to advance.

My firm belief is that the best results come from mutually respectful and honest relationships that allow both parties to give and receive the best one has to offer.

I see our potential cooperation as a fruitful and pleasant endeavor.

Thank you for your time, and don't hesitate to send me a message!
"
2538,"- closed the eBay expansion project 
- changed the supply chain, so the company can save more money (logistics improvement) 
- agreed with the Asain suppliers to I'm[rove the quality of products (we could see the results that it was improved) 
- handled re-import to the US (so the company didn`t pay taxes again)
Results-oriented and dedicated recently graduated student adept at completing extensive market research, negotiating with suppliers. developing and implementing cost-saving plans, executing various supply chain- and Amazon related activities. Possessing critical thinking skills and significant ability to remain calm in stressful situations.

I have been working with Amazon and Asian partners for more than 2 years, handling diverse projects as market expansion (other countries, other marketplaces), preparation of legal documents to continue selling on the platform, registration in the different organizations in the EU, product quality improvement project, improving the supply chain and planning etc. 
In general, all the projects were quite different and had strategic manning for the company and I had to learn a lot of new information to close them successfully. 
I am a results-oriented and dedicated recently graduated student adept at completing extensive market research, negotiating with suppliers, developing and implementing cost-saving plans, and executing various supply chain-related activities. Possessing critical thinking skills and significant ability to remain calm in stressful situations
No monotonous job, I need some challenges"
2551,"Based on a wide practical background and understanding of business specific features, I have understanding of the whole cycle of the SDLC and deep knowledge in Data Privacy, Intellectual Property, Commercial and Contract law. I've acquired solid managerial and recruitment experience, developed organizational skills, including attention to detail, multitasking and good knowledge of different managerial methodologies and the ability to adapt them to actual circumstances. I'm able to build relationships within a team and work with international companies/customers.
I’m a professional with 3+ years of in-house legal practice in IT Product Company. Recently I've decided to take the next step as Account Manager. 

Experience:
Project Manager Assistant in Vayosoft Team
I was responsible for managing Contracts/ RFP/RFI;
Collaborated with procurement (participated in negotiations with suppliers, took part in evaluation of contractors according to company’s procedures);
Organized team meetings, follow-ups, action lists, prepared reports and presentations for upper-management;
I've taken part in creation of new projects from the scratch through MVP to the improvement of a working application

Legal Counsel in Benish Group  
I had relationships with colleagues regarding corporate policy, analysis and minimization of  legal risks within the company and provided recommendations on their application;
Collaborated with internal and external teams (developers, analysts, marketing managers and company's leadership) to oversee activities reducing legal risks;
Communicated with customers, business partners, service providers from a variety of jurisdictions;
Prepared Rules for the provision of services (offers), Privacy Policies, Terms of Use for Applications under GDRR rules; 
Took part in Product development, optimization of business processes of the entire group of companies;
Implemented legal compliance in the various areas of business operations (personal data protection, intellectual property, PR and marketing, sales, payments, consumer rights etc.);
Organizied and maintained contractual activities (legal expertise, drafting of contracts texts in accordance to local legislation and company internal standards and procedures etc.)
"
2553,"
During my work, I came across various positive/negative aspects of business management, which made me stronger and gave me a deeper understanding of the IT industry and people management. I acquired theoretical/practical knowledge about the required skills and responsibilities of a project manager and am looking for an opportunity to become a skilled project manager.
I began my journey as a Business Development Manager and had a lot of experience as a Project Manager for outstaff projects.
Responsibilities:
People management (1-1, performance reviews, monitor sprint process);
Leadership and motivation of team members, maintaining a friendly atmosphere;
Search and employment of new employees (interviewing for technical/non-technical positions, introducing of new employees in company environment);
Account management of ongoing projects (negotiation and conflict resolution with a customer);
Company presentation and preparation of estimation documents;
Communication with partner companies;
Customer support from the first contact to closing;
Search for outstaff projects;
Preparation of documentation for outstaff deals.
I am looking for an opportunity to become a skilled project manager and want to work in an outsource company to develop my skills in the B2B field with foreign customers."
2554,"I have 4 years of successful B2B international communication and sales experience, excellent oral and written presentational skills, as well as qualities of team-building and public speaking.
- I have strong communicational, management, problem-solving skills and get lots of pleasure during successful teamwork. 
- Have 4 years B2B international communication (account and sales experience) and masters degree in foreign economics.
- Have basic skills of web & mobile UI/UX design, prototyping.
- Understand Agile methodologies in SDLC
- Accomplished courses of Business Analytics and Web & Mobile UI/UX design
- Tools: CRM, Google Docs, Figma, Axure RP, Coggle, Adobe Ps, Canva, Trello, Slack

Now I'm looking for account or junior PM job opportunity in development/design field.
The most desirable for me is to join the team of creative and determined people and grow together while working on exciting and challenging tasks. I would be glad to use and develop constantly my skills and qualities.
I'm interested in business solutions finding, web & mobile UI/UX decisions, prototyping, cross-cultural communication.
Location and space are important but not critical."
