,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite
6018,"**Summary**

Web designer experienced in website redesign and UX/UI design, with a focus on creating user-friendly interfaces. Proven ability to conduct user research, develop wireframes, and implement visual designs, including responsive design principles. Seeking opportunities to further develop UI/UX skills and contribute to impactful projects.

**Experience**

*   **Web Designer**

    *   Redesigned the Children's Music School website, focusing on a visually appealing and easily navigable landing page.
    *   Conducted analysis of the existing website to identify strengths and weaknesses.
    *   Created a detailed wireframe for the new landing page, incorporating a news block and call to action.
    *   Ensured the new design's color scheme and typography aligned with the school's brand identity.
    *   Developed the visual design of the landing page, prioritizing user experience and ease of navigation.
    *   Implemented responsive design principles for optimal viewing across devices.
    *   Worked on Pet-Saver-Hub, a web service project for rescuing lost and found animals, focusing on a user-friendly interface for searching lost or found pets.
    *   Conducted user research to identify user pain points.
    *   Developed a detailed user flow and wireframe for the website, ensuring an intuitive interface.
    *   Incorporated interactive elements, such as a map feature, to aid in locating lost or found pets.

**Skills**

*   Wireframing
*   Visual Design
*   User Research
*   Responsive Design

**Desired Career Goals**

*   Develop UI/UX design skills.
*   Contribute to impactful projects.
*   Collaborate with professionals for growth and learning.
*   Participate in challenging projects that foster creativity and utilize the latest design technologies and trends.
*   Emphasize communication and teamwork for effective results.
*   Actively interact with users and collect feedback to improve user experience.
*   Prioritize creativity and attention to detail to ensure high-quality work.
"
6021,"**\[Your Name]**
\[Your Phone Number] | \[Your Email Address] | \[Your LinkedIn Profile URL (Optional)] | \[Your Portfolio URL (Optional)]

**Summary**

Results-oriented design professional with experience in a variety of design disciplines. Proven ability to lead design teams, develop innovative concepts, and deliver high-quality products.

**Experience**

**Head of Design Department** | Facility, Kiev | Mar 2018 - Present

*   Oversaw the design process for a diverse range of projects, including websites, brands, and products.
*   Optimized design workflows for various project types.
*   Developed concepts for websites, brands, and other products.
*   Created UI/UX designs, animations, logo books, brand guidelines, and brandbooks.
*   Played a leading role in tenders and offline company activities.
*   Managed a team of designers.

**Projects**

*   **Websites:** Over 50 Websites
*   **Logotypes:** More than 30 Logotypes
*   **Mobile Apps:** 4 Mobile Apps
*   **Games:** 3 Games
*   **Social Network:** 1 Social Network

**Additional Experience**

**Kiev Smart City, Kiev**

*   Worked on concept and final product visualization for Kiev Smart Card.
*   Developed a series of dynamic city ad concepts.

**Mastercard, Kiev**

*   Created illustrations and limited-edition products for the 2018 UEFA Champions League Final in Kiev.
*   Developed a concept for a brand activation program on Ukraine Independence Day 2018.

**“Stampede Games”, Kiev**

*   Developed visual concepts and UI for mobile games.
*   Created concept art for the second part of a game.
*   Contributed to games featured on top-charts:
    *   Evo Explores
    *   .projekt

**Recognition & Activities**

*   Published articles on medium.com, mmr.ua, cases.media, and vc.ru.
*   Served as a judge for CSSDA and Ukraine Creative Week.
*   Approaching final steps to join the awwwards judge team.
*   Delivered educational lectures in Underhub co-working.
"
6026,"**[Your Name]**

**Summary**

Design professional with over 12 years of experience. Proven ability to create impactful designs and guide projects to perfection. Passionate about design and dedicated to user-centered solutions.

**Experience**

*   **Own Design Studio** | CEO & Designer | 2014
    *   Managed a team of 20 employees.
    *   Oversaw all aspects of studio operations, including sales, management, hiring, and project creation.
*   **UI/UX & Brand Designer** | Multiple Roles | 2011-2022
    *   Experience at various companies including:
        *   Bank BVR (2021)
        *   Innovation Box (2020)
        *   Ardas (2019)
        *   M2E pro (2017)
        *   Forforce (2016)
        *   Art. Lebedev Studio (2015)
        *   «Poster» (2013)
        *   «le Weekend» (2012)
        *   «November» Design Bureau (2011)
    *   Responsibilities included UI/UX and brand design.
*   **UI/UX Design Teacher** | Hillel IT School | 2020
    *   Taught UI/UX design.
*   **Graphic Designer** | Freelance | 2006
    *   Provided graphic design services.

**Projects**

*   Created over 300 projects.
*   Developed over 30 products from scratch.
*   Designed over 30 mobile applications.
*   Designed over 80 websites.
*   Created over 100 logos and corporate styles.

**Education**

*   MBA Candidate
*   Master's Degree in “Engineering Design”

**Skills**

*   UI/UX Design
*   Brand Design
*   Frontend Development (HTML5/CSS3/TypeScript/Vue.js) - *Coursework*
*   Backend Development (Python, Swift) - *Coursework*

**Speaking Engagements**

*   Dribbble & etc. conferences

**Additional Information**

*   Industries Served: eCommerce, Finance, Banking, Investments, Marketing, Social Media, Laws, Education, Development, NFT, Art, Auto, Game, Building, Agro, Food, Coffee, Fashion, Beauty, Food, Service, Music, Dance, MMA, Medicine, Space, Sex, Sport, Technique, Weapon, Insurance
*   Clients Served in: USA, United Kingdom, Germany, Netherlands, Italy, France, Greece, Estonia, Australia, China & Ukraine.
"
9479,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Your Portfolio Link (if applicable)]

**Summary**

Results-oriented graphic designer with extensive experience in visual communication, branding, and user interface design. Proven ability to create impactful designs across various mediums, from digital platforms to print materials. Adept at managing projects and collaborating effectively within teams.

**Skills**

*   Adobe Photoshop
*   Adobe Illustrator
*   Adobe InDesign
*   Figma
*   Blender
*   After Effects
*   UI/UX Design
*   3D Design
*   Branding & Identity
*   Key Visual Design
*   SMM Design
*   Print Design

**Experience**

**QA Madness** | Graphic Designer & UI/UX Designer | Nov 2022 – Present

*   Contributed significantly to the company's global redesign, impacting the final visual outcome.
*   Redesigned the company website to align with the new vision and style.
*   Successfully implemented a fresh visual style for presentations.
*   Completely redesigned all SMM materials, including LinkedIn and Instagram, and created a page for DOU.
*   Utilized self-created 3D elements in design projects.

**Kronas** | Graphic Designer | Aug 2020 – Feb 2022

*   Designed logos, identities, and related printing materials for new brands.
*   Developed 3-6 monthly advertising key visuals for the website, social networks, and print.
*   Introduced and implemented a new visual style for the Instagram profile.
*   Created multi-page catalogs and brochures using InDesign.
*   Updated the visual design of the company's YouTube channel, including video covers.
*   Created custom sticker packs for Telegram and Viber.
*   Developed the design for a new trade hall, including branding and navigation elements.

**Design Studio ToTop** | Graphic Designer | Oct 2019 – Aug 2020

*   Developed designs for various companies across different industries.
*   Designed logos and brand identities.
*   Created outdoor advertising materials (billboards, citylights, car branding).
*   Produced realistic product visualizations in Photoshop.
*   Designed various print materials (calendars, business cards, postcards, stickers, etc.).
*   Designed multi-page catalogs and brochures.
*   Successfully designed, developed, and launched a 16-page brochure in a single workday.

**Education**

Beetroot Academy | UI/UX Course | [Completion Date or Period]

**Additional Information**

*   Experience in leading a small team of junior designers.
*   Proficient in Prepress and DTP processes.
"
16980,"**Depositphotos | Content Researcher**

*   Researched and created content, including collections and PowerPoints, for clients' advertising or content distribution via email and website publications.
*   Collaborated with content managers, analyzing their development and metrics.
*   Managed advertisements for influencers and clients, including Coca Cola, H&M, Colgate, Vogue Ukraine, and Marie Claire Maison Italy.
*   Utilized Jira and CRM systems.
*   Managed localized content, ensuring alignment with brand tone and style.

**Depositphotos | Contributor Relations Manager**

*   Researched and identified potential photographers in EMEA and North America.
*   Collaborated with contributors to develop their portfolios on cloud services.
*   Led training seminars for new employees.

**Teacher of English Language**

*   Mentored students with special needs, including physical and psychological needs.
*   Developed personalized techniques and lectures for each student.
*   Adapted the educational process to suit each child's needs and capabilities, tailoring lectures and assignments accordingly.
*   Built individual connections with students, fostering knowledge acquisition and curriculum advancement.

**Liberty Power | Door-to-door Sales Agent**

*   Presented and advertised products or services to the public in various neighborhoods.
*   Delivered presentations on product features and highlighted competitive advantages.
*   Persuaded clients to purchase products using a script and facilitated agreements.
"
17014,"**[Your Name]**
[Your Contact Information]

**Summary**

Highly motivated English philology student with 4 years of academic experience in text editing, writing, and translation. Possesses a strong interest in social media platforms and a passion for the IT-sphere. Eager to learn and contribute.

**Skills**

*   Text Editing
*   Writing
*   Translation
*   Social Media Awareness
"
18230,"**[Your Name]**
[Your Contact Information]

**Summary**

Creative/Art Director, Graphic and UI/UX Designer with over 10 years of experience. Based in Ukraine, with a proven track record of developing brands and providing design solutions for clients globally.

**Experience**

*   Developed over 20 brands in Ukraine.
*   Collaborated with clients from the USA, Canada, Australia, New Zealand, Austria, and Finland.

**Skills**

*   Branding
*   Marketing
*   Advertising
*   Graphic Design
*   Web Design
*   Mobile App Design

**Values**

*   Mutual Respect
*   Honesty
*   Decency
*   Punctuality
"
18348,"**[Your Name]**

**Summary**

A professional website, mobile, and graphic designer with over 6 years of commercial experience across various agencies. Proven ability to contribute to creative projects, including the creation of over 100 website designs, brand, and advertising initiatives. Expertise in UX prototyping, UI design, and motion design for desktop and mobile applications. Seeking to join a strong team and contribute artistic taste to contemporary design.

**Skills**

*   Graphic Design (Printed Products, Banners, Illustrations, Icons)
*   Web Design (Responsive, Adaptive)
*   Mobile Design (iOS, Android)
*   Wireframes
*   Interactive Prototypes
*   Atomic Design Principles
*   User Personas & User Flows
*   HTML & CSS Basics

**Tools**

*   Figma (Team Libraries, Auto Layout, Component Properties, Branches)
*   Adobe Photoshop (Excellent Proficiency)
*   Adobe Illustrator (Excellent Proficiency)
*   Adobe After Effects (Confident Proficiency)
"
26715,"**[Your Name]**

**Summary**

Highly experienced professional with approximately 20 years of expertise in web design, UI/UX, 3D graphics, animation, and the creation of original products. Proven ability to lead and manage teams, with a focus on innovative design and technical leadership. Seeking opportunities for professional growth.

**Experience**

*   **CTO/Tech Lead, Outsource Studio**
    *   Led and managed the technical aspects of an outsource studio.
    *   Grew a team of up to 25 in-office developers and over 20 freelancers.
    *   Provided art direction and managed the design team.

*   **Co-Owner, Mobile Game Studio**
    *   Participated in the full cycle of mobile game development, including concept creation, UI/UX design, overall design, animation, Unity VFX, communication, and sound editing.
"
26747,"**Summary**

Results-oriented designer with 6+ years of commercial experience across diverse sectors including startups, fintech, organization management, crypto, insurance, and healthcare. Proven ability to translate concepts into user-centered designs for web, mobile, and dashboard applications. Skilled in all stages of the design process, from research and ideation to implementation and team leadership.

**Experience**

*   **Australia-Based Digital Home Loan Product (1 year)**
    *   Contributed to the development of a digital home loan product, from inception to MVP, as part of a three-person team.
    *   Spearheaded the creation of a design system from the ground up.

**Awards & Recognition**

*   8 Design Awards on Behance
*   Honorable Mention, San Francisco Design Week
*   Featured in ""The Very Best of Ukrainian Design""

**Skills**

*   **Design Process:** Hypothesis generation, research, wireframing, prototyping, usability testing, UI design, design system creation.
*   **Leadership:** Design team leadership (up to 8 people), mentorship, 1:1 meetings, feedback and support to teammates.
*   **Collaboration:** Communication with stakeholders and product managers, cross-functional collaboration.
*   **Technical:** Web, Mobile, Dashboard, and Web application design.
*   **Strategic:** User-centered design, business needs analysis, best practice design advice.

**Project Stages**

*   Stakeholder and Product Manager Communication
*   User Research
*   Functionality Mapping and Process Flow Creation
*   Low/High Fidelity Wireframing
*   UI Research and Design

**Teamwork & Mentorship**

*   Mentorship of junior designers
*   1:1 meetings to identify areas for improvement.
*   Providing feedback and support to teammates.
"
