Unnamed: 0,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o
0,"2D Artist, Sketcher at Templatemonster.com  
2005 — December 2011  
Developed icons for websites and created sketches for 3D models.

2D Artist, Art Leader at Slotopaint.com, Mykolaiv  
December 2017 — 2022  
Created symbols, interfaces, pop-ups, and other elements for casual games, slots, UI/UX games, various strategies, puzzles, card games, and roulettes. Led a team of artists.

Dedicated illustrator committed to delivering high-quality work. Hardworking, detail-oriented, and responsible. Proficient in using a graphic tablet. Well-versed in composition, perspective, volume, and isometry, with a particular fondness for isometric objects. Holds a degree in art. Capable of effectively collaborating in a team. Skilled in graphic design."
1,"• 4 роки досвіду на посаді арт-директора та 12 років у сфері дизайну та IT.
• Ефективне управління дизайн-командами, тісна співпраця з розробниками, клієнтами та власниками продукту.
• Повний цикл дизайну продукту: від концепції до реалізації, включаючи дослідження, прототипування та контроль якості.
• Досвід у фінтех та крипто-сферах, проектування складних платформ.
• Успішна робота зі стартапами (B2B, B2C) з високими показниками залучення.
• Впевнені знання HTML, CSS та JavaScript.
• Досвід у брендингу, упаковці, створенні маркетингових та рекламних матеріалів, landing pages, інтерфейс-кітах.
• Вміння в UX-writing, типографіці та поліграфії.
• Орієнтація на дизайн-мислення та стилістичні рішення.
• Прагнення працювати в продуктовій компанії з соціально-відповідальним підходом до бізнесу."
2,"Worked at Africa Studio for over two years as a retoucher, where I honed my attention to detail and artistic skills. Transitioned to pursue a course in UI/UX design for game interfaces, aiming to expand my expertise and enhance my design capabilities."
3,"Робота в проекті ""Бізнес Інженерія""  
Навчання у школах по дизайну, розробка лого та створення гарних робіт.  
Робота з людьми, подобається, коли вони у захваті від моєї роботи.  

Працювала над проектом ""Бізнес Інженерія""  
Розробка лого, банерів, інфографіки.  
Дизайн візитівок, логотипів, сертифікатів для клієнтів.  
Малюю як на папері, так і в діджитал, використовую Adobe Illustrator.  
Професійно фотографую.  
Готова ризикувати та братися за різні проекти, постійно розвиваюсь в різних напрямках."
4,"Досвід роботи

2014-2016: Фріланс
- Розробка логотипів, брендінгу та упаковки продуктів.
- Створення веб-кейсів для сайтів та рекламних банерів.

2016 - по теперішній час: Дизайнер в Stan Agency
- Розробка логотипів, брендінгу та упаковки продуктів.
- Дизайн та підготовка до друку друкованої продукції.
- Створення веб-кейсів для сайтів та рекламних банерів.

Навички
- Створення та розробка логотипів і брендінгу.
- Дослідження та аналіз ринку.
- Розробка упаковки різної складності.
- Дизайн, підготовка до друку та верстка друкованої продукції.
- Впевнене володіння Adobe Photoshop, Adobe Illustrator та Figma.
- Глибокі знання Microsoft Word, Excel, PowerPoint.
- Базові навички векторної ілюстрації та авторської типографіки.
- Високомотивована самостійна особистість.

Мета
- Прагнення працювати в галузі UI/UX Design."
5,"Олександр з Івано-Франківська, графічний дизайнер з вищою освітою та понад трьома роками досвіду роботи в рекламній компанії. Заснував відділ графічного дизайну в компанії, маю значний досвід у реалізації довготривалих проектів. Відзначаюсь комунікабельністю, вмінням працювати в команді та відповідальним ставленням до роботи. Постійно розвиваюсь у сфері дизайну. Відкритий до співпраці та виконання якісних проектів."
6,"Досвідчена в поліграфії та вільно володію графічними програмами Adobe. Володію навичками верстки і дизайну макетів для друку, а також додрукарської підготовки. У 2019 році успішно завершила курси з веб-дизайну (UX/UI). Зацікавлена у віддаленій роботі та прагну розвиватись у сфері веб-дизайну, співпрацюючи з досвідченою командою."
7,"Hello. I am seeking a position in UI/UX design and animation. With several years of experience in graphic design, including international experience, I have worked on a variety of projects such as business cards, catalogs, brand books, websites, and applications using tools like Photoshop, Illustrator, and InDesign. UI/UX design is my favorite and most promising field, and I am committed to further developing my skills in this area. Currently, I am enhancing my skills in Figma, learning English, creating prototypes, and exploring animation. Thank you for your consideration."
8,"Вища художня освіта (НАОМА/графічний дизайн)

Досвід роботи:
- Ілюстратор, графічний дизайнер та веб-дизайнер в рекламному агентстві

Навички:
- Розробка сайтів, мобільних додатків, інфографіки та брендингу

Професійні інтереси:
- Розвиток в сфері UI/UX дизайну та розробки мобільних додатків
- Вивчення нових технологій

Особисті якості:
- Прагнення працювати в команді
- Пошук компанії з налагодженими процесами
- Не готова бути єдиним дизайнером на проекті"
9,"10-11.2021 - E-Commerce:
- Developed design and functionality for desktop and mobile versions
- Created clickable prototype
- Established design system in Figma

11.2021-01.2022 - Medical Mobile Application Development:
- Researched and analyzed client's competitors
- Developed user personas and User Flow
- Created Low Fidelity / High Fidelity Wireframes
- Designed clickable prototype

01.2022-03.2022 - Online Store Mobile Application:
- Developed personas and User Flow
- Designed Low Fidelity / High Fidelity Wireframes
- Created clickable prototype with Jitter animation

05.2022-06.2022 - Private Clinic Dashboard:
- Designed tables and diagrams for clinic statistics
- Developed personas, Low Fidelity Wireframes, and clickable prototype

06.2022 - 02.2023 - Freelance Web Designer:
- Created and redesigned landing pages
- Prepared graphic materials for websites, including photo processing
- Developed concepts and provided client recommendations
- Designed Saas apps and Dashboards

02.2023 - Present - Product Designer at Reshape:
- Created interface elements such as widgets, icons, and treeview
- Developed design system for mobile apps, online stores, landing pages, and Saas applications."
10,"Навчився працювати з 3D без використання макетів, розробив продукт з метою допомоги людям, вирішив проблему безпеки та створив помічників для людей на Марсі для полегшення процесу адаптації до колонізації. Використовував продуктові практики для створення додатку та веб-версії, а також дизайн систему. Навчився адаптувати веб-сайти під мобільні пристрої, ознайомився з практиками електронної комерції, розробки прототипів та використання варіативних компонентів та autolayouts. Володію навичками роботи з нейромережами та генерації графіки з відповідним промтом.

Досвід роботи:

1. Robotplus+ 
   - Розробка продукту для оренди або купівлі роботів для виконання завдань на Марсі через мобільний додаток та веб-сторінку.
   - Використовував Blender, AI, Figma та Photoshop.

2. Beau.flo 
   - Розробка електронної комерційної платформи для онлайн продажу одягу.
   - Використовував патерни електронної комерції та інтегрував айдентику бренду у візуальну концепцію за допомогою AI, Figma, Photoshop та Illustrator.

3. Velvet Underground 
   - Редизайн веб-сайту з метою зробити його більш сучасним та актуальним.
   - Виконав промоцію фільму про вплив Velvet Underground на музичну культуру, розповів про учасників гурту та процес створення альбомів за допомогою Figma, Photoshop та Midjourney.

Мета:

Стати успішним UX/UI дизайнером, оволодіти UX-дослідженнями, бізнес-процесами та використанням метрик. Маю сильний інтерес до розробки інноваційних інтерфейсів, 3D моделювання та використання no-code технологій та дизайн-методологій для створення ефективних продуктів."
11,"1) Досвід у створенні банерів та головних екранів для різноманітних проектів, таких як книжковий магазин, магазин взуття, маркетингова конференція та продаж програм тренування.
2) Розробка дизайну для вебсайту Coinvest, компанії, що займається інвестиціями.
3) Дизайн для Art Hall Tattoo Studio, мережі тату-салонів, з адаптацією для різних пристроїв.
4) Редизайн багатосторінкового сайту для відомого бренду велосипедів Specialized bikes з адаптацією для мобільних та планшетних версій."
12,"Створення сайтів різної складності: від лендінгів до e-commerce. Повний цикл роботи: від брифу до передачі макета в розробку. Досвід у створенні сайтів-візитівок, e-commerce, корпоративних сайтів, а також мобільних адаптацій. Професійне володіння Figma: від варфреймів до клікабельного прототипування. Навички роботи з Adobe Photoshop, Adobe Illustrator, Adobe After Effects. Базові знання HTML та CSS."
13,"[Ваше ім'я]

[Ваші контактні дані]

Професійний досвід

Графічний дизайнер - Motto (2023)
- Розробка графічного дизайну для мережі АЗС ""Motto"", включаючи баннери, листівки, рекламні матеріали.
- Створення дизайн-концепції ""меню супутніх товарів"".

Інженер з якості даних - SQUAD (2020 - 2023)
- Підтримка систем безпеки розумного будинку.
- Робота з даними та машинним навчанням.

Дизайнер інтер'єрів та менеджер з продажу - Tiger (2018 - 2019)
- Проектування та дизайн інтер'єрів для клієнтів салону ""Tiger modern"".
- Консультування клієнтів та робота з документацією.

Освіта та курси

- Курс Motion Design Basic (2023)
  - Навички роботи з Adobe After Effect & Cinema 4D.

Навички

- Машинне навчання
- Уважність до деталей
- Комунікабельність
- Навички роботи з Adobe After Effect & Cinema 4D

Цілі

Шукаю компанію, яка цінує потенціал співробітників, пропонує кар'єрний ріст, винагороди, та підтримує творчість і розвиток."
14,"Досвідчений графічний дизайнер з трирічним досвідом роботи на фрілансі, спеціалізуюсь на зовнішній та внутрішній рекламі, презентаціях та відео для компанії «Житлобуд-1».

Розробка та дизайн сайтів на платформі Tilda, успішно завершено 6 проектів у сферах ремонту та нерухомості. Володію навичками підключення аналітики (Google Analytics, Tag Manager, Search Console).

Основні навички: HTML (emmet), CSS (sass, less), робота з Wordpress, базові знання JavaScript та розуміння принципів програмування (C++, C#, Java, Python).

Мотивований працювати з поліграфією будь-якого типу."
15,"Робота над декількома іконками для Google

4 роки досвіду у веб-дизайні, розробці банерів, постерів та графічному дизайні

Отримання замовлень на фріланс-біржах (Fiverr, Upwork) від компаній з ЄС, США та інших країн

- Розробка візуально привабливих та функціональних веб-сайтів та інтерфейсів
- Створення макетів, дизайну графіки та інших елементів для веб-сайтів
- Оптимізація сайтів для SEO та підвищення їх конверсії
- Взаємодія з клієнтами та командою розробників для досягнення найкращих результатів

Додаткові навички:
- Вміння працювати з програмами Figma, Adobe Photoshop, Illustrator та іншими
- Розуміння основ дизайну та веб-розробки
- Досвід використання Webflow
- Володіння англійською мовою на рівні В1

Особливі якості:
- Креативність та інноваційність у роботі
- Стресостійкість, готовність до викликів і складних задач
- Організованість та відповідальність
- Здатність працювати як у команді, так і самостійно
- Ефективне спілкування з клієнтами та колегами
- Праця на результат
- Спокійний характер та енергійність в роботі."
16,"Освіта:
- 4 роки навчання в коледжі та 2 роки в університеті за спеціальностями ""Художня фотографія"" та ""Дизайн"".
- Здобуті навички: малювання, ретуш, графічний малюнок, візуальна побудова сайтів.

Досвід роботи:
- Ретушер у компанії ""Про Пост"", підвищення кваліфікації у програмі Photoshop.
- Фріланс: виготовлення логотипів, банерів та візиток.

Курси та сертифікації:
- Курс UI/UX дизайну від Beetroot академії.
- Засвоєні принципи: композиція, типографіка, колір.
- Здатність створювати адаптивні веб-сайти для різних пристроїв.

Навички:
- Вміння працювати з Figma.
- Застосування дизайнерського мислення для створення привабливих та зручних веб-сайтів."
17,"Freelance Designer

Досвід:
- Дизайн мобільних додатків
- Підтримка та вдосконалення дизайн-систем
- Розробка дизайну цільових сторінок
- Створення банерів

Мета:
Прагну професійного зростання, використовуючи весь спектр моїх знань та навичок."
18,"On 05/21/23, I began my studies at GO IT in UX/UI Design. I am currently working on creating a landing page and am eager to join a reputable company where I can contribute as a valuable team member. My goal is to further develop my skills as a UX/UI Designer and gain valuable industry experience."
19,"Освіта:
- Львівська політехніка, спеціальність ""Комп'ютерні науки""

Досвід:
- Створення сайту з зручним інтерфейсом та плавною анімацією після проходження курсу ""Основи веб-дизайну""

Навички:
- Робота з Figma
- Вміння створювати зручні інтерфейси

Особисті якості:
- Відповідальність у виконанні завдань в узгоджені терміни
- Велике бажання вдосконалювати навички та здобувати нові знання
- Інтерес до роботи та навчання у сфері веб-дизайну

Мета:
- Прагнення працювати в сучасній компанії та створювати якісні продукти, допомагаючи втілювати сучасні ідеї в життя."
20,"Courses:
- UI/UX Design | Cursor Education Online School, Dec 2021 – Jul 2022
- Inclusive Design | Projector Online School, Apr 2021
- Web Design Beginning | Projector Online School, Feb-Apr 2021
- Basics of Web Development | WayUp Online School, 2021
- Introduction to User Experience Design | Georgia Institute of Technology, 2020

Education:
- Doctor of Medicine

Profile:
Hello! My name is Yuliia. I am a UI/UX designer with foundational knowledge in front-end development. Although my experience in creating websites is limited, I am passionate about delivering high-quality work. I am eager to grow as a professional within a team of like-minded individuals.

Skills:
- UI/UX Design
- Basic Front-end Development

Objective:
I am seeking an opportunity where I can apply my current skills and continue to develop as a UI/UX designer within a supportive team environment."
21,"Experience:
- Over 6 months of experience as a freelancer on diverse projects
- Proficient in Figma and Photoshop for design tasks
- Skilled in analyzing user flow with Google Sheets and surveys

Objective:
- Seeking a position in a reputable company to enhance my skills and grow within a team
- Interested in expanding my knowledge in graphic design"
22,"Junior UI/UX Designer

Освіта:
IT School GOIT
Курс ""UI/UX Designer"" Період: Лютий 2023 - теперішній час

Набуті навички:
- Володіння Figma, Adobe Illustrator, Adobe Photoshop

UI:
- Візуальна ієрархія
- Композиція
- Колористика
- Типографіка
- UI Kit

UX:
- Інтерактивне прототипування
- Адаптивний дизайн
- Дизайн-мислення

Дослідження UX:
- Аналіз конкурентів
- Персони та карти емпатії
- Користувацький потік
- Прототипування

Як UI/UX дизайнер, я відкритий до нових можливостей, мотивований і готовий до роботи. Маю сильну емпатію та розуміння потреб користувачів, що робить мене цінним доповненням до будь-якої команди.

Проекти:
Редизайн ""Ola-La""
- Покращена естетика
- Зручний інтерфейс
- Покращена організація інформації
- Професіоналізм
- Покращена комунікація з клієнтами

Командний проект ""Be like at home""
- Співпраця у розробці інноваційного сайту для оренди житла
- Орієнтація на зручність користувача, привабливий дизайн та надійну функціональність
- Відточення навичок командної роботи, комунікації та співпраці
- Розвиток навичок управління проектами, включаючи роботу з дедлайнами та відповідальність

Я прагну працювати у дружній команді, де колеги поважають та підтримують один одного."
23,"Junior UI/UX Designer з понад 6 місяцями досвіду роботи на фрілансі та успішним завершенням курсу ""Основи Web дизайну"" в ІТ школі ""Hillel"". Активно розвиваю свої навички на фріланс основі з метою стати висококваліфікованим спеціалістом у сфері UI/UX дизайну. Відкрита до можливостей працювати як помічник web дизайнера та UI/UX дизайнера для здобуття додаткового досвіду та участі в цікавих проектах."
24,"Розробка Landing Page для продажу оригінального крісла Wassily Chair. Включає аналіз конкурентів, створення юзер персон та юзер флоу, розробку вайфрейму, дизайн сторінки та інтерактивний прототип.

Створення мобільного додатку на IOS з тематикою ""Бронювання готелів та житла"". Включає аналіз конкурентів, створення юзер персон та юзер флоу, розробку вайрфреймів, дизайн, створення інтерактивного прототипу та оформлення кейсу на Behance."
