,Modified_gpt-5.2_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelgpt-5.2
6018,"WEB & UX/UI DESIGNER

PROFESSIONAL EXPERIENCE

Web Designer | Children’s Music School Website Redesign
- Analyzed the existing website to identify strengths, gaps, and improvement opportunities
- Produced a wireframe for a redesigned landing page featuring a news section and a prominent call to action
- Designed visual elements with attention to color, typography, and consistency with the school’s brand identity
- Structured clear, user-friendly navigation to make key information easy to find
- Applied responsive design principles to optimize the experience across devices

UX/UI Designer | Pet-Saver-Hub
- Designed the user interface for a web service focused on rescuing lost and found animals
- Conducted user research to identify pain points in searching for lost or found pets
- Created user flows and wireframes to support intuitive navigation
- Incorporated interactive elements, including a map feature, to enable location-based pet searches
- Built a user-friendly interface to support seamless search functionality

CORE COMPETENCIES
- Wireframing & Prototyping
- User Research & Analysis
- User Flows & Information Architecture
- Visual Design (Color, Typography)
- UI Design
- UX Design
- Responsive Design
- Brand Identity Integration
- Interactive UI Elements

PROFESSIONAL OBJECTIVE
To advance UI/UX design skills while contributing to meaningful, user-centered projects that positively impact people’s lives. Interested in collaborating with experienced professionals in challenging environments that support creative growth and exposure to current design technologies and trends. Committed to improving user experience through active user engagement and feedback collection, and to delivering high-quality work through strong communication, teamwork, creativity, and attention to detail."
6021,"SUMMARY
Design leader with experience delivering 50+ websites, 30+ logotypes, 4 mobile apps, 3 games, and 1 social network. Focused on UI/UX, branding, visual systems, and digital product design, with experience leading teams, optimizing workflows, and presenting concepts to stakeholders.

CORE SKILLS
- Design leadership & team operations
- Workflow optimization
- UI/UX design
- Web & digital product design
- Branding & identity systems
- Logo design & logo books
- Brand guidelines & brandbooks
- Animation
- Concept development & visualization
- Tender presentations
- Offline initiatives

PROFESSIONAL EXPERIENCE
Facility, Kiev — Head of Design Department
March 2018 – Present
- Lead design team operations and optimize design workflows across multiple project types
- Develop concepts for websites, brands, and digital products
- Produce UI/UX design, animations, logo books, brand guidelines, and brandbooks
- Lead tender presentations and company offline initiatives
- Published on medium.com, mmr.ua, cases.media, vc.ru
- Judge for CSSDA and Ukraine Creative Week
- Delivered educational lectures at Underhub co-working space

PROJECT EXPERIENCE
Kiev Smart City, Kiev
- Developed concept and final product visualization for Kiev Smart Card
- Created multiple dynamic city advertising concepts

Mastercard, Kiev
- Designed illustrations and limited edition products for 2018 UEFA Champions League Final in Kiev
- Developed brand activation program concept for Ukraine Independence Day 2018

Stampede Games, Kiev
- Developed mobile game visual concepts and UI design
- Created concept art for game sequels
- Contributed to featured games that reached top-chart positions:
  - Evo Explores
  - .projekt."
6026,"PROFESSIONAL SUMMARY

Design professional with 12+ years of experience delivering solutions across diverse industries. Portfolio includes 300+ projects, including 30+ products from scratch, 30+ mobile applications, 80+ websites, and 100+ logos and corporate styles. Leadership experience creating and managing a 20-person design studio and establishing processes for sales, management, hiring, and project creation. Educator with 150+ students taught in UI/UX and brand design. Conference speaker at Dribbble and other industry events. Master’s degree in Engineering Design; MBA in progress.

CORE SKILLS

UI/UX Design | Product Design | Brand Design | Visual Identity | Logo & Corporate Style Design | Design Leadership | Team Management | Hiring & Operations Processes | Teaching (UI/UX, Brand Design) | Conference Speaking

PROFESSIONAL EXPERIENCE

2022 — NDA

2021 — UX Designer, Bank BVR

2020 — UI/UX Design Teacher, Hillel IT School

2020 — Lead Product Designer, Innovation Box

2019 — UI/UX & Brand Designer, Ardas

2017 — UI/UX & Brand Designer, M2E pro

2016 — UI/UX & Brand Designer, Forforce

2015 — UI/UX & Brand Designer, Art. Lebedev Studio

2014 — CEO & Designer, Own Design Studio
- Created and managed a studio of 20 employees
- Established processes for sales, management, hiring, and project creation

2013 — UI/UX & Brand Designer, Poster

2012 — UI/UX & Brand Designer, le Weekend

2011 — UI/UX & Brand Designer, November Design Bureau

2006 — Graphic Designer, Freelance

EDUCATION

MBA — In Progress  
Master’s Degree — Engineering Design

TECHNICAL TRAINING

Frontend: HTML5, CSS3, TypeScript, Vue.js  
Backend: Python, Swift

INDUSTRY EXPERIENCE

eCommerce | Finance | Banking | Investments | Marketing | Social Media | Law | Education | Development | NFT | Art | Automotive | Gaming | Construction | Agriculture | Food & Beverage | Coffee | Fashion | Beauty | Service | Music | Dance | MMA | Medicine | Space | Adult Entertainment | Sports | Technology | Weapons | Insurance

INTERNATIONAL CLIENT BASE

USA | United Kingdom | Germany | Netherlands | Italy | France | Greece | Estonia | Australia | China | Ukraine"
9479,"GRAPHIC DESIGNER & UI/UX DESIGNER

PROFESSIONAL SUMMARY
Graphic Designer and UI/UX Designer with experience delivering key visuals, social media marketing assets, and print materials. Strong background in logo and brand identity design, including development of comprehensive visual systems across digital and print. Experienced integrating 3D elements into design materials and managing junior designers to deliver end-to-end design solutions.

CORE COMPETENCIES
- Brand Identity & Logo Design
- Key Visual Development
- Social Media Marketing Design
- Print Design & Prepress Production
- UI/UX Design
- 3D Design Integration
- Team Management
- Custom Illustration

TECHNICAL SKILLS
- Expert: Adobe Photoshop, Adobe Illustrator
- Proficient: Adobe InDesign, Figma
- Working Knowledge: Blender, After Effects

PROFESSIONAL EXPERIENCE

QA Madness — Graphic Designer & UI/UX Designer | November 2022 – Present
- Contributed to a company-wide global redesign initiative
- Redesigned the website to align with updated brand vision and visual style
- Introduced and implemented a new visual style for corporate presentations
- Completely redesigned social media materials for LinkedIn and Instagram
- Designed the company page for DOU
- Integrated custom 3D design elements into visual materials

Kronas — Graphic Designer | August 2020 – February 2022
- Designed logos, brand identities, and supporting print materials for new brands
- Produced 3–6 advertising key visuals per month for web, social media, and print campaigns
- Introduced and implemented a new visual style for the Instagram profile
- Created multi-page product catalogs and brochures in Adobe InDesign
- Updated YouTube channel branding and designed video covers
- Designed a custom sticker pack for Telegram and Viber
- Developed trade hall design, including branded stands and navigation systems

Design Studio ToTop — Graphic Designer | October 2019 – August 2020
- Developed design solutions for clients across multiple industries
- Created logos and brand identities
- Designed outdoor advertising, including billboards, citylights, and vehicle branding
- Produced realistic product visualizations in Adobe Photoshop
- Designed print materials including calendars, business cards, postcards, and stickers
- Created multi-page catalogs and brochures
- Conceptualized, designed, approved, and delivered a 16-page brochure in one working day

EDUCATION & PROFESSIONAL DEVELOPMENT
Beetroot Academy — UI/UX Design Course

ADDITIONAL EXPERIENCE
- Lead Graphic Designer
- Prepress Operator / DTP Designer
- Managed a team of two junior designers"
16980,"CONTENT RESEARCHER  
Depositphotos  
• Researched and curated content collections; produced PowerPoint presentations for client advertisements, email distribution, and publication on the official Depositphotos website  
• Partnered with content managers to analyze development and metrics  
• Coordinated advertisements for influencers and major clients, including Coca-Cola, H&M, Colgate, Vogue Ukraine, and Marie Claire Maison Italy  
• Used Jira and CRM systems to manage workflow and support client relationships  
• Managed localized content to align with brand tone of voice and product style  

CONTRIBUTOR RELATIONS MANAGER  
Depositphotos  
• Identified and recruited prominent photographers across EMEA and North America  
• Collaborated with contributors to develop their portfolios on cloud services  
• Led training seminars for new employees  

TEACHER OF ENGLISH LANGUAGE  
• Mentored special-needs students with physical and psychological challenges  
• Developed personalized teaching techniques and lessons tailored to individual student needs  
• Adapted the educational process to each child’s capabilities and learning requirements  
• Built strong personal connections with students to support knowledge acquisition and curriculum advancement  

DOOR-TO-DOOR SALES AGENT  
Liberty Power  
• Traveled to neighborhoods to promote products and services to the general public  
• Presented product features and competitive advantages to potential customers  
• Persuaded clients to purchase products and executed agreements between clients and Liberty Power"
17014,"ENGLISH PHILOLOGY STUDENT

PROFILE
English philology student with four years of academic experience in text editing, writing, and translation. Highly motivated and eager to apply these skills while building a career in the IT sphere. Strong interest in social media, actively exploring and analyzing multiple platforms for insights and inspiration. Dedicated, adaptable, and committed to continuous learning.

CORE SKILLS
- Text editing
- Writing
- Translation
- Social media platform exploration and analysis
- Adaptability
- Continuous learning"
18230,"CREATIVE / ART DIRECTOR | GRAPHIC & UI/UX DESIGNER  
Ukraine

10+ years of experience in branding, marketing, advertising, and digital design

PROFESSIONAL SUMMARY  
Creative/Art Director and Graphic & UI/UX Designer based in Ukraine with 10+ years of experience delivering branding, marketing, advertising, graphic design, web design, and mobile app design solutions for clients worldwide.

CORE EXPERTISE  
• Branding & Identity Development  
• Marketing & Advertising  
• Graphic Design  
• Web Design  
• Mobile App Design  
• UI/UX Design  

SELECTED ACHIEVEMENTS  
• Created 20+ brands in Ukraine  
• Collaborated with international clients in the USA, Canada, Australia, New Zealand, Austria, and Finland  
• Developed and implemented unique, innovative ideas and solutions that effectively drive business growth  

PROFESSIONAL VALUES  
• Mutual respect  
• Honesty  
• Decency  
• Punctuality"
18348,"# PROFESSIONAL SUMMARY

Website, mobile, and graphic designer with 6+ years of commercial experience across multiple agencies. Contributed to 100+ website designs, branding, and advertising projects. Skilled in UX prototyping, UI design, and motion design for desktop and mobile applications.

# SKILLS

**Design Disciplines**
• Graphic Design (printed products, banners, illustrations, icons)  
• Web Design (responsive, adaptive)  
• Mobile Design (iOS, Android)  
• Wireframes  
• Interactive Prototypes  
• Atomic Design Principles  
• User Personas and User Flows  
• HTML and CSS Fundamentals  

**Tools & Software**
• Figma (team libraries, auto layout, component properties, branches)  
• Adobe Photoshop (excellent proficiency)  
• Adobe Illustrator (excellent proficiency)  
• Adobe After Effects (confident proficiency)  

# PROFESSIONAL OBJECTIVE

Seeking to join a strong team where I can realize my potential through engaging projects and make a meaningful contribution through artistic taste and contemporary design."
26715,"PROFESSIONAL SUMMARY  
Technology leader with 20 years of experience spanning web design, UI/UX, 3D graphics, animation, and product development. Experienced in building and scaling technical teams, providing art direction, and leading full-cycle game development.

PROFESSIONAL EXPERIENCE  

Co-Founder & CTO | Outsource Studio  
- Founded and scaled an outsource studio from inception to 25+ office-based developers and 20+ freelance contributors  
- Served as CTO and Technical Lead, driving technical strategy and supporting team growth  
- Directed art and design teams, overseeing creative output and quality standards  

Co-Owner | Mobile Game Studio  
- Co-founded a mobile game development studio with full ownership stake  
- Led end-to-end game development: concept development, UI/UX design, visual design, animation, Unity VFX implementation, stakeholder communication, and sound editing  

CORE COMPETENCIES  

Technical: Web Design; UI/UX Design; 3D Graphics; Animation; Unity VFX; Sound Editing  
Leadership: CTO; Technical Leadership; Team Scaling; Art Direction; Design Team Management  
Product: Full-Cycle Game Development; Concept Development; Product Creation  

CAREER OBJECTIVE  
Seeking leadership opportunities focused on professional growth and advancement."
26747,"PROFESSIONAL SUMMARY  
Product Designer with 6+ years of commercial experience across startups, fintech, organizational management, crypto, insurance, and healthcare. Specializes in web, mobile, dashboards, and web applications. Experienced in hypothesis generation, user and market research, wireframing and prototyping (low to high fidelity), usability testing, design system development from scratch, and design team leadership. Focused on aligning design solutions with business objectives and delivering best-practice recommendations through clear stakeholder communication and cross-functional collaboration.

ACHIEVEMENTS  
• 8 design awards on Behance  
• Honorable Mention — San Francisco Design Week  
• Ukrainian Design “The Very Best Of” recognition  
• Contributed to an Australia-based digital home loan product from concept to MVP over 1 year  
• Built a comprehensive design system from scratch as part of a 3-person team

CORE COMPETENCIES  
• User Research & Testing  
• Wireframing & Prototyping  
• Design System Development  
• Stakeholder Communication  
• Cross-functional Collaboration  
• Process Flow Design  
• Low- & High-Fidelity Design  
• UI Research & Design  
• Team Leadership & Mentorship

WORKFLOW & RESPONSIBILITIES  
• Partner with stakeholders and product managers to clarify goals and requirements  
• Conduct user and market research to inform hypotheses and design direction  
• Create functionality maps and process flows  
• Develop low- and high-fidelity wireframes and prototypes  
• Execute UI research and design for web, mobile, dashboards, and web applications  
• Lead a team of 8 designers

LEADERSHIP & COLLABORATION  
• Mentor junior designers through guidance and ongoing support  
• Conduct 1:1 meetings to identify challenges and development opportunities  
• Provide constructive feedback to improve quality and consistency  
• Facilitate effective collaboration while supporting independent execution"
