,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini
0,"Управління творчими командами є моєю спеціалізацією впродовж двох років. Я маю досвід роботи моушн-дизайнером у продуктовій компанії, де створював креативи, асети, анімовані елементи інтерфейсу, lottie анімації, що дозволяє мені всебічно розуміти процеси, які відбуваються всередині.

На посаді РМ, окрім супроводжування проєктів та спілкування з замовниками, завдяки своїй технічній підкованості й допитливості, я брав на себе додаткові зони відповідальності, які стосувалися:
- системного адміністрування в рамках команди (база матеріалів, віддалений рендер, централізоване оновлення UI профільного ПЗ)
- розв'язання питань з ПЗ
- технічного супроводу спеціалістів під час виконання задач
- поліпшення процесів (написання скриптів, автоматизація, впровадження нових інструментів в роботі, створення концепції онбордингу для нових спеціалістів)
- навчання команди
- підготовки документації та створення довідкової бази знань (50+ документів, 20+ відеоуроків)
- організації покупки профільного ПЗ (аналіз умов надання послуг, аналіз ринку, створення порівняльних таблиць для проведення тендеру)

Моїми основними перевагами є:
- цілеспрямованість
- допитливість
- автономність
- комунікабельність
- викладацький хист

Я люблю розв'язувати проблеми, які переді мною постають, і робити це самостійно, шукаючи інформацію та пробуючи різні методики. Кожна задача, яку мені ставили менеджери або замовники, була реалізована. Високі когнітивні здібності стали запорукою мого кар'єрного росту.

Крім того, я люблю спілкуватися, особливо з однодумцями. Ця любов трансформувалася в великий викладацький досвід, здобутий під час роботи на попередніх проєктах. Понад двадцять навчальних зустрічей, величезна база знань для 3D департаменту, професійний ріст команди від новачків до профі та успішне закриття складних задач - це моя персональна гордість. Моє студентське минуле, адже я магістр журналістики, стало в пригоді в отриманні першого педагогічного досвіду ще під час навчання."
1,"Я працював у великій і відомій системній компанії, у галузях: FinTech та IT. Маю досвід роботи у підрозділах: 
- Business development на позиції Account Manager; 
- Digital Marketing на позиції Affiliate Manager CPA.

Є великий досвід переговорів В2В та В2В2С. На попередньому місці роботи я тісно співпрацював з командами: Digital Marketing, Dev, Frontend та іншими підрозділами компанії. Я виступав у ролі Project Manager майже всіх своїх проектів. Ось деякі з моїх реалізованих проектів:
- запуск першого, на ринку кредитування МФО, проекту по кредитуванню на партнерських офлайн точках;
- повністю з «0» запустив та налагодив сервіс онлайн-кредитування на терміналах однієї з найбільших мереж України;
- запустив новий сервіс/продукт «сайт-конструктор» для партнерів CPA, починаючи з написання ТЗ (FRF) для девелоперів, побудови звітності і закінчуючи підключенням партнерів;
- побудова звітності повністю з ""0"" у двох окремих системах.

Працював за методологіями управління проектами Agile (Scrum та Kanban). Є чималий досвід із написання FRF та FAQ. Були проекти з інтеграцією партнерів через API.

Виводив на ринок нові продукти для партнерів. Маю скіли технічної інтеграції з партнерами:
- налаштування постбеків;
- підключення до трекінгових платформ;
- робота з сервісами по відстеженню фроду; 
- побудова звітів.

Маю досвід з організації акцій для партнерів, з подальшим врученням нагород. Та досвід організації участі у конференціях, з встановленням стенду, промо матеріалів, бару тощо. Є досвід створення промо та рекламних матеріалів. Маю дуже великий досвід роботи у сфері фінансів. Дуже добре знаюся на техніці та розбираюся в технологіях.

Моя ціль - далі вибудовувати свій шлях у таких галузях, як: fintech, IT, digital marketing, e-commerce. В перспективі, отримати керівну посаду та працювати на результат, застосувавши весь свій досвід, потенціал та знання. Я завжди готовий спробувати себе в різних напрямах та видах діяльності, оскільки швидко навчаюсь та завжди прагну дізнаватись щось нове. На даний момент часу дуже цікавить робота пов'язана ближче до функціоналу Project Manager/Customer tech support, де потрібно комунікувати з партнерами та внутрішніми командами: розробників, дизайнерів тощо. А також самому поглиблюватись у технічну/інтеграційну складову. Також, мені дуже подобається створювати та будувати з ""0"", від самого початку. Це завжди складно але дуже драйвово.

Точно не хочу займатись прямими Sales."
2,"Account lead в креативній агенції IAMIDEA

Серед клієнтів у портфоліо: Eldorado, Intertop, Uklon, Ковальська, WOG, Megogo, Mechta.kz, IDS Group (Аляска, Моршинська, Боржомі), Planeta Kino, Hotline, KAN Development, Нова пошта, Орел і Решка

Обов'язки:
Менеджмент і ведення проектів, рекламних кампаній та креативних проектів як зі стратегічними клієнтами на повному обслуговуванні в агенції, так і тактичні рекламні кампанії.
Побудова процесів всередині команди - підбір команди під проєкт, створення таймінгу проєкту, підготовка технічних завдань, налагодження роботи всередині команди та з підрядниками.
Розподіл навантаження серед аккаунт менеджерів та креативних пар.
Пріоритизація проектів, підготовка брифів та постановка завдань.
Відстеження якості виконання задач та дедлайнів.
Розвиток міцних відносин з клієнтами.
Ведення документації.

Паралельно в роботі на повному супроводженні було від 5 до 12 клієнтів в піковому навантаженні.
В середині агенції керувала та працювала з трьома креативними парами, відділом дизайнерів та відділом продакшну."
3,"Велика кількість успішно завершених проектів в сфері автоматизації бізнесів.  
Участь у багатьох проектах по автоматизації бізнесів на базі CRM/ERP на різноманітних позиціях (CTO, Developer, Project Manager) і у ролі підрядника з власною командою.  

----------  
Project management (12 років)  
Angular (2 роки)  
Creatio (3 роки)  
Terrasoft 3/x (JavaScript) (8 років)  
Java (2 роки)  
GCP, Firebase  
Startup or Product."
4,"Досвід роботи в дизайн-студії, маркетингу, рекламі, піарі на посадах: art director, начальник відділу, project manager, lead designer - 8 років. На керівних посадах у підпорядкуванні було від 5 до 12 співробітників, як в офісі, так і віддалено. Є досвід «створення» дизайн-студії з нуля з організацією повністю усіх процесів.

Досвід роботи у програмах:
- Photoshop;
- Illustrator;
- Indesign;
- 3dmax.

Для ведення проектів:
- Slack;
- Monday;
- Trello."
5,"Work experience:

Brand Manager | 05.2022 - 02.2023 (8 months)  
Technoyizak (retail company), Kyiv  
- 360 marketing campaign  
- Management and control of advertising agencies  
- POSm materials development  

Project Manager | 01.2021 - 02.2022 (1 year)  
ZDATNI media holding (The Village ua, Wonderzine ua), Kyiv  
- Management of commercial projects for brands  
- Project planning and tracking  
- Team management (Designer, Creator, Art Director, Redactor, Producer, Writer)  
- Supporting clients from the idea of the project till the preparation of reports  
- Control project timeline  
- Control project budget  
- Involvement in the sales process  

For The Village.ua:  
Від Фріди до Отто Дікса. Ми оживили три відомі картини, щоб ви полюбили мистецтво  
Trust your spirit. Це люди, які роблять добрі справи  
Бакота, Тустань і Підгорецький замок. Що ховається за красивими фото нетипових туристичних локацій?  
Креативний допінг. Ми спробували різні техніки придумування ідей (навіть басейн!). І ось що вийшло  

For Wonderzine.ua:  
Під час місячних скасовую всі плани». Я живу з тяжкими менструальними кровотечами  
Це ж неможливо! Як я завагітніла під час грудного вигодовування первістка  
Ми експериментуємо в сексі – як нам підібрати контрацептив і почуватися вільними?  

Junior Brand Manager | 05.2017 - 06.2019 (2 years 1 month)  
Pernod Ricard (Ballantine's, Beefeater, Absolut, Monkey 47), Kyiv  
- Development and implementation of marketing communications initiatives (ATL, BTL, sales promotion, PR, SMM, brand education)  
- Contribute to the annual brand planning process  
- Development and control of sponsorship events  
- Work together with Trade Marketing on national promo and activities strategy, plans, and schedules  "
6,"Бізнес-аналітик/Керівник проєктів впровадження CRM

- Брав участь в успішній реалізації трьох проєктів впровадження CRM.
- Пройшов сертифікацію і став офіційним партнером amoCRM.
- Освоїв основи роботи з запереченнями.
- Отримав навички ведення переговорів і ділового спілкування.
- Навчився збирати та визначати основні вимоги клієнта до системи.
- Освоїв функціонал і основні можливості CRM-систем.

Діяльність охоплює наступні активності:
- Первинний контакт з клієнтом.
- Визначення бізнес-проблем клієнта, виявлення і збір вимог.
- Формування первинних рішень та їх розвиток.
- Організація, підготовка та участь в проведенні презентацій продукту.
- Проведення переговорів з клієнтом щодо вартості порядку оплати та умов надання послуг.
- Підготовка комерційної документації (комерційна пропозиція, рахунок, договір).
- Участь в розробці прототипу налаштувань.
- Налаштування і тестування CRM-системи.
- Консультаційна робота після завершення проєкту.
- Хочу розвиватися та удосконалюватися, як спеціаліст у сфері управління IT проєктами.
- Працювати в злагодженій команді, яка орієнтована на результат.
- Приносити реальну користь компанії та отримувати за це достойну заробітну плату."
7,"Підготовка планів дій Уряду, програм діяльності Уряду. В даний час працюю державним службовцем, готуючи плани та звіти Уряду. Особисті якості: я високо мотивований, маю добре розвинені комунікаційні навички та постійне бажання до самовдосконалення. Зацікавлений у програмуванні та змінах у профілі та спеціалізації."
8,"Під моїм керівництвом створено новий підрозділ з контролю та автоматизації бізнес-процесів, який вважався одним з найкращих підрозділів Банку як за ефективністю організації процесів, так і за комунікацією з внутрішніми та зовнішніми клієнтами. 

Досвід роботи в банку – більше 15 років, протягом яких займаюся аналізом бізнес-вимог користувачів програмного комплексу Банку та їх впровадженням. В якості Бізнес-аналітика супроводжувала повний перехід Банку при зміні ПЗ. Фактично, Product Owner основного програмного забезпечення Банку. 

Наразі супроводжую розробку Мобільного застосунку Банку в частині інтеграції з Мастер-системою Банку. Вважаю цікавим розвиватися в напрямку Мобільних додатків у сфері фінансів, в ролі Бізнес-аналітика чи Продуктового менеджера. 

Цікавий проект у сфері фінансів, в якому зможу розкрити свої сильні сторони: ефективна організація бізнес-процесів, мінімізація ризиків, автоматизація та результативна комунікація з учасниками проекту різної ланки. Перспектива розвитку і участі у запровадженні найновіших технологій. Бажано велика команда з амбіційними проектами."
9,"– Знання 1С:Підприємство 7.7, 1С 8.3: УПП, УТП, 1C 8.3: Управление агрохолдингом, 1С 8.3: Бухгалтерия сельскохозяйственного предприятия для Украины, 1С:Підприємство 8, ITIL, 1С:Консолидация, 1С: Казначейство, 1С:MDM НСИ, 1C:Бухгалтерия для Украины, 1С:Управление элеватором для Украины, 1С: Зарплата и Управление персоналом для Украины, 1С:Документооборот, MS Office, M.E.Doc., Jira, BAS ERP  
– Досвід складання технічної документації, написання інструкцій, регламентів  
– Досвід участі в проектній роботі, автоматизації обліку на базі 1С  
– Знання бухгалтерського та податкового, управлінського обліку  
– Участь в розробці вимог та написання технічних завдань для розробки/зміни функціоналу 1С  
– Участь в проектах по автоматизації обліку підприємств на базі 1С  
– Написання посадових інструкцій, регламентів  
– Консультації користувачів з методології відображення господарських операцій в 1С  
– Надання рекомендацій користувачам щодо виправлення помилок в 1С  
– Розробка інструкцій по роботі з функціоналом 1С  
– Тестування нових доопрацювань в програмі 1C  
– Ведення технічної документації по проектах 1С  "
