Unnamed: 0,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat
6018,"**Professional Summary**  
Experienced web and UX/UI designer specializing in wireframing, visual design, user research, and responsive design. Proven ability to deliver intuitive, visually appealing designs through collaboration and attention to user needs.  

**Key Projects**  
**Children's Music School Website Redesign**  
- Analyzed the existing website to identify areas for improvement.  
- Developed wireframes for a streamlined landing page, integrating news updates and clear calls to action.  
- Designed an accessible, user-friendly interface aligned with the school’s branding.  
- Ensured cross-device compatibility through responsive design principles.  

**Pet-Saver-Hub Web Service**  
- Researched user pain points in lost/found pet searches.  
- Designed wireframes and user flows for an intuitive navigation system.  
- Implemented interactive features, including a map, to enhance functionality.  
- Prioritized usability to simplify pet search and posting processes.  

**Skills**  
- Wireframing  
- Visual Design  
- User Research  
- Responsive Design  
- UX/UI Design  
- Team Collaboration  

**Career Goals**  
Aiming to advance UI/UX expertise by contributing to impactful projects. Committed to continuous learning, creative problem-solving, and delivering high-quality designs through collaboration and innovation."
6021,"**Facility, Kiev — Head of Design Department**  
*Mar 2018 - Present*  
Organized design team processes, optimized design flow for various project types. Developed concepts for websites, brands, and other products; created UI/UX, animations, logo books, brand guidelines, and brandbooks. Led tenders and offline company activities.  
- Published articles on medium.com, mmr.ua, cases.media, vc.ru.  
- Judged for CSSDA, Ukraine Creative Week. Final stages of joining the Awwwards judge team.  
- Conducted educational lectures at Underhub co-working space.  

**Kiev Smart City, Kiev**  
Developed concept and final product visualization for Kiev Smart Card. Created dynamic city ad concepts.  

**Mastercard, Kiev**  
Produced illustrations and limited edition products for the 2018 UEFA Champions League Final in Kiev. Conceptualized brand activation program for Ukraine Independence Day 2018.  

**Stampede Games, Kiev**  
Designed visual concepts and UI for mobile games. Created concept art for the second installment of a game.  
Games featured in top charts:  
- Evo Explores  
- .projekt  

**Portfolio Highlights**  
Over 50 Websites  
More than 30 Logotypes  
4 Mobile Apps  
3 Games  
1 Social Network  

**Career and financial growth opportunities, engaging projects, effective management.**"
6026,"**UI/UX & Brand Designer**  

**PROFESSIONAL SUMMARY**  
Results-driven designer with 12+ years of experience delivering 300+ high-impact projects. Expertise in UI/UX, brand identity, and product design, combining technical precision with creative vision. Former studio founder skilled in team leadership, client relations, and operational efficiency. Holds a Master’s in Engineering Design and currently advancing business acumen through an MBA.  

**KEY ACHIEVEMENTS**  
- Designed and launched 30+ products from concept to completion, 30+ mobile apps, 80+ websites, and 100+ logos & brand identities.  
- Founded and grew a design studio to 20 employees, overseeing sales, recruitment, and project execution.  
- Trained 150+ students in UI/UX and brand design as an instructor at Hillel IT School.  
- Featured speaker at industry conferences, including Dribbble.  
- Technical proficiency: HTML5/CSS3/TypeScript/Vue.js, Python, Swift for prototyping and collaboration.  

**EXPERIENCE**  
**2022 — Present** | NDA (Confidential Projects)  
**2021** | UX Designer | Bank BVR  
**2020** | UI/UX Design Instructor | Hillel IT School  
**2020** | Lead Product Designer | Innovation Box  
**2019** | UI/UX & Brand Designer | Ardas  
**2017** | UI/UX & Brand Designer | M2E Pro  
**2016** | UI/UX & Brand Designer | Forforce  
**2015** | UI/UX & Brand Designer | Art. Lebedev Studio  
**2014** | CEO & Designer | Own Design Studio  
**2013** | UI/UX & Brand Designer | «Poster»  
**2012** | UI/UX & Brand Designer | «le Weekend»  
**2011** | UI/UX & Brand Designer | «November» Design Bureau  
**2006–2010** | Freelance Graphic Designer  

**EDUCATION**  
- Master’s Degree, Engineering Design  
- MBA (In Progress)  

**INDUSTRIES WORKED IN**  
eCommerce, Finance, Banking, Investments, Marketing, Social Media, Legal, Education, Development, NFT, Art, Automotive, Gaming, Construction, Agriculture, Food & Beverage, Fashion, Beauty, Healthcare, Aerospace, Defense, Insurance.  

**GLOBAL CLIENTELE**  
USA, UK, Germany, Netherlands, Italy, France, Greece, Estonia, Australia, China, Ukraine.  

**PERSONAL STATEMENT**  
*“Design is my passion—I refine every detail to create seamless, delightful experiences. Committed to advancing design education and empowering teams. Let’s transform your vision into an exceptional reality.”*"
9479,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Creative and detail-oriented Graphic Designer with extensive experience in key visuals, SMM, printing materials, logo design, and brand identity. Proficient in Adobe Photoshop, Illustrator, InDesign, and Figma, with some skills in Blender and After Effects. Experienced in UI/UX design, team management, and delivering impactful design solutions.  

**Professional Experience**  

**Graphic Designer & UI/UX Designer**  
QA Madness | Nov 2022 – Present  
- Played a key role in the company’s global redesign, significantly impacting the final result.  
- Redesigned the website to reflect the new vision and style.  
- Introduced and implemented a fresh visual style for presentations.  
- Redesigned all SMM materials for LinkedIn, Instagram, and created a page for DOU.  
**Main Achievement:** Incorporated 3D elements created independently into designs.  

**Graphic Designer**  
Kronas | Aug 2020 – Feb 2022  
- Designed logos, identities, and related printing materials for new brands.  
- Developed 3-6 advertising key visuals monthly for websites, social networks, and print.  
- Introduced and implemented a new visual style for the Instagram profile.  
- Created multi-page catalogs and brochures using InDesign.  
- Updated the visual identity of the company’s YouTube channel and designed video covers.  
**Main Achievements:**  
- Designed a custom sticker pack for Telegram and Viber.  
- Developed the design for a new trade hall, including branding stands and navigation.  

**Graphic Designer**  
Design Studio ToTop | Oct 2019 – Aug 2020  
- Designed logos, identities, and outdoor advertising (roadside billboards, citylights, car branding).  
- Created realistic product visualizations in Photoshop.  
- Produced printing materials such as calendars, business cards, postcards, and stickers.  
- Designed multi-page catalogs and brochures.  
**Main Achievement:** Conceptualized, approved, and completed a 16-page brochure design in one working day, ready for print.  

**Education & Certifications**  
UI/UX Design Course | Beetroot Academy  
- Developed skills in user-centered design and user experience.  

**Technical Skills**  
Adobe Photoshop, Illustrator, InDesign, Figma | Blender, After Effects  

**Languages**  
[Add languages if applicable]"
16980,"**Depositphotos | Content Researcher**  

Researched and curated content collections, including PowerPoints, for client advertisements and distribution via email or direct publication on the official Depositphotos website.  
Collaborated closely with content managers to analyze performance metrics and support their development.  
Managed advertising campaigns for high-profile clients and influencers, including Coca-Cola, H&M, Colgate, Vogue Ukraine, and Marie Claire Maison Italy.  
Utilized Jira and CRM systems to streamline workflow and project tracking.  
Adapted localized content to align with brand tone and product style guidelines.  

**Depositphotos | Contributor Relations Manager**  

Identified and engaged potential photographers across EMEA and North America to expand contributor portfolios.  
Provided direct support to contributors in optimizing their portfolios on cloud-based services.  
Designed and led training seminars for new employees to onboard them effectively.  

**English Language Teacher**  

Mentored students with special needs, adopting tailored teaching strategies to accommodate physical and psychological requirements.  
Developed individualized lesson plans to align with each student’s abilities, restructuring traditional methods for personalized learning.  
Established strong rapport with students to foster engagement, accelerating academic progress beyond prior benchmarks.  

**Liberty Power | Door-to-Door Sales Agent**  

Conducted direct sales presentations in residential areas to promote energy services.  
Highlighted product advantages over competitors, delivering persuasive sales pitches.  
Finalized agreements between clients and Liberty Power through structured proposal scripts."
17014,"[Your Name]  
[Your Contact Information]  

**Objective**  
Detail-oriented English philologist with 4 years of academic expertise in text editing, writing, and translation. Seeking to apply linguistic skills and social media proficiency to contribute effectively in the IT industry.  

**Education**  
Bachelor of Arts in English Philology  
[Your University Name], [Graduation Year]  

**Skills**  
- Advanced text editing, writing, and translation  
- Strong grasp of linguistic analysis and literary interpretation  
- Active engagement with social media for trend awareness  
- Adaptable and eager to learn new technical skills  

**Experience**  
**English Philology Student**  
[Your University Name], [Start Year] – [End Year]  
- Refined text editing, writing, and translation abilities through rigorous academic projects.  
- Analyzed complex literary and linguistic materials with precision.  
- Collaborated effectively in team-based academic assignments and presentations.  

**Interests**  
- Exploring social media dynamics and digital communication trends  
- Expanding knowledge in IT and technology-related fields  

**Additional Information**  
- Open to full-time, part-time, remote, or relocation opportunities."
18230,"**Creative/Art Director | Graphic & UI/UX Designer**  
*10+ years of experience in Branding, Marketing, Advertising, and Digital Design*  

**Professional Summary**  
Results-driven Creative/Art Director and Designer with over a decade of experience crafting branding, marketing, and digital design solutions for global clients. Specialized in developing innovative ideas that drive business growth while upholding values of respect, honesty, and professionalism.  

**Key Achievements**  
- Developed and launched **20+ brands** in Ukraine, delivering visual identities and creative direction.  
- Collaborated with international clients across **USA, Canada, Australia, New Zealand, Austria, and Finland**, ensuring market-adaptive designs.  

**Core Expertise**  
- **Branding & Identity Design**: Conceptualizing and executing brand systems.  
- **Graphic Design**: Print, digital, and advertising collateral.  
- **UI/UX Design**: Web and mobile app interfaces.  
- **Marketing & Advertising**: Campaigns aligned with business objectives.  
- **Creative Direction**: Leading projects from ideation to completion.  

**Approach**  
Committed to high-quality, innovative solutions with a focus on **clarity, functionality, and aesthetics**. Dedicated to collaborative relationships built on **transparency, punctuality, and integrity**."
18348,"**Professional Website, Mobile, and Graphic Designer**  

**Experience:** 6+ years in agency environments specializing in UX prototyping, UI design, and motion design for desktop and mobile applications. Delivered 100+ website designs, branding, and advertising projects.  

**Skills:**  
- Graphic Design: Print materials, banners, illustrations, icons  
- Web Design: Responsive and adaptive layouts  
- Mobile Design: iOS and Android interfaces  
- Wireframing and interactive prototyping  
- Atomic design methodology  
- User personas and flow mapping  
- Basic HTML/CSS implementation  

**Technical Proficiency:**  
- Figma: Team libraries, auto layout, component properties, version branching  
- Adobe Creative Suite: Expert in Photoshop & Illustrator, proficient in After Effects  

**Objective:** Collaborate with high-performing teams to craft visually compelling and functional design solutions for cutting-edge projects."
26715,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Highly skilled professional with 20 years of experience in web design, UI/UX, 3D graphics, animation, and product development. Proven track record in leadership, team growth, and full-cycle project execution.  

**Key Skills**  
- Web Design  
- UI/UX Design  
- 3D Graphics & Animation  
- Product Ownership  
- Team Leadership & Management  
- Game Development (Concept to Launch)  
- Art Direction  

**Professional Experience**  
**CTO & Tech Lead** | [Your Studio Name]  
- Founded and scaled an outsource studio, growing the team to 25 office developers and 20+ freelancers.  
- Led art direction and managed the design team.  

**Co-Owner** | [Game Studio Name]  
- Directed full-cycle mobile game development, including concepts, UI/UX, design, animation, Unity VFX, and sound editing.  

**Career Objective**  
Seeking opportunities for professional growth and leadership in creative and technical fields."
26747,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Results-driven designer with 6+ years of experience across startups, fintech, crypto, insurance, and healthcare. Specialized in Web, Mobile, and Dashboard design, with expertise in user research, wireframing, prototyping, usability testing, and design system development. Proven ability to lead teams, align design with business goals, and deliver award-winning solutions.  

**Key Achievements**  
• 8 Design Awards on Behance  
• Honorable Mention in San Francisco Design Week  
• Featured in “Ukrainian Design: The Very Best Of”  
• Spearheaded design for an Australia-based digital home loan product, from concept to MVP in 1 year  
• Developed a scalable design system as part of a 3-person team  

**Core Skills**  
• Stakeholder & Product Manager Collaboration  
• User Research & Data-Driven Design  
• Functionality Mapping & Process Flow Optimization  
• Low/High-Fidelity Wireframing & Prototyping  
• UI/UX Design & Design System Implementation  
• Cross-Functional Team Leadership & Mentorship  

**Professional Experience**  
**Design Lead**  
• Directed a team of 8 designers, ensuring project alignment and timely delivery  
• Held 1-on-1 sessions to address challenges and drive skill development  
• Mentored junior designers, improving team performance and cohesion  
• Partnered with stakeholders to translate business objectives into actionable design strategies  

**Designer**  
• Executed user research to validate design hypotheses  
• Designed functionality maps, process flows, and wireframes for Web, Mobile, and Dashboard platforms  
• Delivered high-fidelity UI prototypes adhering to brand and usability standards  
• Worked closely with developers and product teams to implement solutions  

**Project Expertise**  
• Stakeholder Alignment & Requirement Gathering  
• User Research & Competitive Analysis  
• Information Architecture & Wireframing  
• UI/UX Design & Prototyping  
• Design System Development  
• Team Leadership & Performance Coaching  

**Collaboration**  
• Provided mentorship to junior designers, enhancing team capabilities  
• Facilitated 1-on-1 feedback sessions to resolve blockers and improve workflows  
• Fostered a collaborative culture through constructive feedback and knowledge sharing"
