Position,Moreinfo,Looking For,Highlights,Primary Keyword,English Level,Experience Years,CV,CV_lang,id,__index_level_0__
2D Illustrator UI/UX Designer,"2D artist, Sketcher at Templatemonster.com
2005 — December 2011
Розробка іконок до сайтів. Скетчі для 3D моделей.

2D-artist, Aрт-лідер at Slotopaint.com, Миколаїв
December 2017 — 2022
Cтворення символів, інтерфейсів, попапів та інших елементів для 
casual games, slots, UI\UX games, різновидних стратегій, puzzles, 
карточних ігор, рулеток. Арт-лідер відділу художників

Відданий своїй справі ілюстратор. Працьовитий, прискіпливий 
та відповідальний. Працюю на графічному планшеті. Добре 
розумію, що таке композиція, перспектива, об'єм та ізометрія 
(до речі, люблю ізометричні об'єкти). Маю художню освіту. 
Здатний ефективно співпрацювати в команді.",Графічний дизайн,,Artist,basic,11.0,"
2D artist, Sketcher at Templatemonster.com
2005 — December 2011
Розробка іконок до сайтів. Скетчі для 3D моделей.

2D-artist, Aрт-лідер at Slotopaint.com, Миколаїв
December 2017 — 2022
Cтворення символів, інтерфейсів, попапів та інших елементів для 
casual games, slots, UI\UX games, різновидних стратегій, puzzles, 
карточних ігор, рулеток. Арт-лідер відділу художників

Відданий своїй справі ілюстратор. Працьовитий, прискіпливий 
та відповідальний. Працюю на графічному планшеті. Добре 
розумію, що таке композиція, перспектива, об'єм та ізометрія 
(до речі, люблю ізометричні об'єкти). Маю художню освіту. 
Здатний ефективно співпрацювати в команді.
Графічний дизайн",uk,1c0693e5-f972-5640-946e-b3efb5380134,285
"Art-director, UI/UX Designer","Привіт! Я одержима якісним дизайном людина і ось кілька важливих тез про мене: 

•  4 роки на посаді арт-директора, 12 років в дизайні та IT вцілому.
•  Управляю дизайн-командами, тісно співпрацюю з розробниками, клієнтами та власниками продукту. Навчаю дизайнерів-початкіців, ділюся своїм досвідом та допомогаю їм рости. 
•  Повний цикл дизайну продукту: від ідеї до втілення. Дослідження, прототипування, перевірка гіпотез, контроль якості.
•  Люблю і вмію робити дизайн зрозумілим, ефективним та problem-solving.
•  Кілька успішних проєктів в фінтех та крипто, є досвід проектування складних платформ. 
•  Також багатий досвід роботи зі стартапами (переважно B2B. B2C), усі вони вдало зарелізилися та мали високі показники залучення. 
•  Розумію принципи роботи HTML, CSS і JavaScript.
•  Працюю з різноманітними дизайн-задачами: брендинг та упаковка, створення маркетингових та рекламних матеріалів, landing pages, інтерфейс-кіти, тощо. 
•  UX-writing, типографіка та робота з поліграфією - мої guilty pleasures.
•  Орієнтуюсь у першу чергу на дизайн-мислення та вдалі стилістичні рішення. Добре розуміюся на художніх підходах, розумію тренди, часом задаю свої:)","Плюсом буде, якщо ви продуктова компанія з соціально-відповідальним підходом до бізнесу.","- Успішна співпраця з великими брендами, а саме: розробка та запуск рекламних кампаній для них, створення кей-віжуалів, повний супровід запуску продуктів та присвячених цьому івентів. Проведено 3 таких масштабних івенти (на 500+ учасників). 
- Створення власної дизайн+маркетинг агенції (три роки активної роботи, зараз її діяльність на паузі)
- Аутсорс-траблшутінг дизайну в компаніях: вирішення наявних проблем з продуктом  за рахунок точкових змін в дизайні та дизайн-процесах. 
- Вирощено кілька дизайн-команд та навчено до рівня middle близько 6 починаючих дизайнерів :)",Design,upper,11.0,"- Успішна співпраця з великими брендами, а саме: розробка та запуск рекламних кампаній для них, створення кей-віжуалів, повний супровід запуску продуктів та присвячених цьому івентів. Проведено 3 таких масштабних івенти (на 500+ учасників). 
- Створення власної дизайн+маркетинг агенції (три роки активної роботи, зараз її діяльність на паузі)
- Аутсорс-траблшутінг дизайну в компаніях: вирішення наявних проблем з продуктом  за рахунок точкових змін в дизайні та дизайн-процесах. 
- Вирощено кілька дизайн-команд та навчено до рівня middle близько 6 починаючих дизайнерів :)
Привіт! Я одержима якісним дизайном людина і ось кілька важливих тез про мене: 

•  4 роки на посаді арт-директора, 12 років в дизайні та IT вцілому.
•  Управляю дизайн-командами, тісно співпрацюю з розробниками, клієнтами та власниками продукту. Навчаю дизайнерів-початкіців, ділюся своїм досвідом та допомогаю їм рости. 
•  Повний цикл дизайну продукту: від ідеї до втілення. Дослідження, прототипування, перевірка гіпотез, контроль якості.
•  Люблю і вмію робити дизайн зрозумілим, ефективним та problem-solving.
•  Кілька успішних проєктів в фінтех та крипто, є досвід проектування складних платформ. 
•  Також багатий досвід роботи зі стартапами (переважно B2B. B2C), усі вони вдало зарелізилися та мали високі показники залучення. 
•  Розумію принципи роботи HTML, CSS і JavaScript.
•  Працюю з різноманітними дизайн-задачами: брендинг та упаковка, створення маркетингових та рекламних матеріалів, landing pages, інтерфейс-кіти, тощо. 
•  UX-writing, типографіка та робота з поліграфією - мої guilty pleasures.
•  Орієнтуюсь у першу чергу на дизайн-мислення та вдалі стилістичні рішення. Добре розуміюся на художніх підходах, розумію тренди, часом задаю свої:)
Плюсом буде, якщо ви продуктова компанія з соціально-відповідальним підходом до бізнесу.",uk,577f18ca-4aaf-5c14-965c-7c9dd286d575,1104
Game UI/UX Designer,"For more than two years she worked at Africa studio as a retoucher. But I decided to change direction and take a course in UI/UX design for game interfaces, because I want to develop and improve my skills.

Понад два роки працювала в Africa studio на позиції ретушера. Але вирішила змінити напрямок і піти на курс з UI/UX дизайну для ігрових інтерфейсів, тому що хочеться розвиватися та покращувати свої навички.",,,Design,intermediate,0.0,"
For more than two years she worked at Africa studio as a retoucher. But I decided to change direction and take a course in UI/UX design for game interfaces, because I want to develop and improve my skills.

Понад два роки працювала в Africa studio на позиції ретушера. Але вирішила змінити напрямок і піти на курс з UI/UX дизайну для ігрових інтерфейсів, тому що хочеться розвиватися та покращувати свої навички.
",uk,cad229ef-3eaa-5ef1-8eb1-48cd50581986,5153
Graphic Designer UI/UX Designer,"Працювала над проектом ""Бізнес Інженерія"" 
Розробка лого, банеру, інфографіки. 

Також для клієнтів робила дизайн візитівок, логотипів, сертифікатів. 

Малюю, як і на папері, так і в діджитал. 
Використовую Adobe Illustrator. 
Також професійно фотографую.",Розвиваюсь в різних напрямках. Готова ризикувати та братися за різні проекти.,"Робота в проекті ""Бізнес Інженерія"" 
Навчання у школах по дизайну, розробка лого та створення гарних робіт. 
Робота з людьми. Подобається, коли вони у захваті від моєї роботи.",Design,basic,1.0,"Робота в проекті ""Бізнес Інженерія"" 
Навчання у школах по дизайну, розробка лого та створення гарних робіт. 
Робота з людьми. Подобається, коли вони у захваті від моєї роботи.
Працювала над проектом ""Бізнес Інженерія"" 
Розробка лого, банеру, інфографіки. 

Також для клієнтів робила дизайн візитівок, логотипів, сертифікатів. 

Малюю, як і на папері, так і в діджитал. 
Використовую Adobe Illustrator. 
Також професійно фотографую.
Розвиваюсь в різних напрямках. Готова ризикувати та братися за різні проекти.",uk,b529bb9b-30cb-5918-933a-944907b910a3,5594
"Graphic Designer, UI/UX Designer","2014-2016 freelance
2016 - now designer at Stan Agency

My experience in design is 8 years. I work in Adobe Photoshop , Adobe Illustrator, Figma at a high level. I have experience in the development of logos, branding and product packaging. I also develop web cases for the site, advertising banners, etc. I have a desire to work in the field of UI/UX Design

Skills:
- Creation and development of logos and branding.
- Market research and analysis.
- Development of packaging of various complexity.
- Design, pre-press preparation and layout of printed products.
- Confident mastery of the Adobe Photoshop, Adobe Illustrator, Figma
- Deep knowledge of Microsoft packages: Word, Excel, Power Point.
- Basic skills of vector illustration, author's typography.
- Highly motivated independent person.

______________________________________________


2014-2016 фріланс
2016 - по теперішній час дизайнер в Stan Agency

Мій досвід роботи в дизайні 8 років. Працюю в программах Adobe Photoshop , Adobe Illustrator, Figma на високому рівні. Маю досвід в розробці логотипів, брендінгу и продукт упаковки. Також розробляю веб-кейси для сайту, рекламні баннери тощо. Маю бажання попрацювати в сфері UI/UX Design

Навички:
- Створення та розробка логотипів та брендингу.
- Дослідження та аналіз ринку.
- Розробка упаковки різної складності.
- Дизайн, додрукарська підготовка та верстка друкованої продукції.
- Впевнене володіння пакетом Adobe Photoshop, Adobe Illustrator, Figma
- Глибоке знання пакетів Microsoft: Word, Excel, Power Point.
- Базові навички векторної ілюстрації, авторської типографіки.
- Високо мотивована самостійна особистість.",,,Design,intermediate,8.0,"
2014-2016 freelance
2016 - now designer at Stan Agency

My experience in design is 8 years. I work in Adobe Photoshop , Adobe Illustrator, Figma at a high level. I have experience in the development of logos, branding and product packaging. I also develop web cases for the site, advertising banners, etc. I have a desire to work in the field of UI/UX Design

Skills:
- Creation and development of logos and branding.
- Market research and analysis.
- Development of packaging of various complexity.
- Design, pre-press preparation and layout of printed products.
- Confident mastery of the Adobe Photoshop, Adobe Illustrator, Figma
- Deep knowledge of Microsoft packages: Word, Excel, Power Point.
- Basic skills of vector illustration, author's typography.
- Highly motivated independent person.

______________________________________________


2014-2016 фріланс
2016 - по теперішній час дизайнер в Stan Agency

Мій досвід роботи в дизайні 8 років. Працюю в программах Adobe Photoshop , Adobe Illustrator, Figma на високому рівні. Маю досвід в розробці логотипів, брендінгу и продукт упаковки. Також розробляю веб-кейси для сайту, рекламні баннери тощо. Маю бажання попрацювати в сфері UI/UX Design

Навички:
- Створення та розробка логотипів та брендингу.
- Дослідження та аналіз ринку.
- Розробка упаковки різної складності.
- Дизайн, додрукарська підготовка та верстка друкованої продукції.
- Впевнене володіння пакетом Adobe Photoshop, Adobe Illustrator, Figma
- Глибоке знання пакетів Microsoft: Word, Excel, Power Point.
- Базові навички векторної ілюстрації, авторської типографіки.
- Високо мотивована самостійна особистість.
",uk,08f1bf54-a939-5aa0-9e10-7d0a73b8a362,5595
"Graphic Designer, UI/UX Designer","Всім привіт!
Мене звати Олександр, я з міста Івано-Франківськ.
Маю вищу освіту графічного дизайнера, працював у рекламній компанії більше трьох років, відкрив у середині компанії відділ графічного дизайну. 
Маю великий досвід довготривалих проектів, комунікабельний, вмій працювати з командою, до роботи ставлюсь відповідально, оскільки це моє обличчя. Стараюсь ніколи не стояти на місці і завжди розвиватись у сфері дизайну!
Дякую!)
Гарного дня!","Мені найголовніше це довготривалий розвиток у вибраній професії, також я і не відмовляюсь від одиноких замовлень, оскільки також вони підвищують скіли дизайнера і в свою чергу, я пропоную якісну виконану роботу!","Я пишаюсь тим, що відкрив з нуля відділ дизайну в компанії!",Design,intermediate,4.0,"Я пишаюсь тим, що відкрив з нуля відділ дизайну в компанії!
Всім привіт!
Мене звати Олександр, я з міста Івано-Франківськ.
Маю вищу освіту графічного дизайнера, працював у рекламній компанії більше трьох років, відкрив у середині компанії відділ графічного дизайну. 
Маю великий досвід довготривалих проектів, комунікабельний, вмій працювати з командою, до роботи ставлюсь відповідально, оскільки це моє обличчя. Стараюсь ніколи не стояти на місці і завжди розвиватись у сфері дизайну!
Дякую!)
Гарного дня!
Мені найголовніше це довготривалий розвиток у вибраній професії, також я і не відмовляюсь від одиноких замовлень, оскільки також вони підвищують скіли дизайнера і в свою чергу, я пропоную якісну виконану роботу!",uk,063a45e6-4a4a-5106-99ac-6caab2e9a04d,5596
"Junior Graphic Designer, UI/UX Designer","Маю досвід в поліграфії, вільно володію графічними програмами Adobe, маю навички верстки і дизайну макетів для друку, додрукарської підготовки. В 2019 році закінчила курси веб дизайну (UX/UI).","Бажано віддалена робота.
Так як я не маю комерційного досвіду у веб-дизайні, хотілося би потрапити до досвідченої команди, яка допоможе розвиватись у цій сфері.",,Design,basic,1.5,"
Маю досвід в поліграфії, вільно володію графічними програмами Adobe, маю навички верстки і дизайну макетів для друку, додрукарської підготовки. В 2019 році закінчила курси веб дизайну (UX/UI).
Бажано віддалена робота.
Так як я не маю комерційного досвіду у веб-дизайні, хотілося би потрапити до досвідченої команди, яка допоможе розвиватись у цій сфері.",uk,1c8cda43-a8a5-5c00-9117-947945ab69c7,8850
Junior/Middle UI/UX Designer,"Привіт. Шукаю роботу пов'язану з UI/UX дизайном та анімацією. Декілька років працював у сфері графічного дизайну (в тому числі за кордоном). Виконував проекти починаючи з візитівки, каталогів, брендбуків та закінчиючи створенням сайтів і деяких додатків (Phoroshop, Illustrator, InDesign, etc). З часом прийшов до висновку, що UI/UX дизайн  - це найулюбленіша, найкрутіща і найперспективніша галузь у дизайні для меня. Хочу розвиватись і вчитись вийнятково у цьому на папрямку. На даний момент удосконалюю свої навички у Figma, вчу англійську мову, роблю прототипи і потроху вивчаю анімацію. Дякую за увагу.

Hello. I am looking for a job related to UI/UX design and animation. For several years he worked in the field of graphic design (including abroad). Executed projects starting with business cards, catalogs, brand books and ending with the creation of websites and some applications (Phoroshop, Illustrator, InDesign, etc.). Over time, I came to the conclusion that UI/UX design is my favorite, coolest and most promising branch of design. I want to develop and learn exceptionally in this direction. At the moment, I am improving my skills in Figma, learning English, making prototypes and learning animation little by little. Thank you for attention.",,,Design,pre,2.0,"
Привіт. Шукаю роботу пов'язану з UI/UX дизайном та анімацією. Декілька років працював у сфері графічного дизайну (в тому числі за кордоном). Виконував проекти починаючи з візитівки, каталогів, брендбуків та закінчиючи створенням сайтів і деяких додатків (Phoroshop, Illustrator, InDesign, etc). З часом прийшов до висновку, що UI/UX дизайн  - це найулюбленіша, найкрутіща і найперспективніша галузь у дизайні для меня. Хочу розвиватись і вчитись вийнятково у цьому на папрямку. На даний момент удосконалюю свої навички у Figma, вчу англійську мову, роблю прототипи і потроху вивчаю анімацію. Дякую за увагу.

Hello. I am looking for a job related to UI/UX design and animation. For several years he worked in the field of graphic design (including abroad). Executed projects starting with business cards, catalogs, brand books and ending with the creation of websites and some applications (Phoroshop, Illustrator, InDesign, etc.). Over time, I came to the conclusion that UI/UX design is my favorite, coolest and most promising branch of design. I want to develop and learn exceptionally in this direction. At the moment, I am improving my skills in Figma, learning English, making prototypes and learning animation little by little. Thank you for attention.
",uk,5fe6df03-6d82-53dd-aa43-3c0c4a3cb3db,9263
Junior/Middle Web/UI/UX Designer,"Вища художня освіта(НАОМА/граф.дизайн) Маю досвід Роботи ілюстратором, графічним дизайнером та Веб дизайнером в рекламносу агенстві. Займаюсь розробкою сайтів, моб додатків, інфографікою, брендингом. Хочу розвиватись в сфері UI/UX дизайну. Розробкою мобільних додатків. Цікавить професійне зростання та вивчення нових технологій","Хочу працювати в команді, не готова буди єдиним дизайнером на проекті. Шукаю компанію з налагодженими процесами.",,Design,pre,2.0,"
Вища художня освіта(НАОМА/граф.дизайн) Маю досвід Роботи ілюстратором, графічним дизайнером та Веб дизайнером в рекламносу агенстві. Займаюсь розробкою сайтів, моб додатків, інфографікою, брендингом. Хочу розвиватись в сфері UI/UX дизайну. Розробкою мобільних додатків. Цікавить професійне зростання та вивчення нових технологій
Хочу працювати в команді, не готова буди єдиним дизайнером на проекті. Шукаю компанію з налагодженими процесами.",uk,596c9320-eff2-517d-89bb-59f7f19c35db,9264
Junior UI/UX Designer,"10-11.2021 - E-Commerce: 
Developed the design and functionality of the desktop version and the adaptive mobile version. Clickable prototype. Created a design system in Figma.

11.2021-01.2022 - Development of a medical mobile application:
Researched and compared the client's competitors.
Developed user personas and User Flow.
Low Fidelity / High Fidelity Wireframes.
Clickable prototype.

01.2022-03.2022 - The mobile application of the online store:
Creation of personas and User Flow.
Low Fidelity / High Fidelity Wireframes.
Clickable prototype. Animation by Jitter

05.2022-06.2022 - Dashboard for a private clinic:
Creating tables and diagrams for statistics and data of a private clinic.
Persona, Low Fidelity Wireframes and clickable prototype were developed.

06.2022 - 02.2023 - Web designer. Freelance
Created designs and redesigned landings, prepared graphic materials for websites (photo processing).
I developed concepts and looked for recommendations for the client.
Designed Saas apps and Dashboards. 

02.2023 - now - Product Designer. Reshape
Created interface (widgets, icons, treeview, design system)","Розробка мобільних додатків, інтернет магазинів, лендінгів, saas",,Design,intermediate,1.0,"
10-11.2021 - E-Commerce: 
Developed the design and functionality of the desktop version and the adaptive mobile version. Clickable prototype. Created a design system in Figma.

11.2021-01.2022 - Development of a medical mobile application:
Researched and compared the client's competitors.
Developed user personas and User Flow.
Low Fidelity / High Fidelity Wireframes.
Clickable prototype.

01.2022-03.2022 - The mobile application of the online store:
Creation of personas and User Flow.
Low Fidelity / High Fidelity Wireframes.
Clickable prototype. Animation by Jitter

05.2022-06.2022 - Dashboard for a private clinic:
Creating tables and diagrams for statistics and data of a private clinic.
Persona, Low Fidelity Wireframes and clickable prototype were developed.

06.2022 - 02.2023 - Web designer. Freelance
Created designs and redesigned landings, prepared graphic materials for websites (photo processing).
I developed concepts and looked for recommendations for the client.
Designed Saas apps and Dashboards. 

02.2023 - now - Product Designer. Reshape
Created interface (widgets, icons, treeview, design system)
Розробка мобільних додатків, інтернет магазинів, лендінгів, saas",uk,a3ddf51f-32c9-5ac2-bafc-43b62a09f71f,11092
