Position,Moreinfo,Looking For,Highlights,Primary Keyword,English Level,Experience Years,CV,CV_lang,id,__index_level_0__
3D Project Manager /  Team lead,"Управління творчими командами є моєю спеціалізацією впродовж вже двох років. Я маю широкий досвід роботи моушн-дизайнером у продуктовій компанії, для якої я створював креативи, асети, анімовані елементи інтерфейсу, lottie анімації, тому я всебічно знаюся на процесах, які відбуваються всередині.

На посаді РМ, окрім супроводжування проєктів, спілкування з замовниками, в силу своєї технічної підкованості й допитливості, я брав на себе й додаткові зони відповідальності, які стосувалися:
- системного адміністрування в рамках команди (база матеріалів, віддалений рендер, централізоване оновлення UI профільного ПЗ)
- розв'язання питань з ПЗ
- технічний супровід спеціалістів впродовж виконання задач
- поліпшення процесів (написання скриптів, автоматизація, впровадження нових інструментів в роботі, створення концепції онбордингу для нових спеціалістів) 
- навчання команди
- підготовка документації та створення довідкової бази знань (50+ документів, 20+ відеоуроків)
- організація покупки профільного ПЗ (аналіз умов надання послуг, аналіз ринку, створення порівняльних таблиць для проведення тендеру)

Моїми основними перевагами я вважаю:
- цілеспрямованість
- допитливість
- автономність
- комунікабельність
- викладацький хист

Я люблю розв'язувати проблеми, які переді мною постають і люблю робити це самостійно, шукаючи інформацію і пробуючи різні методики. Саме тому кожна з задач, яку мені ставили менеджери або замовники, не залишилась на папері, а була реалізована. Високі когнітивні здібності й стали запорукою мого кар'єрного росту.

Крім того, я люблю спілкуватися, ще приємніше це робити з однодумцями. Ця любов трансформувалася в великий викладацький досвід, який я здобув впродовж своєї роботи на попередніх проєктах. Понад двадцять навчальних зустрічей, величезна база знань для всього 3D департаменту, професійний ріст команди від новачків до профі й успішне закриття ними складних задач - це моя персональна гордість. Вважаю, що в цьому мені сильно стало у пригоді моє студентське минуле, адже я магістр журналістики й отримав свій перший педагогічний досвід ще будучи студентом.",,,Project Manager,intermediate,4.0,"
Управління творчими командами є моєю спеціалізацією впродовж вже двох років. Я маю широкий досвід роботи моушн-дизайнером у продуктовій компанії, для якої я створював креативи, асети, анімовані елементи інтерфейсу, lottie анімації, тому я всебічно знаюся на процесах, які відбуваються всередині.

На посаді РМ, окрім супроводжування проєктів, спілкування з замовниками, в силу своєї технічної підкованості й допитливості, я брав на себе й додаткові зони відповідальності, які стосувалися:
- системного адміністрування в рамках команди (база матеріалів, віддалений рендер, централізоване оновлення UI профільного ПЗ)
- розв'язання питань з ПЗ
- технічний супровід спеціалістів впродовж виконання задач
- поліпшення процесів (написання скриптів, автоматизація, впровадження нових інструментів в роботі, створення концепції онбордингу для нових спеціалістів) 
- навчання команди
- підготовка документації та створення довідкової бази знань (50+ документів, 20+ відеоуроків)
- організація покупки профільного ПЗ (аналіз умов надання послуг, аналіз ринку, створення порівняльних таблиць для проведення тендеру)

Моїми основними перевагами я вважаю:
- цілеспрямованість
- допитливість
- автономність
- комунікабельність
- викладацький хист

Я люблю розв'язувати проблеми, які переді мною постають і люблю робити це самостійно, шукаючи інформацію і пробуючи різні методики. Саме тому кожна з задач, яку мені ставили менеджери або замовники, не залишилась на папері, а була реалізована. Високі когнітивні здібності й стали запорукою мого кар'єрного росту.

Крім того, я люблю спілкуватися, ще приємніше це робити з однодумцями. Ця любов трансформувалася в великий викладацький досвід, який я здобув впродовж своєї роботи на попередніх проєктах. Понад двадцять навчальних зустрічей, величезна база знань для всього 3D департаменту, професійний ріст команди від новачків до профі й успішне закриття ними складних задач - це моя персональна гордість. Вважаю, що в цьому мені сильно стало у пригоді моє студентське минуле, адже я магістр журналістики й отримав свій перший педагогічний досвід ще будучи студентом.
",uk,458855ad-4792-59cd-acb1-baec30026b36,715
Account/Affiliate Manager CPA / Business development / Project Manager,"Я працював у великій і відомій системній компанії, у галузях: FinTech та IT.
Маю досвід роботи у підрозідлах: 
- Business development на позиції Account Manager;
- Digital Marketing на позиції Affiliate Manager CPA.

Є великий досвід переговорів В2В та В2В2С.
На попередньому місці роботи я тісно співпрацював з командами: Digital Marketing, Dev, Frontend та іншими підрозділами компанії.
Я виступав у ролі Project Manager майже всіх своїх проектів.
Ось деякі з моїх реалізованих проектів:
- запуск першого, на ринку кредитування МФО, проекту по кредитуванню на партнерських офлайн точках;
- повністю з «0» запустив та налагодив сервіс онлайн-кредитування на терміналах однієї з найбільших мереж України;
- запустив новий сервіс/продукт «сайт-конструктор» для партнерів CPA, починаючи з написання ТЗ (FRF) для девелоперів, побудови звітності і закінчуючи підключенням партнерів;
- побудова звітності повністю з ""0"" у двох окремих системах.
Процював за методологіями управління проектами Agile (Scrum та Kanban).
Є чималий досвід із написання FRF та FAQ.
Були проекти з інтеграцією партнерів через API.

Виводив на ринок нові продукти для партнерів.
Маю скіли технічної інтеграції з партнерами:
- налаштування постбеків;
- підключення до трекінгових платформ;
- робота з сервісами по відстеженню фроду; 
- побудова звітів.

Маю досвід з організації акцій для партнерів, з подальшим врученням нагород.
Та досвід організації участі у конференціях, з встановленням стенду, промо матеріалів, бару тощо.
Є досвід створення промо та рекламних матеріалів.
Маю дуже великий досвід роботи у сфері фінансів.
Дуже добре знаюся на техніці та розбираюся в технологіях.

Моя ціль - далі вибудовувати свій шлях у таких галузях, як: fintech, IT, digital marketing, e-commerce. В перспективі, отримати керівну посаду та працювати на результат, застосувавши весь свій досвід, потенціал та знання. Я завжди готовий спробувати себе в різних напрямах та видах діяльності, оскільки швидко навчаюсь та завжди прагну дізнаватись щось нове.","На даний момент часу дуже цікавить робота пов'язана ближче до функціоналу Project Manager/Customer tech support, де потрібно комунікувати з партнерами та внутрішніми командами: розробників, дизайнерів тощо.
А також самому поглиблюватись у технічну/інтеграційну складову.
Також, мені дуже подобається створювати та будувати з ""0"", від самого початку. Це завжди складно але дуже драйвово.

Точно не хочу займатись прямими Sales",,Lead Generation,basic,4.0,"
Я працював у великій і відомій системній компанії, у галузях: FinTech та IT.
Маю досвід роботи у підрозідлах: 
- Business development на позиції Account Manager;
- Digital Marketing на позиції Affiliate Manager CPA.

Є великий досвід переговорів В2В та В2В2С.
На попередньому місці роботи я тісно співпрацював з командами: Digital Marketing, Dev, Frontend та іншими підрозділами компанії.
Я виступав у ролі Project Manager майже всіх своїх проектів.
Ось деякі з моїх реалізованих проектів:
- запуск першого, на ринку кредитування МФО, проекту по кредитуванню на партнерських офлайн точках;
- повністю з «0» запустив та налагодив сервіс онлайн-кредитування на терміналах однієї з найбільших мереж України;
- запустив новий сервіс/продукт «сайт-конструктор» для партнерів CPA, починаючи з написання ТЗ (FRF) для девелоперів, побудови звітності і закінчуючи підключенням партнерів;
- побудова звітності повністю з ""0"" у двох окремих системах.
Процював за методологіями управління проектами Agile (Scrum та Kanban).
Є чималий досвід із написання FRF та FAQ.
Були проекти з інтеграцією партнерів через API.

Виводив на ринок нові продукти для партнерів.
Маю скіли технічної інтеграції з партнерами:
- налаштування постбеків;
- підключення до трекінгових платформ;
- робота з сервісами по відстеженню фроду; 
- побудова звітів.

Маю досвід з організації акцій для партнерів, з подальшим врученням нагород.
Та досвід організації участі у конференціях, з встановленням стенду, промо матеріалів, бару тощо.
Є досвід створення промо та рекламних матеріалів.
Маю дуже великий досвід роботи у сфері фінансів.
Дуже добре знаюся на техніці та розбираюся в технологіях.

Моя ціль - далі вибудовувати свій шлях у таких галузях, як: fintech, IT, digital marketing, e-commerce. В перспективі, отримати керівну посаду та працювати на результат, застосувавши весь свій досвід, потенціал та знання. Я завжди готовий спробувати себе в різних напрямах та видах діяльності, оскільки швидко навчаюсь та завжди прагну дізнаватись щось нове.
На даний момент часу дуже цікавить робота пов'язана ближче до функціоналу Project Manager/Customer tech support, де потрібно комунікувати з партнерами та внутрішніми командами: розробників, дизайнерів тощо.
А також самому поглиблюватись у технічну/інтеграційну складову.
Також, мені дуже подобається створювати та будувати з ""0"", від самого початку. Це завжди складно але дуже драйвово.

Точно не хочу займатись прямими Sales",uk,8f5a5b4d-e6d9-58c7-8b78-428762fa4b79,740
Account Manager / Project Manager,"Account lead в креативній агенції IAMIDEA

Серед клаєнтів у портфоліо маю: Eldorado, Intertop, Uklon, Ковальська, WOG, Megogo, Mechta.kz, IDS Group (Аляска, Моршинська, Боржомі), Planeta Kino, Hotline, KAN Development, Нова пошта, Орел і Решка

Обов'язки:
Менеджмент і ведення проектів, рекламних кампаній та креативних проектів як зі стратегічними клієнтами на повному обслуговуванні в агенції, так і тактичні рекламні кампанії.
Побудова процесів всередині команди - підбір команди під проєкт, створення таймінгу проєкту, підготовка технічних завдань, налагодження роботи всередині команди та з підрядниками.
Розподіл навантаження серед аккаунт менеджерів та креативних пар.
Пріоритизація проектів, підготовка брифів та постановка завдань.
Відстеження якості виконання задач та дедлайнів.
Розвиток міцних відносин з клієнтами.
Ведення документації. 

Паралельно в роботі на повному супроводженні було від 5 клієнтів до 12 в піковому навантаженні.
В середині агенції керувала та працювала з трьома креативними парами, відділом дизайнерів та відділом продакшну.",,,Project Manager,upper,8.0,"
Account lead в креативній агенції IAMIDEA

Серед клаєнтів у портфоліо маю: Eldorado, Intertop, Uklon, Ковальська, WOG, Megogo, Mechta.kz, IDS Group (Аляска, Моршинська, Боржомі), Planeta Kino, Hotline, KAN Development, Нова пошта, Орел і Решка

Обов'язки:
Менеджмент і ведення проектів, рекламних кампаній та креативних проектів як зі стратегічними клієнтами на повному обслуговуванні в агенції, так і тактичні рекламні кампанії.
Побудова процесів всередині команди - підбір команди під проєкт, створення таймінгу проєкту, підготовка технічних завдань, налагодження роботи всередині команди та з підрядниками.
Розподіл навантаження серед аккаунт менеджерів та креативних пар.
Пріоритизація проектів, підготовка брифів та постановка завдань.
Відстеження якості виконання задач та дедлайнів.
Розвиток міцних відносин з клієнтами.
Ведення документації. 

Паралельно в роботі на повному супроводженні було від 5 клієнтів до 12 в піковому навантаженні.
В середині агенції керувала та працювала з трьома креативними парами, відділом дизайнерів та відділом продакшну.
",uk,385cec5c-30e5-59c5-85be-d8820ab8b950,803
"Angular developer, Project Manager","Участь у багатьох проектах по автоматизації бізнесів на базі CRM/ERP на різноманітних позиціях (CTO, Developer, Project Manager) і у ролі підрядника з власною командою. 
----------
Project management (12 років)
Angular (2 роки)
Creatio (3 роки)
Terrasoft 3/x (JavaScript) (8 років)
Java (2 роки)
GCP, Firebase",Startup or Product,Велика кількість успішно завершених проектів в сфері автоматизації бізнесів,JavaScript,intermediate,11.0,"Велика кількість успішно завершених проектів в сфері автоматизації бізнесів
Участь у багатьох проектах по автоматизації бізнесів на базі CRM/ERP на різноманітних позиціях (CTO, Developer, Project Manager) і у ролі підрядника з власною командою. 
----------
Project management (12 років)
Angular (2 роки)
Creatio (3 роки)
Terrasoft 3/x (JavaScript) (8 років)
Java (2 роки)
GCP, Firebase
Startup or Product",uk,e94538dc-f711-5a08-bbfc-4e664f3fd24d,1054
"Art Director, Lead Designer, Project Manager","Досвід роботи в дизайн-студії, маркетингу, рекламі, піарі на посадах: art director, начальник відділу, project manager, lead designer - 8 років. На керівних посадах у підпорядкуванні було від 5 до 12 співробітників, як в офісі, так і віддалено.
Є досвід «створення» дизайн-студії з нуля з організацією повністю усіх процесів.

Досвід роботи у програмах:
- Photoshop;
- Illustrator;
- Indesign;
- 3dmax.

Для ведення проектів:
- Slack;
- Monday;
- Trello.",,"Досвід роботи в дизайн-студії, маркетингу, рекламі, піарі на посадах: art director, начальник відділу, project manager, lead designer - 8 років. На керівних посадах у підпорядкуванні було від 5 до 12 співробітників, як в офісі, так і віддалено.
Є досвід «створення» дизайн-студії з нуля з організацією повністю усіх процесів.

Досвід роботи у програмах:
- Photoshop;
- Illustrator;
- Indesign;
- 3dmax.

Для ведення проектів:
- Slack;
- Monday;
- Trello.",Other,upper,11.0,"Досвід роботи в дизайн-студії, маркетингу, рекламі, піарі на посадах: art director, начальник відділу, project manager, lead designer - 8 років. На керівних посадах у підпорядкуванні було від 5 до 12 співробітників, як в офісі, так і віддалено.
Є досвід «створення» дизайн-студії з нуля з організацією повністю усіх процесів.

Досвід роботи у програмах:
- Photoshop;
- Illustrator;
- Indesign;
- 3dmax.

Для ведення проектів:
- Slack;
- Monday;
- Trello.
Досвід роботи в дизайн-студії, маркетингу, рекламі, піарі на посадах: art director, начальник відділу, project manager, lead designer - 8 років. На керівних посадах у підпорядкуванні було від 5 до 12 співробітників, як в офісі, так і віддалено.
Є досвід «створення» дизайн-студії з нуля з організацією повністю усіх процесів.

Досвід роботи у програмах:
- Photoshop;
- Illustrator;
- Indesign;
- 3dmax.

Для ведення проектів:
- Slack;
- Monday;
- Trello.
",uk,0687fbcc-ac67-5ca4-95db-770175bbffbb,1099
Brand Manager/ Project Manager,"Work experience:

Brand Manager l 05.2022 - 02.2023 (8 months)
Technoyizak (retail company), Kyiv
- 360 marketing campaign
- Management and control of advertising agencies
- POSm materials development 

Project Manager l 01.2021 - 02.2022 (1 year)
ZDATNI media holding (The Village ua, Wonderzine ua), Kyiv
- Management of commercial projects for brands
- Project planning and tracking
- Team management (Designer, Creator, Art Director, Redactor, Producer, Writer)
- Supporting clients from the idea of the project till the preparation of reports
- Control project timeline 
- Control project budget
- Involvement in the sales process

For The Village.ua:
Від Фріди до Отто Дікса. Ми оживили три відомі картини, щоб ви полюбили мистецтво
Trust your spirit. Це люди, які роблять добрі справи
Бакота, Тустань і Підгорецький замок. Що ховається за красивими фото нетипових туристичних локацій?
Креативний допінг. Ми спробували різні техніки придумування ідей (навіть басейн!). І ось що вийшло

For Wonderzine.ua:
Під час місячних скасовую всі плани». Я живу з тяжкими менструальними кровотечами
Це ж неможливо! Як я завагітніла під час грудного вигодовування первістка
Ми експериментуємо в сексі – як нам підібрати контрацептив і почуватися вільними?


Junior Brand Manager  l 05.2017 - 06.2019 (2 years 1 month)
Pernod Ricard (Ballantine's, Beefeater, Absolut, Monkey 47), Kyiv

- Development and implementation of marketing communications initiatives (ATL, BTL, sales promotion, PR, SMM, brand education)
- Contribute to the annual brand planning process
- Development and control of sponsorship events
- Work together with Trade Marketing on national promo and activities strategy, plans, and schedules",,,Marketing,upper,5.0,"
Work experience:

Brand Manager l 05.2022 - 02.2023 (8 months)
Technoyizak (retail company), Kyiv
- 360 marketing campaign
- Management and control of advertising agencies
- POSm materials development 

Project Manager l 01.2021 - 02.2022 (1 year)
ZDATNI media holding (The Village ua, Wonderzine ua), Kyiv
- Management of commercial projects for brands
- Project planning and tracking
- Team management (Designer, Creator, Art Director, Redactor, Producer, Writer)
- Supporting clients from the idea of the project till the preparation of reports
- Control project timeline 
- Control project budget
- Involvement in the sales process

For The Village.ua:
Від Фріди до Отто Дікса. Ми оживили три відомі картини, щоб ви полюбили мистецтво
Trust your spirit. Це люди, які роблять добрі справи
Бакота, Тустань і Підгорецький замок. Що ховається за красивими фото нетипових туристичних локацій?
Креативний допінг. Ми спробували різні техніки придумування ідей (навіть басейн!). І ось що вийшло

For Wonderzine.ua:
Під час місячних скасовую всі плани». Я живу з тяжкими менструальними кровотечами
Це ж неможливо! Як я завагітніла під час грудного вигодовування первістка
Ми експериментуємо в сексі – як нам підібрати контрацептив і почуватися вільними?


Junior Brand Manager  l 05.2017 - 06.2019 (2 years 1 month)
Pernod Ricard (Ballantine's, Beefeater, Absolut, Monkey 47), Kyiv

- Development and implementation of marketing communications initiatives (ATL, BTL, sales promotion, PR, SMM, brand education)
- Contribute to the annual brand planning process
- Development and control of sponsorship events
- Work together with Trade Marketing on national promo and activities strategy, plans, and schedules
",uk,2e79941f-e3f5-54de-aba4-b5525b6170e8,1326
Business Analyst / Project Manager,"Бізнес-аналітик/Керівник проєктів впровадження CRM

Діяльність охоплює наступні активності:
- Первинний контакт з клієнтом.
- Визначення бізнес-проблем клієнта, виявлення і збір вимог.
- Формування первинних рішень та їх розвиток.
- Організація, підготовка та участь в проведенні презентацій продукту.
- Проведення переговорів з клієнтом, щодо вартості порядку оплати та умов надання послуг.
- Підготовка комерційної документації (комерційна пропозиція, рахунок, договір).
- Участь в розробці прототипу налаштувань.
- Налаштування і тестування CRM-системи.
- Консультаційна робота після завершення проєкту.","- Хочу розвиватися та удосконалюватися, як спеціаліст у сфері управління IT проєктами. 
- Працювати в злагодженій команді яка орієнтована на результат.
- Приносити реальну користь компанії та отримувати за це достойну заробітну плату.","- Брав участь в успішній реалізації трьох проєктів впровадження CRM.
- Пройшов сертифікацію і став офіційним партнером amoCRM.
- Освоїв основи роботи з запереченнями.
- Отримав навички ведення переговорів і ділового спілкування.
- Навчився збирати та визначати основні вимоги клієнта до системи.
- Освоїв функціонал і основні можливості CRM-систем.",Project Manager,basic,0.5,"- Брав участь в успішній реалізації трьох проєктів впровадження CRM.
- Пройшов сертифікацію і став офіційним партнером amoCRM.
- Освоїв основи роботи з запереченнями.
- Отримав навички ведення переговорів і ділового спілкування.
- Навчився збирати та визначати основні вимоги клієнта до системи.
- Освоїв функціонал і основні можливості CRM-систем.
Бізнес-аналітик/Керівник проєктів впровадження CRM

Діяльність охоплює наступні активності:
- Первинний контакт з клієнтом.
- Визначення бізнес-проблем клієнта, виявлення і збір вимог.
- Формування первинних рішень та їх розвиток.
- Організація, підготовка та участь в проведенні презентацій продукту.
- Проведення переговорів з клієнтом, щодо вартості порядку оплати та умов надання послуг.
- Підготовка комерційної документації (комерційна пропозиція, рахунок, договір).
- Участь в розробці прототипу налаштувань.
- Налаштування і тестування CRM-системи.
- Консультаційна робота після завершення проєкту.
- Хочу розвиватися та удосконалюватися, як спеціаліст у сфері управління IT проєктами. 
- Працювати в злагодженій команді яка орієнтована на результат.
- Приносити реальну користь компанії та отримувати за це достойну заробітну плату.",uk,c1862000-3880-5b52-ab9f-cafee35ba187,1548
"Business Analyst, Project Manager","Currently working as a state servant, preparing plans and reports of the Government. 
Personal traits: I am highly motivated, with well-developed communication skills and constant desire of self-improvement.",,"Підготовка планів дій Уряду, програм діяльності Уряду. На сьогодні є бажання змінити профіль і спеціалізацію, через що зацікавився програмуванням.",Python,fluent,1.0,"Підготовка планів дій Уряду, програм діяльності Уряду. На сьогодні є бажання змінити профіль і спеціалізацію, через що зацікавився програмуванням.
Currently working as a state servant, preparing plans and reports of the Government. 
Personal traits: I am highly motivated, with well-developed communication skills and constant desire of self-improvement.
",uk,ca775cb4-b9df-51c1-bebf-64703de3e769,1549
"Business Analyst, Project Manager","Досвід роботи в банку, більше 15 років. Протягом яких, займаюсь аналізом бізнес вимог користувачів програмного комплексу Банку та їх впровадженням.
В якості Бізнес аналітика супроводжувала  повний перехід Банку при зміні ПЗ.
Фактично, Product Owner основного програмного забезпечення банку.
Наразі, супроводжую розробку Мобільного застосунку Банку в частині інтеграції з Мастер системою Банку.
Саме, в напрямку Мобільних додатків в сфері фінансів, вважаю цікавим розвиватися і надалі. В ролі Бізнес аналітика чи Продуктового менеджера.","Цікавий проект в сфері фінансів, в якому зможу розкрити свої сильні сторони: ефективна організація бізнес процесів, мінізація ризиків, автоматизація та результативна комунікація з учасниками проекту різної ланки.
Перспектива розвитку і участі у запровадженні найновіших технологій.
Бажано велика команда з амбіційними проектами.","Під моїм керівництвом створено новий підрозділ, з контролю та автоматизації бізнес процесів, який вважався одним з найкращим підрозділів Банку, як за ефективністю організації процесів, так и за комунікації з внутрішніми та зовнішніми клієнтами.",Product Manager,intermediate,11.0,"Під моїм керівництвом створено новий підрозділ, з контролю та автоматизації бізнес процесів, який вважався одним з найкращим підрозділів Банку, як за ефективністю організації процесів, так и за комунікації з внутрішніми та зовнішніми клієнтами.
Досвід роботи в банку, більше 15 років. Протягом яких, займаюсь аналізом бізнес вимог користувачів програмного комплексу Банку та їх впровадженням.
В якості Бізнес аналітика супроводжувала  повний перехід Банку при зміні ПЗ.
Фактично, Product Owner основного програмного забезпечення банку.
Наразі, супроводжую розробку Мобільного застосунку Банку в частині інтеграції з Мастер системою Банку.
Саме, в напрямку Мобільних додатків в сфері фінансів, вважаю цікавим розвиватися і надалі. В ролі Бізнес аналітика чи Продуктового менеджера.
Цікавий проект в сфері фінансів, в якому зможу розкрити свої сильні сторони: ефективна організація бізнес процесів, мінізація ризиків, автоматизація та результативна комунікація з учасниками проекту різної ланки.
Перспектива розвитку і участі у запровадженні найновіших технологій.
Бажано велика команда з амбіційними проектами.",uk,7c86cc7b-6724-5e67-b8b7-38d409517260,1550
"Business Analyst, Project Manager","- участь в розробці вимог та написання технічних завдань для розробки/зміни функціоналу 1С
- участь в проектах по автоматизації обліку підприємств на базі 1С
- написання посадових інструкцій, регламентів.
-консультації користувачів з методології відображення господарських операцій в 1С
– надання рекомендацій користувачам щодо виправлення помилок в 1С
– розробка інструкцій по роботі з  функціоналом 1С
– тестування нових доопрацювань в програмі 1C
- ведення технічної документації по проектах 1С",,"– знання 1С:Підприємство 7.7, 1С 8.3:УПП, УТП, 1C 8.3: Управление агрохолдингом, 1С 8.3: Бухгалтерия сельскохозяйственного предприятия для Украины,  1С:Підприємство 8. ITIL, 1С:Консолидация, 1С: Казначейство, 1С:MDM НСИ,  1C:Бухгалтерия для Украины, 1С:Управление элеватором для Украины, 1С: Зарплата и Управление персоналом для Украины, 1С:Документооборот, MS Offiсe, M.E.Doc., Jira, BAS ERP
– досвід складання технічної документації, написання інструкцій, регламентів
– досвід участі в проектній роботі, автоматизації обліку на базі 1С
– знання бухгалтерського та податкового, управлінського обліку.",Business Analyst,intermediate,8.0,"– знання 1С:Підприємство 7.7, 1С 8.3:УПП, УТП, 1C 8.3: Управление агрохолдингом, 1С 8.3: Бухгалтерия сельскохозяйственного предприятия для Украины,  1С:Підприємство 8. ITIL, 1С:Консолидация, 1С: Казначейство, 1С:MDM НСИ,  1C:Бухгалтерия для Украины, 1С:Управление элеватором для Украины, 1С: Зарплата и Управление персоналом для Украины, 1С:Документооборот, MS Offiсe, M.E.Doc., Jira, BAS ERP
– досвід складання технічної документації, написання інструкцій, регламентів
– досвід участі в проектній роботі, автоматизації обліку на базі 1С
– знання бухгалтерського та податкового, управлінського обліку.
- участь в розробці вимог та написання технічних завдань для розробки/зміни функціоналу 1С
- участь в проектах по автоматизації обліку підприємств на базі 1С
- написання посадових інструкцій, регламентів.
-консультації користувачів з методології відображення господарських операцій в 1С
– надання рекомендацій користувачам щодо виправлення помилок в 1С
– розробка інструкцій по роботі з  функціоналом 1С
– тестування нових доопрацювань в програмі 1C
- ведення технічної документації по проектах 1С
",uk,33a6af19-4dba-5121-8fd1-099d062da820,1551
