,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo
0,"Моє резюме:

Управління творчими командами є моєю спеціалізацією впродовж двох років. Маю досвід роботи моушн-дизайнером у продуктовій компанії, де створював креативи, асети, анімовані елементи інтерфейсу, lottie анімації.

На посаді РМ, крім супроводження проєктів та спілкування з замовниками, брав на себе додаткові зони відповідальності, такі як системне адміністрування, розв'язання питань з ПЗ, технічний супровід спеціалістів, поліпшення процесів, навчання команди, підготовка документації та організація покупки профільного ПЗ.

Мої переваги:
- цілеспрямованість
- допитливість
- автономність
- комунікабельність
- викладацький хист

Люблю розв'язувати проблеми самостійно, шукаючи інформацію та використовуючи різні методики. Маю великий викладацький досвід та успішно керував навчальними зустрічами для команди. Крім того, маю студентське минуле в журналістиці, що допомагає в роботі з командою.

Дякую!"
1,"Я працював у великій і відомій системній компанії, у галузях: FinTech та IT.
Маю досвід роботи у підрозділах:
- Business development на позиції Account Manager;
- Digital Marketing на позиції Affiliate Manager CPA.

Є великий досвід переговорів В2В та В2В2С. На попередньому місці роботи я тісно співпрацював з командами: Digital Marketing, Dev, Frontend та іншими підрозділами компанії. Я виступав у ролі Project Manager майже всіх своїх проектів. Ось деякі з моїх реалізованих проектів:
- запуск першого, на ринку кредитування МФО, проекту по кредитуванню на партнерських офлайн точках;
- повністю з «0» запустив та налагодив сервіс онлайн-кредитування на терміналах однієї з найбільших мереж України;
- запустив новий сервіс/продукт «сайт-конструктор» для партнерів CPA, починаючи з написання ТЗ (FRF) для девелоперів, побудови звітності і закінчуючи підключенням партнерів;
- побудова звітності повністю з ""0"" у двох окремих системах. Процював за методологіями управління проектами Agile (Scrum та Kanban). Є чималий досвід із написання FRF та FAQ. Були проекти з інтеграцією партнерів через API.

Виводив на ринок нові продукти для партнерів. Маю скіли технічної інтеграції з партнерами:
- налаштування постбеків;
- підключення до трекінгових платформ;
- робота з сервісами по відстеженню фроду;
- побудова звітів.

Маю досвід з організації акцій для партнерів, з подальшим врученням нагород. Та досвід організації участі у конференціях, з встановленням стенду, промо матеріалів, бару тощо. Є досвід створення промо та рекламних матеріалів. Маю дуже великий досвід роботи у сфері фінансів. Дуже добре знаюся на техніці та розбираюся в технологіях.

Моя ціль - далі вибудовувати свій шлях у таких галузях, як: fintech, IT, digital marketing, e-commerce. В перспективі, отримати керівну посаду та працювати на результат, застосувавши весь свій досвід, потенціал та знання. Я завжди готовий спробувати себе в різних напрямах та видах діяльності, оскільки швидко навчаюсь та завжди прагну дізнаватись щось нове. На даний момент часу дуже цікавить робота пов'язана ближче до функціоналу Project Manager/Customer tech support, де потрібно комунікувати з партнерами та внутрішніми командами: розробників, дизайнерів тощо. А також самому поглиблюватись у технічну/інтеграційну складову. Також, мені дуже подобається створювати та будувати з ""0"", від самого початку. Це завжди складно але дуже драйвово. Точно не хочу займатись прямими Sales."
2,"Account lead в креативній агенції IAMIDEA

Серед клаєнтів у портфоліо маю: Eldorado, Intertop, Uklon, Ковальська, WOG, Megogo, Mechta.kz, IDS Group (Аляска, Моршинська, Боржомі), Planeta Kino, Hotline, KAN Development, Нова пошта, Орел і Решка

Обов'язки:
- Менеджмент і ведення проектів, рекламних кампаній та креативних проектів як зі стратегічними клієнтами на повному обслуговуванні в агенції, так і тактичні рекламні кампанії.
- Побудова процесів всередині команди - підбір команди під проєкт, створення таймінгу проєкту, підготовка технічних завдань, налагодження роботи всередині команди та з підрядниками.
- Розподіл навантаження серед аккаунт менеджерів та креативних пар.
- Пріоритизація проектів, підготовка брифів та постановка завдань.
- Відстеження якості виконання задач та дедлайнів.
- Розвиток міцних відносин з клієнтами.
- Ведення документації.

Паралельно в роботі на повному супроводженні було від 5 клієнтів до 12 в піковому навантаженні.
В середині агенції керувала та працювала з трьома креативними парами, відділом дизайнерів та відділом продакшну."
3,"Участь у багатьох проектах по автоматизації бізнесів на базі CRM/ERP на різноманітних позиціях (CTO, Developer, Project Manager) і у ролі підрядника з власною командою. Досвід у проектному управлінні протягом 12 років. Володію навичками роботи з Angular протягом 2 років, Creatio протягом 3 років, Terrasoft 3/x (JavaScript) протягом 8 років, Java протягом 2 років. Знайомий з GCP та Firebase. Досвід роботи з стартапами та продуктами."
4,"Досвід роботи в дизайн-студії, маркетингу, рекламі, піарі на посадах: art director, начальник відділу, project manager, lead designer - 8 років. На керівних посадах у підпорядкуванні було від 5 до 12 співробітників, як в офісі, так і віддалено. Є досвід «створення» дизайн-студії з нуля з організацією повністю усіх процесів.

Досвід роботи у програмах: Photoshop, Illustrator, Indesign, 3dmax. Для ведення проектів використовувався Slack, Monday, Trello."
5,"Brand Manager l 05.2022 - 02.2023 (8 months)
Technoyizak (retail company), Kyiv
- Led a successful 360 marketing campaign
- Managed and supervised advertising agencies
- Developed POSm materials

Project Manager l 01.2021 - 02.2022 (1 year)
ZDATNI media holding (The Village ua, Wonderzine ua), Kyiv
- Managed commercial projects for various brands
- Planned and tracked project progress
- Led a team consisting of Designer, Creator, Art Director, Redactor, Producer, and Writer
- Supported clients from project ideation to report preparation
- Monitored project timelines and budgets
- Involved in the sales process

Junior Brand Manager l 05.2017 - 06.2019 (2 years 1 month)
Pernod Ricard (Ballantine's, Beefeater, Absolut, Monkey 47), Kyiv
- Developed and executed marketing communications initiatives (ATL, BTL, sales promotion, PR, SMM, brand education)
- Contributed to annual brand planning
- Managed sponsorship events
- Collaborated with Trade Marketing on national promo and activities strategy."
6,"Бізнес-аналітик/Керівник проєктів впровадження CRM

Діяльність охоплює наступні активності:
- Первинний контакт з клієнтом.
- Визначення бізнес-проблем клієнта, виявлення і збір вимог.
- Формування первинних рішень та їх розвиток.
- Організація, підготовка та участь в проведенні презентацій продукту.
- Проведення переговорів з клієнтом, щодо вартості порядку оплати та умов надання послуг.
- Підготовка комерційної документації (комерційна пропозиція, рахунок, договір).
- Участь в розробці прототипу налаштувань.
- Налаштування і тестування CRM-системи.
- Консультаційна робота після завершення проєкту.

Мої досягнення:
- Брав участь в успішній реалізації трьох проєктів впровадження CRM.
- Пройшов сертифікацію і став офіційним партнером amoCRM.
- Освоїв основи роботи з запереченнями.
- Отримав навички ведення переговорів і ділового спілкування.
- Навчився збирати та визначати основні вимоги клієнта до системи.
- Освоїв функціонал і основні можливості CRM-систем.

Мої цілі:
- Розвиватися та удосконалюватися, як спеціаліст у сфері управління IT проєктами.
- Працювати в злагодженій команді, яка орієнтована на результат.
- Приносити реальну користь компанії та отримувати за це достойну заробітну плату."
7,"Currently working as a state servant, preparing plans and reports of the Government. Highly motivated with well-developed communication skills and a constant desire for self-improvement. Interested in transitioning to a career in programming."
8,"Під моїм керівництвом створено новий підрозділ з контролю та автоматизації бізнес процесів, який вважався одним з найкращих у Банку за ефективністю організації процесів та комунікацією з клієнтами.

Маю більше 15 років досвіду роботи в банку, де займався аналізом бізнес вимог користувачів програмного комплексу та їх впровадженням. Був відповідальним за повний перехід Банку при зміні програмного забезпечення та виступав у ролі Product Owner основного програмного забезпечення.

Наразі супроводжую розробку Мобільного застосунку Банку в частині інтеграції з Мастер системою. Маю намір розвиватися в напрямку Мобільних додатків у сфері фінансів як Бізнес аналітик чи Продуктовий менеджер.

Шукаю цікавий проект в сфері фінансів, де зможу використати свої сильні сторони: ефективна організація бізнес процесів, мінімізація ризиків, автоматизація та результативна комунікація з учасниками проекту. Маю бажання розвиватися і брати участь у запровадженні новітніх технологій у великій команді з амбіційними проектами."
9,"- Знання 1С:Підприємство 7.7, 1С 8.3:УПП, УТП, 1C 8.3: Управление агрохолдингом, 1С 8.3: Бухгалтерия сельскохозяйственного предприятия для України, 1С:Підприємство 8. ITIL, 1С:Консолидация, 1С: Казначейство, 1С:MDM НСИ, 1C:Бухгалтерия для України, 1С:Управление элеватором для України, 1С: Зарплата и Управление персоналом для України, 1С:Документооборот, MS Offiсe, M.E.Doc., Jira, BAS ERP
- Досвід участі в проектній роботі та автоматизації обліку на базі 1С
- Знання бухгалтерського та податкового, управлінського обліку
- Досвід складання технічної документації, написання інструкцій та регламентів
- Участь в розробці вимог та написання технічних завдань для розробки/зміни функціоналу 1С
- Написання посадових інструкцій та регламентів
- Консультації користувачів з методології відображення господарських операцій в 1С
- Надання рекомендацій користувачам щодо виправлення помилок в 1С
- Розробка інструкцій по роботі з функціоналом 1С
- Тестування нових доопрацювань в програмі 1C
- Ведення технічної документації по проектах 1С"
