,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5
6018,"**Web & UX/UI Designer**

**Professional Summary**

Results-driven Web and UX/UI Designer specializing in website redesign, user interface design, and user experience optimization. Proficient in user research, wireframing, visual design, and responsive design implementation. Creates user-friendly designs that align with client objectives and user needs while maintaining brand consistency. Integrates user feedback through collaborative teamwork to deliver high-quality design solutions.

**Core Competencies**

Website Redesign | Landing Page Design | UX/UI Design | Wireframing | User Flow Development | Visual Design | Brand Identity | Responsive Design | User Research | Pain Point Analysis | Interactive Design | Color & Typography | Navigation | Information Architecture | Communication | Teamwork

**Professional Experience**

**Children's Music School Website Redesign**

- Analyzed existing website to identify strengths and areas for improvement
- Designed wireframes for new landing page incorporating news block and prominent call-to-action
- Developed cohesive visual design with strategic color scheme and typography for brand consistency
- Applied responsive design principles ensuring optimal display across all devices
- Enhanced user experience and navigability for streamlined information access

**Pet-Saver-Hub – Web Service Project**

- Designed intuitive interface for lost and found animal rescue service
- Conducted user research identifying key pain points in pet search process
- Developed comprehensive user flows and wireframes supporting intuitive navigation
- Integrated interactive map feature enabling users to locate lost or found pets by area

**Professional Goals**

Seeking opportunities to advance UI/UX design expertise on impactful projects. Committed to continuous learning, staying current with design technologies and trends, and collaborating with experienced professionals to deliver creative, detail-oriented solutions of the highest quality."
6021,"# DESIGN PROFESSIONAL

## PORTFOLIO
- 50+ Websites
- 30+ Logotypes
- 4 Mobile Apps
- 3 Games
- 1 Social Network

## EXPERIENCE

**Head of Design Department**
Facility, Kiev | Mar 2018 – Present

Leading design operations and creative strategy across diverse project portfolios

- Direct and optimize end-to-end design workflows for multidisciplinary project teams
- Spearhead creative development for websites, brand identities, and digital products
- Deliver comprehensive UI/UX design, motion graphics, logo systems, brand guidelines, and brandbooks
- Drive new business initiatives through tender leadership and strategic company representation
- Published thought leadership on medium.com, mmr.ua, cases.media, and vc.ru
- Serve as industry judge for CSSDA and Ukraine Creative Week; progressing toward awwwards judging panel
- Present educational design lectures at Underhub co-working space

**Designer**
Kiev Smart City, Kiev

- Conceptualized and delivered complete product visualization for Kiev Smart Card initiative
- Designed dynamic advertising concepts for city-wide campaigns

**Illustrator & Designer**
Mastercard, Kiev

- Produced illustrations and limited edition collateral for 2018 UEFA Champions League Final
- Conceptualized brand activation campaign for Ukraine Independence Day 2018

**Visual Designer**
Stampede Games, Kiev

- Designed visual concepts and user interfaces for mobile gaming products
- Created original concept art for game development
- Contributed to top-charting titles: Evo Explores, .projekt."
6026,"# Design Professional

## Professional Summary

Design leader with 12+ years of experience delivering impactful solutions across 25+ industries. Combines deep expertise in user-centered design with frontend and backend development capabilities. Track record of building and scaling teams, mentoring 150+ students, and completing 300+ projects for clients across 10 countries.

## Core Competencies

**Design**
UI/UX Design • Product Design • Brand Design & Corporate Identity • Mobile Application Design • Website Design • Logo Design

**Development**
HTML5 • CSS3 • TypeScript • Vue.js • Python • Swift

**Leadership**
Studio Management • Team Building & Hiring • Sales • Project Management • Teaching & Mentorship

## Professional Experience

**Designer** — NDA | 2022
**UX Designer** — Bank BVR | 2021
**UI/UX Design Teacher** — Hillel IT School | 2020
**Lead Product Designer** — Innovation Box | 2020
**UI/UX & Brand Designer** — Ardas | 2019
**UI/UX & Brand Designer** — M2E Pro | 2017
**UI/UX & Brand Designer** — Forforce | 2016
**UI/UX & Brand Designer** — Art. Lebedev Studio | 2015
**CEO & Designer** — Own Design Studio (20 employees) | 2014
**UI/UX & Brand Designer** — Poster | 2013
**UI/UX & Brand Designer** — le Weekend | 2012
**UI/UX & Brand Designer** — November Design Bureau | 2011
**Graphic Designer** — Freelance | 2006

## Portfolio Highlights

- **300+** projects completed
- **30+** products designed from scratch
- **30+** mobile applications
- **80+** websites
- **100+** logos and corporate identities
- **150+** students taught in UI/UX and brand design
- Speaker at Dribbble and industry conferences

## Education

**Master's Degree** — Engineering Design
**MBA** — Currently Pursuing"
9479,"# GRAPHIC DESIGNER & UI/UX DESIGNER

## PROFESSIONAL SUMMARY

Creative graphic designer with expertise in visual design, branding, and user experience. Proficient in Adobe Creative Suite, Figma, and 3D design tools. Demonstrated success managing design teams, leading company-wide rebranding initiatives, and delivering impactful visual solutions across digital and print media.

## CORE COMPETENCIES

**Design Software:** Adobe Photoshop, Illustrator, InDesign, After Effects | Figma | Blender

**Design Expertise:** Brand Identity & Logo Design | UI/UX Design | Key Visual Development | Social Media Design | Print & Advertising Design | 3D Design | Web Design | Catalog & Brochure Design

**Professional Skills:** Team Leadership | Client Collaboration | Visual Style Development | Branding & Rebranding

## PROFESSIONAL EXPERIENCE

**Graphic Designer & UI/UX Designer** | QA Madness
*November 2022 – Present*

- Played key role in company-wide redesign, shaping final visual direction
- Led website redesign to align with new brand vision and style guidelines
- Developed and implemented unified visual style for corporate presentations
- Overhauled social media presence across LinkedIn, Instagram, and DOU with cohesive design systems
- Created custom 3D elements integrated across multiple design projects

**Graphic Designer** | Kronas
*August 2020 – February 2022*

- Designed logos, brand identities, and print collateral for new company brands
- Produced 3–6 advertising key visuals monthly for web, social media, and print distribution
- Established and managed new visual style for Instagram profile
- Created multi-page product catalogs and brochures in InDesign
- Redesigned YouTube channel aesthetic and video cover designs
- Designed custom sticker packs for Telegram and Viber platforms
- Developed comprehensive branding for trade hall including stands and navigation systems

**Graphic Designer** | Design Studio ToTop
*October 2019 – August 2020*

- Delivered visual solutions for clients across diverse industries
- Created logos and comprehensive brand identity systems
- Designed outdoor advertising including billboards, citylights, and vehicle branding
- Produced realistic product visualizations in Photoshop
- Executed print design projects: calendars, business cards, postcards, stickers
- Designed multi-page catalogs and brochures
- Completed full 16-page brochure—concept through print-ready delivery—in single working day

## EDUCATION & TRAINING

**UI/UX Design Certificate** | Beetroot Academy
Specialized training in user-centered design and UX principles

## ADDITIONAL EXPERIENCE

- Lead Graphic Designer and Team Manager with experience overseeing junior designers
- Background in prepress operations and desktop publishing"
16980,"**PROFESSIONAL EXPERIENCE**

**Depositphotos | Content Researcher**

- Researched and developed diverse content including collections and presentations for advertising, email distribution, and official website publishing
- Partnered with content managers to analyze development and performance metrics
- Coordinated advertising campaigns for influencers and major clients including Coca-Cola, H&M, Colgate, Vogue Ukraine, and Marie Claire Maison Italy
- Managed workflows utilizing Jira and CRM systems
- Produced localized content while maintaining alignment with brand voice and product style guidelines

**Depositphotos | Contributor Relations Manager**

- Identified and recruited prominent photographers across EMEA and North America
- Collaborated with contributors to develop and enhance portfolios on cloud services
- Organized and facilitated training seminars for new employees

**Teacher of English Language**

- Mentored students with special needs, including those with physical and psychological requirements
- Designed personalized teaching techniques and lectures tailored to individual learning needs
- Restructured educational processes to accommodate each student's unique capabilities
- Built meaningful connections with students to drive engagement and curriculum advancement

**Liberty Power | Door-to-Door Sales Agent**

- Canvassed neighborhoods to promote products and services to prospective customers
- Created compelling product presentations emphasizing features and competitive advantages
- Converted prospects into customers using consultative techniques and finalized sales agreements"
17014,"# English Philologist | Content Editor | Translator

## EDUCATION

**English Philology** — 4-Year Program

## CORE COMPETENCIES

- Text Editing & Proofreading
- Content Writing & Development
- English Translation
- Social Media Analysis & Strategy
- Content Research & Curation

## PROFESSIONAL STRENGTHS

- Highly motivated professional committed to continuous development
- Adaptable learner with strong drive for skill advancement
- Focused on transitioning expertise into the IT sector

## INTERESTS & EXPERTISE

- Deep practical knowledge of social media platforms and user behavior
- Committed to ongoing learning through digital media engagement
- Skilled at sourcing trends and inspiration across multiple platforms"
18230,"# Creative & Art Director | Graphic & UI/UX Designer

## Professional Summary

Creative and Art Director with over 10 years of experience spanning branding, marketing, advertising, graphic design, web design, and mobile app design. Track record of developing distinctive solutions that drive business growth, delivering effective creative strategies built on mutual respect, honesty, decency, and punctuality.

## Core Competencies

Brand Development & Strategy | Art Direction | Graphic Design | UI/UX Design | Web Design | Mobile App Design | Marketing & Advertising | Creative Concept Development

## Experience Highlights

- Created more than 20 distinctive brands for diverse global clientele
- Partnered with international clients across six countries including the USA, Canada, Australia, New Zealand, Austria, and Finland
- Developed and implemented innovative creative solutions from concept through execution

## Professional Values

Mutual Respect | Honesty | Decency | Punctuality"
18348,"# Professional Designer

## PROFESSIONAL SUMMARY

Accomplished designer with 6+ years of commercial experience across multiple agencies. Expert in creating cohesive digital and print experiences, with deep proficiency in UX/UI design, motion design, and graphic design. Contributed to 100+ website designs, brand identities, and advertising campaigns. Eager to leverage design expertise within a collaborative team environment on innovative projects.

## CORE COMPETENCIES

**Design Disciplines**
• Graphic Design: Printed Products, Banners, Illustrations, Icons
• Web Design: Responsive and Adaptive
• Mobile Design: iOS and Android
• UX Prototyping and Interactive Prototypes
• UI Design
• Motion Design
• Wireframes
• Atomic Design Principles
• User Personas and User Flows

**Technical Skills**
• Figma: Team Libraries, Auto Layout, Component Properties, Branches
• Adobe Photoshop: Expert
• Adobe Illustrator: Expert
• Adobe After Effects: Proficient
• HTML and CSS Fundamentals"
26715,"# PROFESSIONAL SUMMARY

Creative technologist and studio leader with 20 years of expertise in web design, UI/UX, 3D graphics, animation, and product development. Proven track record of building and scaling development teams while delivering complete products from concept to launch.

# EXPERIENCE

**Founder & Chief Technology Officer**
Outsource Studio

- Defined and executed technical vision and strategy for the organization
- Built and scaled development team from startup to 45+ contributors, including 25 office-based developers and 20+ freelance professionals
- Directed art and design team operations, ensuring cohesive creative output

**Co-Owner**
Mobile Game Studio

- Led full-cycle game development from concept through completion, encompassing UI/UX design and animation
- Directed Unity VFX implementation and audio engineering workflows
- Managed cross-functional team communication to deliver complete game productions

# CORE COMPETENCIES

**Technical:** Web Design, UI/UX Design, 3D Graphics, Animation, Unity, VFX, Audio Engineering

**Leadership:** Technical Strategy, Team Building, Art Direction, Project Management, Cross-Functional Collaboration

**Development:** Product Development, Game Development, Full-Cycle Production

# OBJECTIVE

Seeking opportunities to leverage technical leadership and creative expertise to drive innovation and growth within a dynamic organization."
26747,"# Design Professional

## Awards & Recognition
- 8 Design Awards on Behance
- Honorable Mention, San Francisco Design Week
- Featured in Ukrainian Design: The Very Best of

## Professional Experience

**Senior Product Designer | 6+ Years**

Commercially experienced across startups, fintech, organization management, crypto, insurance, and healthcare sectors, specializing in web, mobile, and dashboard applications.

**Design Leadership**
- Led creation of design system from scratch, managing a team of 3 designers
- Directed team of 8+ designers across product initiatives
- Provided mentorship and professional development for designers
- Conducted 1-on-1 performance meetings, feedback sessions, and personal improvement planning
- Fostered cross-functional team collaboration

**Product Development**
- Contributed to Australia-based digital home loan product through MVP phase over 1 year
- Partnered with stakeholders and product managers throughout project lifecycle
- Conducted user research and discovery to inform design decisions
- Developed functionality mapping and process flows
- Created low and high-fidelity wireframes
- Executed UI research and design

**Core Competencies**
- Hypothesis Generation & Research
- Wireframing & Prototyping
- Usability Testing & Analysis
- Design System Creation & Implementation
- Stakeholder Communication & Collaboration
- Team Leadership & Management"
