,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5
6018,"# Web & UX/UI Designer

## Professional Experience

### Web Designer | Children's Music School Website Redesign

- Conducted comprehensive analysis of existing website to identify strengths and weaknesses
- Created detailed wireframe for new landing page including news block and call to action
- Developed visual design with focus on user experience and navigation
- Ensured color scheme and typography aligned with school's brand identity
- Implemented responsive design principles for optimal display across all devices
- Delivered visually appealing landing page with easily accessible information

### UX/UI Designer | Pet-Saver-Hub

- Designed user-friendly interface for web service connecting lost and found animals
- Conducted user research to identify key pain points in pet recovery process
- Created detailed user flow and wireframe ensuring intuitive navigation
- Incorporated interactive map feature to help users locate lost or found pets by area
- Developed interface enabling easy search functionality for lost and found pets

## Skills

- Wireframing
- Visual Design
- User Research
- Responsive Design
- User Flow Development
- Interactive Design Elements
- Brand Identity Implementation
- UX/UI Design

## Professional Goals

- Develop UI/UX design skills through meaningful projects that impact people's lives
- Collaborate with experienced professionals to expand knowledge and expertise
- Contribute to challenging projects that foster creative potential
- Stay current with latest design technologies and trends
- Collect and incorporate user feedback to continuously improve user experience
- Apply creativity and attention to detail to deliver high-quality design work
- Engage in effective communication and teamwork to achieve project results"
6021,"PROFESSIONAL SUMMARY

Over 50 Websites
More than 30 Logotypes
4 Mobile Apps
3 Games
1 Social Network

PROFESSIONAL EXPERIENCE

Facility, Kiev — Head of Design Department
Mar 2018 - Present

Organize design team processes and optimize design workflows for multiple project types. Develop concepts for websites, brands, and digital products; create UI/UX designs, animations, logo books, brand guidelines, and brandbooks. Lead tenders and offline company initiatives.

- Published on medium.com, mmr.ua, cases.media, vc.ru
- Served as judge for CSSDA and Ukraine Creative Week
- Delivered educational lectures at Underhub co-working

Kiev Smart City, Kiev

Developed concept and final product visualization for Kiev Smart Card. Created concepts for dynamic city advertisements.

Mastercard, Kiev

Designed illustrations and limited edition products for 2018 UEFA Champions League Final in Kiev. Developed brand activation program concept for Ukraine Independence Day 2018.

Stampede Games, Kiev

Developed visual concepts, UI, and concept art for mobile games. Contributed to games featured in top charts:
- Evo Explores
- .projekt"
6026,"# PROFESSIONAL SUMMARY

Design professional with 12+ years of experience delivering 300+ projects across product design, mobile applications, websites, and brand identity. Former studio owner and CEO with team management experience. Currently pursuing MBA. Master's degree in Engineering Design.

# CORE COMPETENCIES

• Product Design: 30+ products developed from scratch
• Mobile Applications: 30+ apps designed
• Web Design: 80+ websites delivered
• Brand Identity: 100+ logos and corporate styles created
• Team Leadership: Founded and managed 20-person design studio
• Education: Taught 150+ students in UI/UX and brand design
• Public Speaking: Presented at Dribbble and other industry conferences
• Technical Knowledge: Trained in HTML5, CSS3, TypeScript, Vue.js, Python, Swift

# PROFESSIONAL EXPERIENCE

**2022 — Confidential (NDA)**

**2021 — UX Designer**
Bank BVR

**2020 — Lead Product Designer**
Innovation Box

**2020 — UI/UX Design Teacher**
Hillel IT School

**2019 — UI/UX & Brand Designer**
Ardas

**2017 — UI/UX & Brand Designer**
M2E pro

**2016 — UI/UX & Brand Designer**
Forforce

**2015 — UI/UX & Brand Designer**
Art. Lebedev Studio

**2014 — CEO & Designer**
Own Design Studio

**2013 — UI/UX & Brand Designer**
Poster

**2012 — UI/UX & Brand Designer**
le Weekend

**2011 — UI/UX & Brand Designer**
November Design Bureau

**2006 — Graphic Designer**
Freelance

# EDUCATION

**Master's Degree in Engineering Design**

**MBA** (In Progress)

**Drawing School** (1999)

# INDUSTRY EXPERIENCE

eCommerce, Finance, Banking, Investments, Marketing, Social Media, Law, Education, Development, NFT, Art, Automotive, Gaming, Construction, Agriculture, Food & Beverage, Coffee, Fashion, Beauty, Services, Music, Dance, MMA, Medicine, Space, Adult Entertainment, Sports, Technology, Defense, Insurance

# INTERNATIONAL CLIENT BASE

USA, United Kingdom, Germany, Netherlands, Italy, France, Greece, Estonia, Australia, China, Ukraine"
9479,"**GRAPHIC DESIGNER & UI/UX DESIGNER**

**PROFESSIONAL SUMMARY**

Graphic Designer with expertise in brand identity, digital design, and UI/UX. Experienced in creating key visuals, social media materials, and printing collateral. Skilled in leading design projects, managing junior designers, and implementing cohesive visual systems across multiple platforms. Proficient in 3D design integration and user-centered design principles.

**CORE COMPETENCIES**

• Brand Identity & Logo Design
• Key Visual Design
• Social Media Marketing (SMM) Design
• Print Production & Prepress Operations
• UI/UX Design
• 3D Design Integration
• Team Management
• Multi-page Catalog & Brochure Design
• DTP Design

**TECHNICAL SKILLS**

Expert: Adobe Photoshop, Adobe Illustrator
Proficient: Adobe InDesign, Figma
Working Knowledge: Blender, After Effects

**PROFESSIONAL EXPERIENCE**

**Graphic Designer & UI/UX Designer | QA Madness**
November 2022 - Present

• Contributed significantly to company-wide global redesign initiative
• Redesigned website to align with new brand vision and visual style
• Introduced and implemented fresh visual style for company presentations
• Completely redesigned social media materials for LinkedIn and Instagram
• Created company page for DOU
• Integrated custom 3D design elements into visual materials

**Graphic Designer | Kronas**
August 2020 - February 2022

• Designed logos, brand identities, and related printing materials for new company brands
• Developed 3-6 monthly advertising key visuals for website, social networks, and print
• Introduced and implemented new visual style for Instagram profile
• Created multi-page product catalogs and brochures in InDesign
• Updated YouTube channel branding and designed video covers
• Designed custom sticker pack for Telegram and Viber
• Developed design for new trade hall including branding stands and navigation

**Graphic Designer | Design Studio ToTop**
October 2019 - August 2020

• Developed design solutions for clients across diverse industries
• Designed logos and brand identities
• Created outdoor advertising including roadside billboards, citylights, and vehicle branding
• Produced realistic product visualizations in Photoshop
• Designed print materials including calendars, business cards, postcards, and stickers
• Created multi-page catalogs and brochures
• Conceptualized, designed, and produced 16-page brochure from approval to print in one working day

**EDUCATION & PROFESSIONAL DEVELOPMENT**

UI/UX Design Course | Beetroot Academy
Focused on user-centered design and user experience principles

**LEADERSHIP EXPERIENCE**

Managed team of two junior designers"
16980,"**Depositphotos | Content Researcher**

Researched and created content including collections and PowerPoints for client advertisements, email distribution, and direct publication on the official Depositphotos website. Collaborated closely with content managers to analyze development and metrics. Organized advertisements for influencers and major clients including Coca Cola, H&M, Colgate, Vogue Ukraine, and Marie Claire Maison Italy. Worked with Jira and CRM systems. Managed localized content to ensure alignment with brand tone of voice and product style.

**Depositphotos | Contributor Relations Manager**

Researched and identified potential and prominent photographers in EMEA and North America. Worked closely with contributors to develop their portfolios on cloud services. Organized and led training seminars for new employees.

**Teacher of English Language**

Mentored special needs students with physical and psychological needs. Developed personalized teaching techniques and lectures for each individual student. Restructured the educational process to fit the needs and capabilities of each child, with lectures and work tailored to individual students. Created personal connections with each child, enabling them to advance significantly in the curriculum.

**Liberty Power | Door-to-Door Sales Agent**

Traveled to different neighborhoods to market and advertise products and services to the general public. Presented product features and clarified competitive advantages to customers. Convinced clients to purchase products using a script and executed agreements between clients and Liberty Power."
17014,"# Professional Summary

English Philology student with four years of academic experience specializing in text editing, writing, and translation. Passionate about social media platforms and digital content, with a strong interest in pursuing a career in the IT sector. Highly motivated and committed to professional development.

## Education

**English Philology** (4 years of study)

## Skills

- Text Editing
- Writing
- Translation
- Social Media Platform Knowledge
- Digital Content Research

## Professional Attributes

- Strong motivation to learn and grow
- Eager to contribute to IT-focused environments
- Active engagement with emerging digital trends"
18230,"# Creative/Art Director | Graphic & UI/UX Designer

## Professional Summary

Creative/Art Director and Graphic & UI/UX Designer from Ukraine with over 10 years of experience delivering branding, marketing, advertising, graphic design, web design, and mobile app design solutions for clients worldwide.

## Expertise

- Branding & Identity Development
- Marketing & Advertising
- Graphic Design
- Web Design
- Mobile App Design
- UI/UX Design

## Experience Highlights

- Created more than 20 brands in Ukraine
- Collaborated with clients from USA, Canada, Australia, New Zealand, Austria, and Finland
- Developed and implemented unique, innovative ideas and solutions that effectively support business growth

## Professional Approach

Committed to delivering exceptional results through mutual respect, honesty, decency, and punctuality."
18348,"# PROFESSIONAL SUMMARY

Professional website, mobile and graphic designer with more than 6+ years of commercial experience across different agencies. Took personal part in the creation of more than 100 website designs, brand and advertising projects. Extensive experience in UX prototyping, UI design and motion design for desktop and mobile applications.

# SKILLS

**Design Expertise:**
• Graphic design (Printed Products, Banners, Illustrations, Icons)
• Web design (Responsive, Adaptive)
• Mobile design (iOS, Android)
• Wireframes
• Interactive prototypes
• Using principles of atomic design
• Good understanding of user personas and user flows
• Understanding of the basics of HTML, CSS

**Tools & Software:**
• Figma (team libraries, auto layout, components properties, branches)
• Excellent level of proficiency in Adobe Photoshop and Adobe Illustrator
• Confident level in Adobe After Effects

# CAREER OBJECTIVE

Seeking to be part of a strong team to realize my potential in interesting projects and make a significant contribution of artistic taste to contemporary design."
26715,"# Professional Summary

Accomplished technology leader with 20 years of experience in web design, UI/UX, 3D graphics, animation, and product development. Proven track record in building and scaling development teams, art direction, and full-cycle game development.

# Professional Experience

## Chief Technology Officer & Technical Lead | Outsource Studio
- Founded and grew outsource studio from inception
- Scaled team to 25 in-office developers and 20+ freelance contributors
- Provided art direction and managed design teams

## Co-Owner | Mobile Game Studio
- Led full-cycle game development including concept creation, UI/UX design, visual design, animation, Unity VFX, stakeholder communication, and sound editing
- Managed all aspects of game production from ideation to launch

# Core Competencies

- Web Design & Development
- UI/UX Design
- 3D Graphics & Animation
- Product Development
- Team Leadership & Scaling
- Art Direction
- Game Development (Unity VFX)
- Sound Editing
- Stakeholder Communication

# Career Objective

Seeking opportunities for professional growth and leadership advancement"
26747,"# PROFESSIONAL SUMMARY

Product Designer with 6+ years of commercial experience across startups, fintech, organization management, crypto, insurance, and healthcare. Expertise in web, mobile, dashboard, and web applications. Skilled in research, hypothesis generation, wireframing, prototyping, usability testing, design system creation, and design team leadership. Focused on aligning design solutions with business objectives while following industry best practices.

# ACHIEVEMENTS

• Recipient of 8 Design Awards on Behance
• Honorable Mention, San Francisco Design Week
• Featured in Ukrainian Design The Very Best Of
• Core team member (team of 3) for Australia-based digital home loan product, contributing to development from concept to MVP over 1 year
• Built comprehensive design system from scratch

# CORE COMPETENCIES

• User Research & Analysis
• Hypothesis Generation
• Wireframing & Prototyping (Low & High Fidelity)
• Usability Testing
• UI/UX Design
• Design System Development
• Stakeholder Communication
• Team Leadership (8+ people)
• Design Mentorship
• Cross-functional Collaboration

# PROJECT RESPONSIBILITIES

**Strategic & Design Execution**
- Communicate with stakeholders and product managers
- Conduct user and market research
- Create functionality maps and process flows
- Develop low and high fidelity wireframes
- Execute UI research and design
- Lead design team of 8 people

**Collaboration & Team Development**
- Mentor junior designers
- Conduct 1-on-1 meetings to identify challenges and define improvement areas
- Provide feedback and support to teammates"
