Unnamed: 0,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini
1747,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  

**PROFESSIONAL SUMMARY**  
Entrepreneur with 8 years of experience in business development and management. Successfully opened and sold a chain of coffee shops and established an export-oriented production utilizing 3D printing technologies.

**EXPERIENCE**  
**Self-Employed Entrepreneur**  
[Start Date] – Present  
- Developed and managed a chain of coffee shops, overseeing all aspects of operations, marketing, and customer service.  
- Sold the coffee shop chain, achieving significant financial returns.  
- Launched an export-oriented production facility leveraging 3D printing technologies, focusing on innovative product development and market expansion.

**HARD SKILLS**  
- Prioritization and goal setting  
- Project planning  
- Organization  
- Budget management  
- Delegation and task performance monitoring  
- Knowledge of SCRUM methodologies; understanding of Agile, Scrum, Kanban, and Waterfall  
- Game design fundamentals; basic understanding of UE4 and Unity  
- Blender (Junior level) – Modeling, UV mapping, animation  
- Linux node operating  

**SOFT SKILLS**  
- Critical thinking  
- Decision-making  
- Time management  
- Team management  
- Communication  
- Coaching  
- Risk management  
- Ability to identify customer and user needs; consensus-building for project implementation  
- English proficiency – Intermediate (B1)  "
1784,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Portfolio Link]  

**Professional Summary**  
Creative professional with diverse experience in 3D art, graphic design, videography, video production, digital marketing, event organization, and start-up engagement. Proven ability to craft visually stunning and realistic 3D models and animations, create compelling visual assets, and execute effective marketing campaigns. Strong organizational skills demonstrated through successful event management.

**Experience**  

**3D Artist**  
[Company Name] - [Location]  
[Month, Year] – [Month, Year]  
- Developed visually stunning and realistic 3D models and animations, enhancing project outcomes through creative expertise.

**Graphic Designer**  
[Company Name] - [Location]  
[Month, Year] – [Month, Year]  
- Designed compelling visual assets for various projects, effectively meeting client needs and project objectives.

**Videographer/Video Producer**  
[Company Name] - [Location]  
[Month, Year] – [Month, Year]  
- Produced and edited high-quality videos, utilizing a keen eye for detail and technical skills to create impactful visual narratives.

**Digital Marketing Specialist**  
[Company Name] - [Location]  
[Month, Year] – [Month, Year]  
- Developed and implemented effective marketing campaigns, leveraging digital marketing tools and platforms to drive engagement and enhance brand awareness.

**Event Organizer**  
Music Art Festival - Azerbaijan  
[Month, Year] – [Month, Year]  
- Organized a music art festival, showcasing the vibrant and diverse music culture of the region.

**Event Contributor**  
DokuBaku International Documentary Film Festival  
[Month, Year] – [Month, Year]  
- Supported the promotion and celebration of documentary filmmaking, enhancing the festival's visibility and impact.

**Start-Up Experience**  
[Company Name] - [Location]  
[Month, Year] – [Month, Year]  
- Acquired valuable experience working with start-ups, fostering an entrepreneurial mindset and adapting to dynamic environments.

**Skills**  
- 3D Art and Animation  
- Graphic Design  
- Videography and Video Production  
- Digital Marketing Strategies  
- Event Organization  
- Start-Up Engagement  
- Creative Problem Solving  
- Attention to Detail  

**Education**  
[Your Degree]  
[Your University] - [Location]  
[Month, Year]  

**Certifications**  
[List any relevant certifications]  

**References**  
Available upon request."
2476,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Professional Summary**  
Dedicated Client Success Manager with extensive experience in managing large US-based accounts, focusing on health and growth. Proven track record of working with multiple enterprise-level accounts and leading dedicated engineering teams of 30-50 professionals. Passionate about mentoring and inspiring talent, fostering strong engineering teams, and developing effective processes and strategies for client success.

**Professional Experience**  

**Client Success Manager**  
[Your Company Name]  
[City, State]  
[Month, Year] – Present  

- Manage multiple accounts with varying engagement models, ensuring client satisfaction and success.
- Oversee all aspects of client relationships, building trust and partnership relations.
- Analyze clients' business pain points and assist in developing roadmaps to achieve strategic goals.
- Actively participate in the opportunity initiation process, including drafting proposals and statements of work (SOWs).
- Extend partnerships with existing clients, enhancing collaboration and service delivery.
- Conduct executive reporting and business reviews to communicate progress and outcomes.
- Perform project scope analysis and manage risks and issues effectively.
- Lead team management and coaching initiatives, fostering professional growth and development.
- Utilize practical knowledge of software development methodologies and life cycle to guide project execution.
- Leverage strong IT background with platform experience in Salesforce, IBM Websphere, and Magento.

**Skills**  
- Client Relationship Management  
- Strategic Planning and Execution  
- Team Leadership and Mentoring  
- Risk and Issue Management  
- Software Development Methodologies  
- Executive Reporting  
- Business Analysis  
- eCommerce Solutions  

**Education**  
[Your Degree]  
[Your University]  
[City, State]  
[Year of Graduation]  

**Certifications**  
[List any relevant certifications]  

**Professional Affiliations**  
[List any relevant professional organizations]  

**References**  
Available upon request."
2515,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Professional Summary**  
Dedicated professional with extensive experience in maintaining strong business relationships and troubleshooting customer issues. Proven ability to coordinate client projects and facilitate effective communication between teams. Seeking to leverage skills in project management to drive successful outcomes.

**Key Responsibilities**  
- Maintained trustful and long-lasting business relations with customers.  
- Troubleshot customer issues effectively to ensure satisfaction.  
- Coordinated client projects for connection and interaction with online platforms and services.  
- Communicated with the development team to align project goals.  
- Engaged in sales and retention activities to enhance customer loyalty.  
- Managed sales documentation, including agreements, contracts, and invoices.  
- Utilized tools such as Zoho, Jira, Confluence, SAP, and 1C to streamline processes.  

**Career Objective**  
Aiming to develop further in the project management direction to contribute to organizational success and enhance my professional growth."
2517,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Professional Summary**  
Results-driven professional with extensive experience in project management and client relationship building. Proven ability to manage multiple projects simultaneously while effectively communicating with stakeholders and ensuring timely delivery of solutions.

**Experience**  

**Project Manager**  
[Your Company Name] - [City, State]  
[Month, Year] - Present  
- Manage up to 15 projects simultaneously, ensuring alignment with client needs and organizational goals.  
- Cross-sell and upsell solutions to clients by accurately defining their needs and providing tailored recommendations.  
- Monitor work processes, control timing and terms of work, and communicate regular updates to stakeholders regarding progress, potential issues, and risks.  
- Build and maintain long-term relationships with clients to foster trust and encourage repeat business.  
- Handle inbound requests and proactively contact new leads through outbound efforts.  
- Present proposals and complete the sales cycle, including preparing agreements to finalize transactions.  

**Skills**  
- Project Management  
- Client Relationship Management  
- Sales and Negotiation  
- Communication and Presentation  
- Risk Management  
- Time Management  
- Problem Solving  

**Education**  
[Your Degree]  
[Your University] - [City, State]  
[Year of Graduation]  

**Certifications**  
[Relevant Certification]  
[Year Obtained]  

**References**  
Available upon request.  "
2529,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

---

**Objective**  
Dedicated and analytical professional seeking opportunities that promote growth and personal development. Committed to achieving results through effective communication, teamwork, and project management.

**Professional Experience**  

- **[Your Most Recent Job Title]**  
  [Company Name], [Location]  
  [Month, Year] – Present  
  - Collaborated with teams to drive project success through effective communication.  
  - Managed multiple projects, ensuring alignment with organizational goals and timelines.  
  - Cultivated respectful and honest relationships with colleagues and stakeholders to enhance productivity.

- **[Previous Job Title]**  
  [Company Name], [Location]  
  [Month, Year] – [Month, Year]  
  - Contributed to a positive work environment through teamwork and project management.  
  - Developed strategies to enhance communication and efficiency within the team.  
  - Established strong relationships that facilitated mutual respect and collaboration.

**Skills**  
- Excellent communication and interpersonal skills  
- Proficient in project management  
- Team collaboration and leadership  
- Strong analytical thinking and problem-solving abilities  

**Education**  
[Your Degree]  
[Your Major]  
[University Name], [Location]  
[Month, Year]  

---

Thank you for your time. Please feel free to reach out!"
2538,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

**Objective**  
Results-oriented and dedicated recent graduate seeking challenging opportunities to leverage skills in market research, supplier negotiation, and supply chain management.

**Experience**  

**Project Manager**  
[Company Name]  
[Location]  
[Month, Year] – Present  
- Closed the eBay expansion project, successfully entering new markets.  
- Implemented logistics improvements in the supply chain, resulting in significant cost savings.  
- Collaborated with Asian suppliers to enhance product quality, leading to measurable improvements.  
- Managed re-import processes to the US, ensuring avoidance of unnecessary tax payments.  

**Market Expansion Specialist**  
[Company Name]  
[Location]  
[Month, Year] – [Month, Year]  
- Collaborated with Amazon and Asian partners on diverse projects, including market expansion into new countries and marketplaces.  
- Prepared legal documents necessary for continued sales on the Amazon platform.  
- Registered the company with various organizations in the EU to facilitate compliance and market entry.  
- Led product quality improvement initiatives, enhancing overall product standards.  
- Developed and executed strategic plans for various projects, requiring extensive research and learning to ensure successful outcomes.  

**Skills**  
- Market Research  
- Supplier Negotiation  
- Cost-Saving Plan Development  
- Supply Chain Management  
- Critical Thinking  
- Stress Management  

**Education**  
[Your Degree]  
[Your University]  
[City, State]  
[Month, Year]  

**Additional Information**  
- Seeking opportunities that provide challenges and opportunities for growth.  "
2551,"Based on a wide practical background and understanding of business-specific features, I possess a comprehensive understanding of the entire Software Development Life Cycle (SDLC) and have deep knowledge in Data Privacy, Intellectual Property, Commercial, and Contract law. I have acquired solid managerial and recruitment experience, developed organizational skills, including attention to detail, multitasking, and a good knowledge of various managerial methodologies, with the ability to adapt them to actual circumstances. I excel at building relationships within a team and working with international companies and customers. I am a professional with over 3 years of in-house legal practice in an IT Product Company and have recently decided to take the next step as an Account Manager.

**Experience:**

**Project Manager Assistant, Vayosoft Team**  
- Managed Contracts, RFPs, and RFIs.  
- Collaborated with procurement, participated in negotiations with suppliers, and took part in the evaluation of contractors according to company procedures.  
- Organized team meetings, follow-ups, action lists, and prepared reports and presentations for upper management.  
- Contributed to the creation of new projects from scratch through MVP to the improvement of a working application.  

**Legal Counsel, Benish Group**  
- Maintained relationships with colleagues regarding corporate policy, analyzed and minimized legal risks within the company, and provided recommendations on their application.  
- Collaborated with internal and external teams (developers, analysts, marketing managers, and company leadership) to oversee activities aimed at reducing legal risks.  
- Communicated with customers, business partners, and service providers from various jurisdictions.  
- Prepared Rules for the provision of services (offers), Privacy Policies, and Terms of Use for Applications under GDPR rules.  
- Participated in product development and optimization of business processes for the entire group of companies.  
- Implemented legal compliance in various areas of business operations, including personal data protection, intellectual property, PR and marketing, sales, payments, and consumer rights.  
- Organized and maintained contractual activities, including legal expertise and drafting of contract texts in accordance with local legislation and company internal standards and procedures.  "
2553,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Objective**  
Aspiring project manager with a strong foundation in business management and IT industry experience, seeking to further develop skills in project management within an outsourcing company.

**Professional Experience**  

**Business Development Manager**  
[Company Name] - [Location]  
[Month, Year] - [Month, Year]  
- Gained extensive experience in project management for outstaff projects.  
- Developed a deeper understanding of business management and people management.

**Project Manager**  
[Company Name] - [Location]  
[Month, Year] - [Month, Year]  
- Managed team dynamics through 1-1 meetings, performance reviews, and monitoring sprint processes.  
- Led and motivated team members while fostering a collaborative work environment.  
- Conducted interviews for both technical and non-technical positions, facilitating the onboarding of new employees.  
- Handled account management for ongoing projects, including negotiation and conflict resolution with customers.  
- Prepared company presentations and estimation documents.  
- Communicated effectively with partner companies to ensure project alignment.  
- Provided customer support from initial contact through to project closure.  
- Sourced outstaff projects and prepared necessary documentation for outstaff deals.

**Skills**  
- Project Management  
- People Management  
- Team Leadership  
- Conflict Resolution  
- Customer Support  
- Documentation Preparation  
- Communication  

**Education**  
[Your Degree]  
[Your University] - [Location]  
[Month, Year]  

**Certifications**  
[Relevant Certification]  
[Issuing Organization] - [Month, Year]  

**Languages**  
[Language 1] (Proficiency)  
[Language 2] (Proficiency)  

**References**  
Available upon request."
2554,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Professional Summary**  
Dynamic professional with 4 years of B2B international communication and sales experience. Proven ability to deliver compelling presentations and foster teamwork. Strong management, problem-solving, and communication skills, with a passion for collaborative success.

**Education**  
Master's Degree in Foreign Economics  

**Experience**  
- 4 years of B2B international communication, account management, and sales experience.  
- Developed strong relationships with clients and stakeholders to drive business growth.  
- Engaged in cross-cultural communication to enhance collaboration and understanding.  

**Skills**  
- Excellent oral and written presentation skills.  
- Basic skills in web & mobile UI/UX design and prototyping.  
- Understanding of Agile methodologies in the Software Development Life Cycle (SDLC).  
- Proficient in CRM tools, Google Docs, Figma, Axure RP, Coggle, Adobe Photoshop, Canva, Trello, and Slack.  

**Professional Development**  
- Completed courses in Business Analytics and Web & Mobile UI/UX Design.  

**Career Objective**  
Seeking an account or junior project management position in the development/design field. Eager to join a team of creative and determined individuals, contributing to exciting and challenging projects while continuously developing my skills and qualities. Interested in finding business solutions, web & mobile UI/UX decisions, and prototyping. Location and space are important but not critical."
